taxon	min	max
Neogaeornis_wetzeli	2.3	2.3
Patagopteryx_deferrariisi	18.95	18.95
Neuquenornis_volans	18.95	18.95
Camarasaurus_lentus	87.25	87.25
Emausaurus_ernsti	116.5	116.5
Moabosaurus_utahensis	57.955	57.955
Cetiosaurus_oxoniensis	100.2	103.65
Epidendrosaurus_ningchengensis	96.95	96.95
Dubreuillosaurus_valesdunensis	100.2	100.2
Patagosaurus_fariasi	98.8	98.8
Grallator_Anchisauripus_minusculus	132.9	134.3
Traukutitan_eocaudata	18.95	18.95
Charonosaurus_jiayinensis	2.3	2.3
Olorotitan_arharensis	2.3	2.3
Baryonyx_walkeri	61.725	61.725
Ankylosaurus_magniventris	2.3	2.3
Condorraptor_currumili	98.8	98.8
Caenagnathasia_martinsoni	25.4	25.4
Kerberosaurus_manakini	2.3	2.3
Dysalotosaurus_lettowvorbecki	87.25	87.25
Megaloolithus_mamillare	2.3	2.3
Parksosaurus_warreni	2.3	2.3
Niobrarasaurus_coleii	18.65	21.55
Hypacrosaurus_altispinus	2.3	2.3
Anabisetia_saldiviai	25.4	25.4
Lourinhasaurus_alenquerensis	87.25	87.25
Lufengosaurus_huenei	134.3	134.3
Lectavis_bretincola	2.3	2.3
Soroavisaurus_australis	2.3	2.3
Yungavolucris_brevipedalis	2.3	2.3
Lapparentosaurus_madagascariensis	100.2	100.2
Hylaeosaurus_armatus	44.515	72.3
Duriavenator_hesperis	103.65	103.65
Irenesauripus_mclearni	41.15	41.15
Magnosaurus_nethercombensis	104	104
Eustreptospondylus_oxoniensis	96.95	96.95
Hypselospinus_fittoni	72.3	72.3
Talenkauen_santacrucensis	2.3	2.3
Grallator_cuneatus	134.3	134.3
Stenonyx_lateralis	134.3	134.3
Anchisauripus_tuberosus	134.3	134.3
Eubrontes_giganteus	132.9	134.3
Eubrontes_tuberatus	134.3	134.3
Kayentapus_minor	134.3	134.3
Ferganasaurus_verzilini	98.8	98.8
Erectopus_superbus	44.515	61.2
Rhabdodon_priscus	2.3	2.3
Jeholosaurus_shangyuanensis	57.955	57.955
Sinovenator_changii	57.955	57.955
Yimenosaurus_youngi	134.3	134.3
Huehuecanauhtlus_tiquichensis	18.95	18.95
Sarjeantopodus_semipalmatus	2.3	2.3
Glyptodontopelta_mimus	2.3	2.3
Apulosauripus_federicianus	18.65	18.65
Magyarosaurus_dacus	2.3	2.3
Zalmoxes_robustus	2.3	2.3
Delapparentia_turolensis	61.725	61.725
Scipionyx_samniticus	44.515	44.515
Pachyrhinosaurus_perotorum	2.3	2.3
Ugrunaaluk_kuukpikensis	2.3	2.3
Leptoceratops_gracilis	2.3	2.3
Anatotitan_copei	2.3	2.3
Edmontonia_rugosidens	2.3	2.3
Cardiodon_rugulosus	100.2	100.2
Procompsognathus_triassicus	147.78	147.78
Sahaliyania_elunchunorum	2.3	2.3
Yamaceratops_dorngobiensis	18.95	18.95
Noguerornis_gonzalezi	61.2	61.2
Albertonykus_borealis	2.3	2.3
Lamarqueavis_minima	2.3	2.3
Lonchodytes_estesi	2.3	2.3
Itsukisauropus_izumiensis	65.15	65.15
Graculavus_velox	2.3	2.3
Shanweiniao_cooperorum	57.955	57.955
Graciliraptor_lujiatunensis	57.955	57.955
Tianyuraptor_ostromi	61.2	61.2
Sinornithosaurus_haoiana	57.955	57.955
Sauropodichnus_giganteus	76.6	76.6
Tarsoplectrus_angustus	134.3	134.3
Platypterna_recta	134.3	134.3
Cetiosaurus_brachyurus	72.3	72.3
Orcauichnites_garumniensis	2.3	2.3
Cruxicheiros_newmanorum	100.2	100.2
Scansoriopteryx_heilmanni	61.2	61.2
Concavenator_corcovatus	61.725	61.725
Iguanacolossus_fortis	61.725	61.725
Haya_griva	18.95	18.95
Kileskus_aristotocus	101.2	101.2
Paludititan_nalatzensis	2.3	2.3
Jianchangornis_microdonta	57.955	57.955
Ichthyornis_minusculus	25.4	25.4
Martinavis_whetstonei	2.3	2.3
Schizooura_lii	57.955	57.955
Gryphoceratops_morrisoni	18.65	18.65
Sciurumimus_albersdoerferi	87.25	87.25
Jeholornis_palmapenis	57.955	57.955
Ojoraptorsaurus_boerei	2.3	2.3
Aorun_zhaoi	98.8	98.8
Acrotholus_audeti	18.65	18.65
Grallator_magnificus	134.3	134.3
Anchisauripus_Otouphepus_minor	134.3	134.3
Bueckeburgichnus_maximus	76.6	76.6
Dilophosauripus_williamsi	134.3	134.3
Acheroraptor_temertyorum	2.3	2.3
Europelta_carbonensis	44.515	44.515
Hongshanornis_longicresta	61.2	61.2
Brontopodus_oncalensis	76.6	76.6
Tianyuornis_cheni	57.955	57.955
Jinfengopteryx_elegans	61.2	61.2
Struthopus_schaumburgensis	76.6	76.6
Kuszholia_mengi	22.05	22.05
Padillasaurus_leivaensis	61.725	61.725
Morrosaurus_antarcticus	2.3	2.3
Wiehenvenator_albati	96.95	96.95
Isaberrysaura_mollensis	104	104
Mierasaurus_bobyoungi	61.2	61.2
Megalosauropus_Eutynichnium_gomesi	65.15	65.15
