Iteration	Posterior	Likelihood	Prior	div[1]	div[2]	div[3]	div[4]	div[5]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	psi[1]	psi[2]	psi[3]	psi[4]	psi[5]	turnover[1]	turnover[2]	turnover[3]	turnover[4]	turnover[5]
0	-2718.52	0	-2718.52	0.207635	0.0883054	0.106026	-0.0576895	0.0138989	0.248148	0.139238	0.145188	0.0576752	0.0141331	0.0405135	0.0509321	0.0391622	0.115365	0.000234154	0.0610415	0.0739198	0.0789937	0.00785253	0.252489	0.163263	0.365793	0.269734	2.00025	0.0165678
100	-907.627	0	-907.627	0.0683536	-0.00584247	0.0509845	0.143779	0.0639864	0.275747	0.117646	0.278329	0.144614	0.0652937	0.207393	0.123488	0.227345	0.00083569	0.0013073	0.106422	0.0589466	0.258397	0.0114156	0.128733	0.752114	1.04966	0.816819	0.00577875	0.0200219
200	-285.09	0	-285.09	-0.436306	-0.033802	0.0462511	0.0771252	0.00252304	1.43908	0.170436	1.15008	0.0785216	0.0244574	1.87539	0.204238	1.10383	0.00139639	0.0219343	2.46192	0.0954183	1.3363	0.0186214	0.143733	1.30318	1.19833	0.959784	0.0177835	0.896839
300	-227.117	0	-227.117	-0.431548	0.00597252	0.0986301	0.0387821	0.0321082	1.50663	0.268091	1.32565	0.0685143	0.0782011	1.93818	0.262119	1.22702	0.0297321	0.0460929	3.06221	0.125023	1.30588	0.0033278	0.0111449	1.28643	0.977722	0.925599	0.433955	0.589415
400	-208.656	0	-208.656	0.07843	0.0244797	0.0276711	0.00939384	-0.182459	2.46917	0.228458	1.06312	0.115854	0.00838922	2.39074	0.203978	1.03545	0.10646	0.190848	2.30253	0.137391	1.46535	0.00857553	0.0236437	0.968236	0.892848	0.973972	0.918917	22.7492
500	-238.849	0	-238.849	0.457348	-0.0734244	-0.184226	0.0383399	0.0606082	2.06111	0.293428	0.833401	0.0814946	0.251209	1.60376	0.366852	1.01763	0.0431547	0.190601	2.56294	0.141862	1.50735	0.00830769	0.28493	0.778106	1.25023	1.22105	0.529541	0.758734
600	-215.119	0	-215.119	0.437893	0.0479066	0.239644	0.0536434	-0.0210997	2.58971	0.302091	1.37061	0.228238	0.102872	2.15181	0.254184	1.13097	0.174595	0.123972	2.57767	0.0839515	1.62851	0.030007	0.233258	0.83091	0.841417	0.825156	0.764967	1.20511
700	-214.199	0	-214.199	-0.455967	-0.010448	0.054468	0.14476	0.123461	2.05271	0.18994	1.16701	0.234378	0.156596	2.50868	0.200388	1.11254	0.0896181	0.0331353	2.88729	0.0796575	1.66946	0.0090018	0.199568	1.22213	1.05501	0.953327	0.382366	0.211597
800	-232.873	0	-232.873	-0.00454882	0.0549208	-0.0596662	0.175141	0.312126	2.12869	0.285366	1.18271	0.379086	0.40249	2.13324	0.230446	1.24238	0.203945	0.0903637	3.34083	0.115813	1.1387	0.123735	0.067419	1.00214	0.807543	1.05045	0.537991	0.224512
900	-274.935	0	-274.935	-0.331136	0.0242892	-0.30842	0.5204	-0.216845	2.06994	0.254211	0.925701	0.72049	0.0606286	2.40107	0.229922	1.23412	0.20009	0.277474	2.27368	0.104911	1.29689	0.380589	0.0745087	1.15997	0.904453	1.33317	0.277714	4.57662
1000	-144.212	0	-144.212	-0.239366	0.00170851	-0.0462674	0.409327	0.190603	2.23025	0.338828	1.62728	0.497603	0.219831	2.46961	0.33712	1.67354	0.0882753	0.0292278	2.81306	0.18513	2.32536	0.132857	0.0841177	1.10733	0.994958	1.02843	0.177401	0.132956
1100	-237.817	0	-237.817	0.249361	0.0651722	-0.0985651	0.22887	0.0948289	1.93228	0.337505	0.880054	0.278624	0.158372	1.68292	0.272333	0.978619	0.0497533	0.0635433	2.43969	0.138965	1.12656	0.0389598	0.0876945	0.87095	0.8069	1.112	0.178568	0.401228
1200	-243.117	0	-243.117	0.240485	0.00919372	-0.3145	0.165884	-0.00216639	2.46781	0.313333	1.07982	0.199365	0.0121567	2.22733	0.30414	1.39432	0.0334803	0.014323	2.65129	0.106504	1.18986	0.07927	0.1274	0.902552	0.970658	1.29125	0.167935	1.17821
1300	-137.602	0	-137.602	-0.328091	0.0181682	-0.526095	-0.0196582	0.0128249	2.53564	0.315841	1.21192	0.108196	0.102809	2.86373	0.297672	1.73802	0.127855	0.0899845	3.50494	0.153716	2.02917	0.0101012	0.310977	1.12939	0.942477	1.4341	1.18169	0.875255
1400	-195.099	0	-195.099	0.0225783	0.0269829	-0.198606	0.159455	0.263839	1.96683	0.407855	0.992592	0.269112	0.360263	1.94425	0.380873	1.1912	0.109657	0.0964235	2.43493	0.168219	1.84251	0.0123659	0.0459032	0.98852	0.933842	1.20009	0.407478	0.267647
1500	-162.094	0	-162.094	0.234875	-0.0497538	-0.378615	0.000635134	0.00197022	2.16991	0.327069	1.57316	0.0932017	0.0253015	1.93504	0.376822	1.95177	0.0925665	0.0233313	2.79626	0.133827	1.53989	0.0530059	0.0642446	0.891758	1.15212	1.24067	0.993185	0.922131
1600	-223.021	0	-223.021	0.241851	0.0208138	-0.0471193	0.0562356	-0.02885	2.24027	0.208637	1.42419	0.183644	0.0199554	1.99841	0.187823	1.4713	0.127409	0.0488054	2.25744	0.1086	1.53247	0.0156852	0.0255311	0.892043	0.900239	1.03309	0.69378	2.44572
1700	-221.029	0	-221.029	0.173837	-0.082735	-0.0475067	0.0534255	0.291291	2.35094	0.241484	1.32246	0.0711722	0.387684	2.1771	0.324219	1.36997	0.0177467	0.0963927	2.54559	0.154684	1.81368	0.0557723	0.0480954	0.926056	1.34261	1.03592	0.249349	0.248637
1800	-185.857	0	-185.857	-0.20278	-0.0181772	0.263951	0.14766	-0.200946	1.95924	0.339649	1.30177	0.185446	0.0112453	2.16202	0.357826	1.03782	0.037786	0.212192	2.65052	0.145818	1.33073	0.107764	0.0325891	1.1035	1.05352	0.797237	0.203757	18.8693
1900	-252.566	0	-252.566	0.0965457	0.0655323	-0.152367	0.0727093	0.0148619	1.77308	0.354615	1.08083	0.160217	0.0643091	1.67653	0.289083	1.2332	0.0875081	0.0494471	2.51642	0.0763046	1.22646	0.0289014	0.0965441	0.945549	0.815202	1.14097	0.546184	0.768898
