Iteration	Posterior	Likelihood	Prior	mu[1]	mu[2]	mu[3]	mu[4]
0	-1559.77	0	-1559.77	0.216942	0.039477	0.048048	0.00302182
10	-1054.79	0	-1054.79	0.0836055	0.0178062	0.0363424	0.00601717
20	-1028.55	0	-1028.55	0.0779859	0.0218986	0.0232236	0.00782769
30	-996.087	0	-996.087	0.0749961	0.0185524	0.0259806	0.0231806
40	-992.595	0	-992.595	0.0866672	0.0131526	0.0442047	0.0261107
50	-979.878	0	-979.878	0.0916308	0.016975	0.0382846	0.033187
60	-958.664	0	-958.664	0.0664887	0.0281461	0.0438747	0.00496512
70	-935.214	0	-935.214	0.0806212	0.0340799	0.085382	0.0056469
80	-890.131	0	-890.131	0.112478	0.026842	0.0534858	0.00237741
90	-869.622	0	-869.622	0.0971697	0.0497844	0.0479259	0.00535212
100	-840.948	0	-840.948	0.0986585	0.0873315	0.0913091	0.00192143
110	-813.569	0	-813.569	0.104721	0.0513833	0.0845057	0.0065094
120	-811.371	0	-811.371	0.139158	0.0588443	0.130906	0.0106216
130	-768.964	0	-768.964	0.131868	0.100168	0.141716	0.00601668
140	-746.086	0	-746.086	0.144725	0.127297	0.252296	0.00763556
150	-726.582	0	-726.582	0.179203	0.0868577	0.183758	0.00425831
160	-717.255	0	-717.255	0.175057	0.0767652	0.188106	0.00752257
170	-712.533	0	-712.533	0.171759	0.112867	0.179265	0.00558073
180	-680.54	0	-680.54	0.248414	0.100877	0.168141	0.00242209
190	-642.085	0	-642.085	0.190501	0.0941642	0.192669	0.00183112
200	-617.594	0	-617.594	0.218294	0.108918	0.268436	0.000787474
210	-591.514	0	-591.514	0.255396	0.140633	0.351057	0.00137567
220	-572.947	0	-572.947	0.300454	0.188624	0.370663	0.00260348
230	-538.722	0	-538.722	0.303207	0.220538	0.449467	0.00575522
240	-491.565	0	-491.565	0.372898	0.409929	0.520704	0.00821629
250	-481.159	0	-481.159	0.282035	0.306395	0.414767	0.0333563
260	-497.181	0	-497.181	0.260574	0.305549	0.430542	0.0064389
270	-483.584	0	-483.584	0.265914	0.314851	0.443998	0.00618745
280	-454.773	0	-454.773	0.42709	0.378579	0.39168	0.00264455
290	-419.754	0	-419.754	0.476166	0.421795	0.671137	0.0194811
300	-407.594	0	-407.594	0.610768	0.418392	0.617667	0.0266703
310	-389.919	0	-389.919	0.442636	0.473042	0.945627	0.0466831
320	-379.621	0	-379.621	0.514067	0.524309	0.785352	0.0513793
330	-332.065	0	-332.065	0.41573	0.608118	0.846077	0.137772
340	-334.82	0	-334.82	0.652974	0.763312	1.02808	0.160679
350	-337.697	0	-337.697	0.646816	0.507359	0.788185	0.126587
360	-312.933	0	-312.933	0.569058	0.573492	0.700561	0.126238
370	-334.845	0	-334.845	0.688004	0.484044	0.735238	0.223023
380	-355.329	0	-355.329	0.674681	0.778401	0.639904	0.0946082
390	-361.661	0	-361.661	0.381288	0.580783	0.590067	0.189894
400	-373.185	0	-373.185	0.468831	0.538294	0.476115	0.196596
410	-393.373	0	-393.373	0.535302	0.505946	0.384759	0.228054
420	-384.835	0	-384.835	0.560203	0.330788	0.460595	0.0925679
430	-362.888	0	-362.888	0.707198	0.677571	0.623752	0.0959795
440	-363.599	0	-363.599	0.616224	0.594989	0.775581	0.0330709
450	-359.579	0	-359.579	0.542396	0.511597	0.581616	0.0746167
460	-359.027	0	-359.027	0.729262	0.46317	0.725997	0.0171734
470	-357.123	0	-357.123	0.69614	0.434178	0.762426	0.0265245
480	-332.206	0	-332.206	0.718693	0.467321	0.812805	0.0234686
490	-329.607	0	-329.607	0.4896	0.444669	0.676158	0.0055773
500	-326.938	0	-326.938	0.782648	0.622526	0.920112	0.0181088
510	-349.75	0	-349.75	0.459784	0.45287	0.596421	0.0187142
520	-354.056	0	-354.056	0.50508	0.605422	0.545543	0.0128209
530	-344.675	0	-344.675	0.559048	0.532738	0.61883	0.0376512
540	-353.656	0	-353.656	0.432487	0.41686	0.576659	0.0160018
550	-340.162	0	-340.162	0.477635	0.611067	0.689799	0.0267934
560	-324.276	0	-324.276	0.482372	0.636859	0.635656	0.0911425
570	-328.115	0	-328.115	0.567986	0.831189	0.706299	0.0245634
580	-329.262	0	-329.262	0.51672	0.639716	0.845101	0.0279012
590	-337.847	0	-337.847	0.6454	0.701008	0.603218	0.0317668
600	-344.596	0	-344.596	0.531673	0.545943	0.703928	0.0451025
610	-350.432	0	-350.432	0.561443	0.575345	0.937926	0.0230882
620	-358.007	0	-358.007	0.457213	0.488248	0.621664	0.209513
630	-343.313	0	-343.313	0.340773	0.656075	0.696938	0.231401
640	-354.7	0	-354.7	0.474186	0.483093	0.764077	0.184386
650	-359.825	0	-359.825	0.7377	0.494067	0.706001	0.222768
660	-367.021	0	-367.021	0.690296	0.37631	0.685808	0.229141
670	-357.548	0	-357.548	0.574981	0.524362	0.598682	0.0404529
680	-347.966	0	-347.966	0.503812	0.384656	0.429616	0.0337541
690	-366.532	0	-366.532	0.581709	0.565264	0.591085	0.0149942
700	-374.066	0	-374.066	0.494682	0.593935	0.534438	0.00901708
710	-367.71	0	-367.71	0.566808	0.621875	0.484639	0.00641877
720	-352.501	0	-352.501	0.644975	0.440261	0.733559	0.0145144
730	-344.889	0	-344.889	0.47976	0.715491	0.655103	0.00420194
740	-347.565	0	-347.565	0.403433	0.471032	0.636178	0.0050728
750	-346.084	0	-346.084	0.614212	0.574275	0.502127	0.0133354
760	-332.065	0	-332.065	0.494767	0.388417	0.676726	0.0049387
770	-354.576	0	-354.576	0.381236	0.449593	0.683135	0.00623866
780	-348.16	0	-348.16	0.481241	0.647566	1.06368	0.00890444
790	-330.755	0	-330.755	0.776742	0.724416	0.459923	0.0110199
800	-338.312	0	-338.312	0.55824	0.705922	0.637745	0.0194514
810	-362.102	0	-362.102	0.562811	0.442169	0.571564	0.0333389
820	-359.377	0	-359.377	0.671952	0.365231	0.469328	0.0266864
830	-364.678	0	-364.678	0.574207	0.52759	0.437106	0.0112668
840	-353.47	0	-353.47	0.395593	0.476703	0.486635	0.0376306
850	-352.288	0	-352.288	0.487866	0.428201	0.50885	0.180327
860	-327.824	0	-327.824	0.753004	0.71104	0.565975	0.118712
870	-340.598	0	-340.598	0.736351	0.513187	0.816257	0.238841
880	-332.241	0	-332.241	0.711183	0.504286	0.577271	0.202321
890	-329.099	0	-329.099	0.732926	0.596374	0.909305	0.295539
900	-334.953	0	-334.953	0.694301	0.463456	0.443685	0.120491
910	-344.52	0	-344.52	0.665379	0.440965	0.434624	0.0420874
920	-347.242	0	-347.242	0.514546	0.341852	0.613434	0.118336
930	-365.276	0	-365.276	0.591667	0.292312	0.693228	0.132896
940	-367.442	0	-367.442	0.557408	0.351197	0.609644	0.150663
950	-380.067	0	-380.067	0.552837	0.285748	0.788636	0.150428
960	-348.799	0	-348.799	0.505607	0.441703	0.62514	0.0626731
970	-359.568	0	-359.568	0.407986	0.584602	0.751538	0.053387
980	-351.621	0	-351.621	0.5313	0.418301	0.648932	0.103797
990	-334.918	0	-334.918	0.674437	0.356683	0.660779	0.0271699
1000	-342.628	0	-342.628	0.687935	0.429966	0.739299	0.0356875
