Iteration	Posterior	Likelihood	Prior	psi[1]	psi[2]	psi[3]	psi[4]
0	-1559.77	0	-1559.77	0.115035	0.0259857	0.112085	0.115758
10	-1054.79	0	-1054.79	0.0387439	0.0149932	0.0307236	0.0578899
20	-1028.55	0	-1028.55	0.0504354	0.0180537	0.033945	0.0214809
30	-996.087	0	-996.087	0.0561741	0.0264959	0.0301366	0.0139183
40	-992.595	0	-992.595	0.0470496	0.0203044	0.0381017	0.00643648
50	-979.878	0	-979.878	0.0408829	0.0167558	0.0473626	0.0145993
60	-958.664	0	-958.664	0.0554926	0.0308876	0.0614052	0.0166538
70	-935.214	0	-935.214	0.0607463	0.0261963	0.0700908	0.00479688
80	-890.131	0	-890.131	0.0749215	0.0366125	0.138851	0.00600304
90	-869.622	0	-869.622	0.0808754	0.0544211	0.142491	0.00650197
100	-840.948	0	-840.948	0.083221	0.0733965	0.129409	0.00736284
110	-813.569	0	-813.569	0.095527	0.0559995	0.181395	0.00805839
120	-811.371	0	-811.371	0.125435	0.0532379	0.154304	0.00728876
130	-768.964	0	-768.964	0.121062	0.0673401	0.176381	0.00567792
140	-746.086	0	-746.086	0.133002	0.0541827	0.135165	0.0103767
150	-726.582	0	-726.582	0.161606	0.0665168	0.216892	0.00609733
160	-717.255	0	-717.255	0.224122	0.070239	0.255497	0.00244088
170	-712.533	0	-712.533	0.232132	0.0589016	0.175915	0.00312034
180	-680.54	0	-680.54	0.247232	0.0589676	0.138553	0.00629289
190	-642.085	0	-642.085	0.310509	0.0812863	0.1978	0.0073137
200	-617.594	0	-617.594	0.324529	0.117595	0.204586	0.00394687
210	-591.514	0	-591.514	0.346046	0.110037	0.205481	0.00605411
220	-572.947	0	-572.947	0.348079	0.1045	0.254391	0.0394208
230	-538.722	0	-538.722	0.494351	0.148455	0.41467	0.0131504
240	-491.565	0	-491.565	0.516643	0.141416	0.577386	0.0261451
250	-481.159	0	-481.159	0.487776	0.210453	0.560854	0.00436868
260	-497.181	0	-497.181	0.337028	0.282777	0.359942	0.0235602
270	-483.584	0	-483.584	0.587735	0.242003	0.416502	0.0189419
280	-454.773	0	-454.773	0.492561	0.216371	0.440589	0.0109215
290	-419.754	0	-419.754	0.664831	0.213627	0.593033	0.00678967
300	-407.594	0	-407.594	0.665496	0.268446	0.584462	0.00317964
310	-389.919	0	-389.919	0.617713	0.479965	0.650725	0.00139333
320	-379.621	0	-379.621	0.684027	0.246937	0.620939	0.00268235
330	-332.065	0	-332.065	0.933582	0.472808	0.769668	0.00409249
340	-334.82	0	-334.82	0.867221	0.441137	1.23924	0.0012589
350	-337.697	0	-337.697	0.941364	0.480827	0.88156	0.0013837
360	-312.933	0	-312.933	1.00329	0.434026	0.814501	0.0014148
370	-334.845	0	-334.845	1.16606	0.396326	0.618487	0.000834887
380	-355.329	0	-355.329	0.956139	0.279586	0.75646	0.000568116
390	-361.661	0	-361.661	0.719685	0.380045	0.628285	0.000959381
400	-373.185	0	-373.185	0.56534	0.468018	0.801066	0.00618112
410	-393.373	0	-393.373	0.741953	0.39519	0.713495	0.00920203
420	-384.835	0	-384.835	1.0219	0.299216	0.579372	0.00599889
430	-362.888	0	-362.888	0.887327	0.333693	0.765134	0.00838168
440	-363.599	0	-363.599	0.635517	0.321989	0.67811	0.0179529
450	-359.579	0	-359.579	1.02387	0.417725	0.596378	0.0137839
460	-359.027	0	-359.027	0.967805	0.445404	0.717791	0.0261506
470	-357.123	0	-357.123	1.07217	0.468521	0.905337	0.040529
480	-332.206	0	-332.206	1.06127	0.348937	0.615316	0.0811022
490	-329.607	0	-329.607	1.26348	0.375642	0.904128	0.0336103
500	-326.938	0	-326.938	0.985156	0.278822	0.827022	0.0432459
510	-349.75	0	-349.75	0.905715	0.272503	0.59335	0.0220784
520	-354.056	0	-354.056	0.773958	0.415352	0.691354	0.0131266
530	-344.675	0	-344.675	0.851683	0.475588	0.557616	0.0141001
540	-353.656	0	-353.656	0.816276	0.549862	0.739445	0.0261459
550	-340.162	0	-340.162	1.01584	0.36606	0.649023	0.011337
560	-324.276	0	-324.276	1.02113	0.433643	0.630001	0.0195917
570	-328.115	0	-328.115	0.873814	0.40953	0.602932	0.00951486
580	-329.262	0	-329.262	0.968164	0.435981	0.809931	0.0139022
590	-337.847	0	-337.847	0.912636	0.359722	1.06994	0.0204484
600	-344.596	0	-344.596	1.08532	0.355966	1.01247	0.0083721
610	-350.432	0	-350.432	0.888207	0.354324	0.8176	0.0113663
620	-358.007	0	-358.007	0.706248	0.39212	1.1638	0.00407821
630	-343.313	0	-343.313	0.789934	0.517382	0.921115	0.00616669
640	-354.7	0	-354.7	1.02274	0.310971	0.865367	0.0115029
650	-359.825	0	-359.825	1.13018	0.367384	0.585969	0.010414
660	-367.021	0	-367.021	1.0725	0.455563	0.656462	0.0492373
670	-357.548	0	-357.548	0.958152	0.40621	0.49635	0.067065
680	-347.966	0	-347.966	0.882291	0.357768	0.57477	0.038545
690	-366.532	0	-366.532	0.963716	0.281579	0.531345	0.0480777
700	-374.066	0	-374.066	0.718019	0.447752	0.634699	0.103392
710	-367.71	0	-367.71	0.916906	0.321111	0.515148	0.0481838
720	-352.501	0	-352.501	0.713601	0.320502	0.591932	0.0356801
730	-344.889	0	-344.889	1.1169	0.313557	1.06557	0.125527
740	-347.565	0	-347.565	0.916402	0.340313	0.825904	0.0572891
750	-346.084	0	-346.084	0.91615	0.308472	1.08283	0.0621388
760	-332.065	0	-332.065	0.864208	0.414355	0.910007	0.049661
770	-354.576	0	-354.576	0.76579	0.248085	0.747085	0.0736014
780	-348.16	0	-348.16	1.15344	0.402241	0.832164	0.037456
790	-330.755	0	-330.755	1.10874	0.413209	0.807844	0.077657
