Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	lambda[4]
0	-2700.02	0	-2700.02	0.0224481	0.00218158	0.183637	0.0242643
10	-1233.5	0	-1233.5	0.011476	0.0130364	0.0410751	0.0990899
20	-1028.35	0	-1028.35	0.0174256	0.0182435	0.0489554	0.133042
30	-992.399	0	-992.399	0.0456441	0.029611	0.0516195	0.255855
40	-966.913	0	-966.913	0.0906947	0.0287372	0.040942	0.261565
50	-927.572	0	-927.572	0.106852	0.024922	0.0615645	0.168297
60	-895.821	0	-895.821	0.125281	0.0296221	0.0661297	0.256542
70	-860.78	0	-860.78	0.126014	0.0410913	0.124206	0.156665
80	-832.903	0	-832.903	0.124962	0.0610976	0.0680918	0.143425
90	-828.767	0	-828.767	0.101446	0.0790759	0.0696557	0.0824232
100	-801.948	0	-801.948	0.140361	0.070766	0.0670912	0.144871
110	-734.219	0	-734.219	0.203143	0.101146	0.163523	0.113046
120	-677.208	0	-677.208	0.132145	0.146502	0.155225	0.121484
130	-650.295	0	-650.295	0.226289	0.159027	0.164401	0.127753
140	-643.346	0	-643.346	0.231546	0.144021	0.189525	0.0472107
150	-594.859	0	-594.859	0.341995	0.131152	0.349379	0.0642363
160	-559.189	0	-559.189	0.387467	0.161	0.472713	0.0903482
170	-480.638	0	-480.638	0.30995	0.160803	0.346027	0.0614884
180	-435.343	0	-435.343	0.501329	0.146439	0.602426	0.0985866
190	-418.529	0	-418.529	0.595857	0.238017	0.818581	0.124256
200	-411.708	0	-411.708	0.430662	0.301427	0.509316	0.0387527
210	-401.751	0	-401.751	0.628498	0.420965	0.43983	0.0439109
220	-405.987	0	-405.987	0.399243	0.28756	0.668346	0.0795063
230	-377.628	0	-377.628	0.554445	0.374031	0.596178	0.110178
240	-365.3	0	-365.3	0.534725	0.330624	0.469308	0.142308
250	-369.502	0	-369.502	0.529233	0.370777	0.776625	0.243691
260	-357.305	0	-357.305	0.653532	0.588934	0.558765	0.234454
270	-372.924	0	-372.924	0.469841	0.495121	0.562132	0.26064
280	-348.295	0	-348.295	0.471907	0.690943	0.445462	0.187569
290	-344.178	0	-344.178	0.745205	0.680681	0.567357	0.181798
300	-364.533	0	-364.533	0.849458	0.577896	0.438402	0.340353
310	-342.025	0	-342.025	0.710477	0.474821	0.42067	0.234824
320	-363.205	0	-363.205	0.552096	0.547353	0.34801	0.269507
330	-320.041	0	-320.041	0.584331	0.577881	0.415469	0.249664
340	-319.232	0	-319.232	0.839895	0.489309	0.364609	0.233862
350	-337.672	0	-337.672	0.475521	0.475156	0.389394	0.299885
360	-349.52	0	-349.52	0.919734	0.670169	0.375323	0.388764
370	-329.769	0	-329.769	0.679873	0.428914	0.599616	0.258035
380	-310.995	0	-310.995	0.491555	0.79008	0.503278	0.253824
390	-330.806	0	-330.806	0.341409	0.511673	0.36987	0.286703
400	-322.03	0	-322.03	0.656732	0.753653	0.721502	0.152004
410	-310.236	0	-310.236	0.588189	0.582263	0.630994	0.208699
420	-336.496	0	-336.496	0.735315	0.413876	0.351491	0.273886
430	-332.67	0	-332.67	0.520233	0.604323	0.472454	0.165605
440	-343.341	0	-343.341	0.653577	0.599769	0.543491	0.324795
450	-345.518	0	-345.518	0.677969	0.557001	0.454423	0.162948
460	-319.049	0	-319.049	0.60142	0.454488	0.392177	0.200197
470	-339.64	0	-339.64	0.369128	0.625249	0.597352	0.133308
480	-342.805	0	-342.805	0.410681	0.405818	0.289421	0.547051
490	-351.254	0	-351.254	0.4881	0.440763	0.526013	0.356953
500	-370.018	0	-370.018	0.384654	0.347642	0.401665	0.451684
510	-344.174	0	-344.174	0.603667	0.4924	0.619017	0.396773
520	-370.221	0	-370.221	0.382049	0.502725	0.495239	0.316978
530	-358.096	0	-358.096	0.53606	0.553009	0.448274	0.393036
540	-339.06	0	-339.06	0.69582	0.566224	0.23722	0.28724
550	-372.952	0	-372.952	0.435429	0.497694	0.480444	0.22325
560	-328.55	0	-328.55	0.596381	0.543005	0.428344	0.249408
570	-346.404	0	-346.404	0.539897	0.608537	0.381447	0.188112
580	-357.308	0	-357.308	0.521938	0.376487	0.625713	0.333522
590	-334.373	0	-334.373	0.452387	0.529302	0.698024	0.167572
600	-347.418	0	-347.418	0.504004	0.575569	0.644877	0.15651
610	-337.267	0	-337.267	0.57991	0.561073	0.563496	0.178287
620	-352.66	0	-352.66	0.468023	0.464569	0.452557	0.219446
630	-361.475	0	-361.475	0.739722	0.399579	0.475247	0.124965
640	-357.994	0	-357.994	0.658289	0.534736	0.498465	0.140497
650	-331.576	0	-331.576	0.464687	0.539678	0.656443	0.196078
660	-309.104	0	-309.104	0.678302	0.54016	0.378164	0.218623
670	-318.582	0	-318.582	0.670541	0.558433	0.573273	0.321314
680	-343.101	0	-343.101	0.793965	0.510901	0.657074	0.287417
690	-346.001	0	-346.001	0.429234	0.450709	0.495076	0.236479
700	-347.866	0	-347.866	0.453913	0.72275	0.680504	0.0759449
