Iteration	Posterior	Likelihood	Prior	timeline[1]	timeline[2]	timeline[3]
0	-1814.69	0	-1814.69	34	79	135
10	-1156.71	0	-1156.71	34	79	135
20	-1044	0	-1044	34	79	135
30	-999.984	0	-999.984	34	79	135
40	-972.32	0	-972.32	34	79	135
50	-952.515	0	-952.515	34	79	135
60	-917.699	0	-917.699	34	79	135
70	-883.951	0	-883.951	34	79	135
80	-848.561	0	-848.561	34	79	135
90	-817.15	0	-817.15	34	79	135
100	-789	0	-789	34	79	135
110	-719.857	0	-719.857	34	79	135
120	-676.055	0	-676.055	34	79	135
130	-648.395	0	-648.395	34	79	135
140	-626.371	0	-626.371	34	79	135
150	-564.316	0	-564.316	34	79	135
160	-541.921	0	-541.921	34	79	135
170	-518.186	0	-518.186	34	79	135
180	-480.411	0	-480.411	34	79	135
190	-460.022	0	-460.022	34	79	135
200	-453.455	0	-453.455	34	79	135
210	-420.797	0	-420.797	34	79	135
