Iteration	Posterior	Likelihood	Prior	div[1]	div[2]	div[3]	div[4]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	mu[1]	mu[2]	mu[3]	mu[4]	psi[1]	psi[2]	psi[3]	psi[4]	turnover[1]	turnover[2]	turnover[3]	turnover[4]
0	-816.478	0	-816.478	-0.0396708	0.00131153	0.0025788	0.0275443	0.0415303	0.00362494	0.0481932	0.0783045	0.0812011	0.00231341	0.0456144	0.0507601	0.292448	0.0117557	0.034901	0.0025916	1.95522	0.638193	0.94649	0.64824
10	-518.075	0	-518.075	-0.04563	0.00368064	0.0144849	0.0883006	0.0140868	0.00777598	0.0426253	0.138331	0.0597168	0.00409534	0.0281404	0.0500306	0.0520921	0.0144458	0.0197873	0.00271429	4.2392	0.526665	0.66018	0.361673
20	-504.477	0	-504.477	-0.00850674	-0.000216269	0.0293278	0.0801987	0.0348628	0.0121473	0.0565288	0.200518	0.0433695	0.0123635	0.027201	0.120319	0.0153206	0.0105233	0.00823956	0.00582728	1.24401	1.0178	0.481188	0.600043
30	-482.289	0	-482.289	-0.0416611	0.000743163	0.0533404	0.019137	0.0398193	0.0101847	0.082876	0.155575	0.0814805	0.00944155	0.0295356	0.136438	0.0107586	0.00813045	0.00898415	0.004958	2.04625	0.927032	0.356383	0.876992
40	-457.95	0	-457.95	0.00080456	-0.00513302	0.0682934	0.0284762	0.0833817	0.00767646	0.103444	0.0995658	0.0825771	0.0128095	0.0351509	0.0710896	0.00451474	0.00403722	0.011738	0.00895738	0.990351	1.66867	0.339805	0.713996
50	-468.908	0	-468.908	-0.0431616	-0.00209232	0.064219	0.0249206	0.0536196	0.0244914	0.0961394	0.116962	0.0967812	0.0265837	0.0319204	0.0920414	0.00584094	0.00481863	0.00619545	0.00228991	1.80496	1.08543	0.332022	0.786934
60	-455.313	0	-455.313	-0.00257844	0.00292976	0.0656103	0.00450783	0.104866	0.0248978	0.0795922	0.128557	0.107445	0.021968	0.0139818	0.124049	0.00351164	0.00213699	0.0106465	0.00208461	1.02459	0.882329	0.175669	0.964935
70	-457.896	0	-457.896	-0.0405934	0.0143908	0.0861889	-0.00210327	0.0726869	0.0406646	0.0986605	0.137302	0.11328	0.0262738	0.0124716	0.139405	0.00382953	0.00357774	0.010515	0.0032308	1.55847	0.64611	0.126409	1.01532
80	-460.447	0	-460.447	-0.0439299	0.00526629	0.0677963	-0.00817914	0.0576998	0.0302685	0.0888139	0.132899	0.10163	0.0250022	0.0210176	0.141078	0.00383231	0.00199936	0.00682589	0.00733667	1.76135	0.826014	0.236648	1.06154
90	-456.654	0	-456.654	-0.0424849	0.0116858	0.0830136	0.057193	0.0727103	0.0328458	0.102315	0.191263	0.115195	0.02116	0.0193015	0.13407	0.0045933	0.00236554	0.0103701	0.021996	1.5843	0.644221	0.188648	0.700971
