Iteration	Posterior	Likelihood	Prior	timeline[1]	timeline[2]	timeline[3]
0	-816.478	0	-816.478	34	79	135
10	-518.075	0	-518.075	34	79	135
20	-504.477	0	-504.477	34	79	135
30	-482.289	0	-482.289	34	79	135
40	-457.95	0	-457.95	34	79	135
50	-468.908	0	-468.908	34	79	135
60	-455.313	0	-455.313	34	79	135
70	-457.896	0	-457.896	34	79	135
80	-460.447	0	-460.447	34	79	135
90	-456.654	0	-456.654	34	79	135
100	-442.413	0	-442.413	34	79	135
110	-443.412	0	-443.412	34	79	135
120	-473.081	0	-473.081	34	79	135
130	-445.609	0	-445.609	34	79	135
140	-449.07	0	-449.07	34	79	135
150	-445.891	0	-445.891	34	79	135
160	-447.316	0	-447.316	34	79	135
170	-447.045	0	-447.045	34	79	135
180	-444.499	0	-444.499	34	79	135
190	-431.664	0	-431.664	34	79	135
200	-424.145	0	-424.145	34	79	135
210	-438.077	0	-438.077	34	79	135
220	-439.342	0	-439.342	34	79	135
230	-425.326	0	-425.326	34	79	135
240	-422.206	0	-422.206	34	79	135
250	-411.477	0	-411.477	34	79	135
