Iteration	Posterior	Likelihood	Prior	age_affinis	age_centrantoides	age_flynni	age_ingroup	age_littoralis	age_littoralis_flynni	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	kappa[1]	kappa[2]	kappa[3]	kappa[4]	kappa[5]	kappa[6]	kappa[7]	kappa[8]	kappa[9]	kappa[10]	ln_mean	m_w[1][1][1]	m_w[1][1][2]	m_w[1][1][3]	m_w[1][1][4]	m_w[1][1][5]	m_w[1][1][6]	m_w[1][1][7]	m_w[2][1][1]	m_w[2][1][2]	m_w[2][1][3]	m_w[2][1][4]	m_w[2][1][5]	m_w[2][1][6]	m_w[2][1][7]	m_w[3][1][1]	m_w[3][1][2]	m_w[3][1][3]	m_w[3][1][4]	m_w[3][1][5]	m_w[3][1][6]	m_w[3][1][7]	m_w[4][1][1]	m_w[4][1][2]	m_w[4][1][3]	m_w[4][1][4]	m_w[4][1][5]	m_w[4][1][6]	m_w[4][1][7]	m_w[5][1][1]	m_w[5][1][2]	m_w[5][1][3]	m_w[5][1][4]	m_w[5][1][5]	m_w[5][1][6]	m_w[5][1][7]	m_w[6][1][1]	m_w[6][1][2]	m_w[6][1][3]	m_w[6][1][4]	m_w[6][1][5]	m_w[6][1][6]	m_w[6][1][7]	m_w[7][1][1]	m_w[7][1][2]	m_w[7][1][3]	m_w[7][1][4]	m_w[7][1][5]	m_w[7][1][6]	m_w[7][1][7]	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_branch[41]	mu_mol_branch[42]	mu_mol_branch[43]	mu_mol_branch[44]	mu_mol_branch[45]	mu_mol_branch[46]	mu_mol_branch[47]	mu_mol_branch[48]	mu_mol_branch[49]	mu_mol_branch[50]	mu_mol_locus_rel[1]	mu_mol_locus_rel[2]	mu_mol_locus_rel[3]	mu_mol_locus_rel[4]	mu_mol_locus_rel[5]	mu_mol_locus_rel[6]	mu_mol_locus_rel[7]	mu_mol_locus_rel[8]	mu_mol_locus_rel[9]	mu_mol_locus_rel[10]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	rho_b	rho_d	rho_e	rho_w	root_age	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	use_phi_b[1]	use_phi_b[2]	use_phi_d[1]	use_phi_d[2]	use_phi_e[1]	use_phi_e[2]	use_phi_w[1]	use_phi_w[2]	use_sigma_b[1]	use_sigma_b[2]	use_sigma_d[1]	use_sigma_d[2]	use_sigma_e[1]	use_sigma_e[2]	use_sigma_w[1]	use_sigma_w[2]
0	-54344.06	-54325.84	-18.22594	2.178205	3.245424	1.505607	4.245937	1.674535	1.729195	6.76258	11.9309	1.96917	13.4438	0.486226	9.22568	0.075333	3.42043	7.0397	8.79836	0.926553	0.5215	0.83075	1.33152	1.25761	0.568982	0.327215	0.650238	0.985038	0.654814	-4.823339	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0.009553799	0.0062749	0.0111124	0.00748202	0.00910866	0.00266686	0.0161618	0.00370006	0.0137895	0.0120355	0.00304257	0.00432334	0.0126587	0.011841	0.00802509	0.0033694	0.00826652	0.00550063	0.00657537	0.00825895	0.00646806	0.0055598	0.00673342	0.00232552	0.00614707	0.0325311	0.00797911	0.0107579	0.0044385	0.0181675	0.0121169	0.00872724	0.00473284	0.00503933	0.00603756	0.00615933	0.0055325	0.00681553	0.0193009	0.00364785	0.00445005	0.00667477	0.0233816	0.0108061	0.00691035	0.0174578	0.00379296	0.00465129	0.0084752	0.00704767	0.00575582	1	0.548064	1.74824	1.50938	0.318123	1.43709	0.923372	0.372111	0.835872	2.83202	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	5	0	0	0	0	0	0	0	0	0.1	0.1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	-45041.65	-45072.12	30.4645	2.944613	3.153814	1.967136	4.596816	1.825385	2.043624	3.88208	14.1605	1.96917	15.1142	0.468005	9.01464	0.132554	1.7403	9.29114	3.52412	1.73986	0.981003	1.1312	1.33152	3.04058	0.7219	0.676483	1.12613	1.29134	0.844857	-5.932289	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0.003151848	0.00158956	0.00414196	0.00192991	0.00265196	0.00106798	0.00647218	0.0015619	0.00444609	0.00481977	0.00104468	0.00135377	0.00352484	0.00474186	0.00248695	0.00167981	0.00331043	0.0022028	0.00263319	0.00268659	0.00259022	0.00145717	0.00269648	0.00102055	0.00475806	0.0130275	0.00319533	0.0032176	0.00177745	0.00580976	0.00226113	0.00249985	0.00196395	0.00201806	0.00196479	0.00247991	0.00203391	0.00248813	0.00434939	0.00425653	0.000538577	0.0014121	0.0114544	0.0011815	0.00300009	0.00699119	0.00169606	0.00183248	0.003394	0.00362251	0.00336821	1	0.406705	1.74824	1.50938	0.318123	1.43709	0.809647	0.556577	0.835872	2.34335	3.23279	2.81258	0	0	0	-2.24943	0	0	0.08289702	0.06764509	0.156571	0.192628	4.905287	0.475163	-2.54631	0	0	-3.26374	0.701408	0	0	0.192628	0.082897	0.275525	1	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0
2	-41525.64	-41567.49	41.84955	3.071815	3.573086	2.086864	5.000197	1.936485	2.168007	1.97865	8.78212	1.25504	10.6942	0.404418	9.00546	0.0980763	1.56118	9.04657	2.51523	2.7683	1.34468	1.1312	2.13501	3.04058	1.26755	0.790052	1.53051	1.17325	0.844857	-5.910294	1.24755	1.24672	1.24599	1.24596	1.24577	1.24544	1.24597	1.24755	1.24672	1.24593	1.24569	1.24537	0	1.24597	1.24755	1.24672	1.24593	1.24593	0	0	1.24597	1.24691	1.24628	1.24572	0	0	0	1.24597	1.24661	1.24597	0	0	0	0	1.24597	1.24597	1.24608	0	0	0	0	1.24597	1.24608	0	0	0	0	0	1.24597	0.003221941	0.00149836	0.00515309	0.00181919	0.00249981	0.00100671	0.00610086	0.00147229	0.00419101	0.00295866	0.00214935	0.000891494	0.00151352	0.00203609	0.00146212	0.00187893	0.00312051	0.00207642	0.00359745	0.00333029	0.00321083	0.00152176	0.0026975	0.000961999	0.00577387	0.0107333	0.00396528	0.003033	0.00205399	0.00532871	0.00203821	0.00186183	0.00293085	0.0018755	0.00176026	0.00312325	0.0017072	0.00253623	0.00484391	0.00388153	0.000507678	0.00140756	0.0115618	0.00111372	0.00282797	0.0051072	0.00272648	0.00153537	0.00356782	0.0032548	0.00202812	1	0.406705	1.64676	1.12258	0.677483	1.43859	0.68452	0.849682	1.16883	2.34335	3.90536	1.64109	-3.0187	0	0	0	0	-0.503065	0.09665267	0.05362051	0.09954411	0.2766546	5.206575	1.97442	-3.45929	0	0	0	0	0	0	0.276655	0.0966527	0.3733073	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0
3	-40588.63	-40607.28	18.65687	2.745559	2.934937	1.865219	4.469129	1.662034	1.937744	1.97865	7.07968	1.25504	8.19189	0.404418	7.67883	0.0980763	1.56118	10.3932	1.53987	2.47734	2.21484	1.09319	2.33935	3.04058	1.26755	1.07674	2.26795	1.50275	1.80882	-5.333468	1	1	1	1	1	0.0993301	1	1	1	1	0.0993301	0.0993301	0	1	1	1	0.0993301	0.0993301	0	0	1	1	1	0.0993301	0	0	0	1	1	0.0993301	0	0	0	0	1	1	0.0993301	0	0	0	0	1	0.0993301	0	0	0	0	0	1	0.005736275	0.00482705	0.00834158	0.00298075	0.00282668	0.00201317	0.00999629	0.00241235	0.00686698	0.00484777	0.00352171	0.00180538	0.00247991	0.00333614	0.0023957	0.00323194	0.00448677	0.00340222	0.00589444	0.0054567	0.00325033	0.00320227	0.00441987	0.00157624	0.0094605	0.0123426	0.00781015	0.00496959	0.00336548	0.00873112	0.00414942	0.00223517	0.00381856	0.00307877	0.00328549	0.00292276	0.00200768	0.00246249	0.009943	0.00417893	0.000672027	0.00293176	0.0189441	0.00182483	0.00460835	0.0104829	0.00293731	0.0025157	0.00418545	0.00542082	0.0035522	1	0.406705	1.9715	1.12258	0.573415	1.43859	0.68452	0.849682	0.845426	0.620363	3.16726	0	-1.03495	0	0	0	0	0	0.06740674	0.05230919	0.03941151	0.2820936	4.626759	0	-3.69989	0	0.913051	-3.96218	0	0	-2.30931	0.282094	0.0674067	0.3495003	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1
4	-39938.42	-39950.36	11.93593	2.867883	3.065698	1.986346	4.38989	1.729071	2.024077	1.97865	6.17145	0.699409	7.90852	0.274818	4.92276	0.265264	0.737169	10.3932	1.53987	3.56829	2.95666	1.45536	2.33935	3.15553	1.25447	1.23519	2.46016	1.53359	2.34989	-5.515149	1	1	1	1	1	1.24484	1	1	1	1	1.24484	1.24484	0	1	1	1	1.24484	1.24484	0	0	1	1	1	1.24484	0	0	0	1	1	1.24484	0	0	0	0	1	1	1.24484	0	0	0	0	1	1.24484	0	0	0	0	0	1	0.004783291	0.00663717	0.00861786	0.00307947	0.0031357	0.00157293	0.0103274	0.00239575	0.00273497	0.00486699	0.00259376	0.00215047	0.00256204	0.00389804	0.00244072	0.00343052	0.00468499	0.00351491	0.00613947	0.00599698	0.00335798	0.00330833	0.00456626	0.00162845	0.00977383	0.00886624	0.00806883	0.00513418	0.00521342	0.0140614	0.00428685	0.0023092	0.00382549	0.00318074	0.00487032	0.0033775	0.00225101	0.00265881	0.00609189	0.00480431	0.00101319	0.0025801	0.0209294	0.00184045	0.00486808	0.00932879	0.00197605	0.00467121	0.00160714	0.00560036	0.00366985	1	0.406705	1.79419	0.900541	0.409307	1.36483	0.4755	1.9191	0.792331	0.640274	3.10833	0	-0.412368	0	-3.24327	-3.76881	0	0	0.06740674	0.05648033	0.04034896	0.2606237	4.832896	0	-3.08709	-0.484642	1.17433	-1.91885	0	0	0.219009	0.260624	0.0674067	0.3280304	1	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1
5	-39711.82	-39711.41	-0.4082331	2.616258	2.796717	1.812066	4.004726	1.577365	1.846487	1.97865	4.73885	0.526735	9.27006	0.274818	5.91629	0.414899	0.405871	8.24741	1.53987	4.00829	4.02984	2.57671	2.33935	3.31488	1.4672	1.74418	2.46016	1.60332	2.34989	-5.404947	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0.005340561	0.00894439	0.0101263	0.00315899	0.00437343	0.00175618	0.0164333	0.0029477	0.00403349	0.00543402	0.00245113	0.00203222	0.00271907	0.00399052	0.00247825	0.00383018	0.00523152	0.0039244	0.00685474	0.00669565	0.0037492	0.00332184	0.00458491	0.00187166	0.0112336	0.00919071	0.00882445	0.00347655	0.00606756	0.0156996	0.0101785	0.00257823	0.00442234	0.00355131	0.0107835	0.00101549	0.00405547	0.00307822	0.00592157	0.0034873	0.00541569	0.00215605	0.0172753	0.00205487	0.00543677	0.010358	0.00296003	0.00521542	0.00116015	0.00494828	0.0042108	1	0.497861	1.79419	0.610612	0.416922	0.634469	0.410678	2.35397	0.792331	0.640274	3.12154	1.31733	-0.708957	0	-3.98853	-3.76881	0	0	0.0822242	0.06442067	0.04671622	0.2352638	4.206584	1.69449	-3.00617	0	0.830439	-1.4301	0	0	0	0.235264	0.0822242	0.317488	1	1	1	0	1	1	0	0	1	1	0	1	1	0	0	0
6	-39365.96	-39375.31	9.350893	3.257152	3.505647	2.255961	5.616445	2.117321	2.298814	1.97833	8.88347	0.170921	9.27006	0.259799	11.1663	0.465114	0.307368	9.92489	1.53987	4.00829	3.58958	2.49127	2.33935	2.57381	1.4672	2.59872	2.46016	1.52385	3.71181	-5.567976	1	1	1	1	1	2.37996	1	1	1	1	2.37996	2.37996	0	1	1	1	2.37996	2.37996	0	0	1	1	1	2.37996	0	0	0	1	1	2.37996	0	0	0	0	1	1	2.37996	0	0	0	0	1	2.37996	0	0	0	0	0	1	0.004537161	0.00641478	0.00600287	0.00268377	0.00371552	0.00141471	0.013238	0.00234538	0.0032093	0.00414917	0.00178705	0.0017265	0.00231003	0.00339022	0.00198106	0.00464403	0.00462176	0.00333404	0.009432	0.00418292	0.00234221	0.0033045	0.00273764	0.00174425	0.00954368	0.0085647	0.00749696	0.00584561	0.00489849	0.0149449	0.0059732	0.00327291	0.00384219	0.00275151	0.00384139	0.00190987	0.00361777	0.00254197	0.00443946	0.00341507	0.00635608	0.00183171	0.00153755	0.00489643	0.00502649	0.00393905	0.00259616	0.00443084	0.00116954	0.00589377	0.00354882	1	0.497861	1.18887	0.61677	0.403726	0.634469	0.334523	2.51995	0.504494	0.609261	0	0	-0.79081	0	-2.68874	-2.55196	0	0	0.05885052	0.04045001	0.07335607	0.1581279	5.873476	0	0	-2.04966	0.512154	0	-3.16852	0	0.867083	0.158128	0.0588505	0.2169784	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	1
7	-39181.5	-39200.71	19.20555	3.95119	4.560313	2.719454	6.813203	2.568481	2.788647	1.84162	12.068	0.166266	7.32649	0.171412	7.49784	0.893126	0.116257	8.40044	0.858435	2.95158	3.17723	2.49127	2.13726	3.03379	1.08434	2.85641	2.46016	1.6798	3.71181	-5.808718	1	1	1	1	1	5.30845	1	1	1	1	5.30845	5.30845	0	1	1	1	5.30845	5.30845	0	0	1	1	1	5.30845	0	0	0	1	1	5.30845	0	0	0	0	1	1	5.30845	0	0	0	0	1	5.30845	0	0	0	0	0	1	0.003566409	0.00547136	0.00512004	0.00224003	0.0030682	0.00116824	0.0109317	0.00193677	0.00265018	0.00283505	0.00161478	0.00158383	0.00221259	0.0027392	0.00163592	0.00363747	0.00387802	0.00275319	0.00778876	0.00345418	0.00229836	0.00272879	0.00226069	0.00144037	0.00788098	0.00707256	0.00619084	0.00482719	0.00579942	0.0123412	0.00288718	0.00212032	0.00419222	0.00225374	0.00330059	0.00247629	0.00334535	0.00137612	0.00347947	0.00227119	0.00536942	0.00151847	0.00140802	0.00404338	0.00430162	0.00230894	0.00272006	0.00446699	0.000965786	0.00446069	0.00293055	1	0.458337	1.18887	0.61677	0.403726	0.447476	0.334523	2.51995	0.504494	0.609261	2.14147	0	-0.932089	0	-2.16822	-2.95708	0	0	0.02311877	0.03434732	0.06048458	0.118714	7.503814	0	-2.70625	-1.05992	0.822472	0	-0.0568536	0	1.6693	0.118714	0.0231188	0.1418328	1	0	1	0	1	1	0	0	0	1	1	1	0	1	0	1
8	-39121.72	-39127.74	6.021158	3.741823	4.319507	2.651209	6.642226	2.331926	2.691619	1.84162	3.65405	0.201702	10.1573	0.186702	6.22924	0.893126	0.116257	8.40044	0.965878	2.95158	3.0901	2.48662	2.71857	2.5315	1.69137	2.98632	2.46016	1.65649	3.71181	-5.580468	1	1	1	1	1	6.92302	1	1	1	1	6.92302	6.92302	0	1	1	1	6.92302	6.92302	0	0	1	1	1	6.92302	0	0	0	1	1	6.92302	0	0	0	0	1	1	6.92302	0	0	0	0	1	6.92302	0	0	0	0	0	1	0.004480836	0.00609419	0.00411486	0.00171228	0.00265317	0.00130122	0.0121761	0.00208382	0.00184723	0.00315777	0.00213971	0.00176413	0.00174058	0.00285486	0.0017044	0.00405154	0.00431947	0.00343252	0.00867539	0.00384738	0.00255999	0.00321073	0.00234604	0.00160433	0.00877811	0.0050013	0.00775303	0.00210576	0.0107022	0.0119252	0.00268198	0.00229905	0.00441135	0.0025103	0.00139836	0.00794239	0.00508382	0.00153277	0.00387556	0.00363475	0.00598065	0.00247809	0.00117449	0.00450365	0.00479129	0.00257178	0.0033202	0.00516162	0.00107573	0.00156757	0.00388065	1	0.458337	1.14294	0.61677	0.416862	0.297384	0.334523	2.60386	0.504494	0.540612	1.60313	1.88154	-0.597703	0	-2.18221	-2.64265	0	0	0.01255909	0.03901839	0.1215728	0.09090338	6.680704	1.0063	-3.93244	-0.996711	0.98387	0	-0.852461	0	1.93485	0.0909034	0.0125591	0.1034625	1	1	1	0	1	1	0	0	1	1	1	1	0	1	0	1
9	-39016.96	-39027.54	10.58304	3.414161	4.283491	2.616026	6.642226	2.400873	2.691619	1.21852	3.34749	0.151775	9.1713	0.220278	2.57853	1.63218	0.116257	13.3587	0.965878	2.95158	3.0901	2.48662	2.71857	2.43819	1.67129	2.54436	2.3948	1.38066	3.36615	-5.627679	1.15851	1.158	1.15754	1.15753	1.15741	6.11468	1.15754	1.15851	1.158	1.15751	6.11552	6.11445	0	1.15754	1.15851	1.158	6.11629	6.11629	0	0	1.15754	1.15812	1.15772	6.1156	0	0	0	1.15754	1.15793	6.11643	0	0	0	0	1.15754	1.15754	6.1168	0	0	0	0	1.15754	6.1168	0	0	0	0	0	1.15754	0.004274209	0.0073948	0.00354561	0.00170589	0.00264328	0.00129637	0.0121307	0.00208765	0.00177483	0.00315734	0.00213173	0.00175755	0.00173409	0.00284421	0.00169804	0.00404992	0.00325931	0.00175169	0.00442723	0.00383303	0.00255044	0.00319876	0.00233729	0.00185514	0.00874537	0.00694356	0.00846541	0.00328887	0.0143612	0.0106748	0.00279867	0.00291332	0.00652055	0.00300232	0.00221523	0.00586396	0.00467343	0.00116233	0.00361567	0.00308172	0.00595834	0.00211247	0.00214026	0.00431586	0.00477342	0.00356196	0.00235309	0.00670301	0.00107171	0.00156173	0.00386618	1	0.458337	0.96717	0.61677	0.416862	0.297384	0.312221	2.60386	0.504494	0.501977	0	0	-0.219694	-0.618204	-2.29158	-2.41107	0	-0.334652	0.01363183	0.03715225	0.1086677	0.09308436	6.863559	3.26477	0	-1.58499	0.812597	0	-2.71586	0	1.66468	0.0930844	0.0136318	0.1067162	0	0	1	1	1	1	0	1	1	0	1	1	0	1	0	1
