Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	m_b_simplex[1]	m_d_simplex[1]	m_d_simplex[2]	m_e[1]	m_e[2]	m_e_simplex[1]	m_e_simplex[2]	m_w[1]	m_w[2]	m_w_simplex[1]	m_w_simplex[2]	mu[1]	mu[2]	mu[3]	r_e[1]	r_e[2]	r_w[1]	r_w[2]	rho_b	rho_d	rho_e	rho_w
0	-124.489996539	-122.340092515	-2.1499040232	0.205865	0.347137	2.39828	1	0.0458919	0.954108	1.62036	0.379639	0.81018	0.18982	0.744536	1.25546	0.372268	0.627732	0.448506	0.105082	0	0.448506	0.105082	0.205865	0.347137	0.922639561912	0.673969278783	0.27679395816	0.276501224348
10	-123.37481745	-121.593709792	-1.78110765755	0.229972	0.598848	1.41476	1	0.120713	0.879287	1.19313	0.806872	0.596564	0.403436	0.554939	1.44506	0.277469	0.722531	0.446952	0.302259	0	0.446952	0.302259	0.229972	0.598848	0.292967958957	0.699124340111	0.374605464386	0.4144098941
20	-124.422022956	-122.253424473	-2.16859848327	0.166067	0.654388	1.12741	1	0.0271785	0.972821	0.946953	1.05305	0.473477	0.526523	0.404816	1.59518	0.202408	0.797592	0.615834	0.68483	0	0.615834	0.68483	0.166067	0.654388	0.153477548825	0.954561041982	0.650332470929	0.410227421539
30	-124.820769268	-123.090981499	-1.72978776911	0.31265	0.458131	1.29769	1	0.10623	0.89377	1.6612	0.3388	0.8306	0.1694	0.811254	1.18875	0.405627	0.594373	0.351514	0.0716909	0	0.351514	0.0716909	0.31265	0.458131	0.263452544895	0.869342503558	0.211602292695	0.385390427966
40	-121.307351388	-120.308204977	-0.999146410273	0.0268598	0.456865	1.13536	1	0.0914551	0.908545	0.257318	1.74268	0.128659	0.871341	0.111054	1.88895	0.0555269	0.944473	0.0333206	0.225663	0	0.0333206	0.225663	0.0268598	0.456865	0.325817838594	0.301974234526	0.129491712514	0.241862624639
50	-122.935307787	-121.947642999	-0.987664787851	0.20727	0.357297	0.681966	1	0.116663	0.883337	0.366655	1.63335	0.183327	0.816673	0.734263	1.26574	0.367131	0.632869	0.0824066	0.367099	0	0.0824066	0.367099	0.20727	0.357297	0.0586997204779	0.421928872975	0.224752759759	0.282283434639
60	-122.038168878	-121.067704958	-0.970463920154	0.375893	0.15869	1.1751	1	0.382975	0.617025	1.88531	0.114691	0.942655	0.0573455	1.4063	0.593697	0.703151	0.296849	0.169471	0.0103096	0	0.169471	0.0103096	0.375893	0.15869	0.320258772764	0.293023523784	0.0898901855649	0.26729143804
70	-123.976110576	-122.91815238	-1.05795819597	0.49304	0.184383	1.05807	1	0.293813	0.706187	1.8857	0.114304	0.942848	0.0571521	1.45563	0.544366	0.727817	0.272183	0.0583494	0.00353694	0	0.0583494	0.00353694	0.49304	0.184383	0.190325486503	0.497977991571	0.030943192356	0.338711525538
80	-122.811698515	-121.848068855	-0.963629660696	0.0796708	0.441973	0.599113	1	0.147993	0.852007	0.39302	1.60698	0.19651	0.80349	0.30546	1.69454	0.15273	0.84727	0.0597514	0.244312	0	0.0597514	0.244312	0.0796708	0.441973	0.0387346676102	0.512041646963	0.152031490572	0.26082185555
90	-124.834506979	-123.088266937	-1.74624004207	0.120014	0.497189	0.851064	1	0.0184775	0.981523	0.674517	1.32548	0.337258	0.662742	0.388897	1.6111	0.194448	0.805552	0.288631	0.567185	0	0.288631	0.567185	0.120014	0.497189	0.116930322347	0.892799587953	0.427908296634	0.308601835137
100	-122.401573105	-120.949576338	-1.45199676732	0.153794	0.822346	1.08434	1	0.0926243	0.907376	0.916719	1.08328	0.45836	0.54164	0.315107	1.68489	0.157554	0.842446	0.393988	0.465573	0	0.393988	0.465573	0.153794	0.822346	0.0540980265528	0.480048083975	0.429780395117	0.488070261677
110	-124.135326093	-122.348084659	-1.78724143406	0.240886	0.650231	2.30259	1	0.354943	0.645057	0.465724	1.53428	0.232862	0.767138	0.540639	1.45936	0.270319	0.729681	0.112127	0.369391	0	0.112127	0.369391	0.240886	0.650231	0.705737161198	0.395186754921	0.240758943879	0.445558574061
120	-125.862948055	-124.79876178	-1.0641862748	0.236101	0.245729	0.754712	1	0.474354	0.525646	0.588453	1.41155	0.294227	0.705773	0.980016	1.01998	0.490008	0.509992	0.039501	0.0947526	0	0.039501	0.0947526	0.236101	0.245729	0.136441237003	0.619703412079	0.0671267814099	0.240914844311
130	-121.203291574	-120.39191934	-0.811372234166	0.39555	0.0816159	1.09727	1	0.552409	0.447591	1.82398	0.17602	0.91199	0.0880101	1.65791	0.342086	0.828957	0.171043	0.0128365	0.00123876	0	0.0128365	0.00123876	0.39555	0.0816159	0.310053767758	0.25569768187	0.00703763268834	0.23858315185
140	-121.642403974	-120.535087715	-1.10731625846	0.243182	0.349927	1.31178	1	0.282701	0.717299	1.77986	0.220139	0.889931	0.110069	0.820024	1.17998	0.410012	0.589988	0.0322892	0.00399363	0	0.0322892	0.00399363	0.243182	0.349927	0.359336138114	0.433284350541	0.018141430204	0.296554339604
150	-122.321977522	-121.61262232	-0.709355202291	0.207489	0.333955	1.01045	1	0.336224	0.663776	0.860021	1.13998	0.430011	0.569989	0.766427	1.23357	0.383214	0.616786	0.00892478	0.01183	0	0.00892478	0.01183	0.207489	0.333955	0.234503153546	0.193752792099	0.0103773880156	0.270721868631
160	-122.471896663	-121.740588125	-0.731308538057	0.403481	0.174958	0.936429	1	0.806202	0.193798	1.57343	0.426567	0.786717	0.213283	1.39507	0.604933	0.697534	0.302466	0.0494891	0.0134168	0	0.0494891	0.0134168	0.403481	0.174958	0.178994844823	0.2316409712	0.0314529707876	0.289219751246
170	-122.949746555	-122.085540642	-0.864205913333	0.274251	0.249475	1.28589	1	0.68749	0.31251	0.909384	1.09062	0.454692	0.545308	1.04731	0.952694	0.523653	0.476347	0.0361982	0.0434121	0	0.0361982	0.0434121	0.274251	0.249475	0.381080012609	0.181457743455	0.0398051331628	0.261863024106
180	-122.75685599	-121.71544903	-1.04140695933	0.385494	0.321506	1.5484	1	0.642054	0.357946	0.128827	1.87117	0.0644136	0.935586	1.09051	0.909493	0.545253	0.454747	0.00349125	0.0507093	0	0.00349125	0.0507093	0.385494	0.321506	0.420700384604	0.240106689804	0.027100269744	0.353499615174
190	-122.878513719	-122.102389551	-0.776124167881	0.447284	0.165584	0.968923	1	0.338577	0.661423	0.457327	1.54267	0.228664	0.771336	1.45964	0.540357	0.729821	0.270179	0.0357622	0.120634	0	0.0357622	0.120634	0.447284	0.165584	0.178027252261	0.213464487687	0.0781983091544	0.306434118779
200	-123.973139349	-123.313266711	-0.659872638727	0.203508	0.179043	0.81809	1	0.628229	0.371771	0.468672	1.53133	0.234336	0.765664	1.06395	0.936046	0.531977	0.468023	0.0378156	0.123558	0	0.0378156	0.123558	0.203508	0.179043	0.21776958016	0.170140803562	0.0806866477142	0.191275607291
210	-122.886482948	-122.151876248	-0.734606700284	0.371397	0.255122	1.07423	1	0.789027	0.210973	1.44141	0.558588	0.720706	0.279294	1.18559	0.814411	0.592795	0.407205	0.0821913	0.0318515	0	0.0821913	0.0318515	0.371397	0.255122	0.223857234127	0.140468375274	0.0570214086862	0.313259682197
220	-122.06455334	-121.110216301	-0.954337038349	0.339723	0.120904	0.913158	1	0.430526	0.569474	0.663558	1.33644	0.331779	0.668221	1.47505	0.524953	0.737524	0.262476	0.0527851	0.106312	0	0.0527851	0.106312	0.339723	0.120904	0.226265548271	0.418209381287	0.0795485976945	0.230313511096
230	-122.073156467	-121.269541945	-0.803614522426	0.19782	0.19761	0.999567	1	0.43126	0.56874	0.643607	1.35639	0.321804	0.678196	1.00053	0.999467	0.500267	0.499733	0.0338707	0.071382	0	0.0338707	0.071382	0.19782	0.19761	0.302068550356	0.251204679048	0.0526263638119	0.19771492921
240	-122.861902605	-122.13769508	-0.724207524431	0.469005	0.0964479	0.914433	1	0.927616	0.0723842	1.66672	0.33328	0.83336	0.16664	1.65887	0.341135	0.829433	0.170567	0.0707399	0.0141453	0	0.0707399	0.0141453	0.469005	0.0964479	0.17448988901	0.22454842685	0.0424425881838	0.282726620387
250	-122.059172991	-121.083702747	-0.975470243587	0.337361	0.420865	1.04038	1	0.231056	0.768944	0.708422	1.29158	0.354211	0.645789	0.889869	1.11013	0.444935	0.555065	0.126909	0.231378	0	0.126909	0.231378	0.337361	0.420865	0.14107746956	0.276136746829	0.179143372266	0.379112654932
260	-123.678089037	-122.652323332	-1.02576570543	0.578387	0.306717	1.1254	1	0.425123	0.574877	1.47881	0.521187	0.739406	0.260594	1.30694	0.693064	0.653468	0.346532	0.19513	0.0687711	0	0.19513	0.0687711	0.578387	0.306717	0.120149117176	0.331113970603	0.131950778113	0.44255183954
270	-121.991565614	-121.095699516	-0.895866097392	0.317508	0.444657	0.870277	1	0.292816	0.707184	0.784379	1.21562	0.39219	0.60781	0.833173	1.16683	0.416587	0.583413	0.107998	0.167374	0	0.107998	0.167374	0.317508	0.444657	0.0540560792353	0.323041431402	0.137686134726	0.381082452029
280	-122.437459245	-121.66206664	-0.775392604297	0.459139	0.098231	0.951264	1	0.491347	0.508653	1.13872	0.861283	0.569358	0.430642	1.64752	0.352481	0.82376	0.17624	0.11543	0.0873072	0	0.11543	0.0873072	0.459139	0.098231	0.19694713264	0.198391855519	0.101368710028	0.27868490611
290	-124.425638541	-123.039911102	-1.38572743933	0.49854	0.107485	1.83619	1	0.2738	0.7262	1.09474	0.90526	0.54737	0.45263	1.64528	0.354721	0.822639	0.177361	0.149952	0.123998	0	0.149952	0.123998	0.49854	0.107485	0.615081753719	0.330658197679	0.136974907175	0.303012580761
300	-122.721461126	-121.998882444	-0.722578681225	0.36721	0.0347051	0.818236	1	0.389315	0.610685	1.03143	0.968575	0.515713	0.484287	1.8273	0.172699	0.913651	0.0863494	0.0123544	0.0116016	0	0.0123544	0.0116016	0.36721	0.0347051	0.208160562786	0.301482802896	0.0119779857792	0.200957329764
