Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	m_b_simplex[1]	m_d_simplex[1]	m_d_simplex[2]	m_e[1]	m_e[2]	m_e_simplex[1]	m_e_simplex[2]	m_w[1]	m_w[2]	m_w_simplex[1]	m_w_simplex[2]	mu[1]	mu[2]	mu[3]	r_e[1]	r_e[2]	r_w[1]	r_w[2]	rho_b	rho_d	rho_e	rho_w
0	-1379.7	-1379.306	-0.3942277	0.211272	0.199005	0.502685	1	0.362172	0.637828	0.0982228	1.90178	0.0491114	0.950889	1.0299	0.970101	0.514949	0.485051	0.00514003	0.0995207	0	0.00514003	0.0995207	0.211177	0.198916	0.09240798	0.04444258	0.05233036	0.2050468
10	-1373.555	-1373.273	-0.2824208	0.212334	0.140257	0.383268	1	0.36746	0.63254	0.811706	1.18829	0.405853	0.594147	1.20442	0.79558	0.60221	0.39779	0.0216454	0.0316878	0	0.0216454	0.0316878	0.20785	0.137295	0.03067786	0.05250384	0.0266666	0.1725725
20	-1374.793	-1374.517	-0.2764642	0.218165	0.135338	0.369935	1	0.223481	0.776519	1.58146	0.418537	0.790731	0.209269	1.2343	0.765697	0.617152	0.382848	0.0564161	0.0149306	0	0.0564161	0.0149306	0.212092	0.131571	0.0164318	0.05252777	0.03567339	0.1718313
30	-1378.309	-1377.972	-0.3367598	0.192778	0.185757	0.400429	1	0.412836	0.587164	0.392495	1.6075	0.196248	0.803752	1.01855	0.981454	0.509273	0.490727	0.0195757	0.0801742	0	0.0195757	0.0801742	0.192744	0.185725	0.02189392	0.07575611	0.04987496	0.1892349
40	-1375.601	-1375.307	-0.2936749	0.198675	0.176584	0.40433	1	0.239587	0.760413	0.484373	1.51563	0.242186	0.757814	1.05887	0.941131	0.529435	0.470565	0.0160552	0.0502375	0	0.0160552	0.0502375	0.198331	0.176278	0.02907034	0.0441538	0.03314632	0.1873044
50	-1376.796	-1376.477	-0.3195167	0.214257	0.150139	0.393467	1	0.324165	0.675835	1.16114	0.838857	0.580571	0.419429	1.17596	0.824043	0.587978	0.412022	0.0640947	0.0463047	0	0.0640947	0.0463047	0.210914	0.147797	0.02907034	0.05589105	0.05519968	0.1793556
60	-1381.417	-1380.953	-0.4638206	0.22334	0.1232	0.496599	1	0.119662	0.880338	1.71432	0.285682	0.857159	0.142841	1.28897	0.711031	0.644484	0.355516	0.104334	0.0173868	0	0.104334	0.0173868	0.213812	0.117945	0.1500587	0.0870232	0.06086061	0.1658781
70	-1378.573	-1378.278	-0.2948984	0.246465	0.0943674	0.356807	1	0.119371	0.880629	1.88529	0.114713	0.942644	0.0573563	1.44625	0.553746	0.723127	0.276873	0.0683076	0.00415626	0	0.0683076	0.00415626	0.220563	0.0844499	0.01597457	0.09018521	0.03623194	0.1525067
80	-1375.238	-1374.933	-0.30476	0.197875	0.156921	0.424809	1	0.350109	0.649891	1.76693	0.233074	0.883463	0.116537	1.11543	0.884572	0.557714	0.442286	0.0245505	0.00323844	0	0.0245505	0.00323844	0.196552	0.155872	0.07001287	0.04464057	0.01389445	0.1762122
90	-1376.06	-1375.809	-0.2507738	0.198612	0.140154	0.347313	1	0.439545	0.560455	0.482464	1.51754	0.241232	0.758768	1.17256	0.827441	0.586279	0.413721	0.00691599	0.0217535	0	0.00691599	0.0217535	0.195632	0.138052	0.008546934	0.06105004	0.01433474	0.1668421
100	-1375.953	-1375.596	-0.357683	0.189898	0.134	0.458907	1	0.399222	0.600778	0.134313	1.86569	0.0671563	0.932844	1.17258	0.82742	0.58629	0.41371	0.00302498	0.0420189	0	0.00302498	0.0420189	0.187048	0.131989	0.1350097	0.04063258	0.02252197	0.1595188
110	-1375.24	-1375.009	-0.2308746	0.175358	0.0897982	0.314429	1	0.373889	0.626111	1.04891	0.951092	0.524454	0.475546	1.32268	0.677323	0.661338	0.338662	0.0130716	0.0118526	0	0.0130716	0.0118526	0.165978	0.0849948	0.04927306	0.04365319	0.01246207	0.1254863
120	-1374.294	-1374.059	-0.2355982	0.197968	0.127969	0.34933	1	0.458989	0.541011	1.75998	0.240022	0.879989	0.120011	1.21476	0.785239	0.607381	0.392619	0.0294335	0.00401408	0	0.0294335	0.00401408	0.193348	0.124983	0.02339288	0.03631573	0.01672379	0.1591658
130	-1372.483	-1372.221	-0.2620041	0.185687	0.124356	0.364856	1	0.231735	0.768265	0.852487	1.14751	0.426244	0.573756	1.19781	0.802186	0.598907	0.401093	0.00651619	0.00877128	0	0.00651619	0.00877128	0.182018	0.121899	0.0548124	0.04758959	0.007643736	0.1519584
140	-1375.029	-1374.721	-0.308262	0.20849	0.119533	0.417998	1	0.475145	0.524855	0.659466	1.34053	0.329733	0.670267	1.27119	0.728809	0.635595	0.364405	0.0077581	0.0157703	0	0.0077581	0.0157703	0.200677	0.115054	0.08997541	0.04865732	0.01176421	0.1578651
