Iteration	Posterior	Likelihood	Prior	mu	beta[1]	beta[2]	switch_rate_0_to_1	switch_rate_1_to_0	switch_rate_1_to_2	switch_rate_2_to_1	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]	switch_rates_pos[3]	switch_rates_pos[4]
0	-977.9366	-980.0861	2.149583	0.0358301	1.58646	1.58646	0.05843221	0.6320091	0.2252202	0.08433849	0.0584322	0	0.632009	0.22522	0	0.0843385	0.0584322	0.632009	0.22522	0.0843385
50	-904.9144	-903.4652	-1.449132	0.3870982	1.67249	1.67249	0.01905685	0.6707273	0.07718187	0.233034	0.0190568	0	0.670727	0.0771819	0	0.233034	0.0190568	0.670727	0.0771819	0.233034
100	-959.086	-955.1473	-3.938679	0.6486467	1.54656	1.54656	0.01763267	0.7210739	0.1057129	0.1555805	0.0176327	0	0.721074	0.105713	0	0.155581	0.0176327	0.721074	0.105713	0.155581
150	-1133.125	-1126.156	-6.968685	0.9947956	1.11507	1.11507	0.01656277	0.7545159	0.1278641	0.1010572	0.0165628	0	0.754516	0.127864	0	0.101057	0.0165628	0.754516	0.127864	0.101057
200	-935.657	-927.1993	-8.45771	1.081046	1.74159	1.74159	0.009507206	0.7361921	0.1663551	0.08794559	0.00950721	0	0.736192	0.166355	0	0.0879456	0.00950721	0.736192	0.166355	0.0879456
250	-888.5424	-884.0171	-4.525309	0.7234249	1.3854	1.3854	0.01146959	0.6718104	0.1847324	0.1319876	0.0114696	0	0.67181	0.184732	0	0.131988	0.0114696	0.67181	0.184732	0.131988
300	-792.8256	-786.9977	-5.827939	0.8377898	1.54439	1.54439	0.009406664	0.749866	0.1376303	0.1030971	0.00940666	0	0.749866	0.13763	0	0.103097	0.00940666	0.749866	0.13763	0.103097
350	-1044.544	-1039.519	-5.025619	0.7620567	1.4994	1.4994	0.01177841	0.6993684	0.1238148	0.1650384	0.0117784	0	0.699368	0.123815	0	0.165038	0.0117784	0.699368	0.123815	0.165038
400	-870.9533	-867.6083	-3.344921	0.6072393	1.36687	1.36687	0.01384464	0.5806561	0.209273	0.1962263	0.0138446	0	0.580656	0.209273	0	0.196226	0.0138446	0.580656	0.209273	0.196226
450	-860.2411	-855.0717	-5.169416	0.7865267	1.39849	1.39849	0.008012265	0.7347285	0.1259009	0.1313583	0.00801226	0	0.734728	0.125901	0	0.131358	0.00801226	0.734728	0.125901	0.131358
