Iteration	Posterior	Likelihood	Prior	mu	beta[1]	beta[2]	switch_rate_0_to_1	switch_rate_1_to_0	switch_rate_1_to_2	switch_rate_2_to_1	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]	switch_rates_pos[3]	switch_rates_pos[4]
0	-981.7287	-983.8783	2.149583	0.0358301	1.58646	1.58646	0.05843221	0.6320091	0.2252202	0.08433849	0.0584322	0	0.632009	0.22522	0	0.0843385	0.0584322	0.632009	0.22522	0.0843385
50	-923.9598	-923.7	-0.2598065	0.4198165	0.155986	0.155986	0.01105996	0.5536689	0.2000457	0.2352255	0.01106	0	0.553669	0.200046	0	0.235225	0.01106	0.553669	0.200046	0.235225
100	-963.852	-962.0978	-1.754187	0.554165	0.306882	0.306882	0.01436988	0.5158458	0.2596455	0.2101388	0.0143699	0	0.515846	0.259645	0	0.210139	0.0143699	0.515846	0.259645	0.210139
150	-1009.297	-1007.692	-1.605207	0.5623098	0.076453	0.076453	0.01560393	0.5889581	0.1990104	0.1964276	0.0156039	0	0.588958	0.19901	0	0.196428	0.0156039	0.588958	0.19901	0.196428
200	-862.5114	-856.4885	-6.022882	0.8355736	1.76149	1.76149	0.01276806	0.6803651	0.177171	0.1296958	0.0127681	0	0.680365	0.177171	0	0.129696	0.0127681	0.680365	0.177171	0.129696
250	-933.6619	-927.9882	-5.673697	0.8174765	1.59328	1.59328	0.01082398	0.6260378	0.209652	0.1534862	0.010824	0	0.626038	0.209652	0	0.153486	0.010824	0.626038	0.209652	0.153486
300	-980.9934	-974.2246	-6.768805	1.047564	0.387507	0.387507	0.008764727	0.6341623	0.2436945	0.1133785	0.00876473	0	0.634162	0.243694	0	0.113379	0.00876473	0.634162	0.243694	0.113379
350	-857.8574	-851.6608	-6.196595	0.9328493	0.962447	0.962447	0.006709573	0.6006984	0.2589567	0.1336353	0.00670957	0	0.600698	0.258957	0	0.133635	0.00670957	0.600698	0.258957	0.133635
400	-1011.445	-1004.518	-6.926716	0.881807	2.20299	2.20299	0.01224865	0.6480898	0.180007	0.1596546	0.0122486	0	0.64809	0.180007	0	0.159655	0.0122486	0.64809	0.180007	0.159655
450	-1040.96	-1034.41	-6.550269	0.9268627	1.37599	1.37599	0.01272711	0.6737952	0.1707926	0.1426851	0.0127271	0	0.673795	0.170793	0	0.142685	0.0127271	0.673795	0.170793	0.142685
500	-1177.212	-1171.67	-5.542197	0.9550498	0.0860439	0.0860439	0.01624088	0.6197368	0.2446542	0.1193681	0.0162409	0	0.619737	0.244654	0	0.119368	0.0162409	0.619737	0.244654	0.119368
550	-949.4171	-947.1842	-2.232882	0.5957334	0.369893	0.369893	0.01806175	0.5118222	0.2935248	0.1765913	0.0180618	0	0.511822	0.293525	0	0.176591	0.0180618	0.511822	0.293525	0.176591
600	-955.2775	-952.1358	-3.141763	0.6618101	0.618006	0.618006	0.01140742	0.5201435	0.3042974	0.1641517	0.0114074	0	0.520144	0.304297	0	0.164152	0.0114074	0.520144	0.304297	0.164152
650	-972.797	-964.8075	-7.989469	1.164871	0.435105	0.435105	0.01100444	0.5765753	0.293997	0.1184232	0.0110044	0	0.576575	0.293997	0	0.118423	0.0110044	0.576575	0.293997	0.118423
700	-934.9737	-928.96	-6.013689	1.004368	0.0643548	0.0643548	0.01146658	0.5413125	0.3266838	0.1205372	0.0114666	0	0.541312	0.326684	0	0.120537	0.0114666	0.541312	0.326684	0.120537
750	-848.9656	-845.8507	-3.114986	0.7111916	0.0974145	0.0974145	0.01150338	0.5883612	0.248997	0.1511385	0.0115034	0	0.588361	0.248997	0	0.151138	0.0115034	0.588361	0.248997	0.151138
800	-1084.994	-1078.03	-6.964052	1.051824	0.540155	0.540155	0.01280976	0.6777103	0.1835545	0.1259254	0.0128098	0	0.67771	0.183555	0	0.125925	0.0128098	0.67771	0.183555	0.125925
850	-893.0931	-889.854	-3.239099	0.7194336	0.139107	0.139107	0.01352206	0.6023962	0.234724	0.1493578	0.0135221	0	0.602396	0.234724	0	0.149358	0.0135221	0.602396	0.234724	0.149358
