Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	extinction[1]	extinction[2]	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]	transition_rates[1]	transition_rates[2]
0	0	-1932.174	-1941.944	9.770081	0.0844931	-1.80366	4.73256e-06	11.6404	0.23631	0.76369	0.0844978	9.83678	0.00733774	0.00542465
1	1	-3189.852	-3215.648	25.79579	2.0882e-05	-0.523897	3.06722e-06	0.547761	0.591137	0.408863	2.39492e-05	0.0238639	0.0130611	0.00916488
2	0	-1840.556	-1850.288	9.731809	0.0868083	-0.282705	4.75691e-06	11.3124	0.21185	0.78815	0.0868131	11.0297	0.00740316	0.004903
3	1	-3093.825	-3119.681	25.85585	2.05605e-05	-0.44808	3.3887e-06	0.474182	0.648343	0.351657	2.39492e-05	0.0261018	0.0117292	0.00989542
4	0	-1834.079	-1843.711	9.63192	0.0868079	-0.204076	5.25516e-06	11.3124	0.821359	0.178641	0.0868131	11.1083	0.00720612	0.00506098
5	1	-3033.263	-3059.072	25.80935	2.09622e-05	-0.406055	3.4299e-06	0.432926	0.648343	0.351657	2.43921e-05	0.02687	0.0112482	0.0108233
6	0	-1815.882	-1825.203	9.320338	0.0924105	-0.134426	6.70614e-06	11.2427	0.821359	0.178641	0.0924172	11.1083	0.00823791	0.00409434
7	1	-2983.19	-3008.85	25.66073	2.37442e-05	-0.36899	3.45258e-06	0.39586	0.718066	0.281934	2.71967e-05	0.02687	0.0112482	0.0115251
8	0	-1806.074	-1815.31	9.23581	0.095616	0.167777	6.41521e-06	10.9405	0.821359	0.178641	0.0956224	11.1083	0.00971626	0.00331403
9	1	-2956.69	-2982.239	25.54841	2.57645e-05	-0.356803	3.32659e-06	0.385407	0.640337	0.359663	2.9091e-05	0.0286038	0.0115136	0.0115251
10	0	-1789.636	-1798.87	9.233625	0.109699	0.134791	5.552e-06	10.9735	0.821359	0.178641	0.109704	11.1083	0.0100619	0.00300448
11	1	-2924.724	-2949.3	24.57605	2.53044e-05	-0.334746	3.39856e-06	0.36335	0.640337	0.359663	2.87029e-05	0.0286038	0.0166173	0.0122748
12	0	-1786.01	-1795.001	8.990706	0.109697	-0.0453349	6.87704e-06	11.1536	0.692248	0.307752	0.109704	11.1083	0.0102229	0.00291554
13	1	-2840.119	-2864.758	24.63897	2.55443e-05	-0.306944	3.22327e-06	0.344499	0.545262	0.454738	2.87676e-05	0.0375549	0.0152948	0.0122748
14	0	-1776.562	-1785.299	8.737034	0.118878	-0.0155295	6.92725e-06	11.1238	0.692248	0.307752	0.118885	11.1083	0.011437	0.00266644
15	1	-2772.301	-2796.42	24.11913	2.50028e-05	-0.280982	3.11304e-06	0.318537	0.545262	0.454738	2.81159e-05	0.0375549	0.0156115	0.0157099
16	0	-1771.085	-1779.752	8.666993	0.125461	-0.0155295	7.36676e-06	11.1238	0.573703	0.426297	0.125468	11.1083	0.011437	0.00240693
17	1	-2680.194	-2704.411	24.21672	2.6769e-05	-0.240428	3.56077e-06	0.28713	0.545262	0.454738	3.03298e-05	0.046702	0.013198	0.0157099
18	0	-1770.182	-1778.554	8.371932	0.1255	0.0183273	9.2443e-06	11.1238	0.573703	0.426297	0.125509	11.1421	0.0118923	0.00232158
19	1	-2580.719	-2605.256	24.53741	2.72377e-05	-0.170354	3.09207e-06	0.217056	0.545262	0.454738	3.03298e-05	0.046702	0.0122072	0.017274
20	0	-1771.398	-1779.647	8.248664	0.1255	0.0183273	8.68277e-06	11.1238	0.337721	0.662279	0.125509	11.1421	0.0128214	0.00245602
21	1	-2521.441	-2545.943	24.50166	2.94673e-05	-0.144615	2.59755e-06	0.198505	0.498994	0.501006	3.20649e-05	0.0538902	0.0127824	0.017274
22	0	-1772.349	-1780.274	7.924845	0.125501	0.044815	8.27494e-06	11.1238	0.274927	0.725073	0.125509	11.1686	0.0147898	0.0026015
23	1	-2484.697	-2508.782	24.08457	2.75807e-05	-0.128741	2.57987e-06	0.188366	0.54606	0.45394	3.01606e-05	0.0596253	0.0152789	0.017274
24	0	-1766.515	-1774.331	7.815908	0.149053	0.044815	7.78948e-06	11.1238	0.274927	0.725073	0.149061	11.1686	0.0146176	0.00275888
25	1	-2455.569	-2479.516	23.94686	2.68638e-05	-0.126844	2.51285e-06	0.188366	0.111604	0.888396	2.93767e-05	0.0615219	0.0136953	0.0197674
26	0	-1767.885	-1775.521	7.636187	0.139905	0.0343918	9.54608e-06	11.1238	0.274927	0.725073	0.139914	11.1582	0.0149016	0.00270729
27	1	-2381.654	-2404.86	23.20523	2.54314e-05	-0.11072	2.97673e-06	0.188366	0.0698686	0.930131	2.84081e-05	0.0776458	0.013821	0.0217752
28	0	-1759.512	-1767.172	7.659287	0.162096	0.0343918	1.00321e-05	11.1238	0.954043	0.0459572	0.162106	11.1582	0.0140516	0.00229898
29	1	-2315.39	-2338.073	22.68314	2.61943e-05	-0.0862617	2.87394e-06	0.171626	0.0698686	0.930131	2.90682e-05	0.0853646	0.0129928	0.0256497
30	0	-1760.375	-1767.986	7.611276	0.154081	0.0343918	1.03772e-05	11.1238	0.759306	0.240694	0.154091	11.1582	0.0144228	0.00229898
31	1	-2231.801	-2253.714	21.91334	2.31336e-05	-0.0525149	2.95897e-06	0.152192	0.665739	0.334261	2.60926e-05	0.099677	0.0119534	0.0313441
32	0	-1755.92	-1763.648	7.728462	0.154367	0.0343918	9.84682e-06	11.1238	0.895327	0.104673	0.154377	11.1582	0.0144228	0.00191815
33	1	-2209.08	-2231.168	22.08789	1.94624e-05	-0.0363466	3.07257e-06	0.13848	0.276338	0.723662	2.2535e-05	0.102134	0.0110004	0.0323225
34	0	-1747.021	-1754.86	7.839423	0.180029	0.0343918	9.27885e-06	11.1238	0.863862	0.136138	0.180038	11.1582	0.0137211	0.0014454
35	1	-2129.489	-2150.044	20.55487	2.06799e-05	-0.0113085	2.80793e-06	0.13848	0.217181	0.782819	2.34878e-05	0.127172	0.00923167	0.0418843
36	0	-1742.465	-1749.782	7.317227	0.184453	0.0343918	1.17898e-05	11.1238	0.863862	0.136138	0.184465	11.1582	0.0153822	0.00126247
37	1	-2106.962	-2126.997	20.03532	2.49093e-05	0.00828347	3.07257e-06	0.128802	0.217181	0.782819	2.79819e-05	0.137086	0.0106719	0.0418843
38	0	-1733.441	-1740.789	7.347689	0.19168	0.0343918	1.15583e-05	11.1238	0.646395	0.353605	0.191691	11.1582	0.0153822	0.000981834
39	1	-2080.974	-2101.297	20.32316	1.84635e-05	0.0306336	3.32148e-06	0.128379	0.217181	0.782819	2.1785e-05	0.159013	0.00940581	0.0416604
40	0	-1729.826	-1737.519	7.692785	0.196706	0.0343918	1.15375e-05	11.1238	0.421677	0.578323	0.196718	11.1582	0.0133604	0.000891904
41	1	-2070.98	-2091.341	20.36085	1.62697e-05	0.0455272	2.99046e-06	0.113486	0.217181	0.782819	1.92602e-05	0.159013	0.0100541	0.042807
42	0	-1728.764	-1736.529	7.76589	0.215734	0.0343918	1.13599e-05	11.1238	0.577893	0.422107	0.215745	11.1582	0.0125419	0.000852828
43	1	-2041.556	-2061.314	19.75831	1.39604e-05	0.0772585	3.13669e-06	0.114338	0.217181	0.782819	1.70971e-05	0.191596	0.010955	0.044652
44	0	-1728.741	-1736.615	7.874087	0.237009	0.0343918	1.14291e-05	11.1238	0.577893	0.422107	0.237021	11.1582	0.0114029	0.000800174
