state	power	likelihood
260	1	-15825
270	1	-15821
280	1	-15820.3
290	1	-15814.5
300	1	-15813.9
310	1	-15827.4
320	1	-15820.1
330	1	-15811.6
340	1	-15821.2
350	1	-15817.7
360	1	-15817.8
370	1	-15813.6
380	1	-15820.2
390	1	-15817.3
400	1	-15811
410	1	-15818.6
420	1	-15821
430	1	-15811.9
440	1	-15816
450	1	-15806.6
460	1	-15816.2
470	1	-15825.1
480	1	-15815.9
490	1	-15823.2
500	1	-15823.5
510	1	-15822.1
520	1	-15823.2
530	1	-15816
540	1	-15818.7
550	1	-15819
560	1	-15820.7
570	1	-15823.6
580	1	-15823.1
590	1	-15823.5
600	1	-15813.7
610	1	-15819.1
620	1	-15827.2
630	1	-15815
640	1	-15825.4
650	1	-15819.4
660	1	-15814.7
670	1	-15813.5
680	1	-15813.7
690	1	-15808.8
700	1	-15821.8
710	1	-15818.1
720	1	-15814.5
730	1	-15812.3
740	1	-15812.9
750	1	-15811
760	1	-15824.7
770	1	-15825.8
780	1	-15812
790	1	-15812.5
800	1	-15822.2
810	1	-15820.1
820	1	-15823.5
830	1	-15821.5
840	1	-15811.4
850	1	-15813.3
860	1	-15817.4
870	1	-15822.7
880	1	-15813.5
890	1	-15818.7
900	1	-15824.3
910	1	-15818.6
920	1	-15813.8
930	1	-15818.3
940	1	-15811.4
950	1	-15813.6
960	1	-15809.5
970	1	-15813.1
980	1	-15811.4
990	1	-15812.1
1000	1	-15813.9
260	0.903921	-15808
270	0.903921	-15818.5
280	0.903921	-15823.5
290	0.903921	-15821.8
300	0.903921	-15814.2
310	0.903921	-15815.5
320	0.903921	-15827.1
330	0.903921	-15816.6
340	0.903921	-15812.5
350	0.903921	-15821.2
360	0.903921	-15814.4
370	0.903921	-15810.1
380	0.903921	-15823.9
390	0.903921	-15815.7
400	0.903921	-15816
410	0.903921	-15825.7
420	0.903921	-15832.3
430	0.903921	-15816.3
440	0.903921	-15815.8
450	0.903921	-15812.3
460	0.903921	-15825.1
470	0.903921	-15813.6
480	0.903921	-15821.2
490	0.903921	-15821.9
500	0.903921	-15824.9
510	0.903921	-15811.4
520	0.903921	-15825.5
530	0.903921	-15821.5
540	0.903921	-15826.1
550	0.903921	-15818.4
560	0.903921	-15817
570	0.903921	-15814.4
580	0.903921	-15818.5
590	0.903921	-15821.9
600	0.903921	-15819.6
610	0.903921	-15817.2
620	0.903921	-15816.1
630	0.903921	-15813.8
640	0.903921	-15815.8
650	0.903921	-15814.6
660	0.903921	-15817.9
670	0.903921	-15817
680	0.903921	-15827.2
690	0.903921	-15815.9
700	0.903921	-15817.1
710	0.903921	-15816.2
720	0.903921	-15822.9
730	0.903921	-15824.5
740	0.903921	-15823.8
750	0.903921	-15819
760	0.903921	-15822.3
770	0.903921	-15818.7
780	0.903921	-15829
790	0.903921	-15819.7
800	0.903921	-15816.3
810	0.903921	-15817.1
820	0.903921	-15808.8
830	0.903921	-15820.6
840	0.903921	-15811.2
850	0.903921	-15813.6
860	0.903921	-15829.1
870	0.903921	-15821.4
880	0.903921	-15812.6
890	0.903921	-15825.9
900	0.903921	-15827.2
910	0.903921	-15825
920	0.903921	-15824.5
930	0.903921	-15828.5
940	0.903921	-15821.4
950	0.903921	-15820.8
960	0.903921	-15817.3
970	0.903921	-15818.6
980	0.903921	-15814
990	0.903921	-15822.3
1000	0.903921	-15823.7
260	0.815373	-15816.6
270	0.815373	-15823
280	0.815373	-15819.3
290	0.815373	-15823
300	0.815373	-15814
310	0.815373	-15826.4
320	0.815373	-15816
330	0.815373	-15816.2
340	0.815373	-15822.1
350	0.815373	-15815.7
360	0.815373	-15830.1
370	0.815373	-15817
380	0.815373	-15816.7
390	0.815373	-15816.6
400	0.815373	-15824.9
410	0.815373	-15812.5
420	0.815373	-15818.7
430	0.815373	-15828.6
440	0.815373	-15822.5
450	0.815373	-15821.4
460	0.815373	-15829.1
470	0.815373	-15834.9
480	0.815373	-15826.8
490	0.815373	-15817.8
500	0.815373	-15823.4
510	0.815373	-15819.2
520	0.815373	-15827
530	0.815373	-15819
540	0.815373	-15819.6
550	0.815373	-15819.3
560	0.815373	-15825.5
570	0.815373	-15819.4
580	0.815373	-15816.4
590	0.815373	-15824.3
600	0.815373	-15825
610	0.815373	-15826.3
620	0.815373	-15820.6
630	0.815373	-15832.9
640	0.815373	-15826.4
650	0.815373	-15829.5
660	0.815373	-15824.9
670	0.815373	-15823.9
680	0.815373	-15824.3
690	0.815373	-15817.2
700	0.815373	-15821.4
710	0.815373	-15817.6
720	0.815373	-15819.3
730	0.815373	-15821.6
740	0.815373	-15814.1
750	0.815373	-15821.7
760	0.815373	-15820.3
770	0.815373	-15825
780	0.815373	-15827
790	0.815373	-15820.8
800	0.815373	-15825.3
810	0.815373	-15830.8
820	0.815373	-15814.8
830	0.815373	-15817
840	0.815373	-15813.7
850	0.815373	-15823.8
860	0.815373	-15821.7
870	0.815373	-15815.6
880	0.815373	-15824.1
890	0.815373	-15818.2
900	0.815373	-15828.3
910	0.815373	-15815.3
920	0.815373	-15825.6
930	0.815373	-15826.3
940	0.815373	-15830.8
950	0.815373	-15823.7
960	0.815373	-15818.3
970	0.815373	-15818.6
980	0.815373	-15819.6
990	0.815373	-15822.7
1000	0.815373	-15819.6
260	0.733904	-15835.2
270	0.733904	-15827
280	0.733904	-15829
290	0.733904	-15828
300	0.733904	-15821.3
310	0.733904	-15812.4
320	0.733904	-15834.4
330	0.733904	-15820.5
340	0.733904	-15825.4
350	0.733904	-15838.5
360	0.733904	-15842.8
370	0.733904	-15840.9
380	0.733904	-15821
390	0.733904	-15824.9
400	0.733904	-15829.2
410	0.733904	-15832.8
420	0.733904	-15822.2
430	0.733904	-15822.2
440	0.733904	-15832.2
450	0.733904	-15825.6
460	0.733904	-15827.8
470	0.733904	-15824.2
480	0.733904	-15829.3
490	0.733904	-15831.8
500	0.733904	-15828.6
510	0.733904	-15835.4
520	0.733904	-15825.2
530	0.733904	-15814.9
540	0.733904	-15825
550	0.733904	-15830.9
560	0.733904	-15833.3
570	0.733904	-15831.8
580	0.733904	-15835.6
590	0.733904	-15827
600	0.733904	-15833.4
610	0.733904	-15827.7
620	0.733904	-15831.4
630	0.733904	-15828.5
640	0.733904	-15829.2
650	0.733904	-15839
660	0.733904	-15830.7
670	0.733904	-15822.1
680	0.733904	-15832.7
690	0.733904	-15835.4
700	0.733904	-15829.7
710	0.733904	-15826.6
720	0.733904	-15834.7
730	0.733904	-15826
740	0.733904	-15825.8
750	0.733904	-15829.7
760	0.733904	-15820.9
770	0.733904	-15815.2
780	0.733904	-15828
790	0.733904	-15817.1
800	0.733904	-15826
810	0.733904	-15820.1
820	0.733904	-15825
830	0.733904	-15828.8
840	0.733904	-15825.1
850	0.733904	-15820.7
860	0.733904	-15829.5
870	0.733904	-15821.3
880	0.733904	-15817.4
890	0.733904	-15820.3
900	0.733904	-15824.6
910	0.733904	-15825.2
920	0.733904	-15826.8
930	0.733904	-15833.9
940	0.733904	-15820.6
950	0.733904	-15826.2
960	0.733904	-15831.5
970	0.733904	-15827.3
980	0.733904	-15824
990	0.733904	-15848.1
1000	0.733904	-15831.9
260	0.659082	-15832.3
270	0.659082	-15825.7
280	0.659082	-15831.7
290	0.659082	-15831.3
300	0.659082	-15834.8
310	0.659082	-15838.3
320	0.659082	-15837.3
330	0.659082	-15819.7
340	0.659082	-15825
350	0.659082	-15841.2
360	0.659082	-15820.1
370	0.659082	-15835.8
380	0.659082	-15818.5
390	0.659082	-15838.2
400	0.659082	-15824
410	0.659082	-15820
420	0.659082	-15836.6
430	0.659082	-15830
440	0.659082	-15828.3
450	0.659082	-15819.9
460	0.659082	-15826.2
470	0.659082	-15832.7
480	0.659082	-15829.4
490	0.659082	-15819.7
500	0.659082	-15828.7
510	0.659082	-15831.6
520	0.659082	-15833.7
530	0.659082	-15830.6
540	0.659082	-15825.2
550	0.659082	-15832.7
560	0.659082	-15832.2
570	0.659082	-15818.4
580	0.659082	-15836.6
590	0.659082	-15839.4
600	0.659082	-15830
610	0.659082	-15840.1
620	0.659082	-15830
630	0.659082	-15832.4
640	0.659082	-15831.4
650	0.659082	-15847.8
660	0.659082	-15833
670	0.659082	-15849.9
680	0.659082	-15858.2
690	0.659082	-15848.8
700	0.659082	-15829.7
710	0.659082	-15844.6
720	0.659082	-15835.2
730	0.659082	-15832
740	0.659082	-15827
