state	power	likelihood
260	0.0916133	-16025.8
270	0.0916133	-16088.1
280	0.0916133	-16031.5
290	0.0916133	-16060.8
300	0.0916133	-16115.4
310	0.0916133	-16110.9
320	0.0916133	-16036.2
330	0.0916133	-16011.9
340	0.0916133	-15977.9
350	0.0916133	-16009.6
360	0.0916133	-16019.9
370	0.0916133	-16021
380	0.0916133	-16081.2
390	0.0916133	-16179.5
400	0.0916133	-16174.4
410	0.0916133	-16233.6
420	0.0916133	-16082.5
430	0.0916133	-16181.4
440	0.0916133	-16034.4
450	0.0916133	-16098.7
460	0.0916133	-16008.8
470	0.0916133	-16030.8
480	0.0916133	-16070.7
490	0.0916133	-16026.2
500	0.0916133	-16035
510	0.0916133	-16120.6
520	0.0916133	-16012.8
530	0.0916133	-16106.9
540	0.0916133	-16134.6
550	0.0916133	-16145.9
560	0.0916133	-16109.4
570	0.0916133	-16128.9
580	0.0916133	-16137.9
590	0.0916133	-16211
600	0.0916133	-16136.2
610	0.0916133	-16118
620	0.0916133	-16104.6
630	0.0916133	-16057.5
640	0.0916133	-16145.4
650	0.0916133	-16041.6
660	0.0916133	-16083.1
670	0.0916133	-16110.7
680	0.0916133	-16018.6
690	0.0916133	-16069.2
700	0.0916133	-16054.6
710	0.0916133	-16072
720	0.0916133	-16041.1
730	0.0916133	-16093.3
740	0.0916133	-16081.1
750	0.0916133	-16009.1
760	0.0916133	-16029
770	0.0916133	-15992.8
780	0.0916133	-16102.8
790	0.0916133	-15951.8
800	0.0916133	-16055.5
810	0.0916133	-16034.9
820	0.0916133	-16022.3
830	0.0916133	-16075.5
840	0.0916133	-16020.7
850	0.0916133	-16059.1
860	0.0916133	-16052
870	0.0916133	-16044.7
880	0.0916133	-16134.8
890	0.0916133	-16021.8
900	0.0916133	-16053.9
910	0.0916133	-16053.3
920	0.0916133	-16038.1
930	0.0916133	-16105.6
940	0.0916133	-16089.6
950	0.0916133	-15992.9
960	0.0916133	-16148.8
970	0.0916133	-16021.5
980	0.0916133	-16024.3
990	0.0916133	-16006.5
1000	0.0916133	-16121.3
