Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
0	-16309.09	-16318.24	9.147485	0.163009	0.0737604	0.300886	0.0163965	0.138932	0.0463385	0.0721506	0.0882479	0.14492	0.104115	0.0241312	0.0864736	0.123724	0.112224	0.0655065	0.110458	0.189066	0.0817992	0.133712	0.0778863	0.148327	0.0794987	0.152036	0.020334	0.0165497	0.0656015	0.00628184	0.0294932	0.0372025	0.0901732	0.0433734	0.0521325	0.0941932	0.027762	0.111925	0.0296253	0.0117886	0.0728401	0.0665497	0.0408653	0.184716	0.00254974	0.036604	3.574159
10	-16350.77	-16358.52	7.751599	0.238761	0.152559	0.15067	0.124302	0.0353432	0.127747	0.154052	0.0702195	0.0870392	0.220086	0.0639318	0.0540242	0.156688	0.0869248	0.085332	0.0908348	0.202455	0.0643411	0.0859692	0.125324	0.0612873	0.0881317	0.202891	0.0245688	0.0702215	0.0588583	0.0114676	0.0273492	0.0525214	0.0507852	0.0613463	0.0126668	0.135909	0.0789275	0.132886	0.0268133	0.007338	0.0597943	0.0340231	0.0273993	0.0676847	0.0109656	0.0333089	3.713748
20	-16504.82	-16512.16	7.342354	0.141663	0.112774	0.085307	0.074928	0.0916694	0.0419606	0.083634	0.0839485	0.183937	0.136543	0.0417958	0.105614	0.0362872	0.142727	0.0649454	0.331778	0.207782	0.153546	0.0654556	0.0808582	0.170972	0.112068	0.158037	0.0734419	0.0757614	0.123314	0.0287221	0.108983	0.0654341	0.019591	0.0109879	0.0531801	0.0122843	0.103392	0.148134	0.0220129	0.0357784	0.0289746	0.0417545	0.010684	0.0413796	0.0226329	0.0199973	3.754673
30	-16665.07	-16670.76	5.689887	0.0884771	0.158651	0.177712	0.130128	0.155874	0.25994	0.053878	0.134717	0.112808	0.133149	0.0340986	0.032842	0.0575422	0.126279	0.0557008	0.118191	0.270902	0.0944482	0.12063	0.0503902	0.1441	0.162268	0.211003	0.000386422	0.178369	0.0648402	0.0573883	0.0024108	0.0160608	0.184784	0.00742709	0.0634164	0.0212545	0.0322941	0.103744	0.0161263	0.0212708	0.0428982	0.071039	0.0368043	0.0764687	0.0284465	0.0107614	3.919919
40	-16713.05	-16723.78	10.72461	0.0440817	0.167429	0.203867	0.102662	0.11091	0.169399	0.196222	0.0576977	0.106998	0.0522218	0.146621	0.0513006	0.0505654	0.147459	0.111944	0.167585	0.0540127	0.121266	0.0329878	0.110478	0.0426411	0.140313	0.0757968	0.013033	0.0464194	0.0482612	0.0145123	0.0230904	0.058508	0.0960037	0.0249796	0.041235	0.0505832	0.0116353	0.102241	0.0248937	0.0274289	0.0844072	0.0359819	0.0978623	0.118496	0.030075	0.00234076	3.416446
50	-16545.18	-16560.78	15.5996	0.0987602	0.035219	0.0325703	0.0426904	0.11091	0.0864374	0.0739783	0.0545923	0.0667838	0.262069	0.13203	0.0461585	0.0720206	0.0431008	0.127458	0.125172	0.0974886	0.180879	0.103843	0.0651138	0.0412238	0.0792523	0.185693	0.00503954	0.0540342	0.142436	0.038541	0.0230904	0.00520056	0.00310926	0.00736193	0.0215801	0.0571346	0.0562767	0.0472473	0.0447789	0.0599468	0.044695	0.00365462	0.00129059	0.0821921	0.0169446	0.05095	2.928947
60	-16394.3	-16406.08	11.77934	0.13356	0.125628	0.104964	0.0706612	0.176257	0.0165328	0.09173	0.0912139	0.0667838	0.158692	0.039431	0.0963095	0.0630334	0.0874064	0.0629626	0.174962	0.0795062	0.0443451	0.0879813	0.110517	0.104251	0.139308	0.147256	0.0465847	0.0229599	0.0388662	0.0397708	0.137469	0.0446043	0.0250652	0.0111578	0.0247546	0.00612199	0.0497679	0.170288	0.0578949	0.0153531	0.022211	0.0601736	0.0273586	0.0907243	0.0397766	0.106778	3.310974
70	-16820.74	-16830.72	9.973942	0.0845544	0.116697	0.0521163	0.127308	0.0370113	0.0196641	0.120163	0.199214	0.0833003	0.121858	0.0517917	0.0411769	0.125627	0.0874064	0.0978814	0.0492153	0.0938572	0.103898	0.0976343	0.168465	0.0952376	0.159016	0.308916	0.0109104	0.00199181	0.0603958	0.113864	0.0961567	0.00599189	0.0731976	0.0843397	0.0414515	0.0919431	0.0156343	0.104009	0.0331101	0.00499222	0.0921988	0.0601736	0.0273586	0.117083	0.00169878	0.0130032	3.491514
80	-16561.84	-16568.71	6.874813	0.112665	0.105476	0.124386	0.0537576	0.165018	0.0726558	0.114927	0.114328	0.113626	0.20573	0.036085	0.0646665	0.125627	0.099695	0.104339	0.203965	0.193464	0.11023	0.130248	0.153565	0.108726	0.128456	0.156525	0.0208097	0.0375454	0.0341012	0.0237868	0.0685764	0.0818755	0.0992448	0.150369	0.00255679	0.0959063	0.0247418	0.097715	0.010828	0.0195216	0.0489051	0.0310309	0.022651	0.113065	0.00214558	0.0178885	3.801427
90	-16543.94	-16554.54	10.60281	0.0868006	0.0913128	0.0446671	0.165589	0.052439	0.0895524	0.207352	0.0250287	0.0820014	0.0544172	0.0606538	0.0523097	0.0978747	0.0860814	0.116147	0.111162	0.201875	0.0645372	0.0884383	0.23244	0.0567177	0.0515555	0.152572	0.0213844	0.0582785	0.0618075	0.0696471	0.0865708	0.00373698	0.0532126	0.0774656	0.00900737	0.0607006	0.0581493	0.143123	0.00566308	0.00946862	0.0372528	0.0338062	0.0298568	0.219917	0.0219063	0.0961478	3.428627
100	-16676.11	-16688.88	12.7686	0.109712	0.0167487	0.0494597	0.118081	0.12705	0.0250721	0.214463	0.0159992	0.0697005	0.14791	0.0425539	0.0972461	0.042346	0.0578866	0.102114	0.161831	0.109508	0.0645372	0.0527758	0.0471318	0.303277	0.0501603	0.267716	0.0541714	0.0378818	0.0248843	0.0491212	0.0170287	0.0570859	0.110556	0.0385692	0.00466783	0.0223222	0.0510086	0.00540591	0.0270911	0.0149144	0.0269416	0.00972082	0.128687	0.137924	0.0532638	0.0475217	3.212048
110	-16700.17	-16703.87	3.700118	0.0594562	0.155194	0.100353	0.0802226	0.0671617	0.0911047	0.0352951	0.15157	0.123861	0.081357	0.190589	0.182885	0.0623853	0.0835167	0.097646	0.205484	0.272847	0.0646402	0.095208	0.155861	0.101723	0.198302	0.188094	0.0530178	0.0482453	0.0748192	0.0280335	0.00971578	0.0188866	0.110556	0.139415	0.0961487	0.0383252	0.0460425	0.00648437	0.0163812	0.0421113	0.0895304	0.0310398	0.052021	0.16594	0.121694	0.0857301	4.118896
