Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate_12	rate_13	rate_21	rate_23	rate_31	rate_32	rf[1]	rf[2]	rf[3]
0	0	-23.8665	-62.3375	38.471	4.611625e-05	1.369354e-06	0.0005985884	0.00108309	0.0006449937	0.0003989328	0.476136	0.421915	0.101949
1	1	-26.1084	-61.9741	35.8658	0.001001839	0.002304859	0.0001773278	0.001493812	0.0001064797	0.001041801	0.493137	0.442951	0.0639119
2	0	-21.4231	-59.1858	37.7628	3.780704e-05	1.369354e-06	0.0009849133	0.001725414	0.0005091393	0.0004259597	0.128496	0.294168	0.577336
3	1	-26.7444	-60.7605	34.0161	0.001798573	0.002667511	0.0002673657	0.002435506	7.548606e-05	0.00126222	0.254515	0.651485	0.0940005
4	0	-20.123	-57.4581	37.3351	7.672723e-05	1.249969e-06	0.001289933	0.001987663	0.0005091393	0.0003702963	0.0193091	0.915101	0.0655894
5	1	-27.0426	-60.7131	33.6705	0.001814103	0.003502891	0.0002673657	0.002192578	0.0001024869	0.001072058	0.291392	0.551574	0.157035
6	0	-21.0275	-55.9942	34.9667	0.0001431226	1.249969e-06	0.002250038	0.003830383	0.0005797193	0.0004787346	0.016011	0.758796	0.225193
7	1	-24.7593	-59.5995	34.8402	0.001026858	0.001926215	0.0002379219	0.00328492	0.0001024869	0.0008676731	0.582562	0.32827	0.0891684
8	0	-19.879	-55.2547	35.3757	0.0001105314	2.225917e-06	0.001837332	0.003830383	0.000455984	0.0005203792	0.0291645	0.689032	0.281804
9	1	-25.7591	-58.7738	33.0147	0.001088282	0.001926215	0.0002379219	0.005989881	7.170393e-05	0.000481481	0.644308	0.279713	0.0759788
10	0	-20.3841	-55.8981	35.5141	0.0001492698	1.14748e-06	0.002479227	0.003036755	0.000253766	0.0006585979	0.0291645	0.689032	0.281804
11	1	-22.694	-57.8455	35.1515	0.001088282	0.001273082	0.0003369292	0.003694816	7.336802e-05	0.0005788801	0.657947	0.285634	0.0564187
12	0	-20.2605	-55.6255	35.365	0.0001412384	2.379258e-06	0.001775812	0.003725396	0.0005122492	0.00061359	0.0291645	0.689032	0.281804
13	1	-22.228	-57.6116	35.3836	0.00109396	0.0005716515	0.000471119	0.003804416	0.0001400041	0.00066554	0.780355	0.15273	0.0669152
14	0	-20.1114	-55.4045	35.2931	0.0001412384	3.294703e-06	0.001775812	0.003725396	0.0003770467	0.0008403922	0.0198951	0.734284	0.245821
15	1	-23.4327	-58.5581	35.1254	0.002307901	0.001218016	0.0004902665	0.002442333	0.0001426051	0.0004778792	0.257337	0.720597	0.0220665
