Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_rate_12	prob_rate_13	prob_rate_21	prob_rate_23	prob_rate_31	prob_rate_32	rate_12	rate_13	rate_21	rate_23	rate_31	rate_32	rf[1]	rf[2]	rf[3]
0	0	-75.316	-88.9828	13.6668	0	1	0	0	1	1	0.002948121	0	5.938285e-06	0.0006930392	0	0	0.838171	0.0519912	0.109838
1	1	-51.4744	-59.7526	8.27824	1	1	1	1	0	0	0	0	0	0	0.00062218	0.001394408	0.162838	0.823101	0.0140605
2	0	-34.6557	-57.2895	22.6338	0	0	0	0	1	0	0.002948121	0.004023742	0.0004766977	0.0008268527	0	0.0009623815	0.838171	0.0519912	0.109838
3	1	-45.0692	-59.0764	14.0073	1	0	1	1	0	0	0	0.001281486	0	0	0.00062218	0.001305201	0.395289	0.514787	0.089924
4	0	-46.1389	-56.4746	10.3358	0	0	1	1	1	0	0.002948121	0.004023742	0	0	0	0.0009623815	0.644717	0.270796	0.0844867
5	1	-37.0414	-58.0443	21.0029	1	1	0	0	0	0	0	0	2.839888e-05	0.000282891	0.0009122175	0.001547516	0.345712	0.556992	0.0972964
6	0	-37.4027	-60.4712	23.0685	0	0	1	0	0	0	0.002948121	0.003033741	0	0.001344378	0.0006518364	0.0007001916	0.845465	0.132023	0.0225124
7	1	-43.8335	-58.1913	14.3577	1	1	0	1	0	0	0	0	0.000298095	0	0.0009122175	0.001547516	0.347191	0.555733	0.0970765
8	0	-35.0343	-58.1321	23.0978	0	0	1	0	0	0	0.003192845	0.004183679	0	0.0001011979	0.0004626209	0.0007001916	0.845465	0.132023	0.0225124
9	1	-44.2894	-58.2495	13.9601	0	1	1	1	0	0	0.0002061595	0	0	0	0.001127611	0.001935773	0.856591	0.0821057	0.0613031
10	0	-43.3715	-56.7928	13.4212	0	0	1	0	1	0	0.004358201	0.005611805	0	0.0006764262	0	0.001882448	0.491199	0.43468	0.0741211
11	1	-50.0472	-57.2248	7.1776	1	1	1	1	0	0	0	0	0	0	0.001212269	0.002220883	0.609473	0.223588	0.166939
12	0	-41.0199	-57.4795	16.4596	0	0	1	0	1	0	0.003841385	0.002965351	0	0.0006377846	0	0.001173896	0.354532	0.567116	0.078352
13	1	-49.7108	-57.1181	7.40733	1	1	1	1	0	0	0	0	0	0	0.001212269	0.001925221	0.748364	0.0466533	0.204982
14	0	-47.8121	-57.8919	10.0798	0	0	1	1	1	0	0.003637269	0.002841715	0	0	0	0.001784693	0.462146	0.51114	0.0267139
15	1	-48.8781	-56.2308	7.35273	1	1	1	1	0	0	0	0	0	0	0.001212269	0.001995495	0.492597	0.0307087	0.476694
16	0	-40.6754	-55.9033	15.2279	0	0	1	0	1	0	0.00390074	0.004299048	0	0.0006405212	0	0.001363331	0.851367	0.143539	0.00509438
17	1	-29.3844	-57.338	27.9536	0	0	0	1	0	0	0.0004699176	7.819542e-05	3.615373e-05	0	0.0006188736	0.001187766	0.492597	0.0307087	0.476694
18	0	-46.6357	-55.31	8.67425	0	0	1	1	1	0	0.004112479	0.004768065	0	0	0	0.001192127	0.814725	0.180399	0.00487512
19	1	-41.6726	-56.7086	15.036	1	0	1	1	0	0	0	7.819542e-05	0	0	0.0006188736	0.001187766	0.349965	0.0218169	0.628218
20	0	-47.9818	-55.4814	7.49967	0	0	1	1	1	0	0.004433975	0.005878365	0	0	0	0.001272063	0.551892	0.444085	0.00402267
21	1	-42.7539	-57.2365	14.4826	1	0	1	1	0	0	0	0.0007905119	0	0	0.0006188736	0.001187766	0.36986	0.0157886	0.614351
22	0	-42.1166	-55.7611	13.6445	0	0	1	0	1	0	0.004803869	0.005878365	0	5.652941e-05	0	0.001502824	0.503132	0.424875	0.0719931
23	1	-41.6092	-55.793	14.1837	0	1	1	1	0	0	9.571415e-05	0	0	0	0.0005973699	0.002288682	0.691963	0.00771807	0.300319
24	0	-48.9127	-55.3635	6.45085	0	0	1	1	1	0	0.005425635	0.005878365	0	0	0	0.001630273	0.866594	0.101924	0.0314821
25	1	-31.7284	-57.6941	25.9657	0	0	0	1	0	0	0.0003653208	9.937062e-05	0.0004301919	0	0.0009675273	0.003087038	0.691963	0.00771807	0.300319
26	0	-48.1163	-55.6075	7.49118	0	0	1	1	1	0	0.00299122	0.007429996	0	0	0	0.001174119	0.894577	0.0729241	0.0324987
27	1	-36.654	-57.0955	20.4415	0	1	0	1	0	0	0.0004599292	0	0.0001797411	0	0.001220738	0.001633205	0.402236	0.0713914	0.526372
28	0	-41.2821	-56.5202	15.2381	0	0	1	0	1	0	0.002556637	0.005785236	0	0.000625231	0	0.001223451	0.669986	0.22828	0.101733
29	1	-40.9149	-55.2601	14.3451	1	1	1	0	0	0	0	0	0	1.453125e-05	0.0007068848	0.002052621	0.429274	0.0549175	0.515808
30	0	-48.7467	-55.5958	6.84913	0	0	1	1	1	0	0.004504478	0.006505019	0	0	0	0.001412182	0.537365	0.381039	0.0815956
31	1	-34.3876	-56.0108	21.6232	1	1	0	0	0	0	0	0	7.665257e-05	1.931159e-05	0.0005719722	0.001304695	0.101043	0.0129266	0.88603
32	0	-48.2579	-55.0486	6.79065	0	0	1	1	1	0	0.00454989	0.00668922	0	0	0	0.001257826	0.842463	0.0296137	0.127923
33	1	-37.514	-59.1837	21.6697	0	0	1	1	0	0	0.000429836	0.0001315351	0	0	0.0005719722	0.0007794129	0.168526	0.00729227	0.824182
34	0	-48.3863	-57.056	8.66966	0	0	1	1	1	0	0.002357765	0.00668922	0	0	0	0.001031601	0.356045	0.287602	0.356353
35	1	-50.0402	-58.8353	8.79509	1	1	1	1	0	0	0	0	0	0	0.0005719722	0.0007794129	0.166326	0.0020978	0.831576
36	0	-48.5636	-55.4756	6.91197	0	0	1	1	1	0	0.00374524	0.007354413	0	0	0	0.001241146	0.70305	0.0920658	0.204884
37	1	-38.7265	-60.1785	21.452	0	1	1	0	0	0	0.0003147101	0	0	0.0002859524	0.0008128626	0.0007794129	0.654922	0.00235417	0.342724
