Iteration	Posterior	Likelihood	Prior	rate_12	rate_13	rate_21	rate_23	rate_31	rate_32	rf[1]	rf[2]	rf[3]
0	-26.1084	-61.9741	35.8658	0.001001839	0.002304859	0.0001773278	0.001493812	0.0001064797	0.001041801	0.493137	0.442951	0.0639119
1	-26.7444	-60.7605	34.0161	0.001798573	0.002667511	0.0002673657	0.002435506	7.548606e-05	0.00126222	0.254515	0.651485	0.0940005
2	-27.0426	-60.7131	33.6705	0.001814103	0.003502891	0.0002673657	0.002192578	0.0001024869	0.001072058	0.291392	0.551574	0.157035
3	-24.7593	-59.5995	34.8402	0.001026858	0.001926215	0.0002379219	0.00328492	0.0001024869	0.0008676731	0.582562	0.32827	0.0891684
4	-25.7591	-58.7738	33.0147	0.001088282	0.001926215	0.0002379219	0.005989881	7.170393e-05	0.000481481	0.644308	0.279713	0.0759788
5	-22.694	-57.8455	35.1515	0.001088282	0.001273082	0.0003369292	0.003694816	7.336802e-05	0.0005788801	0.657947	0.285634	0.0564187
6	-22.228	-57.6116	35.3836	0.00109396	0.0005716515	0.000471119	0.003804416	0.0001400041	0.00066554	0.780355	0.15273	0.0669152
7	-23.4327	-58.5581	35.1254	0.002307901	0.001218016	0.0004902665	0.002442333	0.0001426051	0.0004778792	0.257337	0.720597	0.0220665
8	-24.1553	-59.3705	35.2152	0.001953089	0.001826582	0.0007071458	0.001843221	0.0001554625	0.0004778792	0.257337	0.720597	0.0220665
9	-25.6539	-60.1099	34.4561	0.002297941	0.002571558	0.0007007793	0.001843221	0.0001741554	0.0003527623	0.253607	0.710152	0.036241
10	-24.7783	-60.4294	35.6511	0.0018131	0.001570507	0.0007007793	0.001672468	0.0003421286	0.0003033496	0.273384	0.704765	0.0218513
11	-26.5674	-62.011	35.4435	0.001708246	0.002391	0.0007007793	0.001397851	0.0003027894	0.0001688721	0.271566	0.700081	0.0283528
12	-25.0905	-59.4975	34.407	0.001745481	0.002391	0.001021682	0.002310341	0.0003027894	0.0002322938	0.632959	0.300957	0.0660838
13	-25.2749	-59.2749	33.9999	0.001167932	0.002586523	0.001021682	0.003079042	0.0004589146	0.0002134259	0.390923	0.155412	0.453666
14	-24.2834	-59.1936	34.9102	0.001167932	0.001394198	0.002037302	0.002152827	0.0003105602	0.0002931463	0.0133971	0.251741	0.734862
15	-23.8893	-57.9739	34.0846	0.0005867919	0.001815429	0.002327944	0.002990475	0.0003473591	0.0003505769	0.0133971	0.251741	0.734862
16	-22.8407	-56.8721	34.0314	0.0004393332	0.001815429	0.001181105	0.004030728	0.0005735201	0.0004469265	0.0246889	0.463923	0.511388
17	-21.9343	-57.5476	35.6133	0.0005366702	0.001276694	0.0006633407	0.002906435	0.0004409637	0.0006269658	0.0258704	0.486124	0.488006
18	-20.3729	-56.162	35.7891	0.0003218778	0.0005688221	0.001332433	0.002906435	0.0004682338	0.0006269658	0.0467088	0.877693	0.0755985
19	-20.4029	-55.2282	34.8252	0.0003326963	0.0005703376	0.002036849	0.003761202	0.0003835321	0.0003806894	0.0467088	0.877693	0.0755985
20	-20.124	-54.9622	34.8382	0.000259053	0.0005565853	0.002036849	0.004050464	0.0001954831	0.0003502466	0.0461664	0.439939	0.513894
21	-19.4294	-54.6275	35.1981	0.000259053	0.0004991046	0.001340946	0.004050464	0.0003351262	0.0005007205	0.0124226	0.802991	0.184586
22	-20.535	-55.6656	35.1305	0.000259053	0.0002679331	0.001340946	0.004192219	0.0005114962	0.0005007205	0.103661	0.456631	0.439707
23	-22.3079	-56.9279	34.6201	0.0002408829	0.0002679331	0.001586005	0.004192219	0.0009416061	0.0005007205	0.165677	0.741338	0.0929846
24	-20.5376	-55.6305	35.0929	0.0004702397	0.0004404713	0.001049055	0.004192219	0.0006323023	0.0003365397	0.0987742	0.845157	0.0560689
25	-18.7367	-54.399	35.6623	0.0002915529	0.0004404713	0.001049055	0.004192219	0.0002066079	0.0002080218	0.0715734	0.57575	0.352677
26	-19.5066	-55.8968	36.3902	0.0003855634	0.0004404725	0.001562291	0.002763139	0.0002066079	9.306673e-05	0.0373679	0.778503	0.18413
27	-22.1954	-57.0555	34.8602	0.0004741394	0.0006583891	0.001133201	0.004274508	0.0007758812	0.0001042515	0.0696899	0.586915	0.343395
28	-22.7176	-57.608	34.8904	0.0005435305	0.0008126398	0.0008622416	0.00431117	0.0007758812	7.596765e-05	0.0405971	0.52381	0.435593
29	-23.8154	-57.5021	33.6867	0.0009216996	0.0008126398	0.0009031692	0.005634865	0.0006117071	4.653363e-05	0.0717275	0.506814	0.421459
30	-22.461	-56.7171	34.2561	0.0008262388	0.0004337278	0.0007434967	0.005634865	0.0005129041	4.653363e-05	0.0965171	0.681973	0.22151
31	-23.6865	-57.1026	33.4161	0.001303256	0.0009273615	0.000933038	0.005634865	0.0004068878	7.3574e-05	0.19745	0.369016	0.433534
32	-24.2104	-57.4802	33.2697	0.001167897	0.001402071	0.0008491787	0.00539782	0.0005767433	7.3574e-05	0.236235	0.57428	0.189485
33	-23.3183	-58.3505	35.0322	0.0003389784	0.001510672	0.0009271358	0.003419555	0.000901155	0.0001014389	0.161575	0.708826	0.129599
34	-21.8064	-57.1287	35.3223	0.0005447398	0.001509309	0.0009271358	0.003162588	0.0005548151	0.000126978	0.0597523	0.846805	0.093443
35	-23.5129	-57.1149	33.602	0.0005447398	0.00170354	0.001830038	0.004254573	0.0005548151	0.0001519471	0.216513	0.444897	0.338591
36	-24.8987	-57.3405	32.4418	0.0005568122	0.001443892	0.001791755	0.006084896	0.0005548151	0.0001007652	0.145149	0.434531	0.420319
37	-25.9187	-59.0249	33.1063	0.0005492858	0.001029489	0.002633482	0.004339781	0.0009384933	0.0001871725	0.153104	0.403541	0.443355
38	-23.4759	-58.6358	35.1599	0.0003767058	0.001029489	0.001453008	0.003257407	0.0008155762	0.0001023611	0.283725	0.341301	0.374974
39	-21.7191	-55.9976	34.2785	0.0002316711	0.001017958	0.001453008	0.004832681	0.0005532891	8.037051e-05	0.0259153	0.830981	0.143104
40	-23.4628	-56.5172	33.0544	0.00030116	0.001346183	0.00119452	0.006277549	0.0005532891	7.177451e-05	0.0259153	0.830981	0.143104
41	-23.9269	-57.4699	33.543	0.0003233922	0.002046477	0.001394132	0.004630119	0.0006468707	7.464233e-05	0.0171764	0.550765	0.432058
42	-23.211	-57.4114	34.2004	0.000187364	0.002046477	0.001394132	0.004015327	0.0005594615	6.671655e-05	0.0464647	0.498873	0.454663
43	-24.7041	-58.1344	33.4303	0.0002542919	0.002864908	0.001379983	0.004015327	0.0006794196	6.671655e-05	0.0337848	0.635626	0.330589
44	-22.7915	-57.0258	34.2343	0.0001610068	0.001707352	0.001076742	0.004794371	0.0004196503	6.671655e-05	0.0421098	0.29031	0.66758
45	-24.9238	-57.8897	32.9659	0.0002479123	0.001950518	0.001076742	0.005957336	0.0005596156	6.617911e-05	0.0421098	0.29031	0.66758
46	-25.3621	-57.8066	32.4445	0.0002495473	0.002319649	0.0009875728	0.0065052	0.0004018496	6.555188e-05	0.0421098	0.29031	0.66758
47	-23.4063	-58.1022	34.696	0.0003160648	0.002319649	0.001096286	0.003251778	0.0005833758	6.454249e-05	0.0142249	0.636642	0.349133
48	-21.5789	-56.292	34.7131	0.0003160648	0.001696242	0.001012519	0.004058619	0.0004256141	0.0001005479	0.0142249	0.636642	0.349133
49	-20.7074	-56.3499	35.6425	0.0003215995	0.001034186	0.001062916	0.003480021	0.0004256141	8.9084e-05	0.00888715	0.640089	0.351024
50	-21.1299	-57.2093	36.0794	0.0003149603	0.000896649	0.0006598243	0.003480021	0.0004487501	5.090867e-05	0.0152388	0.635987	0.348774
51	-21.6764	-57.0097	35.3332	0.0003556237	0.001295118	0.0006174688	0.004017958	0.0004774026	4.793414e-05	0.0206993	0.863881	0.11542
52	-22.6346	-58.2565	35.6218	0.0004723561	0.001133407	0.0007676166	0.003521961	0.0004774026	6.730073e-05	0.166256	0.204877	0.628868
53	-23.5544	-58.6382	35.0838	0.0003352411	0.001366384	0.0007676166	0.00410538	0.0004774026	8.048814e-05	0.644312	0.0874034	0.268284
54	-23.6088	-59.1982	35.5894	0.000366104	0.00168411	0.0006461205	0.003374587	0.0003606436	5.018906e-05	0.646532	0.119358	0.23411
55	-23.9188	-60.0098	36.091	0.0004464758	0.001638094	0.0008263445	0.002458545	0.0003606436	0.0001060704	0.45273	0.0835798	0.46369
56	-23.8822	-58.7138	34.8316	0.0006787716	0.001638094	0.0008263445	0.003849958	0.0003606436	0.0001032905	0.534793	0.0710471	0.39416
57	-22.7721	-57.4468	34.6747	0.000675582	0.0009715602	0.0009822147	0.004539059	0.0003873779	0.0001032905	0.180936	0.125089	0.693975
58	-23.0799	-57.3597	34.2799	0.000675582	0.0006276292	0.0008049053	0.005487582	0.0004414681	0.0001300267	0.405638	0.133742	0.460621
59	-23.8293	-57.8124	33.9831	0.000675582	0.0005990426	0.0009051112	0.005487582	0.0005733845	0.0003084253	0.569288	0.0927905	0.337921
60	-25.0176	-58.5215	33.5039	0.0007435236	0.0009274773	0.0009522593	0.005487582	0.0008166209	0.0002384371	0.246899	0.140975	0.612127
61	-24.3068	-57.6883	33.3815	0.0004556795	0.001518601	0.0009390771	0.005487582	0.000405592	0.0005168901	0.173409	0.0990136	0.727577
62	-23.4349	-57.442	34.007	0.0004556795	0.0008151937	0.0005679088	0.005907528	0.0003618133	0.0004102322	0.0363134	0.115436	0.848251
63	-20.9121	-55.7597	34.8476	0.0005411375	0.0008974937	0.001455434	0.003920714	0.0003618133	0.0002598907	0.132474	0.421119	0.446407
64	-20.7375	-55.4343	34.6968	0.0004868934	0.0009984206	0.001135375	0.004465313	0.0003953958	0.000149196	0.211622	0.66443	0.123947
65	-22.3108	-55.4014	33.0906	0.0004397056	0.001293241	0.001525726	0.006099655	0.0002414495	9.809836e-05	0.212609	0.692789	0.0946022
66	-21.1113	-56.1442	35.0329	0.0005640296	0.0008919756	0.001525726	0.00372319	0.000400442	9.27266e-05	0.27767	0.630702	0.0916278
67	-20.8553	-56.2917	35.4364	0.0005793167	0.0008137115	0.001011508	0.00391606	0.0002704194	8.772332e-05	0.552496	0.305949	0.141555
68	-20.513	-55.3866	34.8737	0.0007303595	0.001145189	0.00113638	0.004093943	0.0001946519	0.0001024577	0.37673	0.596889	0.0263803
69	-20.2365	-55.0133	34.7768	0.0006762169	0.001228579	0.001277411	0.004093943	0.0001409574	0.0001105872	0.316167	0.661694	0.0221394
70	-21.0498	-56.2499	35.2001	0.0003035102	0.001034751	0.001210305	0.004093943	0.0001904674	0.0001499147	0.807738	0.135701	0.0565614
71	-19.0523	-55.318	36.2657	0.0004841787	0.000310641	0.0006886636	0.003787555	0.0001904674	0.0001499147	0.406093	0.482236	0.111671
72	-20.5487	-55.594	35.0453	0.0004524855	0.0004806465	0.0007470928	0.005090099	0.0003138137	9.795398e-05	0.406093	0.482236	0.111671
73	-21.4888	-57.1877	35.6989	0.0004014189	0.0005184518	0.0007470928	0.004065121	0.0005389911	6.976793e-05	0.290724	0.345235	0.36404
74	-22.0413	-56.4858	34.4445	0.0002800462	0.0004051272	0.0008545074	0.005878269	0.0004794174	5.802805e-05	0.231756	0.419808	0.348435
75	-20.8499	-55.8584	35.0085	0.0003206945	0.0004051272	0.0007754298	0.005186223	0.0004794174	6.259782e-05	0.0973807	0.756212	0.146407
76	-20.669	-55.071	34.402	0.0003820209	0.0004051272	0.00130828	0.00551349	0.0003308663	7.019038e-05	0.0923897	0.768707	0.138904
77	-19.3521	-54.2603	34.9082	0.0002530098	0.0004990686	0.001181332	0.00511006	0.0002096324	0.0001054167	0.129389	0.780265	0.090346
78	-19.5937	-54.7542	35.1605	0.0002565352	0.0003751716	0.0009769781	0.00511006	0.0002096324	0.0001054167	0.388536	0.480362	0.131103
79	-20.5347	-55.2001	34.6654	0.0002565352	0.0005514362	0.0006978213	0.005873163	0.0001608289	0.0001312285	0.448606	0.400022	0.151372
80	-19.3394	-53.6196	34.2802	0.0003185906	0.0002221145	0.001357956	0.005873163	0.0001033367	0.0002916926	0.22197	0.703131	0.0748989
81	-19.6854	-54.2086	34.5231	0.0002491286	0.0002221145	0.001278499	0.005508384	0.0001716325	0.0004243507	0.402909	0.461139	0.135953
82	-18.6312	-54.0578	35.4266	0.0001912431	0.0002933129	0.001411377	0.004304674	0.0001298367	0.0003608853	0.402909	0.461139	0.135953
83	-18.7984	-54.3291	35.5307	0.0002206019	0.0003523253	0.001024346	0.004304674	0.0001298367	0.0005255479	0.402909	0.461139	0.135953
84	-21.876	-55.8936	34.0176	0.0005727086	0.0003523253	0.002598701	0.004304674	0.0001298367	0.0005464797	0.114412	0.280184	0.605403
85	-21.7522	-55.5362	33.784	0.0008195753	0.0004920021	0.002598701	0.004304674	0.0001442825	0.0004462177	0.360221	0.474951	0.164829
86	-24.1289	-57.5253	33.3965	0.0008195753	0.0003627647	0.003848637	0.003488786	0.0002201461	0.0005642791	0.145417	0.691896	0.162687
87	-25.1622	-58.7974	33.6352	0.0008195753	0.0003438704	0.003848637	0.002971994	0.0004113646	0.0006014866	0.145417	0.691896	0.162687
88	-19.9708	-56.1567	36.1859	0.0006120613	0.0005054691	0.001472398	0.002563727	0.0002662214	0.0002941733	0.136483	0.710823	0.152693
89	-20.8483	-56.5447	35.6964	0.0003020533	0.0006462134	0.001762304	0.002563727	0.0002930773	0.0007767201	0.148021	0.686377	0.165601
90	-23.1308	-56.6048	33.474	0.0006422754	0.0009464808	0.002358738	0.003968214	0.0002930773	0.0009955978	0.141126	0.700986	0.157888
91	-21.7364	-56.8123	35.0759	0.0006121664	0.000552093	0.001973083	0.002817292	0.0002930773	0.0008949337	0.0757647	0.587972	0.336264
92	-21.5088	-56.7648	35.256	0.0009411101	0.000611466	0.002032669	0.002643189	0.0003018344	0.0003806884	0.0606791	0.670011	0.26931
93	-20.9456	-56.509	35.5634	0.0007723127	0.0003525637	0.002032669	0.002643189	0.0002383575	0.0004761201	0.119424	0.565235	0.315341
94	-19.9999	-56.0247	36.0248	0.0007723127	0.0003411888	0.001250184	0.002816689	0.0002648966	0.0004761201	0.119424	0.565235	0.315341
95	-19.8335	-55.6494	35.8159	0.0007723127	0.0001862531	0.001139849	0.00341674	0.000198991	0.0004761201	0.511057	0.313849	0.175094
96	-20.7755	-56.1366	35.3611	0.0006902591	0.0002642295	0.000613851	0.004503967	0.0003707244	0.0003325566	0.536843	0.297297	0.16586
97	-23.0524	-59.0761	36.0236	0.0008349336	0.000209205	0.0002790888	0.003175345	0.0005481717	0.0008761724	0.536843	0.297297	0.16586
98	-23.4926	-58.3819	34.8893	0.00103409	0.0003116266	0.0002790888	0.004444635	0.0004240369	0.0008893361	0.537729	0.297788	0.164483
99	-23.9456	-58.2334	34.2877	0.001399455	0.0003494048	0.0003255063	0.004778982	0.0005910834	0.0007126553	0.425552	0.40318	0.171268
