Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_morpho
0	0	-365.745	-364.103	-1.64188	1.641885
1	1	-364.723	-363.856	-0.866459	0.866459
2	0	-364.909	-363.919	-0.990474	0.990474
3	1	-365.204	-363.993	-1.21044	1.210443
4	0	-364.322	-363.65	-0.672392	0.6723916
5	1	-366.208	-364.188	-2.02075	2.02075
6	0	-363.618	-363.107	-0.510735	0.5107352
7	1	-365.204	-363.993	-1.2108	1.210797
8	0	-364.053	-363.461	-0.59259	0.5925904
9	1	-365.101	-363.969	-1.13195	1.131953
10	0	-365.51	-364.058	-1.45274	1.452741
11	1	-365.178	-363.987	-1.19083	1.190827
12	0	-364.528	-363.769	-0.75916	0.7591596
13	1	-366.485	-364.234	-2.25055	2.250548
14	0	-363.666	-363.148	-0.517969	0.5179693
15	1	-366.217	-364.189	-2.02803	2.028027
16	0	-361.541	-361.184	-0.356728	0.3567284
17	1	-366.294	-364.202	-2.0918	2.091803
18	0	-358.613	-358.331	-0.281511	0.2815108
19	1	-366.572	-364.248	-2.32397	2.32397
20	0	-358.613	-358.331	-0.281511	0.2815108
21	1	-368.38	-364.484	-3.89635	3.896346
22	0	-358.613	-358.331	-0.281511	0.2815108
23	1	-366.662	-364.263	-2.39897	2.398966
24	0	-358.613	-358.331	-0.281511	0.2815108
25	1	-366.691	-364.267	-2.42413	2.424129
26	0	-349.19	-348.993	-0.196915	0.1969146
27	1	-367.532	-364.387	-3.14493	3.144928
28	0	-336.433	-336.282	-0.15049	0.1504904
29	1	-366.54	-364.243	-2.29721	2.297213
30	0	-324.745	-324.619	-0.125787	0.1257873
31	1	-367.736	-364.412	-3.32359	3.323586
32	0	-269.484	-269.416	-0.0683351	0.06833514
33	1	-366.514	-364.239	-2.27481	2.274809
34	0	-196.548	-196.513	-0.0355896	0.03558957
35	1	-365.694	-364.094	-1.60055	1.600549
36	0	-196.548	-196.513	-0.0355896	0.03558957
37	1	-365.427	-364.041	-1.38623	1.386228
38	0	-196.548	-196.513	-0.0355896	0.03558957
39	1	-364.511	-363.76	-0.750628	0.7506283
