Iteration	Posterior	Likelihood	Prior	mu_morpho
0	-365.745	-364.103	-1.64188	1.641885
1	-364.909	-363.919	-0.990474	0.990474
2	-364.322	-363.65	-0.672392	0.6723916
3	-363.618	-363.107	-0.510735	0.5107352
4	-364.053	-363.461	-0.59259	0.5925904
5	-365.51	-364.058	-1.45274	1.452741
6	-364.528	-363.769	-0.75916	0.7591596
7	-363.666	-363.148	-0.517969	0.5179693
8	-361.541	-361.184	-0.356728	0.3567284
9	-358.613	-358.331	-0.281511	0.2815108
10	-358.613	-358.331	-0.281511	0.2815108
11	-358.613	-358.331	-0.281511	0.2815108
12	-358.613	-358.331	-0.281511	0.2815108
13	-349.19	-348.993	-0.196915	0.1969146
14	-336.433	-336.282	-0.15049	0.1504904
15	-324.745	-324.619	-0.125787	0.1257873
16	-269.484	-269.416	-0.0683351	0.06833514
17	-196.548	-196.513	-0.0355896	0.03558957
18	-196.548	-196.513	-0.0355896	0.03558957
19	-196.548	-196.513	-0.0355896	0.03558957
20	-189.539	-189.505	-0.0334254	0.03342539
21	-189.539	-189.505	-0.0334254	0.03342539
22	-153.166	-153.143	-0.0235559	0.02355587
23	-133.244	-133.225	-0.018844	0.01884396
24	-111.533	-111.519	-0.0140683	0.01406829
25	-111.533	-111.519	-0.0140683	0.01406829
26	-77.0351	-77.0283	-0.00673052	0.006730517
27	-68.7491	-68.7443	-0.00476957	0.004769569
28	-67.2798	-67.2754	-0.00438145	0.004381447
29	-62.3994	-62.3967	-0.00276938	0.00276938
30	-61.4187	-61.4166	-0.00209778	0.002097785
31	-61.3468	-61.3449	-0.00191493	0.001914926
32	-61.494	-61.4918	-0.00219175	0.002191751
33	-61.9455	-61.9441	-0.0013655	0.001365501
34	-61.5553	-61.553	-0.00225267	0.002252674
35	-61.4369	-61.4348	-0.00212355	0.002123553
36	-61.3762	-61.3742	-0.00202192	0.002021918
37	-61.3871	-61.3854	-0.0017384	0.001738404
38	-61.3897	-61.388	-0.00173395	0.001733952
39	-62.2436	-62.2409	-0.0026933	0.002693298
40	-62.2436	-62.2409	-0.0026933	0.002693298
41	-62.0803	-62.0777	-0.00260786	0.002607861
42	-61.3816	-61.3795	-0.00203352	0.002033516
43	-61.4849	-61.4827	-0.00218176	0.002181763
44	-61.4849	-61.4827	-0.00218176	0.002181763
45	-61.7564	-61.755	-0.00144725	0.001447253
46	-61.7564	-61.755	-0.00144725	0.001447253
47	-62.5652	-62.564	-0.00117746	0.001177462
48	-62.3914	-62.3902	-0.00122224	0.001222238
49	-62.3914	-62.3902	-0.00122224	0.001222238
50	-61.5319	-61.5303	-0.00158211	0.001582108
51	-61.5319	-61.5303	-0.00158211	0.001582108
52	-62.046	-62.0435	-0.00258901	0.002589014
53	-62.5444	-62.5416	-0.00283639	0.002836392
54	-62.5444	-62.5416	-0.00283639	0.002836392
55	-63.2808	-63.2777	-0.00313952	0.003139522
56	-63.2808	-63.2777	-0.00313952	0.003139522
57	-64.314	-64.3105	-0.00350406	0.003504056
58	-61.7266	-61.7242	-0.00239018	0.002390175
59	-61.9712	-61.9687	-0.00254652	0.002546518
60	-61.3471	-61.3451	-0.00191743	0.00191743
61	-61.3579	-61.3561	-0.001805	0.001805004
62	-61.5235	-61.5212	-0.00222221	0.002222213
63	-61.3568	-61.3549	-0.00196846	0.001968457
64	-61.3568	-61.3549	-0.00196846	0.001968457
65	-61.9683	-61.9657	-0.00254481	0.002544814
66	-61.9683	-61.9657	-0.00254481	0.002544814
67	-61.7609	-61.7585	-0.00241422	0.002414219
68	-61.6467	-61.6443	-0.00233035	0.002330346
69	-61.39	-61.3883	-0.00173353	0.001733535
70	-62.3933	-62.3906	-0.00276649	0.002766488
71	-61.8054	-61.8029	-0.00244416	0.002444158
72	-61.4478	-61.4462	-0.00165764	0.001657642
73	-61.6997	-61.6973	-0.00237072	0.00237072
74	-61.3598	-61.3578	-0.0019786	0.001978601
75	-61.9787	-61.9762	-0.00255087	0.002550873
76	-62.1781	-62.1755	-0.00265984	0.002659836
77	-61.4417	-61.4396	-0.00212993	0.002129932
78	-61.8417	-61.8403	-0.00140807	0.001408066
79	-61.8417	-61.8403	-0.00140807	0.001408066
80	-61.8417	-61.8403	-0.00140807	0.001408066
81	-61.6057	-61.6042	-0.00153067	0.001530665
82	-61.4873	-61.4852	-0.00218452	0.002184517
83	-61.3457	-61.3438	-0.00189765	0.001897651
84	-61.3731	-61.371	-0.00201475	0.00201475
85	-62.9473	-62.9443	-0.00300852	0.003008524
86	-61.6737	-61.6722	-0.00149028	0.00149028
87	-61.7649	-61.7625	-0.00241696	0.00241696
88	-61.6379	-61.6364	-0.00151084	0.001510839
89	-61.3648	-61.3628	-0.00199358	0.001993578
90	-61.5881	-61.5865	-0.0015421	0.001542095
91	-61.5881	-61.5865	-0.0015421	0.001542095
92	-61.5881	-61.5865	-0.0015421	0.001542095
93	-61.3515	-61.3496	-0.00194626	0.001946263
94	-61.5688	-61.5673	-0.00155516	0.001555157
95	-62.1785	-62.1758	-0.00266001	0.002660014
96	-61.4741	-61.4725	-0.00163124	0.001631239
97	-61.7974	-61.795	-0.00243893	0.002438927
98	-61.7619	-61.7595	-0.00241494	0.00241494
99	-61.3455	-61.3436	-0.00188602	0.001886015
100	-61.3481	-61.3463	-0.001849	0.001848995
101	-61.3566	-61.3546	-0.00196747	0.001967473
102	-61.3488	-61.347	-0.00184427	0.001844271
103	-61.3886	-61.3865	-0.0020475	0.002047502
104	-61.6681	-61.6667	-0.00149337	0.001493368
105	-61.5591	-61.5575	-0.001562	0.001562004
106	-61.4243	-61.4222	-0.00210605	0.002106046
107	-61.8701	-61.8676	-0.00248565	0.002485645
108	-61.3621	-61.3603	-0.00179228	0.001792278
109	-61.549	-61.5467	-0.00224679	0.002246788
110	-61.4246	-61.4225	-0.00210644	0.002106443
111	-61.5104	-61.5081	-0.00220897	0.002208966
112	-61.7265	-61.7241	-0.00239013	0.00239013
113	-61.3455	-61.3436	-0.00188387	0.00188387
114	-61.6394	-61.6371	-0.00232457	0.002324571
115	-61.3993	-61.3973	-0.00206696	0.002066959
116	-62.3744	-62.3716	-0.00275746	0.002757465
117	-62.3744	-62.3716	-0.00275746	0.002757465
118	-62.6032	-62.6003	-0.0028627	0.002862701
119	-61.5762	-61.574	-0.00227162	0.002271618
120	-61.5849	-61.5834	-0.00154418	0.001544184
121	-61.3882	-61.3862	-0.00204678	0.002046775
122	-61.3455	-61.3436	-0.00188463	0.001884626
123	-61.4544	-61.4528	-0.00165071	0.001650705
124	-62.0761	-62.0748	-0.001318	0.001317997
125	-61.4896	-61.488	-0.00161698	0.001616985
126	-61.3618	-61.3601	-0.00179297	0.001792969
127	-61.8891	-61.8866	-0.00249747	0.002497472
128	-61.351	-61.349	-0.00194355	0.001943548
129	-61.351	-61.349	-0.00194355	0.001943548
130	-61.5727	-61.5712	-0.00155246	0.001552464
131	-62.1112	-62.1099	-0.00130616	0.001306163
132	-61.4126	-61.4109	-0.00169975	0.001699754
133	-61.437	-61.4348	-0.00212362	0.002123623
134	-61.4683	-61.4661	-0.00216288	0.002162884
135	-61.9703	-61.9689	-0.00135601	0.001356009
136	-61.4586	-61.4564	-0.00215129	0.002151286
137	-61.3889	-61.3868	-0.00204807	0.002048074
138	-61.4097	-61.4076	-0.00208404	0.002084042
139	-61.4097	-61.4076	-0.00208404	0.002084042
140	-61.6272	-61.6249	-0.00231477	0.002314772
141	-61.6272	-61.6249	-0.00231477	0.002314772
142	-61.9869	-61.9856	-0.00134978	0.001349785
143	-61.5041	-61.5018	-0.00220243	0.002202432
144	-62.1206	-62.118	-0.0026296	0.002629595
145	-61.8458	-61.8433	-0.00247033	0.002470333
146	-62.7065	-62.7036	-0.00290783	0.002907835
147	-62.7065	-62.7036	-0.00290783	0.002907835
148	-62.7065	-62.7036	-0.00290783	0.002907835
149	-63.202	-63.1989	-0.00310931	0.00310931
150	-61.8896	-61.8871	-0.00249773	0.002497728
151	-61.3811	-61.3791	-0.00203254	0.002032538
152	-62.754	-62.7511	-0.0029282	0.002928195
153	-62.2146	-62.2119	-0.0026786	0.002678602
154	-61.3669	-61.3649	-0.0019993	0.001999298
155	-61.6712	-61.6697	-0.00149167	0.001491669
156	-61.5395	-61.5373	-0.00223784	0.002237838
157	-61.4718	-61.4702	-0.0016334	0.001633401
158	-61.4454	-61.4433	-0.00213475	0.002134748
159	-61.7404	-61.738	-0.00239996	0.002399958
160	-62.2365	-62.2338	-0.00268971	0.00268971
161	-61.6113	-61.609	-0.00230173	0.002301732
162	-61.5613	-61.5598	-0.00156041	0.001560408
163	-62.0467	-62.0454	-0.0013282	0.001328198
164	-61.4156	-61.414	-0.00169569	0.00169569
165	-62.1524	-62.1497	-0.00264641	0.002646406
166	-62.0235	-62.0209	-0.00257639	0.002576386
167	-62.9412	-62.9382	-0.00300605	0.003006049
168	-61.3547	-61.3528	-0.0019604	0.001960404
169	-61.8743	-61.8729	-0.00139413	0.001394127
170	-61.6533	-61.6518	-0.00150185	0.001501849
171	-61.5946	-61.5931	-0.0015378	0.001537799
172	-61.4523	-61.4501	-0.00214346	0.00214346
173	-62.1201	-62.1174	-0.0026293	0.002629296
174	-61.3651	-61.3631	-0.00199434	0.001994341
175	-62.7125	-62.7095	-0.00291041	0.002910409
176	-62.3557	-62.353	-0.00274849	0.002748495
177	-61.3563	-61.3543	-0.00196649	0.001966487
178	-61.5272	-61.5256	-0.00158578	0.001585782
179	-61.5424	-61.5402	-0.0022406	0.002240604
180	-61.6169	-61.6146	-0.00230631	0.002306312
181	-61.6169	-61.6146	-0.00230631	0.002306312
182	-61.6174	-61.6159	-0.00152332	0.001523321
183	-61.7519	-61.7504	-0.00144949	0.001449489
184	-61.7519	-61.7504	-0.00144949	0.001449489
185	-61.3458	-61.3439	-0.00187427	0.001874271
186	-61.371	-61.369	-0.0020098	0.002009805
187	-61.4912	-61.489	-0.0021887	0.002188704
188	-61.6431	-61.6416	-0.00150777	0.001507769
189	-61.9504	-61.949	-0.00136361	0.001363611
190	-61.9504	-61.949	-0.00136361	0.001363611
191	-62.1688	-62.1675	-0.00128747	0.001287468
192	-62.1251	-62.1238	-0.00130158	0.001301577
193	-61.3463	-61.3444	-0.00190936	0.001909362
194	-61.9194	-61.918	-0.00137573	0.001375731
195	-61.5562	-61.5546	-0.00156409	0.00156409
196	-61.4508	-61.4487	-0.00214168	0.00214168
197	-61.7859	-61.7835	-0.00243124	0.002431237
198	-61.9969	-61.9943	-0.00256131	0.00256131
199	-61.3648	-61.363	-0.00178497	0.001784974
200	-61.3553	-61.3533	-0.00196273	0.001962733
201	-63.1753	-63.1742	-0.0010485	0.001048496
202	-63.1601	-63.159	-0.0010513	0.001051299
203	-61.7058	-61.7044	-0.00147287	0.00147287
204	-61.3455	-61.3437	-0.00188094	0.001880942
205	-61.3455	-61.3437	-0.00188094	0.001880942
206	-61.7402	-61.7378	-0.00239984	0.00239984
207	-61.3637	-61.3619	-0.00178796	0.001787963
208	-61.3963	-61.3946	-0.00172335	0.001723352
209	-61.7304	-61.728	-0.00239291	0.002392914
210	-61.3457	-61.3439	-0.00187508	0.001875083
211	-61.3457	-61.3439	-0.00187508	0.001875083
212	-61.4883	-61.4861	-0.00218551	0.002185513
213	-62.3062	-62.3049	-0.00124602	0.001246022
214	-61.6445	-61.6422	-0.00232865	0.002328647
215	-61.606	-61.6045	-0.00153048	0.001530476
216	-62.0618	-62.0605	-0.00132291	0.001322907
217	-62.2686	-62.2674	-0.00125694	0.001256943
218	-62.2686	-62.2674	-0.00125694	0.001256943
219	-61.703	-61.7006	-0.00237314	0.002373137
220	-63.1843	-63.1812	-0.00310247	0.003102468
221	-61.552	-61.5505	-0.00156709	0.001567088
222	-61.9042	-61.9017	-0.00250671	0.002506711
223	-61.5585	-61.5569	-0.00156243	0.001562433
224	-61.829	-61.8266	-0.00245961	0.002459605
225	-61.4175	-61.4154	-0.00209608	0.00209608
226	-61.9499	-61.9473	-0.00253402	0.002534022
227	-61.5911	-61.5888	-0.00228456	0.002284556
228	-61.6296	-61.6273	-0.00231676	0.002316757
229	-61.6296	-61.6273	-0.00231676	0.002316757
230	-61.9895	-61.9882	-0.00134883	0.001348827
231	-63.662	-63.661	-0.000966497	0.000966497
232	-61.3462	-61.3443	-0.00186694	0.001866944
233	-62.1417	-62.1404	-0.00129615	0.001296148
234	-61.9702	-61.9688	-0.00135606	0.001356057
235	-61.7674	-61.7659	-0.00144196	0.001441963
236	-61.5045	-61.5029	-0.00160416	0.001604161
237	-61.5045	-61.5029	-0.00160416	0.001604161
238	-61.3801	-61.3784	-0.00175116	0.001751163
239	-61.7772	-61.7747	-0.00242534	0.002425336
240	-61.4069	-61.4052	-0.00170762	0.001707619
241	-61.388	-61.3859	-0.00204629	0.002046294
242	-61.388	-61.3859	-0.00204629	0.002046294
243	-61.4122	-61.4105	-0.00170025	0.001700255
244	-62.4902	-62.489	-0.00119623	0.001196234
245	-62.704	-62.7028	-0.00114473	0.001144733
246	-62.5825	-62.5813	-0.00117325	0.001173252
247	-62.5825	-62.5813	-0.00117325	0.001173252
248	-61.3504	-61.3485	-0.00194072	0.001940722
249	-61.3504	-61.3485	-0.00194072	0.001940722
250	-62.5741	-62.5713	-0.00284974	0.002849745
251	-62.1019	-62.1006	-0.00130927	0.001309274
252	-61.4578	-61.4561	-0.00164726	0.001647258
253	-61.6023	-61.6007	-0.00153286	0.001532857
254	-61.6023	-61.6007	-0.00153286	0.001532857
255	-61.3534	-61.3515	-0.00182149	0.001821492
256	-61.5785	-61.577	-0.0015485	0.001548505
257	-63.1893	-63.1883	-0.00104591	0.00104591
258	-61.6597	-61.6574	-0.00234055	0.00234055
259	-61.5514	-61.5498	-0.00156757	0.001567575
260	-61.7546	-61.7522	-0.00240989	0.002409895
261	-61.7546	-61.7522	-0.00240989	0.002409895
262	-61.5081	-61.5059	-0.00220668	0.002206678
263	-61.5081	-61.5059	-0.00220668	0.002206678
264	-62.413	-62.4103	-0.00277581	0.002775812
265	-61.5456	-61.5434	-0.00224363	0.002243634
266	-61.3714	-61.3694	-0.00201089	0.002010886
