Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-748.126	-632.202	-115.924	1	0.4506051	0.136954	0.476752	1	2.38629	83.75631
10	-617.025	-503.609	-113.415	0.5028782	0.416011	0.0339224	0.253791	0.822351	2.88994	78.37057
20	-603.319	-485	-118.319	0.4667454	0.309743	0.0274024	0.229653	0.794477	2.94847	89.73283
30	-597.046	-478.423	-118.623	0.4144337	0.4163901	0.0188506	0.192453	0.746439	3.04226	90.87788
40	-591.238	-473.687	-117.552	0.4997547	0.5051601	0.0333423	0.251756	0.82009	2.89481	85.37655
50	-574.831	-460.475	-114.356	0.4814937	0.4131615	0.0300111	0.239663	0.806321	2.924	80.63973
60	-572.293	-461.109	-111.184	0.4323314	0.4789138	0.0216416	0.205468	0.764024	3.00887	73.09368
70	-567.78	-461.193	-106.587	0.5009455	0.6755143	0.0335631	0.252533	0.820955	2.89295	61.76018
80	-566.326	-460.274	-106.052	0.5425534	0.8811814	0.0415206	0.278791	0.848922	2.83077	56.64527
90	-549.375	-456.745	-92.6304	0.5277324	0.9137799	0.0386358	0.269635	0.839443	2.85229	41.24131
100	-541.646	-451.876	-89.7706	0.5282296	0.7985751	0.0387318	0.269946	0.83977	2.85155	38.06977
110	-534.889	-451.774	-83.1156	0.6492413	0.9967303	0.0633974	0.338563	0.904502	2.69354	31.12328
120	-523.222	-452.736	-70.4857	0.644792	1.383906	0.0624586	0.336274	0.902557	2.69871	21.05942
130	-505.308	-442.473	-62.835	0.8128395	1.820962	0.0982878	0.412252	0.96045	2.52901	16.72914
140	-501.143	-444.25	-56.8935	1.281725	2.50164	0.189552	0.547674	1.03454	2.22823	13.93713
150	-484.762	-435.447	-49.3145	1.57954	2.25989	0.237352	0.601282	1.05477	2.1066	10.61171
160	-466.272	-424.869	-41.4036	1.355076	4.480962	0.202042	0.562511	1.04064	2.19481	8.528376
170	-457.247	-427.396	-29.8517	1.666742	4.332975	0.24997	0.614146	1.05888	2.07701	5.904674
180	-445.287	-421.598	-23.6888	4.598323	6.574311	0.484488	0.793652	1.08392	1.63794	4.978745
190	-452.734	-433.721	-19.0134	30.71186	8.102147	0.780861	0.93249	1.04894	1.23771	4.276215
200	-455.049	-431.945	-23.104	41.64649	6.612182	0.810481	0.943068	1.04323	1.20322	4.88931
210	-439.061	-423.81	-15.2504	75.33329	10.57343	0.857586	0.958897	1.03352	1.14999	3.704985
220	-437.562	-421.681	-15.8816	17.75477	10.76493	0.71651	0.907733	1.06019	1.31556	3.749171
230	-426.192	-414.043	-12.1486	6.865167	8.192429	0.564928	0.838296	1.07927	1.51751	3.433577
240	-426.27	-415.617	-10.6529	22.01693	8.493156	0.743594	0.91846	1.05566	1.28229	3.268882
250	-443.937	-421.956	-21.9814	147.4121	6.316856	0.897335	0.971356	1.02477	1.10654	4.710829
260	-439.153	-422.469	-16.6839	125.0354	7.117453	0.888724	0.968725	1.02671	1.11584	3.967416
270	-445.969	-424.915	-21.0539	192.5436	7.634911	0.909939	0.975142	1.02189	1.09303	4.560677
280	-449.989	-426.472	-23.517	148.0885	7.547163	0.897565	0.971426	1.02472	1.10629	4.891841
290	-444.442	-432.847	-11.5953	183.2708	9.985039	0.90773	0.974484	1.0224	1.09539	3.379809
300	-436.877	-423.353	-13.5236	308.73	11.89469	0.928613	0.980608	1.01754	1.07324	3.452713
310	-433.215	-419.03	-14.1845	3406.366	12.28148	0.978306	0.994354	1.00548	1.02186	3.477472
320	-427.697	-414.657	-13.0396	2602.013	6.836838	0.975192	0.993526	1.00625	1.02503	3.41126
330	-434.848	-418.969	-15.879	4153.682	9.408187	0.980347	0.994894	1.00497	1.01979	3.845881
340	-447.303	-427.392	-19.9111	11109.52	5.558322	0.987966	0.996894	1.00305	1.01209	4.249035
350	-441.813	-429.636	-12.177	68804.45	8.98535	0.995158	0.998758	1.00123	1.00485	3.455392
360	-436.431	-420.472	-15.959	194933.2	7.349145	0.997122	0.999263	1.00073	1.00288	3.88123
370	-428.933	-417.866	-11.0665	155937.7	9.103287	0.996783	0.999176	1.00082	1.00322	3.333318
380	-428.989	-417.314	-11.6755	777729.1	7.249846	0.998559	0.999631	1.00037	1.00144	3.284375
390	-426.942	-418.699	-8.24319	287250.8	11.73871	0.997629	0.999393	1.0006	1.00237	3.014315
400	-435.877	-422.86	-13.0166	246533.8	7.069644	0.997441	0.999345	1.00065	1.00256	3.445394
410	-429.321	-414.899	-14.4218	978346.9	9.681024	0.998715	0.999671	1.00033	1.00129	3.678785
420	-437.637	-420.992	-16.6447	382272.8	6.806051	0.997945	0.999474	1.00052	1.00206	3.935407
430	-424.78	-413.337	-11.4425	861460.6	9.32524	0.998631	0.99965	1.00035	1.00137	3.37478
440	-425.262	-416.083	-9.17845	571103.3	8.865375	0.998319	0.99957	1.00043	1.00168	3.116588
450	-440.285	-426.676	-13.609	942939.5	8.55501	0.998691	0.999665	1.00033	1.00131	3.617334
460	-428.563	-415.262	-13.301	654602.9	9.651809	0.998429	0.999598	1.0004	1.00157	3.564069
470	-437.176	-421.835	-15.3415	932461.1	7.646092	0.998684	0.999663	1.00034	1.00132	3.812928
480	-442.098	-423.275	-18.8233	459221	6.636752	0.998125	0.99952	1.00048	1.00188	4.243915
490	-445.1	-423.953	-21.147	929963.5	6.09488	0.998682	0.999663	1.00034	1.00132	4.559102
500	-433.32	-419.372	-13.9486	938228.6	7.848679	0.998688	0.999665	1.00033	1.00131	3.641824
510	-425.036	-412.106	-12.9298	921652.4	10.24131	0.998676	0.999662	1.00034	1.00132	3.502188
520	-424.851	-414.766	-10.0858	887140.2	8.966065	0.998651	0.999655	1.00034	1.00135	3.222103
530	-423.354	-419.246	-4.10763	641497.4	13.47185	0.998413	0.999594	1.0004	1.00159	2.631148
540	-424.105	-411.26	-12.8454	683701.8	10.49484	0.998463	0.999607	1.00039	1.00154	3.481608
550	-434.2	-419.475	-14.7252	519818.9	6.830782	0.998238	0.999549	1.00045	1.00176	3.656943
560	-420.236	-409.72	-10.5159	793813.4	10.17403	0.998574	0.999635	1.00036	1.00143	3.26803
570	-424.296	-413.41	-10.886	302433.7	8.098474	0.99769	0.999409	1.00059	1.00231	3.27283
580	-424.825	-415.171	-9.65381	361746.4	11.04681	0.997887	0.999459	1.00054	1.00211	3.161856
590	-438.167	-420.858	-17.3089	625569.3	5.694013	0.998393	0.999589	1.00041	1.00161	3.825786
600	-440.408	-427.795	-12.6126	890679.2	7.546862	0.998653	0.999656	1.00034	1.00135	3.446982
610	-426.825	-415.522	-11.3027	281105.2	7.642094	0.997604	0.999387	1.00061	1.0024	3.284275
620	-441.934	-417.054	-24.8795	690848.5	9.464574	0.998471	0.999609	1.00039	1.00153	4.793586
