Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	0	-687.771	-637.556	-50.2145	1	2.895421	0.136954	0.476752	1	2.38629	11.37383
1	1	-688.029	-634.244	-53.7845	1	2.761869	0.136954	0.476752	1	2.38629	12.66184
2	0	-543.926	-500.244	-43.6816	1.554263	3.758673	0.233584	0.597346	1.05346	2.11561	9.268521
3	1	-526.089	-484.188	-41.9007	1.194953	4.187921	0.174137	0.528417	1.02605	2.2714	8.724898
4	0	-486.593	-449.599	-36.9937	19.46845	2.875628	0.72841	0.912503	1.05824	1.30085	6.777239
5	1	-483.051	-442.641	-40.4102	0.4126096	3.745757	0.0185748	0.191111	0.744573	3.04574	8.397477
6	0	-470.881	-441.947	-28.9344	47.12426	5.725517	0.821386	0.946839	1.04105	1.19073	5.865913
7	1	-464.942	-433.689	-31.2526	2.208684	4.754789	0.316974	0.675516	1.07443	1.93308	6.302483
8	0	-453.097	-430.512	-22.5854	54.54273	9.117041	0.833518	0.950958	1.03858	1.17695	4.596899
9	1	-453.572	-423.946	-29.6263	1.838509	5.809661	0.273204	0.636664	1.06537	2.02476	5.980029
10	0	-439.82	-424.563	-15.2571	44.76125	10.08531	0.816921	0.945302	1.04195	1.19583	3.739994
11	1	-448.466	-415.958	-32.5078	1.951415	8.225952	0.287405	0.649746	1.06872	1.99412	5.910149
12	0	-424.738	-414.341	-10.3977	364.7267	9.405604	0.934249	0.982225	1.01621	1.06732	3.26326
13	1	-439.875	-416.615	-23.2606	5.205411	7.127596	0.510392	0.808721	1.08293	1.59796	4.89078
14	0	-429.397	-418.035	-11.362	483.2951	14.00431	0.942787	0.984646	1.01417	1.0584	3.132856
15	1	-447.459	-420.544	-26.9149	1.109131	6.213602	0.1582	0.507264	1.01597	2.31857	5.498883
16	0	-427.833	-414.392	-13.4416	5863.782	6.737798	0.98345	0.995712	1.00419	1.01665	3.452538
17	1	-427.94	-413.515	-14.4253	1.520942	10.13962	0.22854	0.592006	1.05163	2.12783	3.654329
18	0	-427.798	-417.997	-9.80197	28169.59	9.299578	0.992437	0.998055	1.00192	1.00758	3.198459
19	1	-433.966	-415.607	-18.3586	0.9734629	9.640887	0.131629	0.468627	0.99546	2.40428	4.089063
20	0	-417.889	-415.208	-2.68093	35008.93	11.96466	0.993215	0.998257	1.00173	1.0068	2.541308
21	1	-412.707	-406.227	-6.48002	2.137402	8.297498	0.309143	0.668872	1.07308	1.94891	2.755084
22	0	-420.17	-414.522	-5.64812	195428.3	8.230396	0.997126	0.999264	1.00073	1.00288	2.645542
23	1	-418.798	-408.231	-10.5666	1.616562	6.780408	0.24278	0.606874	1.05659	2.09375	3.036258
24	0	-428.683	-421.114	-7.56868	389563.1	10.79917	0.997964	0.999479	1.00052	1.00204	2.976583
25	1	-423.341	-411.161	-12.1805	1.337191	11.72689	0.199041	0.559005	1.03924	2.20272	3.35047
26	0	-427.426	-419.192	-8.2336	253529.2	10.98871	0.997477	0.999354	1.00064	1.00253	3.034552
27	1	-418.38	-416.449	-1.93152	2.44478	10.09396	0.341158	0.695271	1.07797	1.8856	2.419264
28	0	-426.115	-413.155	-12.9595	973785.6	9.615781	0.998712	0.999671	1.00033	1.00129	3.529825
29	1	-415.524	-409.721	-5.8028	3.041707	11.00675	0.392463	0.733811	1.08271	1.79101	2.813322
30	0	-421.377	-411.364	-10.0124	510830.3	11.42357	0.998222	0.999545	1.00045	1.00178	3.17925
