Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	alpha_ofbeta	beta_ofbeta	br_len_lambda	cats[1]	cats[2]	cats[3]	cats[4]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	0	-797.331	-741.914	-55.417	117799.1	22.05302	2.656714	2.812395	0.773686	0.849801	0.891876	0.937014	0.567455	0.0202552	0.0552788	0.357011	0.996299	0.999052	1.00094	1.00371	11.345
1	1	-744.271	-684.725	-59.5454	992895.4	9.231025	1.700516	1.978685	0.641301	0.768062	0.840144	0.915166	0.359865	0.0189214	0.11703	0.504184	0.998725	0.999674	1.00033	1.00128	13.12824
2	0	-558.822	-510.031	-48.7907	65811.17	8.586176	5.81675	4.422586	0.430302	0.547485	0.62732	0.732567	0.700455	0.0103747	0.0734227	0.215747	0.995049	0.99873	1.00126	1.00496	9.254254
3	1	-572.257	-523.095	-49.1629	684915.7	11.11121	7.687442	3.092943	0.445042	0.549196	0.619996	0.714996	0.566921	0.0240803	0.187322	0.221677	0.998465	0.999607	1.00039	1.00154	9.481398
4	0	-501.584	-461.87	-39.714	85779.7	7.679657	8.485365	3.897619	0.332528	0.438661	0.51557	0.624531	0.483756	0.0190177	0.230149	0.267078	0.995663	0.998888	1.00111	1.00434	7.083795
5	1	-502.651	-468.016	-34.6349	800781.4	7.100676	9.054747	6.337836	0.302608	0.406206	0.482729	0.593197	0.225996	0.0392646	0.0486597	0.68608	0.99858	0.999637	1.00036	1.00142	6.009521
6	0	-470.045	-441.028	-29.0169	42204.76	1.901489	3.704461	8.192511	0.178078	0.314093	0.430575	0.603159	0.102866	0.112433	0.273332	0.511369	0.993819	0.998413	1.00157	1.00619	5.080727
7	1	-460.559	-436.251	-24.3087	273818.5	8.318773	8.778564	11.34011	0.345689	0.450083	0.52511	0.630966	0.341466	0.04937	0.102411	0.506753	0.997572	0.999379	1.00062	1.00243	4.044605
8	0	-447.803	-428.153	-19.6501	6637.765	1.19724	5.286529	7.335182	0.0955432	0.194104	0.290972	0.455354	0.081425	0.17929	0.117142	0.622143	0.984442	0.995972	1.00394	1.01564	3.911705
9	1	-440.865	-423.801	-17.0634	110033.2	10.53734	7.434832	9.160917	0.437563	0.543724	0.616116	0.71328	0.526581	0.242838	0.162999	0.0675812	0.996171	0.999019	1.00098	1.00383	3.485144
10	0	-435.753	-420.196	-15.5565	26343.43	2.336245	4.025933	11.36799	0.200534	0.335881	0.447893	0.611565	0.0435097	0.236911	0.413286	0.306293	0.992179	0.997989	1.00199	1.00784	3.365854
11	1	-425.8	-413.295	-12.5053	587950.6	6.028718	6.427925	10.02363	0.323829	0.442389	0.528887	0.649668	0.0905279	0.851426	0.0357388	0.0223078	0.998343	0.999576	1.00042	1.00166	3.064558
12	0	-433.662	-419.47	-14.1922	61284.19	2.004519	3.383346	9.235297	0.196017	0.339307	0.459212	0.632196	0.0386235	0.225568	0.235317	0.500492	0.99487	0.998684	1.00131	1.00514	3.309728
13	1	-424.787	-408.089	-16.6983	972277.3	7.715019	6.879948	8.022506	0.371865	0.48578	0.5663	0.676696	0.198599	0.725279	0.0358165	0.0403048	0.998711	0.99967	1.00033	1.00129	3.458833
14	0	-422.514	-408.686	-13.8279	21649.61	1.314068	1.376788	12.85411	0.222778	0.41448	0.570451	0.765549	0.132577	0.444951	0.0893929	0.333079	0.991374	0.99778	1.00219	1.00865	3.163093
15	1	-432.995	-415.053	-17.9426	361383.4	5.809755	6.23772	6.436292	0.320259	0.440249	0.528024	0.650536	0.318156	0.377454	0.0696671	0.234723	0.997886	0.999459	1.00054	1.00212	3.463938
16	0	-428.265	-414.095	-14.1701	76671.88	1.686891	1.484334	8.604922	0.257191	0.447888	0.595782	0.777479	0.135301	0.472745	0.286474	0.10548	0.995413	0.998824	1.00117	1.00459	3.318903
17	1	-436.145	-418.809	-17.3362	359671.3	3.756254	5.660453	6.692183	0.241468	0.36427	0.460422	0.600258	0.0300018	0.592771	0.292873	0.084354	0.997881	0.999458	1.00054	1.00212	3.464786
18	0	-433.063	-415.579	-17.4842	320593.8	2.952474	2.0773	9.297299	0.331503	0.50517	0.629756	0.782561	0.576212	0.294572	0.081934	0.047282	0.997756	0.999426	1.00057	1.00225	3.66801
19	1	-433.01	-416.677	-16.3334	687143.7	4.651683	7.255478	9.537832	0.247439	0.35921	0.445741	0.573157	0.00673325	0.347125	0.636565	0.00957666	0.998467	0.999608	1.00039	1.00153	3.466071
20	0	-439.747	-418.309	-21.4387	895039.6	9.593089	10.10255	11.03359	0.354437	0.452793	0.5231	0.622705	0.4037	0.481483	0.0794138	0.0354029	0.998657	0.999657	1.00034	1.00134	3.796901
21	1	-428.479	-415.92	-12.5589	712083.3	3.008996	2.742542	9.38398	0.298276	0.458778	0.578205	0.733491	0.0743598	0.567578	0.3033	0.0547621	0.998494	0.999615	1.00038	1.00151	3.132359
22	0	-424.545	-410.774	-13.771	218957.6	14.05668	11.84796	10.27314	0.420393	0.509552	0.571236	0.657125	0.825248	0.0849218	0.0450527	0.0447774	0.997285	0.999305	1.00069	1.00272	3.056549
23	1	-425.677	-409.174	-16.5028	725756.5	8.301277	8.125274	9.506742	0.359478	0.466712	0.543139	0.649774	0.0178256	0.528463	0.314419	0.139293	0.998508	0.999619	1.00038	1.00149	3.437005
24	0	-424.668	-415.376	-9.29231	508720.7	13.84703	15.08191	13.60275	0.36756	0.450317	0.509012	0.593258	0.286195	0.255279	0.0992484	0.359278	0.998218	0.999544	1.00045	1.00178	2.589015
25	1	-425.256	-414.528	-10.7279	567018.1	4.637446	6.231672	10.47409	0.270084	0.389724	0.480794	0.611638	0.0291667	0.40868	0.409293	0.15286	0.998312	0.999568	1.00043	1.00169	2.90812
26	0	-423.252	-412.529	-10.7235	221045.8	11.63946	16.90296	12.24659	0.303578	0.383112	0.441304	0.527338	0.110493	0.0965087	0.391557	0.401441	0.997298	0.999308	1.00069	1.0027	2.734884
27	1	-422.362	-413.459	-8.90282	491864.2	4.528643	5.986967	9.229324	0.271253	0.392791	0.485267	0.617649	0.0513093	0.535423	0.396209	0.0170585	0.998188	0.999536	1.00046	1.00181	2.681021
28	0	-430.198	-415.848	-14.3496	68460.87	10.47319	13.73191	11.23887	0.31774	0.404771	0.468136	0.560643	0.346487	0.162437	0.0607633	0.430313	0.995146	0.998755	1.00124	1.00486	3.107135
29	1	-419.758	-405.803	-13.9549	399233.2	9.341964	11.10378	10.65458	0.330204	0.425296	0.49419	0.593326	0.427042	0.0941868	0.396411	0.0823594	0.997989	0.999485	1.00051	1.00201	3.121376
30	0	-425.555	-412.255	-13.3002	431208.6	14.75479	15.8152	11.70418	0.373945	0.454834	0.512033	0.594072	0.248184	0.127058	0.252912	0.371846	0.998065	0.999505	1.00049	1.00194	2.945997
31	1	-431.393	-420.784	-10.6092	833195.6	7.246288	6.334835	13.34611	0.371164	0.48878	0.571897	0.685154	0.43679	0.0370235	0.486669	0.0395175	0.998608	0.999644	1.00036	1.00139	2.809222
32	0	-430.17	-418.139	-12.0311	233575	8.39689	5.140189	9.428593	0.447125	0.568042	0.649392	0.754657	0.174087	0.201666	0.486734	0.137513	0.997371	0.999327	1.00067	1.00263	2.994641
33	1	-420.077	-408.048	-12.0292	517086.1	14.03198	9.975185	11.7886	0.454936	0.548071	0.611378	0.69759	0.556817	0.0230571	0.38401	0.0361158	0.998233	0.999548	1.00045	1.00177	2.891436
34	0	-421.463	-405.527	-15.9356	628091.4	6.639455	6.79582	7.590199	0.337146	0.452909	0.53658	0.653105	0.0812582	0.66981	0.0572364	0.191696	0.998397	0.99959	1.00041	1.0016	3.341178
35	1	-432.798	-418.497	-14.3015	719016.3	10.61586	15.28126	9.399322	0.301076	0.384166	0.445142	0.535144	0.219986	0.0626116	0.704106	0.0132964	0.998501	0.999617	1.00038	1.0015	3.103723
36	0	-431.773	-411.15	-20.6231	703760.2	6.140265	6.540227	8.342919	0.32518	0.442928	0.528749	0.648654	0.177874	0.492219	0.148865	0.181042	0.998485	0.999613	1.00039	1.00152	3.966597
37	1	-433.203	-418.064	-15.1391	620128.6	15.25876	14.57212	9.90459	0.399251	0.48204	0.539921	0.621931	0.0502027	0.760179	0.125568	0.0640509	0.998386	0.999587	1.00041	1.00161	3.15449
38	0	-429.682	-415.34	-14.3425	583556.7	7.076183	10.77955	7.358515	0.27201	0.367937	0.440117	0.546909	0.0495473	0.50283	0.132774	0.314849	0.998337	0.999575	1.00042	1.00166	3.037084
39	1	-429.791	-413.264	-16.5267	811189.9	9.675563	11.75102	9.414501	0.328044	0.420934	0.488288	0.585546	0.126011	0.183653	0.501257	0.18908	0.998589	0.999639	1.00036	1.00141	3.387889
40	0	-429.63	-415.169	-14.4612	299896.7	5.724862	11.44508	6.479611	0.219717	0.310701	0.381905	0.490886	0.177035	0.18024	0.111658	0.531067	0.99768	0.999406	1.00059	1.00232	2.857266
41	1	-429.533	-414.997	-14.5364	574287.2	11.67446	17.04718	9.88978	0.30269	0.381922	0.439913	0.525707	0.116264	0.12291	0.443936	0.316891	0.998323	0.999571	1.00043	1.00168	3.104797
42	0	-424.075	-410.642	-13.4328	448683.5	8.648638	13.22205	11.60644	0.280885	0.369053	0.434723	0.532157	0.289758	0.0810022	0.263463	0.365777	0.998103	0.999515	1.00048	1.0019	3.035021
43	1	-432.02	-416.655	-15.365	582274	25.82937	29.63783	9.275076	0.384073	0.445095	0.487971	0.550318	0.213568	0.0836023	0.34066	0.36217	0.998335	0.999574	1.00042	1.00167	2.896481
44	0	-416.49	-409.512	-6.97757	887031.5	13.02041	19.15151	11.66642	0.30603	0.381326	0.436232	0.517573	0.279064	0.175879	0.472994	0.0720629	0.998651	0.999655	1.00034	1.00135	2.391356
45	1	-442.391	-420.109	-22.282	323847.5	15.61417	25.67765	4.618007	0.292217	0.358149	0.406307	0.478413	0.141713	0.0714554	0.331596	0.455235	0.997767	0.999429	1.00057	1.00223	2.84059
46	0	-423.36	-415.483	-7.87621	238053.5	8.215395	9.567443	9.9594	0.326891	0.428065	0.501591	0.606764	0.376611	0.429531	0.174737	0.0191209	0.997396	0.999333	1.00066	1.00261	2.546035
47	1	-420.799	-408.594	-12.2059	779585	12.03121	9.86443	9.696887	0.416747	0.513102	0.579765	0.671739	0.211612	0.210739	0.34176	0.23589	0.998561	0.999632	1.00037	1.00144	2.933558
48	0	-417.475	-414.057	-3.41854	588470.9	3.082021	3.611551	17.12995	0.265354	0.411335	0.523645	0.677845	0.403513	0.0815981	0.295991	0.218897	0.998343	0.999576	1.00042	1.00166	2.245798
49	1	-432.577	-414.287	-18.2894	412141.1	31.57328	38.74022	8.333845	0.376848	0.431007	0.469097	0.524829	0.569085	0.281173	0.0716773	0.0780643	0.998021	0.999494	1.00051	1.00198	2.995244
50	0	-415.304	-411.027	-4.27721	509210.7	3.834824	3.366092	13.17944	0.322777	0.472536	0.581652	0.724923	0.797901	0.15924	0.0223229	0.0205362	0.998219	0.999544	1.00045	1.00178	2.383776
51	1	-441.917	-416.816	-25.1013	275755.6	25.14632	31.62701	8.659406	0.363527	0.423218	0.465441	0.527283	0.139662	0.412096	0.394906	0.0533351	0.99758	0.999381	1.00062	1.00242	3.964158
52	0	-417.688	-414.987	-2.70096	454333.2	2.405224	2.008219	20.92514	0.291584	0.467941	0.599662	0.764617	0.312741	0.41013	0.212168	0.0649611	0.998115	0.999518	1.00048	1.00189	2.094412
53	1	-438.366	-415.982	-22.3845	83263.55	27.83352	40.86721	8.775116	0.334682	0.388059	0.426095	0.482464	0.469123	0.129871	0.298738	0.102268	0.995598	0.998871	1.00112	1.00441	3.513649
54	0	-433.204	-420.922	-12.2824	761242.3	5.659397	6.847844	9.697378	0.298549	0.41437	0.500428	0.622811	0.122323	0.37236	0.0877585	0.417558	0.998544	0.999628	1.00037	1.00146	3.038282
