Iteration	Posterior	Likelihood	Prior	alpha_morpho	alpha_ofbeta	beta_ofbeta	br_len_lambda	cats[1]	cats[2]	cats[3]	cats[4]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-744.271	-684.725	-59.5454	992895.4	9.231025	1.700516	1.978685	0.641301	0.768062	0.840144	0.915166	0.359865	0.0189214	0.11703	0.504184	0.998725	0.999674	1.00033	1.00128	13.12824
10	-572.257	-523.095	-49.1629	684915.7	11.11121	7.687442	3.092943	0.445042	0.549196	0.619996	0.714996	0.566921	0.0240803	0.187322	0.221677	0.998465	0.999607	1.00039	1.00154	9.481398
20	-502.651	-468.016	-34.6349	800781.4	7.100676	9.054747	6.337836	0.302608	0.406206	0.482729	0.593197	0.225996	0.0392646	0.0486597	0.68608	0.99858	0.999637	1.00036	1.00142	6.009521
30	-460.559	-436.251	-24.3087	273818.5	8.318773	8.778564	11.34011	0.345689	0.450083	0.52511	0.630966	0.341466	0.04937	0.102411	0.506753	0.997572	0.999379	1.00062	1.00243	4.044605
40	-440.865	-423.801	-17.0634	110033.2	10.53734	7.434832	9.160917	0.437563	0.543724	0.616116	0.71328	0.526581	0.242838	0.162999	0.0675812	0.996171	0.999019	1.00098	1.00383	3.485144
50	-425.8	-413.295	-12.5053	587950.6	6.028718	6.427925	10.02363	0.323829	0.442389	0.528887	0.649668	0.0905279	0.851426	0.0357388	0.0223078	0.998343	0.999576	1.00042	1.00166	3.064558
60	-424.787	-408.089	-16.6983	972277.3	7.715019	6.879948	8.022506	0.371865	0.48578	0.5663	0.676696	0.198599	0.725279	0.0358165	0.0403048	0.998711	0.99967	1.00033	1.00129	3.458833
70	-432.995	-415.053	-17.9426	361383.4	5.809755	6.23772	6.436292	0.320259	0.440249	0.528024	0.650536	0.318156	0.377454	0.0696671	0.234723	0.997886	0.999459	1.00054	1.00212	3.463938
80	-436.145	-418.809	-17.3362	359671.3	3.756254	5.660453	6.692183	0.241468	0.36427	0.460422	0.600258	0.0300018	0.592771	0.292873	0.084354	0.997881	0.999458	1.00054	1.00212	3.464786
90	-433.01	-416.677	-16.3334	687143.7	4.651683	7.255478	9.537832	0.247439	0.35921	0.445741	0.573157	0.00673325	0.347125	0.636565	0.00957666	0.998467	0.999608	1.00039	1.00153	3.466071
100	-428.479	-415.92	-12.5589	712083.3	3.008996	2.742542	9.38398	0.298276	0.458778	0.578205	0.733491	0.0743598	0.567578	0.3033	0.0547621	0.998494	0.999615	1.00038	1.00151	3.132359
110	-425.677	-409.174	-16.5028	725756.5	8.301277	8.125274	9.506742	0.359478	0.466712	0.543139	0.649774	0.0178256	0.528463	0.314419	0.139293	0.998508	0.999619	1.00038	1.00149	3.437005
120	-425.256	-414.528	-10.7279	567018.1	4.637446	6.231672	10.47409	0.270084	0.389724	0.480794	0.611638	0.0291667	0.40868	0.409293	0.15286	0.998312	0.999568	1.00043	1.00169	2.90812
130	-422.362	-413.459	-8.90282	491864.2	4.528643	5.986967	9.229324	0.271253	0.392791	0.485267	0.617649	0.0513093	0.535423	0.396209	0.0170585	0.998188	0.999536	1.00046	1.00181	2.681021
140	-419.758	-405.803	-13.9549	399233.2	9.341964	11.10378	10.65458	0.330204	0.425296	0.49419	0.593326	0.427042	0.0941868	0.396411	0.0823594	0.997989	0.999485	1.00051	1.00201	3.121376
150	-431.393	-420.784	-10.6092	833195.6	7.246288	6.334835	13.34611	0.371164	0.48878	0.571897	0.685154	0.43679	0.0370235	0.486669	0.0395175	0.998608	0.999644	1.00036	1.00139	2.809222
160	-420.077	-408.048	-12.0292	517086.1	14.03198	9.975185	11.7886	0.454936	0.548071	0.611378	0.69759	0.556817	0.0230571	0.38401	0.0361158	0.998233	0.999548	1.00045	1.00177	2.891436
170	-432.798	-418.497	-14.3015	719016.3	10.61586	15.28126	9.399322	0.301076	0.384166	0.445142	0.535144	0.219986	0.0626116	0.704106	0.0132964	0.998501	0.999617	1.00038	1.0015	3.103723
180	-433.203	-418.064	-15.1391	620128.6	15.25876	14.57212	9.90459	0.399251	0.48204	0.539921	0.621931	0.0502027	0.760179	0.125568	0.0640509	0.998386	0.999587	1.00041	1.00161	3.15449
190	-429.791	-413.264	-16.5267	811189.9	9.675563	11.75102	9.414501	0.328044	0.420934	0.488288	0.585546	0.126011	0.183653	0.501257	0.18908	0.998589	0.999639	1.00036	1.00141	3.387889
200	-429.533	-414.997	-14.5364	574287.2	11.67446	17.04718	9.88978	0.30269	0.381922	0.439913	0.525707	0.116264	0.12291	0.443936	0.316891	0.998323	0.999571	1.00043	1.00168	3.104797
210	-432.02	-416.655	-15.365	582274	25.82937	29.63783	9.275076	0.384073	0.445095	0.487971	0.550318	0.213568	0.0836023	0.34066	0.36217	0.998335	0.999574	1.00042	1.00167	2.896481
220	-442.391	-420.109	-22.282	323847.5	15.61417	25.67765	4.618007	0.292217	0.358149	0.406307	0.478413	0.141713	0.0714554	0.331596	0.455235	0.997767	0.999429	1.00057	1.00223	2.84059
230	-420.799	-408.594	-12.2059	779585	12.03121	9.86443	9.696887	0.416747	0.513102	0.579765	0.671739	0.211612	0.210739	0.34176	0.23589	0.998561	0.999632	1.00037	1.00144	2.933558
240	-432.577	-414.287	-18.2894	412141.1	31.57328	38.74022	8.333845	0.376848	0.431007	0.469097	0.524829	0.569085	0.281173	0.0716773	0.0780643	0.998021	0.999494	1.00051	1.00198	2.995244
250	-441.917	-416.816	-25.1013	275755.6	25.14632	31.62701	8.659406	0.363527	0.423218	0.465441	0.527283	0.139662	0.412096	0.394906	0.0533351	0.99758	0.999381	1.00062	1.00242	3.964158
260	-438.366	-415.982	-22.3845	83263.55	27.83352	40.86721	8.775116	0.334682	0.388059	0.426095	0.482464	0.469123	0.129871	0.298738	0.102268	0.995598	0.998871	1.00112	1.00441	3.513649
270	-439.297	-418.434	-20.8635	24531.27	22.67018	46.75845	9.858645	0.262366	0.311922	0.348135	0.403106	0.153163	0.0541344	0.410623	0.382079	0.991896	0.997915	1.00206	1.00813	3.333554
280	-450.707	-426.502	-24.205	10583.64	32.7262	47.02078	9.535434	0.344292	0.39424	0.429669	0.482071	0.205692	0.0298801	0.476219	0.288209	0.987672	0.996817	1.00313	1.01238	3.580177
290	-437.013	-415.341	-21.6723	836605.4	15.07068	22.2206	8.132488	0.31161	0.382108	0.433256	0.509082	0.0735519	0.0162619	0.844609	0.0655777	0.998611	0.999645	1.00035	1.00139	3.797136
300	-435.458	-415.7	-19.7584	864159.8	12.47445	11.83355	9.767323	0.389746	0.480574	0.544321	0.634081	0.690306	0.0146867	0.141942	0.153065	0.998633	0.99965	1.00035	1.00137	3.683957
310	-421.961	-413.49	-8.47069	54621.57	11.30501	14.11988	10.06695	0.330657	0.416558	0.478643	0.568863	0.534705	0.0389973	0.278802	0.147496	0.994566	0.998606	1.00138	1.00544	2.535048
320	-417.025	-408.128	-8.89674	683518.6	9.972541	13.5045	10.53643	0.309374	0.397039	0.461188	0.555133	0.208712	0.00563077	0.703286	0.0823712	0.998463	0.999607	1.00039	1.00154	2.614862
330	-424.408	-409.208	-15.1994	895743.7	15.57521	14.44784	10.45259	0.406317	0.489078	0.546761	0.628254	0.620036	0.0343257	0.0296005	0.316038	0.998657	0.999657	1.00034	1.00134	3.152564
340	-414.205	-407.087	-7.11802	829437	5.238798	10.65587	11.26322	0.213629	0.306941	0.380552	0.493437	0.319408	0.0115957	0.0134725	0.655524	0.998605	0.999643	1.00036	1.0014	2.538057
350	-423.545	-411.301	-12.2443	36488.51	3.726188	7.388591	11.0798	0.203198	0.310736	0.397638	0.529913	0.19285	0.0163248	0.0418039	0.749021	0.993354	0.998293	1.00169	1.00666	3.040292
360	-438.139	-419.562	-18.5773	26779.55	5.125822	7.654278	11.76328	0.259083	0.369024	0.453184	0.576566	0.0580532	0.0220935	0.844623	0.0752306	0.992243	0.998005	1.00197	1.00778	3.544161
370	-438.595	-414.071	-24.5249	146572.5	10.38175	11.37101	6.222867	0.35138	0.44512	0.512219	0.607984	0.0759307	0.0380398	0.875945	0.0100841	0.996682	0.99915	1.00085	1.00332	4.312576
380	-431.202	-411.896	-19.3054	106564.8	7.230096	6.036346	12.87273	0.379311	0.498652	0.582517	0.695909	0.397673	0.122115	0.372762	0.10745	0.996109	0.999003	1.00099	1.0039	3.505302
390	-420.876	-413.217	-7.65969	728081.8	5.77417	4.332538	10.62358	0.38081	0.515386	0.609422	0.732536	0.794392	0.021249	0.176491	0.00786828	0.998511	0.999619	1.00038	1.00149	2.62677
400	-425.547	-410.324	-15.2225	79446.2	10.29973	10.7662	8.124807	0.359912	0.455558	0.523712	0.620371	0.341884	0.0680313	0.411842	0.178242	0.995494	0.998845	1.00115	1.00451	3.20294
410	-432.541	-416.493	-16.0476	466970.8	8.049319	14.97043	11.70979	0.24474	0.32715	0.389847	0.485011	0.239636	0.120247	0.237888	0.402229	0.998141	0.999524	1.00047	1.00186	3.244937
420	-426.285	-414.318	-11.9663	979646.5	9.963589	12.37734	8.948506	0.325341	0.41625	0.482234	0.577847	0.0511887	0.451399	0.23659	0.260822	0.998716	0.999672	1.00033	1.00128	2.867685
430	-428.645	-415.075	-13.57	874472.2	6.936718	6.544854	11.55927	0.354472	0.471372	0.554889	0.669891	0.625364	0.117955	0.194183	0.0624989	0.998641	0.999652	1.00035	1.00136	3.12104
440	-429.158	-414.619	-14.5394	284366.8	3.922553	13.5998	12.14557	0.137874	0.213039	0.276638	0.381048	0.0784308	0.0109036	0.156415	0.75425	0.997617	0.99939	1.00061	1.00238	3.1417
450	-427.262	-415.497	-11.7649	951106.8	7.150115	10.27458	11.25697	0.28239	0.380502	0.453856	0.561551	0.137355	0.450698	0.308059	0.103888	0.998697	0.999667	1.00033	1.0013	2.937158
460	-421.178	-414.167	-7.01127	832488.7	6.952553	5.563666	14.26115	0.384054	0.506798	0.59271	0.707795	0.569169	0.150652	0.113939	0.16624	0.998607	0.999644	1.00036	1.00139	2.524768
470	-424.874	-416.507	-8.36617	113375.9	12.53492	15.07024	11.02105	0.343076	0.426432	0.486263	0.572954	0.34935	0.251099	0.368451	0.0311	0.996227	0.999033	1.00096	1.00378	2.540135
480	-429.886	-417.755	-12.1309	124003.9	13.01402	11.19795	12.01027	0.411763	0.503542	0.567266	0.655997	0.148619	0.325924	0.316088	0.209369	0.996393	0.999076	1.00092	1.00361	2.892335
490	-426.402	-411.647	-14.7551	815719.6	15.44306	10.25933	10.46054	0.474623	0.565028	0.625988	0.708604	0.565518	0.0482125	0.320917	0.065353	0.998593	0.99964	1.00036	1.00141	3.151245
500	-422.562	-408.692	-13.8693	563078.7	8.356397	5.585268	8.807651	0.430696	0.549613	0.63054	0.736808	0.483334	0.00380221	0.466427	0.0464372	0.998307	0.999567	1.00043	1.00169	3.168715
