Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-687.771	-637.556	-50.2145	1	2.895421	0.136954	0.476752	1	2.38629	11.37383
10	-543.926	-500.244	-43.6816	1.554263	3.758673	0.233584	0.597346	1.05346	2.11561	9.268521
20	-486.593	-449.599	-36.9937	19.46845	2.875628	0.72841	0.912503	1.05824	1.30085	6.777239
30	-470.881	-441.947	-28.9344	47.12426	5.725517	0.821386	0.946839	1.04105	1.19073	5.865913
40	-453.097	-430.512	-22.5854	54.54273	9.117041	0.833518	0.950958	1.03858	1.17695	4.596899
50	-439.82	-424.563	-15.2571	44.76125	10.08531	0.816921	0.945302	1.04195	1.19583	3.739994
60	-424.738	-414.341	-10.3977	364.7267	9.405604	0.934249	0.982225	1.01621	1.06732	3.26326
70	-429.397	-418.035	-11.362	483.2951	14.00431	0.942787	0.984646	1.01417	1.0584	3.132856
80	-427.833	-414.392	-13.4416	5863.782	6.737798	0.98345	0.995712	1.00419	1.01665	3.452538
90	-427.798	-417.997	-9.80197	28169.59	9.299578	0.992437	0.998055	1.00192	1.00758	3.198459
100	-417.889	-415.208	-2.68093	35008.93	11.96466	0.993215	0.998257	1.00173	1.0068	2.541308
110	-420.17	-414.522	-5.64812	195428.3	8.230396	0.997126	0.999264	1.00073	1.00288	2.645542
120	-428.683	-421.114	-7.56868	389563.1	10.79917	0.997964	0.999479	1.00052	1.00204	2.976583
130	-427.426	-419.192	-8.2336	253529.2	10.98871	0.997477	0.999354	1.00064	1.00253	3.034552
140	-426.115	-413.155	-12.9595	973785.6	9.615781	0.998712	0.999671	1.00033	1.00129	3.529825
150	-421.377	-411.364	-10.0124	510830.3	11.42357	0.998222	0.999545	1.00045	1.00178	3.17925
160	-415.727	-414.782	-0.94525	290407.8	13.57741	0.997642	0.999397	1.0006	1.00236	2.395192
170	-417.255	-416.979	-0.276025	296850.2	14.77864	0.997668	0.999403	1.00059	1.00233	2.328268
180	-413.421	-410.946	-2.47507	717360.7	10.90046	0.9985	0.999616	1.00038	1.0015	2.508045
190	-416.376	-409.022	-7.35341	888264	13.23975	0.998652	0.999655	1.00034	1.00135	2.882618
200	-418.56	-408.147	-10.4132	517108.1	13.03183	0.998233	0.999548	1.00045	1.00177	3.126514
210	-428.145	-416.05	-12.0952	202937.7	9.235888	0.99718	0.999278	1.00072	1.00282	3.44564
220	-426.254	-419.691	-6.56287	433275.3	10.11677	0.99807	0.999506	1.00049	1.00193	2.878511
230	-423.828	-420.949	-2.87916	968222.3	12.05793	0.998708	0.99967	1.00033	1.00129	2.557795
240	-427.06	-425.826	-1.23411	241773.7	11.19275	0.997416	0.999339	1.00066	1.00259	2.404471
250	-430.096	-416.421	-13.6754	499780.1	9.574497	0.998203	0.99954	1.00046	1.0018	3.60585
260	-433.602	-420.114	-13.4883	168582.5	6.679398	0.996906	0.999208	1.00079	1.0031	3.44846
