Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda[13]	lambda[14]	lambda[15]	lambda[16]	lambda[17]	lambda[18]	lambda[19]	lambda[20]	lambda[21]	lambda[22]	lambda[23]	lambda[24]	lambda[25]	lambda[26]	lambda[27]	lambda[28]	lambda[29]	lambda[30]	lambda[31]	lambda[32]	lambda[33]	lambda[34]	lambda[35]	lambda[36]	lambda[37]	lambda[38]	lambda[39]	lambda[40]	lambda[41]	lambda[42]	lambda[43]	lambda[44]	lambda[45]	lambda[46]	lambda[47]	lambda[48]	lambda[49]	lambda[50]	lambda[51]	lambda[52]	lambda[53]	lambda[54]	lambda[55]	lambda[56]	lambda[57]	lambda[58]	lambda[59]	lambda[60]	lambda[61]	lambda[62]	lambda[63]	lambda[64]	lambda[65]	lambda[66]	lambda[67]	lambda[68]	lambda[69]	lambda[70]	lambda[71]	lambda[72]	lambda[73]	lambda[74]	lambda[75]	lambda[76]	lambda[77]	lambda[78]	lambda[79]	lambda[80]	lambda[81]	lambda[82]	lambda[83]	lambda[84]	lambda[85]	lambda[86]	lambda[87]	lambda[88]	lambda[89]	lambda[90]	lambda[91]	lambda[92]	lambda[93]	lambda[94]	lambda[95]	lambda[96]	lambda[97]	lambda[98]	m_w[1][1]	m_w[1][2]	m_w[1][3]	m_w[1][4]	m_w[1][5]	m_w[1][6]	m_w[1][7]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu[11]	mu[12]	mu[13]	mu[14]	mu[15]	mu[16]	mu[17]	mu[18]	mu[19]	mu[20]	mu[21]	mu[22]	mu[23]	mu[24]	mu[25]	mu[26]	mu[27]	mu[28]	mu[29]	mu[30]	mu[31]	mu[32]	mu[33]	mu[34]	mu[35]	mu[36]	mu[37]	mu[38]	mu[39]	mu[40]	mu[41]	mu[42]	mu[43]	mu[44]	mu[45]	mu[46]	mu[47]	mu[48]	mu[49]	mu[50]	mu[51]	mu[52]	mu[53]	mu[54]	mu[55]	mu[56]	mu[57]	mu[58]	mu[59]	mu[60]	mu[61]	mu[62]	mu[63]	mu[64]	mu[65]	mu[66]	mu[67]	mu[68]	mu[69]	mu[70]	mu[71]	mu[72]	mu[73]	mu[74]	mu[75]	mu[76]	mu[77]	mu[78]	mu[79]	mu[80]	mu[81]	mu[82]	mu[83]	mu[84]	mu[85]	mu[86]	mu[87]	mu[88]	mu[89]	mu[90]	mu[91]	mu[92]	mu[93]	mu[94]	mu[95]	mu[96]	mu[97]	mu[98]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_e[1]	r_e[2]	r_e[3]	r_e[4]	r_e[5]	r_e[6]	r_e[7]	r_w[1]	r_w[2]	r_w[3]	r_w[4]	r_w[5]	r_w[6]	r_w[7]	rho_b	rho_d	rho_e	rho_w	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	use_phi_b[1]	use_phi_b[2]	use_phi_d[1]	use_phi_d[2]	use_phi_e[1]	use_phi_e[2]	use_phi_w[1]	use_phi_w[2]	use_sigma_b[1]	use_sigma_b[2]	use_sigma_d[1]	use_sigma_d[2]	use_sigma_e[1]	use_sigma_e[2]	use_sigma_w[1]	use_sigma_w[2]
0	-194.6815	-182.3467	-12.33484	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	0.608333	1	1	1	1	1	1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0.1	0.1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	-171.607	-153.7784	-17.8286	0.322515	0.322007	0.321558	0.321544	0.321424	0.321222	0.32155	0.705104	0.758026	0.706806	0.796445	0.717148	0.681786	0.858283	0.725891	0.686544	0.677669	0.886951	0.737986	0.697468	0.686329	0.67837	3.00705	3.00655	3.0061	3.00608	3.00596	3.00576	1.07725	1.09227	1.09055	1.04848	1.10765	1.10762	1.05508	1.11268	1.05187	1.02262	1.11939	1.12449	1.06672	1.12979	1.0634	1.03172	1.14086	1.05961	1.02969	1.02074	2.2657	2.36454	2.26979	2.43341	2.28934	2.22227	2.54002	2.30583	2.23157	2.21441	2.58782	2.32848	2.25273	2.23136	2.21607	1.43563	1.447	1.448	1.43469	1.39423	1.46055	1.46235	1.44939	1.40548	1.46301	1.45391	1.40522	1.45088	1.39866	1.3712	2.29246	2.32098	2.31731	2.23811	2.35	2.34941	2.25095	2.3575	2.24467	2.18852	2.37204	2.38151	2.27352	2.38994	2.26709	2.20642	2.40815	2.25978	2.20258	2.18515	1.97946	1.97635	1.97359	1.9735	1.97277	1.97153	1.97354	0.0177027	0.0177154	0.00580532	0.00580543	0.00580642	0.00140964	0.0177269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31238	0	-1.74352	-0.539891	0	0.646605	0	-1.41681	0.0177027	0.0177154	0.00580532	0.00580543	0.00580642	0.00140964	0.0177269	0.322515	0.322007	0.321558	0.321544	0.321424	0.321222	0.32155	0.07464504	0.03299136	0.02417554	0.1629307	0.504713	0	-1.05592	-0.723305	-1.1163	-1.41592	0	0	0.162931	0.074645	0.2375757	1	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0
40	-169.1115	-151.7514	-17.36016	0.283634	0.283031	0.282498	0.282482	0.282339	0.0670377	0.282488	0.747646	0.747112	0.74651	0.747097	0.746494	0.74596	0.746954	0.746351	0.745818	0.745802	0.531652	0.53105	0.530516	0.5305	0.530358	1.81095	1.81034	1.80981	1.80979	1.80965	1.59435	1.10567	1.10565	1.10512	1.10451	1.10551	1.10497	1.10437	1.10496	1.10435	1.10382	0.890205	0.889671	0.889069	0.889656	0.889053	0.888519	0.889513	0.888911	0.888377	0.888361	1.77482	1.77429	1.77368	1.77427	1.77367	1.77313	1.77413	1.77353	1.77299	1.77298	1.55883	1.55822	1.55769	1.55767	1.55753	1.47727	1.47713	1.47712	1.47658	1.47598	1.26183	1.26181	1.26128	1.26068	1.26167	1.26114	1.26054	1.26112	1.26052	1.25999	1.99948	1.99946	1.99893	1.99833	1.99932	1.99879	1.99819	1.99877	1.99817	1.99764	1.78402	1.78349	1.78288	1.78347	1.78287	1.78233	1.78333	1.78273	1.78219	1.78218	2.51511	2.50977	2.50503	2.50489	2.50363	0.594454	2.50495	0.00347357	0.00346649	0.00346021	0.00346002	0.00345834	0.00143704	0.0034601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.90222	0	0	-1.83819	0	-1.91374	0.00347357	0.00346649	0.00346021	0.00346002	0.00345834	0.00143704	0.0034601	0.283634	0.283031	0.282498	0.282482	0.282339	0.0670377	0.282488	0.1073722	0.07878365	0.001432302	0.112772	1.92836	0.863351	-0.109004	0	0	-0.877389	0	-1.437	0.112772	0.107372	0.2201442	0	0	1	0	0	1	0	1	1	1	1	0	0	1	0	1
60	-161.7236	-150.9958	-10.7278	0.209488	0.203935	0.311794	0.30216	0.196383	0.0279182	0.13997	0.461177	0.63011	0.566233	0.670612	0.567639	0.640562	0.653884	0.471698	0.539241	0.521636	0.529837	0.317415	0.3815	0.361143	0.248286	3.28496	3.27941	3.38727	3.37763	3.27186	3.10339	0.808026	0.813338	0.926177	0.875351	0.723172	0.8378	0.775446	0.84183	0.76421	0.845545	0.568066	0.685206	0.617615	0.690009	0.605868	0.684796	0.608372	0.498102	0.577542	0.56049	2.11335	2.33057	2.22077	2.40463	2.2315	2.27384	2.43623	2.1436	2.1766	2.15166	2.33168	2.00051	2.02846	1.9985	1.87914	1.12703	1.03063	1.023	1.12806	1.08103	0.873944	0.866364	0.97163	0.921498	0.762414	0.87229	0.815732	0.866913	0.801995	0.886654	2.00397	2.02186	2.1384	2.0488	1.94425	2.06416	1.95423	2.07672	1.94145	1.99829	1.79935	1.92493	1.80591	1.93855	1.79228	1.84475	1.87037	1.68258	1.73616	1.7121	2.61386	2.54457	3.89036	3.77016	2.45034	0.348345	1.74646	0.0026399	0.00264272	0.00264522	0.0026453	0.00264597	0.0026471	0.00264527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71104	0	-1.73606	0	0	0.960223	-0.722541	-1.273	0.0026399	0.00264272	0.00264522	0.0026453	0.00264597	0.0026471	0.00264527	0.209488	0.203935	0.311794	0.30216	0.196383	0.0279182	0.13997	0.0238418	0.04369945	0.004193411	0.08014522	0	1.449	-1.02411	0	0	0	0.782404	0	0.0801452	0.0238418	0.103987	1	0	1	0	0	1	1	1	0	1	1	0	0	0	1	0
80	-169.6196	-153.8377	-15.78191	0.196567	0.188876	0.443346	0.42287	0.220919	0.0116808	0.107166	0.394581	0.654259	0.641644	0.637089	0.622247	0.87284	0.439999	0.421184	0.67148	0.64991	0.232883	0.213134	0.463519	0.441766	0.238853	0.828423	0.820732	1.0752	1.05473	0.852774	0.643536	0.844697	0.825804	1.08005	1.06801	0.625495	0.87986	0.866801	0.859608	0.845977	1.09708	0.417408	0.67231	0.658825	0.652104	0.638011	0.888973	0.450811	0.435666	0.686798	0.665224	0.772916	1.03735	1.02024	1.0231	1.00185	1.24881	0.83017	0.801599	1.04801	1.0254	0.624819	0.594632	0.841251	0.818296	0.614468	1.27325	1.07257	1.0523	1.30515	1.29307	0.86473	0.844544	1.09751	1.08512	0.642813	0.896029	0.883172	0.875017	0.861966	1.11323	1.14219	1.12478	1.37877	1.36267	0.925988	1.18022	1.16217	1.16013	1.14101	1.3889	0.718961	0.974248	0.95539	0.954243	0.934252	1.18188	0.753479	0.731526	0.979489	0.956861	3.30967	3.18018	7.46477	7.12001	3.71969	0.196674	1.80439	0.136282	0.136192	0.0186744	0.0186741	0.0186712	0.123095	0.136112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.934474	1.88761	-1.84449	0	0	-0.589785	-1.08896	-1.39726	0.136282	0.136192	0.0186744	0.0186741	0.0186712	0.123095	0.136112	0.196567	0.188876	0.443346	0.42287	0.220919	0.0116808	0.107166	0.03511595	0.04650407	0.1025635	0.0593918	1.79786	0	0	0	-1.98633	1.88624	1.39209	0	0.0593918	0.0351159	0.09450775	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0
100	-165.3294	-155.2628	-10.06669	0.260232	0.25128	0.157603	0.151285	0.0862691	0.0067834	0.153846	0.54662	0.481316	0.445434	0.494879	0.444699	0.331943	0.461283	0.384423	0.269643	0.258377	0.396233	0.311462	0.196282	0.18384	0.11445	1.52737	1.51842	1.42475	1.41843	1.35341	1.27393	0.732824	0.73464	0.640131	0.608779	0.678022	0.584354	0.547432	0.580363	0.539376	0.429784	0.604869	0.513997	0.474365	0.510144	0.466272	0.355477	0.450464	0.399262	0.289406	0.278098	1.29008	1.24844	1.19015	1.27712	1.19425	1.06456	1.2651	1.138	1.00474	0.988928	1.20907	1.07047	0.936895	0.918939	0.845534	0.905611	0.846885	0.841225	0.740244	0.709552	0.774782	0.76956	0.668856	0.63634	0.705119	0.606311	0.571267	0.598056	0.561367	0.452704	1.3179	1.32685	1.23116	1.18022	1.27744	1.18327	1.12222	1.18048	1.11252	0.988295	1.2096	1.12085	1.05497	1.11828	1.04523	0.918825	1.06172	0.976333	0.85177	0.835795	3.47576	3.35618	2.105	2.02062	1.15224	0.0906014	2.05482	0.0267496	0.0267039	0.0266634	0.0266622	0.0266514	0.0266332	0.0266627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23034	0	-1.99918	0	0	-1.53924	-0.941887	-1.64555	0.0267496	0.0267039	0.0266634	0.0266622	0.0266514	0.0266332	0.0266627	0.260232	0.25128	0.157603	0.151285	0.0862691	0.0067834	0.153846	0.04269704	0.0397024	0.01273935	0.07487074	0.495143	0	-0.38201	0	0	0	0	0	0.0748707	0.042697	0.1175678	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0
120	-161.8054	-145.3681	-16.43732	0.265818	0.265818	0.265818	0.265818	0.265818	0.0763412	0.265818	0.736293	0.948681	0.746444	1.11026	0.786464	0.655096	1.38148	0.8213	0.672775	0.640869	1.32203	0.680932	0.524525	0.483298	0.455028	41.3035	41.3035	41.3035	41.3035	41.3035	41.1141	1.12299	1.1762	1.19209	1.0334	1.23247	1.25235	1.05437	1.29347	1.04954	0.950626	1.08755	1.11575	0.901861	1.15846	0.895236	0.790421	1.22985	0.88912	0.785249	0.756876	21.5857	21.9893	21.6053	22.2875	21.6823	21.4278	22.7724	21.7489	21.4623	21.3999	22.8089	21.6526	21.3531	21.2728	21.2175	1.44001	1.47295	1.48242	1.47263	1.32683	1.32168	1.33089	1.32265	1.16774	1.34087	1.34481	1.16812	1.3572	1.15552	1.07133	15.2948	15.397	15.4284	15.1208	15.5042	15.5439	15.1618	15.6203	15.1524	14.9581	15.3986	15.456	15.0442	15.5352	15.0315	14.8261	15.6659	15.0195	14.8161	14.7602	1	1	1	1	1	0.287193	1	0.0138342	0.0138342	0.0138342	0.0138342	0.0138342	0.0138342	0.0138342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47868	0	-1.9928	0	0	0	0	0	0.0138342	0.0138342	0.0138342	0.0138342	0.0138342	0.0138342	0.0138342	0.265818	0.265818	0.265818	0.265818	0.265818	0.0763412	0.265818	0.06572275	0.03588616	0.01383423	0.2658182	1.73512	1.92852	0	0	0	0	0	-1.2476	0.265818	0.0657227	0.3315409	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1
140	-164.1901	-149.2168	-14.97328	0.100183	0.100183	0.305172	0.305172	0.305172	0.0482765	0.100183	0.243923	0.47904	0.450497	0.499199	0.456568	0.640332	0.530008	0.461651	0.643448	0.63774	0.286933	0.211658	0.39345	0.386552	0.381515	3.63339	3.63339	3.83838	3.83838	3.83838	3.58149	0.583073	0.591957	0.795843	0.771452	0.601154	0.805836	0.775524	0.80773	0.77362	0.960557	0.350956	0.558687	0.525669	0.560755	0.523752	0.709608	0.565476	0.52157	0.708416	0.702663	2.10308	2.36632	2.31116	2.40475	2.32297	2.4865	2.46262	2.33283	2.49262	2.4814	2.23136	2.08927	2.24923	2.23572	2.22582	0.915173	0.922178	0.923115	1.11957	1.09547	0.67324	0.674647	0.871563	0.845576	0.675577	0.874223	0.845553	0.871646	0.841568	1.02945	1.90339	1.92072	2.12338	2.07581	1.93859	2.1428	2.08381	2.14619	2.08005	2.24954	1.69467	1.90488	1.84073	1.90861	1.83695	2.00437	1.91728	1.83264	2.00202	1.99067	1	1	3.04615	3.04615	3.04615	0.481884	1	0.0308789	0.031584	0.0428426	0.0440044	0.0635399	0.335338	0.043524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09205	0	-1.68941	0	0.616174	0.784178	0	0	0.0308789	0.031584	0.0428426	0.0440044	0.0635399	0.335338	0.043524	0.100183	0.100183	0.305172	0.305172	0.305172	0.0482765	0.100183	0.05182011	0.02809179	0.06059353	0.1001828	1.73848	0	-0.729855	1.06746	0	0	1.11388	-1.84393	0.100183	0.0518201	0.1520029	1	0	1	0	1	1	0	0	1	0	1	1	0	0	1	1
160	-165.8171	-151.2335	-14.5836	0.331931	0.331202	0.330556	0.330537	0.330364	0.330074	0.330545	0.715057	0.730245	0.714631	0.739051	0.718099	0.704076	0.750716	0.720692	0.706109	0.701961	0.75526	0.723968	0.710363	0.7058	0.702004	2.03254	2.03181	2.03116	2.03114	2.03097	2.03068	1.07898	1.08411	1.08281	1.06767	1.08929	1.08823	1.07001	1.08864	1.06894	1.056	1.09245	1.09292	1.07388	1.09345	1.07283	1.05993	1.09478	1.07147	1.05896	1.05479	1.77876	1.80719	1.77915	1.8231	1.78558	1.76002	1.84399	1.7905	1.76399	1.75621	1.8522	1.79675	1.77219	1.76368	1.7567	1.44168	1.44586	1.44695	1.44072	1.42445	1.44989	1.45117	1.44551	1.42857	1.45229	1.44701	1.4285	1.44513	1.42606	1.41348	1.94636	1.95598	1.95403	1.92624	1.9658	1.96431	1.93083	1.96498	1.92881	1.90481	1.97193	1.97334	1.93838	1.97424	1.93642	1.91256	1.97671	1.93398	1.91088	1.90295	2.59559	2.58989	2.58484	2.58469	2.58334	2.58107	2.58475	0.0892243	0.0890751	0.0412583	0.0412565	0.0412401	0.0231235	0.0889403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.552871	0	-1.69481	-1.3426	0	-1.50731	0	-1.9791	0.0892243	0.0890751	0.0412583	0.0412565	0.0412401	0.0231235	0.0889403	0.331931	0.331202	0.330556	0.330537	0.330364	0.330074	0.330545	0.05669714	0.02054353	0.04315152	0.1278826	1.94203	0	-1.64911	0	-0.768139	-0.577892	0	0	0.127883	0.0566971	0.1845798	1	0	1	1	0	1	0	1	1	0	1	0	1	1	0	0
180	-167.6773	-153.5231	-14.15423	0.195403	0.191641	0.147378	0.14402	0.10495	0.0250419	0.145388	0.517913	0.47365	0.469888	0.470292	0.46653	0.422267	0.431223	0.42746	0.383197	0.379839	0.351314	0.347552	0.303289	0.299931	0.260861	1.03829	1.03453	0.990262	0.986905	0.947835	0.867927	0.715901	0.712544	0.66828	0.664518	0.673474	0.629211	0.625449	0.625853	0.622091	0.577828	0.593566	0.549302	0.54554	0.545944	0.542182	0.497919	0.506875	0.503113	0.45885	0.455492	1.08671	1.04245	1.03868	1.03909	1.03533	0.991063	1.00002	0.996257	0.951993	0.948636	0.92011	0.916348	0.872085	0.868727	0.829658	0.919758	0.880688	0.877331	0.833067	0.829305	0.80078	0.797422	0.753159	0.749397	0.758353	0.714089	0.710327	0.710732	0.706969	0.662706	1.21889	1.21553	1.17127	1.16751	1.17646	1.1322	1.12844	1.12884	1.12508	1.08082	1.09655	1.05229	1.04853	1.04893	1.04517	1.00091	1.00986	1.0061	0.961837	0.958479	1.78164	1.74734	1.34375	1.31314	0.956912	0.228326	1.32561	0.0169493	0.0169493	0.00248541	0.00248541	0.00248541	0.00226462	0.0169493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.83094	-0.779033	0	0	-0.530781	-0.668946	0.0169493	0.0169493	0.00248541	0.00248541	0.00248541	0.00226462	0.0169493	0.195403	0.191641	0.147378	0.14402	0.10495	0.0250419	0.145388	0.06857934	0.02500711	0.01694932	0.1096761	1.6733	1.03552	-0.722839	0	-1.91979	-0.0930292	0	0	0.109676	0.0685793	0.1782554	0	0	1	1	0	0	1	1	1	1	1	0	1	1	0	0
