Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda[13]	lambda[14]	lambda[15]	lambda[16]	lambda[17]	lambda[18]	lambda[19]	lambda[20]	lambda[21]	lambda[22]	lambda[23]	lambda[24]	lambda[25]	lambda[26]	lambda[27]	lambda[28]	lambda[29]	lambda[30]	lambda[31]	lambda[32]	lambda[33]	lambda[34]	lambda[35]	lambda[36]	lambda[37]	lambda[38]	lambda[39]	lambda[40]	lambda[41]	lambda[42]	lambda[43]	lambda[44]	lambda[45]	lambda[46]	lambda[47]	lambda[48]	lambda[49]	lambda[50]	lambda[51]	lambda[52]	lambda[53]	lambda[54]	lambda[55]	lambda[56]	lambda[57]	lambda[58]	lambda[59]	lambda[60]	lambda[61]	lambda[62]	lambda[63]	m_w[1][1]	m_w[1][2]	m_w[1][3]	m_w[1][4]	m_w[1][5]	m_w[1][6]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu[11]	mu[12]	mu[13]	mu[14]	mu[15]	mu[16]	mu[17]	mu[18]	mu[19]	mu[20]	mu[21]	mu[22]	mu[23]	mu[24]	mu[25]	mu[26]	mu[27]	mu[28]	mu[29]	mu[30]	mu[31]	mu[32]	mu[33]	mu[34]	mu[35]	mu[36]	mu[37]	mu[38]	mu[39]	mu[40]	mu[41]	mu[42]	mu[43]	mu[44]	mu[45]	mu[46]	mu[47]	mu[48]	mu[49]	mu[50]	mu[51]	mu[52]	mu[53]	mu[54]	mu[55]	mu[56]	mu[57]	mu[58]	mu[59]	mu[60]	mu[61]	mu[62]	mu[63]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_e[1]	r_e[2]	r_e[3]	r_e[4]	r_e[5]	r_e[6]	rho_b	rho_d	rho_e	rho_w	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]
0	-1562.383	-1538.846	-23.53697	0.139355	0.152883	0.141516	0.153272	0.152113	0.116491	0.444637	1.26787	0.376385	0.473331	0.327908	0.366737	0.342009	0.483504	1.37145	0.481716	0.423245	0.349015	0.538137	0.358261	0.444047	0.6947	0.566536	0.705268	0.519879	0.603618	1.04449	0.731805	0.612676	0.585506	0.71694	0.594432	0.862738	0.576375	0.613092	0.49906	0.57517	0.571196	0.61884	0.891079	0.62725	0.787267	0.89398	0.764345	0.890701	0.806703	0.869093	0.738284	0.876814	0.709175	0.792056	1.01062	0.895178	0.803454	0.755851	0.892177	1.02971	0.994655	1.12227	0.973104	1.12484	1.01312	1.29779	3.63824	3.99142	3.69464	4.00156	3.97132	3.04131	0.0298039	0.0377643	0.0310008	0.0380112	0.0372811	0.0188565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41955	-0.975928	-0.694235	0.205384	-1.29026	-0.462611	-0.505028	-0.128634	0.0298039	0.0377643	0.0310008	0.0380112	0.0372811	0.0188565	0.030999	0.6200003	0.2637535	0.1419718	-0.148655	-0.076211	-1.32513	-1.92056	-1.85016	-0.208622	0.859645	0.48412
10	-1560.906	-1535.711	-25.19505	0.143783	0.143591	0.143761	0.143591	0.143605	0.144174	0.366168	0.406846	0.355969	0.369156	0.338263	0.354054	0.348999	0.368801	0.40917	0.368614	0.3683	0.355878	0.378215	0.35757	0.369069	0.558824	0.533525	0.559173	0.522975	0.54074	0.572961	0.560982	0.541987	0.534339	0.559518	0.544714	0.573612	0.543502	0.547081	0.52451	0.543349	0.541872	0.546247	0.574914	0.547174	0.728407	0.749034	0.721795	0.749046	0.729398	0.745527	0.721439	0.746442	0.716026	0.730404	0.759435	0.747166	0.731968	0.722219	0.746943	0.941876	0.936479	0.957409	0.929037	0.958084	0.937515	1.1838	2.30084	2.29776	2.30047	2.29776	2.29798	2.30709	0.0245622	0.0420643	0.0268503	0.0426819	0.0408452	0.00867136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315992	-0.748549	-0.923052	0.152269	-2.93323	-0.199408	0.00743663	-0.128634	0.0245622	0.0420643	0.0268503	0.0426819	0.0408452	0.00867136	0.02164471	0.5239811	0.313907	0.1437506	-0.148655	0.0159377	-0.797398	-2.10552	-0.894303	-1.30123	-0.245544	1.06642
20	-1565.255	-1536.883	-28.37202	0.139221	0.134409	0.138526	0.134344	0.134706	0.149265	0.378602	0.436972	0.364414	0.382689	0.336837	0.361657	0.356079	0.377808	0.435477	0.377475	0.39574	0.374502	0.407963	0.376547	0.392277	0.582397	0.544698	0.582791	0.529902	0.554599	0.60154	0.580889	0.556261	0.541412	0.578764	0.573808	0.616231	0.571426	0.576894	0.542156	0.570995	0.570297	0.571467	0.613445	0.572544	0.751349	0.779179	0.738898	0.779109	0.748271	0.788364	0.752283	0.789445	0.744268	0.764563	0.80715	0.786127	0.76657	0.748919	0.785624	0.979128	0.985771	1.01403	0.972239	1.01479	0.982716	1.25866	18.1157	17.4897	18.0254	17.4811	17.5283	19.4227	0.0137505	0.015858	0.0140743	0.0159165	0.0157331	0.0104276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315992	0.292764	-0.797828	0.159537	-0.778222	0.619962	0.193571	-1.66703	0.0137505	0.015858	0.0140743	0.0159165	0.0157331	0.0104276	0.02884592	0.4552026	0.1753463	0.1383156	1.38923	2.66909	-1.02562	-2.00542	-1.22795	-1.16431	1.8023	0.921546
30	-1565.635	-1538.205	-27.42963	0.142247	0.153364	0.144087	0.153712	0.152755	0.123063	0.412721	1.55612	0.350599	0.441624	0.316863	0.342744	0.323683	0.449436	1.71485	0.447442	0.39762	0.327735	0.5214	0.335366	0.415998	0.634411	0.532319	0.648343	0.491812	0.559399	1.16505	0.670154	0.56805	0.548935	0.656381	0.553021	0.827252	0.532931	0.570497	0.474066	0.531819	0.532931	0.574301	0.853246	0.582184	0.727206	0.807485	0.706459	0.8049	0.744126	0.794928	0.687892	0.80247	0.661833	0.730383	0.949996	0.817749	0.740651	0.702733	0.814902	0.929586	0.90714	1.00996	0.889101	1.01164	0.922604	1.15263	7.61375	8.20882	7.71227	8.22743	8.17623	6.58695	0.0190192	0.0212315	0.0193622	0.0212907	0.0211017	0.0153609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80991	-0.442477	-0.872341	0.369522	-0.600706	0.663776	-0.409413	-0.844236	0.0190192	0.0212315	0.0193622	0.0212907	0.0211017	0.0153609	0.02016473	0.5344318	0.9749886	0.1444454	0.00908503	0.350485	-1.17401	-2.01661	-1.11603	-2.68601	1.08486	0.921546
40	-1566.592	-1540.705	-25.887	0.204793	0.198939	0.203803	0.198778	0.199252	0.216597	0.472117	0.47319	0.472464	0.471633	0.470348	0.472546	0.47482	0.46624	0.467426	0.466096	0.48963	0.485337	0.487489	0.484907	0.483939	0.708806	0.706979	0.708601	0.707652	0.706564	0.707571	0.702981	0.706248	0.701267	0.702943	0.723534	0.725115	0.722618	0.723078	0.720264	0.722444	0.72417	0.717746	0.719385	0.717463	0.949699	0.947568	0.946112	0.947381	0.943955	0.96566	0.963718	0.965378	0.963452	0.963073	0.964305	0.959868	0.962712	0.958005	0.959703	1.20502	1.22344	1.22131	1.22	1.22105	1.21768	1.50864	0.115105	0.111815	0.114548	0.111724	0.11199	0.121739	0.0492629	0.0463199	0.0487595	0.0462407	0.046475	0.0554924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0438306	0.396193	-0.924303	-0.0756925	0.335694	0.173417	0.158019	0.107452	0.0492629	0.0463199	0.0487595	0.0462407	0.046475	0.0554924	0.0192495	0.4483216	0.6833714	0.2036	2.50464	-0.00552063	-0.699192	-2.27423	-1.4029	-1.25388	-1.64589	-0.526382
50	-1560.338	-1537.202	-23.1359	0.169535	0.155309	0.167141	0.154966	0.156071	0.200986	0.379751	0.421368	0.370125	0.381786	0.345392	0.368227	0.368275	0.36828	0.409316	0.367778	0.426831	0.403637	0.431194	0.404321	0.413773	0.581315	0.551032	0.58122	0.541016	0.557246	0.592346	0.569401	0.557884	0.538157	0.567853	0.604764	0.637367	0.601371	0.606122	0.575688	0.600706	0.603461	0.59239	0.624654	0.592595	0.753881	0.76981	0.738152	0.769443	0.741096	0.811908	0.7825	0.81213	0.776059	0.790034	0.822657	0.799565	0.790801	0.769558	0.798876	0.958656	0.999378	1.01557	0.98309	1.01561	0.986577	1.22775	3.66657	3.35891	3.61481	3.35149	3.37537	4.34678	0.0345605	0.0356703	0.034738	0.0356987	0.0356074	0.0325029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.326705	1.83135	-0.786867	-0.383276	-0.172573	0.210657	0.47848	-0.561898	0.0345605	0.0356703	0.034738	0.0356987	0.0356074	0.0325029	0.01507531	0.3068171	0.2667272	0.1666137	-0.978156	1.0715	-1.41606	-1.74385	-1.14864	-0.854332	0.045411	1.14341
60	-1564.234	-1540.187	-24.04726	0.190469	0.181626	0.188943	0.181375	0.182088	0.208755	0.565519	1.03123	0.499912	0.588126	0.417612	0.489032	0.467026	0.577972	1.06062	0.576097	0.60494	0.517193	0.684906	0.525868	0.602778	0.895587	0.74171	0.900165	0.689638	0.784709	1.06216	0.905545	0.792263	0.738652	0.892356	0.835399	1.06334	0.820263	0.851075	0.714373	0.818369	0.815504	0.837418	1.06653	0.843753	1.05057	1.16976	1.0105	1.16695	1.04815	1.19182	1.04081	1.1976	1.0088	1.09718	1.29748	1.19511	1.10695	1.03706	1.19197	1.3855	1.39875	1.529	1.35715	1.53171	1.39609	1.81463	3.21805	3.06865	3.19228	3.0644	3.07645	3.52701	0.0449727	0.0501304	0.045749	0.0502536	0.0498191	0.0363888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.922504	-0.0638187	-0.78282	-0.472756	-0.593865	1.72048	0.258819	0.366642	0.0449727	0.0501304	0.045749	0.0502536	0.0498191	0.0363888	0.0467389	0.382588	0.3933075	0.1886418	0.992832	1.41433	-1.24572	-1.8934	-1.58914	-0.351187	0.638466	0.530315
70	-1560.074	-1536.936	-23.13846	0.165243	0.164715	0.16518	0.164715	0.164752	0.166316	0.52163	1.91753	0.425036	0.562633	0.35065	0.411869	0.385056	0.558666	2.07996	0.555409	0.545134	0.423181	0.712657	0.43469	0.555854	0.819386	0.63816	0.836433	0.572842	0.685804	1.43395	0.854453	0.698005	0.646425	0.833145	0.723346	1.12808	0.692868	0.74879	0.579332	0.690525	0.693072	0.738863	1.1496	0.749988	0.895048	1.03091	0.849482	1.02595	0.90385	1.05324	0.866162	1.06356	0.823638	0.937168	1.26614	1.07107	0.952188	0.872134	1.06612	1.15787	1.16567	1.33333	1.12317	1.33568	1.17272	1.50238	0.0872153	0.0869369	0.0871821	0.0869366	0.0869565	0.087782	0.031546	0.0374939	0.0324524	0.037664	0.0371381	0.0225703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60503	-0.214755	-0.896712	-0.00738089	-0.942358	0.486998	0.0177618	-0.302521	0.031546	0.0374939	0.0324524	0.037664	0.0371381	0.0225703	0.03613421	0.3930179	0.1602157	0.1651527	0.865064	-0.729272	-1.26561	-1.63086	-0.899381	-0.563399	-0.525919	-1.94265
80	-1563.928	-1536.833	-27.09494	0.172467	0.179929	0.173644	0.180114	0.179499	0.158829	0.457794	0.430699	0.466766	0.455695	0.4922	0.468916	0.471694	0.462952	0.437065	0.46328	0.435311	0.452367	0.430746	0.451363	0.442011	0.675954	0.701187	0.675861	0.713278	0.695691	0.666643	0.681683	0.694735	0.707483	0.682734	0.672548	0.647576	0.674393	0.670999	0.697212	0.674928	0.673938	0.678422	0.654071	0.678146	0.929888	0.914193	0.941922	0.914205	0.936107	0.898128	0.922829	0.897746	0.928914	0.915756	0.888119	0.904101	0.914781	0.929223	0.904546	1.19122	1.17729	1.16151	1.1902	1.16125	1.18353	1.48478	0.592574	0.61821	0.596616	0.618846	0.616736	0.545714	0.0358084	0.0555679	0.0385395	0.0562573	0.054263	0.0153209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.165485	-1.19846	-0.994892	0.224595	-2.39415	-1.69842	-0.231391	0.419124	0.0358084	0.0555679	0.0385395	0.0562573	0.054263	0.0153209	0.02960586	0.4853521	0.2921213	0.1739138	-0.0259117	-0.240717	-0.957608	-1.71753	-2.2816	0.333402	-1.25925	0.802508
90	-1561.569	-1536.286	-25.28318	0.165186	0.155577	0.163537	0.155314	0.156081	0.185462	0.422722	0.490043	0.406848	0.427057	0.374329	0.403627	0.399254	0.417564	0.483974	0.416997	0.455253	0.428112	0.46716	0.429933	0.447067	0.650754	0.607048	0.650986	0.590644	0.617881	0.671675	0.644773	0.619504	0.599142	0.642174	0.652327	0.701303	0.648735	0.655411	0.61416	0.647926	0.64876	0.64542	0.693823	0.64629	0.83707	0.866911	0.820567	0.866593	0.829353	0.890878	0.848877	0.891765	0.839397	0.862281	0.911085	0.884057	0.864204	0.840856	0.883181	1.08366	1.10498	1.13536	1.08739	1.1359	1.09725	1.39533	3.85292	3.62878	3.81445	3.62266	3.64055	4.32583	0.0306491	0.0389906	0.0319217	0.0392642	0.0384918	0.0192662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.346638	1.35615	-0.840018	0.61984	-1.3106	-1.78884	0.326528	0.255771	0.0306491	0.0389906	0.0319217	0.0392642	0.0384918	0.0192662	0.02791679	0.3572875	0.311346	0.1632019	0.538093	-1.67956	-0.758858	-1.62639	-1.99441	-0.317882	0.723675	0.606742
100	-1559.082	-1535.72	-23.36222	0.163619	0.167654	0.164215	0.167727	0.167408	0.155964	0.44304	0.504154	0.427934	0.447855	0.404869	0.425005	0.416394	0.4512	0.511841	0.450971	0.43387	0.418922	0.44989	0.421525	0.439034	0.677735	0.642415	0.678357	0.626969	0.653224	0.699809	0.685129	0.65525	0.647679	0.682835	0.647137	0.688597	0.645778	0.650882	0.620428	0.645535	0.642434	0.653519	0.694598	0.654995	0.87948	0.911018	0.872805	0.911069	0.884999	0.893543	0.860087	0.895002	0.852338	0.873631	0.914929	0.900083	0.876121	0.86528	0.899731	1.14611	1.12577	1.15786	1.11787	1.15894	1.13134	1.44036	0.51621	0.528939	0.518089	0.529169	0.528163	0.492057	0.0261819	0.0337862	0.0273109	0.0340204	0.0333185	0.0159842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.346638	-0.347169	-0.850987	0.802482	-1.39021	-0.0984785	-0.133697	0.807516	0.0261819	0.0337862	0.0273109	0.0340204	0.0333185	0.0159842	0.03058543	0.4332288	0.612131	0.1643779	1.47745	-0.221535	-0.624224	-1.67533	-1.60258	-1.38265	0.23552	-0.807951
110	-1560.707	-1535.719	-24.9873	0.166573	0.172027	0.167571	0.172239	0.171762	0.156698	0.366012	0.356496	0.368875	0.365663	0.378059	0.36957	0.369172	0.370751	0.361534	0.370999	0.350335	0.3581	0.349967	0.35804	0.355458	0.545315	0.5545	0.545461	0.558106	0.55285	0.542911	0.550197	0.552784	0.559522	0.550626	0.537181	0.528218	0.53835	0.536977	0.546934	0.538658	0.537356	0.542101	0.53329	0.542208	0.736529	0.732423	0.742201	0.732595	0.741535	0.718454	0.727504	0.718533	0.72969	0.725475	0.715884	0.723398	0.725408	0.732552	0.723681	0.92971	0.91625	0.912121	0.922127	0.912231	0.921264	1.12143	0.569323	0.587964	0.572732	0.588689	0.587057	0.53557	0.0405727	0.0595164	0.0432392	0.0601449	0.0582872	0.0193363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.153143	-1.38703	-1.08607	0.228339	-2.08857	-0.590335	-0.17425	-1.3145	0.0405727	0.0595164	0.0432392	0.0601449	0.0582872	0.0193363	0.007702376	0.4032211	0.857673	0.1677207	-0.394912	-0.0341199	-1.17434	-1.48704	-1.51545	-1.32473	-0.456334	-0.202093
