taxon	species	age
Acar	Acar	0
Afil	Afil	0
Amic	AmicRef	0
Amex	AmicRef	0
Anil	Anil	0
FF0395	Acar	0
FF0397	Acar	0
FF0399	Acar	0
FF0401	Acar	0
FF0402	Afil	0
FF0403	Acar	0
FF0404	Acar	0
FF0405	Acar	0
FF0406	Acar	0
FF0407	Acar	0
FF0408	Acar	0
FF0409	Acar	0
FF0410	Afil	0
FF0411	Acar	0
FF0412	Acar	0
FF0413	Acar	0
FF0414	Acar	0
FF0415	Acar	0
FF0416	Acar	0
FF0417	Acar	0
FF0418	Acar	0
FF0419	Acar	0
FF0420	Acar	0
FF0421	Acar	0
FF0422	Acar	0
FF0423	Acar	0
FF0424	Acar	0
FF0425	Acar	0
FF0426	Acar	0
FF0427	Acar	0
FF0428	Afil	0
FF0429	Acar	0
FF0430	Acar	0
FF0431	Acar	0
FF0432	Acar	0
FF0433	Acar	0
FF0434	Acar	0
FF0435	Acar	0
FF0436	Acar	0
FF0437	Acar	0
FF0438	Acar	0
FF0439	Acar	0
FF0440	Acar	0
FF0441	Acar	0
FF0442	Acar	0
FF0443	Acar	0
FF0444	Acarsmall	0
FF0445	Acarsmall	0
FF0446	Acarsmall	0
FF0447	Afil	0
FF0448	Acarsmall	0
FF0449	Acar	0
FF0450	Acar	0
FF0451	Acar	0
FF0452	Acar	0
FF0453	Acar	0
FF0454	Acar	0
FF0455	Acar	0
FF0456	Acar	0
FF0457	Acar	0
FF0458	Acar	0
FF0459	Acar	0
FF0460	Acar	0
FF0461	Acar	0
FF0462	Acar	0
FF0463	Acar	0
FF0464	Acar	0
FF0465	Acar	0
FF0466	Acar	0
FF0467	Acar	0
FF0468	Acar	0
FF0469	Acarsmall	0
FF0470	Afil	0
FF0471	Afil	0
FF0472	Acar	0
FF0473	Acar	0
FF0474	Acar	0
FF0475	Acar	0
FF0476	Acar	0
FF0477	Acar	0
FF0478	Acar	0
FF0479	Acar	0
FF0480	Acar	0
FF0481	Acar	0
FF0482	Acar	0
FF0483	Acar	0
FF0484	Acar	0
FF0485	Acar	0
FF0486	Acar	0
FF0487	Acarsmall	0
FF0488	Afil	0
FF0489	Afil	0
FF0490	Acarsmall	0
FF0491	Acar	0
FF0492	Afil	0
FF0493	Afil	0
FF0494	Acarsmall	0
FF0495	Afil	0
FF0496	Afil	0
FF0497	Afil	0
FF0498	Afil	0
FF0499	Afil	0
FF0500	Acar	0
FF0501	Afil	0
FF0502	Afil	0
FF0503	Afil	0
FF0504	Afil	0
FF0505	Afil	0
FF0506	Afil	0
FF0507	Afil	0
FF0508	Acarsmall	0
FF0509	Afil	0
