Iteration	Posterior	Likelihood	Prior	kappa	omega	pi[1]	pi[2]	pi[3]	pi[4]
0	-8541	-8539.54	-1.4593	0.7980186	2.874547	0.360397	0.235529	0.39127	0.0128034
10	-4964.27	-4962.79	-1.47377	2.822597	0.1590383	0.250484	0.318196	0.203838	0.227482
20	-4703.08	-4699.37	-3.70821	1.700508	0.02619846	0.25226	0.313362	0.205283	0.229095
30	-4698.65	-4694.69	-3.95942	1.987849	0.02619846	0.190122	0.339403	0.222342	0.248133
40	-4683.73	-4680.03	-3.69676	1.781372	0.02704648	0.201986	0.298183	0.236216	0.263616
50	-4681.75	-4677.75	-3.99218	2.126986	0.02704648	0.206515	0.30487	0.242244	0.246371
60	-4682.52	-4678.96	-3.56492	1.634704	0.02704648	0.219737	0.303725	0.231092	0.245446
70	-4681.55	-4677.77	-3.78295	1.879697	0.02704648	0.219737	0.303725	0.231092	0.245446
80	-4681.82	-4678.15	-3.67224	1.753762	0.02704648	0.21903	0.305966	0.230348	0.244656
90	-4682.34	-4678.74	-3.59719	1.670209	0.02704648	0.21903	0.305966	0.230348	0.244656
100	-4680.9	-4677.22	-3.67722	1.759356	0.02704648	0.215858	0.301536	0.241493	0.241113
110	-4681.97	-4678.02	-3.95049	2.076711	0.02704648	0.213242	0.31	0.238567	0.238191
120	-4681.26	-4677.82	-3.43329	1.81263	0.03031234	0.213242	0.31	0.238567	0.238191
130	-4680.89	-4677.28	-3.60791	2.015276	0.03031234	0.208645	0.303317	0.233424	0.254614
140	-4682.51	-4679.3	-3.20717	1.957398	0.03504473	0.211734	0.307806	0.236879	0.243581
150	-4682.71	-4679.45	-3.25145	2.009523	0.03504473	0.20688	0.308135	0.241432	0.243553
160	-4682.78	-4679.58	-3.20207	1.951423	0.03504473	0.20677	0.308177	0.241466	0.243587
170	-4682.97	-4679.67	-3.29957	2.066808	0.03504473	0.205117	0.30882	0.241969	0.244094
180	-4683.21	-4680.08	-3.13368	1.872087	0.03504473	0.211354	0.292941	0.249328	0.246377
190	-4683	-4678.85	-4.14961	2.078572	0.02510166	0.20691	0.302922	0.248972	0.241197
200	-4681.9	-4677.97	-3.92736	1.81883	0.02510166	0.215531	0.298371	0.234852	0.251247
210	-4681.89	-4678.04	-3.85276	1.734661	0.02510166	0.210848	0.295608	0.244624	0.24892
220	-4682.2	-4678.68	-3.51668	1.623574	0.02744501	0.210014	0.294439	0.243657	0.25189
230	-4682.36	-4678.47	-3.88909	2.048792	0.02744501	0.200747	0.29894	0.246	0.254313
240	-4681.11	-4677.71	-3.39792	1.887819	0.03157461	0.215715	0.293341	0.241393	0.24955
250	-4681.11	-4677.7	-3.40133	1.891762	0.03157461	0.215715	0.293341	0.241393	0.24955
260	-4681.5	-4677.94	-3.55381	2.07118	0.03157461	0.215715	0.293341	0.241393	0.24955
270	-4683.15	-4679.53	-3.61738	2.147962	0.03157461	0.216604	0.309384	0.223434	0.250578
280	-4683.04	-4679.18	-3.85628	1.965964	0.02705543	0.216039	0.308576	0.222135	0.25325
290	-4687.56	-4684.24	-3.31597	1.75113	0.03108945	0.201207	0.287392	0.275538	0.235864
300	-4686.03	-4682.4	-3.62178	2.107059	0.03108945	0.207459	0.285142	0.273381	0.234017
310	-4681.47	-4677.9	-3.57033	2.045331	0.03108945	0.211381	0.298094	0.252085	0.238441
320	-4681.49	-4677.96	-3.52483	1.991381	0.03108945	0.207357	0.292419	0.254196	0.246029
330	-4681.63	-4678.22	-3.40414	1.851105	0.03108945	0.208151	0.293539	0.25517	0.243139
340	-4681.51	-4677.96	-3.54766	2.018375	0.03108945	0.211171	0.29242	0.254197	0.242212
350	-4681.4	-4677.89	-3.51183	1.976074	0.03108945	0.211705	0.292222	0.254024	0.242048
360	-4680.95	-4677.37	-3.58224	1.85966	0.02904206	0.211705	0.292222	0.254024	0.242048
370	-4681.65	-4677.91	-3.74455	2.10893	0.02961523	0.209276	0.288869	0.25111	0.250746
380	-4683.68	-4679.76	-3.92528	2.332142	0.02961523	0.213891	0.294809	0.251624	0.239676
390	-4681.38	-4677.66	-3.71368	2.071792	0.02961523	0.213891	0.294809	0.251624	0.239676
400	-4681.34	-4677.92	-3.41896	1.730722	0.02961523	0.213891	0.294809	0.251624	0.239676
410	-4683.12	-4679.37	-3.75171	2.117585	0.02961523	0.221775	0.291852	0.2491	0.237273
420	-4682.31	-4678.79	-3.52806	1.854207	0.02961523	0.225338	0.296542	0.237034	0.241085
430	-4685.38	-4681.04	-4.33901	1.994457	0.02282261	0.222405	0.292682	0.246965	0.237948
440	-4681.7	-4677.87	-3.83272	1.883104	0.0265673	0.219995	0.30157	0.243067	0.235369
450	-4681.24	-4677.46	-3.77794	1.946342	0.02770441	0.208403	0.292893	0.240321	0.258383
460	-4680.79	-4677.31	-3.47956	1.960148	0.03132591	0.211318	0.293978	0.246859	0.247845
470	-4681.51	-4678.02	-3.48776	1.969757	0.03132591	0.214894	0.28887	0.249118	0.247118
480	-4681.4	-4677.7	-3.69885	1.736271	0.02661391	0.214192	0.29683	0.250316	0.238662
490	-4682.1	-4678.29	-3.80155	1.86652	0.02673751	0.22064	0.301118	0.245908	0.232334
500	-4681.34	-4677.61	-3.73509	1.900781	0.02774367	0.215833	0.302975	0.247424	0.233767
510	-4681.8	-4678.33	-3.46285	1.709683	0.02889021	0.215833	0.302975	0.247424	0.233767
520	-4682.55	-4678.44	-4.10897	1.936428	0.02437305	0.208469	0.303522	0.241526	0.246483
530	-4680.58	-4676.79	-3.78576	2.063139	0.02870308	0.209583	0.303095	0.241186	0.246136
540	-4680.81	-4677.01	-3.80147	2.053274	0.02843527	0.210924	0.305034	0.242729	0.241313
550	-4681.16	-4677.53	-3.63776	1.861598	0.02843527	0.218884	0.294929	0.234688	0.251499
560	-4683.06	-4679.86	-3.19618	1.866183	0.03405688	0.212636	0.290985	0.253776	0.242603
570	-4682.66	-4678.65	-4.00917	2.169169	0.0272304	0.205187	0.310115	0.234793	0.249905
580	-4682.1	-4678.43	-3.67051	1.771699	0.0272304	0.208222	0.295928	0.235548	0.260302
590	-4681.6	-4677.76	-3.84418	1.971478	0.0272304	0.209986	0.295102	0.235102	0.259809
600	-4682.16	-4678.35	-3.8132	1.935232	0.0272304	0.218047	0.306608	0.244128	0.231217
610	-4684.96	-4681.46	-3.4999	1.947147	0.03092954	0.210919	0.277464	0.27074	0.240878
620	-4681.89	-4678.46	-3.43021	1.695666	0.02911884	0.222324	0.29809	0.236553	0.243033
630	-4682.23	-4678.26	-3.97222	1.935224	0.02563472	0.217909	0.29217	0.236086	0.253836
640	-4681.79	-4677.92	-3.86753	1.814701	0.02563472	0.213633	0.304	0.232445	0.249922
650	-4682.9	-4678.86	-4.03573	2.009822	0.02563472	0.215003	0.30595	0.246771	0.232276
660	-4680.93	-4677.4	-3.53431	1.839876	0.02939568	0.212043	0.293609	0.253191	0.241158
670	-4681.99	-4678.66	-3.33379	1.712136	0.03043607	0.209601	0.294519	0.253976	0.241905
680	-4681.56	-4677.87	-3.68856	1.778175	0.02710211	0.215708	0.303101	0.247123	0.234068
690	-4681.54	-4678.03	-3.50893	2.001119	0.03139543	0.210498	0.295779	0.253961	0.239762
700	-4682.8	-4678.72	-4.08131	2.187539	0.02664168	0.206799	0.290582	0.249498	0.253121
710	-4681.07	-4677.15	-3.91443	2.089396	0.02753564	0.210297	0.295498	0.242726	0.251479
720	-4682.27	-4678.52	-3.75428	1.791025	0.02654538	0.219417	0.293565	0.231871	0.255147
730	-4682.35	-4678.69	-3.65874	1.684097	0.02654538	0.212704	0.284583	0.253241	0.249473
740	-4680.68	-4677.11	-3.5757	1.907583	0.0295995	0.215452	0.2958	0.236312	0.252436
750	-4686.13	-4682.22	-3.90917	1.747973	0.02469006	0.200745	0.293365	0.238935	0.266955
760	-4682.44	-4678.85	-3.58468	2.124908	0.03175178	0.202477	0.309018	0.233281	0.255224
770	-4680.54	-4676.99	-3.55005	1.834553	0.02915969	0.20796	0.300362	0.243603	0.248075
780	-4682.58	-4678.83	-3.7492	1.844341	0.02707709	0.216287	0.28421	0.239838	0.259665
790	-4682.59	-4678.83	-3.76114	1.858013	0.02707709	0.220803	0.291752	0.231309	0.256136
800	-4681.57	-4677.83	-3.74507	1.918045	0.02779646	0.218683	0.306934	0.229087	0.245295
810	-4681.3	-4677.37	-3.93011	2.137847	0.02779646	0.21255	0.295981	0.241415	0.250054
820	-4682.72	-4678.89	-3.83092	1.970476	0.02736053	0.218314	0.284042	0.24081	0.256835
830	-4681.87	-4678.24	-3.62406	1.880303	0.02877082	0.216147	0.291205	0.257431	0.235218
840	-4681.56	-4677.83	-3.73614	1.992231	0.02859012	0.211115	0.292055	0.236127	0.260702
850	-4681.17	-4677.22	-3.9494	1.90116	0.02557223	0.214219	0.296348	0.241989	0.247444
860	-4684.95	-4681.69	-3.26226	1.904923	0.03359617	0.224684	0.305964	0.221962	0.247391
870	-4682.8	-4678.99	-3.8132	2.027071	0.02806395	0.200618	0.308698	0.247507	0.243177
880	-4680.67	-4677.16	-3.50847	1.953063	0.03088578	0.214343	0.296582	0.238074	0.251001
890	-4681.87	-4678.12	-3.75009	1.908314	0.0276527	0.207491	0.296317	0.257653	0.23854
900	-4681.12	-4677.69	-3.42888	1.773262	0.02994667	0.214807	0.289977	0.245782	0.249433
910	-4683.26	-4679.14	-4.11443	2.230598	0.02666013	0.209272	0.311034	0.23347	0.246224
920	-4682.18	-4678.87	-3.31016	1.867512	0.03249493	0.220383	0.296786	0.234997	0.247835
930	-4682.76	-4679.51	-3.2548	1.82868	0.0327838	0.204012	0.311571	0.238488	0.245928
940	-4682.04	-4678.67	-3.3703	1.747022	0.03037158	0.214876	0.312165	0.236326	0.236634
950	-4683.28	-4679.92	-3.35441	1.550573	0.02847582	0.220867	0.302209	0.233691	0.243232
960	-4680.77	-4676.99	-3.77616	2.027476	0.02847582	0.208413	0.30631	0.236862	0.248415
970	-4681.95	-4678.11	-3.84176	1.900564	0.02662877	0.210431	0.309276	0.229471	0.250821
980	-4683.88	-4680.26	-3.61714	1.865335	0.02870226	0.224822	0.302081	0.247774	0.225323
990	-4690.27	-4687.24	-3.02643	1.860106	0.03653136	0.215242	0.332589	0.222413	0.229757
1000	-4681.45	-4678.2	-3.25605	1.782235	0.03221897	0.212117	0.301626	0.235959	0.250299
