Taxon	Species
AmeC85A	Giant_Panda
AmeC85B	Giant_Panda
AmegenomA	Giant_Panda
AmegenomB	Giant_Panda
TorChaA	Spectacled_bear
TorChaB	Spectacled_bear
TorNobA	Spectacled_bear
TorNobB	Spectacled_bear
HMAL45A	Sun_bear
HMAL45B	Sun_bear
HMAL46A	Sun_bear
HMAL46B	Sun_bear
HMAL47A	Sun_bear
HMAL47B	Sun_bear
MURL42A	Sloth_bear
MURL42B	Sloth_bear
MURL43A	Sloth_bear
MURL43B	Sloth_bear
MURL44A	Sloth_bear
MURL44B	Sloth_bear
UTHL48A	Asian_black_bear
UTHL48B	Asian_black_bear
UTHL49A	Asian_black_bear
UTHL49B	Asian_black_bear
UTHL50A	Asian_black_bear
UTHL50B	Asian_black_bear
Uam1203A	American_black_bear
Uam1203B	American_black_bear
Uam13724A	American_black_bear
Uam13724B	American_black_bear
Uam16103A	American_black_bear
Uam16103B	American_black_bear
Uam24064A	American_black_bear
Uam24064B	American_black_bear
Uam6586A	American_black_bear
Uam6586B	American_black_bear
Uam6616A	American_black_bear
Uam6616B	American_black_bear
UamC122A	American_black_bear
UamC122B	American_black_bear
Uar001A	Brown_bear
Uar001B	Brown_bear
Uar1254A	Brown_bear
Uar1254B	Brown_bear
UarA9106A	Brown_bear
UarA9106B	Brown_bear
UarBT1-8A	Brown_bear
UarBT1-8B	Brown_bear
UarKamK05A	Brown_bear
UarKamK05B	Brown_bear
Uma009A	Polar_bear
Uma009B	Polar_bear
UmaAKL29A	Polar_bear
UmaAKL29B	Polar_bear
UmaB26A	Polar_bear
UmaB26B	Polar_bear
UmaB38A	Polar_bear
UmaB38B	Polar_bear
UmaDSL57A	Polar_bear
UmaDSL57B	Polar_bear
