Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	mu[1]	mu[2]	mu[3]	mu[4]	pi[1]	pi[2]	pi[3]	pi[4]	psi[1]	psi[2]	psi[3]	psi[4]	q_hidden[1]	q_hidden[2]	q_obs[1]	q_obs[2]
0	-1200.625	-1257.33	56.70501	9.4642e-06	-4.34905e-05	-0.503273	-0.427677	1.40691e-05	2.41369e-06	0.00221625	0.000767755	4.60494e-06	4.59042e-05	0.505489	0.428445	0.074813	0.0329186	0.652487	0.239781	0.465005	0.00495057	0.0367492	0.186046	0.010371	0.0137053	0.00660504	0.0114921
1000	-533.6153	-547.1857	13.57038	-0.971261	-0.170503	-0.0464938	0.0258203	0.000621859	0.000566238	0.874665	1.04154	0.971883	0.171069	0.921159	1.01572	0.333322	0.138417	0.0960367	0.432224	0.0208257	0.0519044	0.0236071	0.00799953	0.0127222	0.0285362	0.0124124	0.0124968
2000	-538.5674	-544.6166	6.0492	-2.10679	-0.184694	0.0477735	0.083146	0.457946	2.92691e-06	0.975167	1.41301	2.56474	0.184697	0.927393	1.32987	0.165199	0.253654	0.334384	0.246763	0.313464	0.0243551	0.0157769	0.0130626	0.0286961	0.0429433	0.0219162	0.017057
3000	-542.2543	-551.2441	8.98974	-0.296243	-2.10219	0.0256885	0.0560318	0.00391706	0.00649459	0.819985	0.838377	0.30016	2.10869	0.794296	0.782345	0.607144	0.204382	0.148616	0.0398583	0.0578396	0.206062	0.0328583	0.0163865	0.0122703	0.0214622	0.00580647	0.00693411
4000	-535.6849	-542.572	6.887139	-0.884798	-0.243295	0.116975	0.0334511	1.48334e-05	0.0350482	1.63278	1.38018	0.884812	0.278343	1.51581	1.34673	0.300403	0.188838	0.140157	0.370602	0.0517862	0.0708251	0.0124729	0.00836644	0.036089	0.0603525	0.00459936	0.0220931
5000	-530.6613	-532.2237	1.562406	-0.566567	-0.207816	0.162124	0.190757	1.26157e-05	0.391053	0.975612	1.24932	0.566579	0.598869	0.813488	1.05856	0.121203	0.0857717	0.584608	0.208417	0.0344926	0.0256907	0.0144618	0.00091466	0.00242212	0.160782	0.0127945	0.0119258
6000	-551.3103	-547.1549	-4.15537	-2.65411	-0.208973	0.0377345	-0.00291052	13.7679	0.000110364	0.72762	1.99543	16.4221	0.209084	0.689886	1.99834	0.148928	0.136013	0.200257	0.514803	0.383427	0.0549465	0.0417007	0.00847289	0.0445489	0.0276843	0.037116	0.00718011
7000	-533.3191	-541.927	8.607915	-1.15268	-0.242185	0.0496717	0.0484343	0.000273326	0.000142607	1.38573	2.17193	1.15296	0.242327	1.33606	2.12349	0.242093	0.162918	0.458616	0.136373	0.21573	0.059978	0.010264	0.00371437	0.0038958	0.0620442	0.039825	0.00877984
8000	-537.2405	-542.802	5.561442	-0.248464	-0.621883	0.196929	0.0884894	0.00224182	0.00802296	0.696923	2.11038	0.250706	0.629906	0.499994	2.02189	0.140961	0.225451	0.381596	0.251992	0.0508001	0.0445658	0.0204281	0.000595508	3.30146e-05	0.104533	0.00777097	0.00358382
9000	-537.1401	-540.7589	3.618833	-1.80975	-0.266375	0.0783843	0.114848	0.0752094	0.000272115	1.12482	1.16711	1.88496	0.266647	1.04644	1.05227	0.155752	0.264872	0.236484	0.342892	0.198972	0.0243163	0.0222079	0.0112234	0.00426372	0.0751788	0.0177987	0.0184281
