Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	extinction[1]	extinction[2]	rate_12	rate_21	root_state_freq[1]	root_state_freq[2]	speciation[1]	speciation[2]
0	-1735.23	-1745.16	9.92761	-0.13583	-0.0322932	0.343003	0.120083	0.00265602	0.003249238	0.360221	0.639779	0.207173	0.0877898
5	-1582.24	-1592.72	10.4858	0.120165	0.0807065	0.259344	0.00708326	0.001693832	0.002755916	0.0596219	0.940378	0.379509	0.0877898
10	-1581.17	-1591.05	9.88578	0.120165	0.110923	0.259344	0.00708326	0.001018644	0.004704857	0.0596219	0.940378	0.379509	0.118006
15	-1581.36	-1591.22	9.85357	0.096763	0.0858686	0.250903	0.0321373	0.002999	0.003996658	0.118812	0.881188	0.347666	0.118006
20	-1579.3	-1590.11	10.806	0.128188	0.0858686	0.219478	0.0321373	0.001571561	0.002221224	0.13134	0.86866	0.347666	0.118006
25	-1580.09	-1591.67	11.5748	0.146522	0.0717407	0.152421	0.0309374	0.004329053	0.004517095	0.606055	0.393945	0.298944	0.102678
30	-1580.29	-1589.91	9.62437	0.163441	0.0811398	0.135503	0.0899407	0.00316708	0.008943079	0.374416	0.625584	0.298944	0.17108
35	-1582.13	-1592.47	10.3409	0.196456	0.0362509	0.090112	0.13483	0.004812654	0.004118727	0.622196	0.377804	0.286568	0.17108
40	-1577.35	-1588.63	11.2886	0.159062	0.0312124	0.127505	0.115764	0.0008157354	0.003107249	0.268774	0.731226	0.286568	0.146977
45	-1581.34	-1591.91	10.5715	0.118586	0.106611	0.155905	0.0812919	0.002204044	0.004193725	0.627409	0.372591	0.274491	0.187903
50	-1577.02	-1587.38	10.3654	0.118586	0.065405	0.155905	0.0803355	0.001928797	0.008728306	0.0761347	0.923865	0.274491	0.14574
55	-1580.33	-1590.32	9.98517	0.093719	0.0790965	0.180772	0.0537067	0.001897954	0.01198407	0.457491	0.542509	0.274491	0.132803
60	-1576.67	-1587.9	11.2263	0.156481	0.060484	0.112391	0.0832048	0.00142049	0.007763471	0.536285	0.463715	0.268872	0.143689
65	-1575.08	-1586.95	11.8725	0.157221	0.0673845	0.112391	0.0832048	0.0009084201	0.004033278	0.0357813	0.964219	0.269612	0.150589
70	-1578.27	-1591.54	13.2635	0.11709	0.104469	0.137078	0.00694313	0.001104352	0.003466679	0.519422	0.480578	0.254168	0.111412
75	-1581.9	-1596.89	14.983	0.20039	0.059037	0.053778	0.0151797	0.001019073	0.001735706	0.105744	0.894256	0.254168	0.0742167
80	-1577.95	-1589.65	11.6988	0.164188	0.0588337	0.134027	0.0492736	0.002705395	0.005099488	0.196163	0.803837	0.298216	0.108107
85	-1578.22	-1590.23	12.0059	0.175594	0.0505495	0.0971138	0.0575578	0.002400517	0.007515197	0.22422	0.77578	0.272708	0.108107
90	-1579.39	-1591.82	12.4301	0.113812	0.0875689	0.158896	0.0205384	0.002982984	0.002737661	0.407298	0.592702	0.272708	0.108107
95	-1576.63	-1588.56	11.9246	0.15224	0.0588525	0.120468	0.0492548	0.001544616	0.007761051	0.359244	0.640756	0.272708	0.108107
100	-1580.02	-1591	10.9738	0.172704	0.084043	0.100005	0.0515053	0.004584979	0.009499848	0.104862	0.895138	0.272708	0.135548
105	-1578.02	-1589.61	11.5853	0.156813	0.0482054	0.125563	0.0604643	0.003094669	0.006256047	0.154187	0.845813	0.282376	0.10867
