Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	mu[1]	mu[2]	mu[3]	mu[4]	pi[1]	pi[2]	pi[3]	pi[4]	psi[1]	psi[2]	psi[3]	psi[4]	q_hidden[1]	q_hidden[2]	q_obs[1]	q_obs[2]
0	-1724.589	-1767.917	43.32812	-0.870717	-0.000633303	5.23896e-05	-29.9863	0.000116151	5.09413e-06	6.17927e-05	0.0469124	0.870833	0.000638397	9.40317e-06	30.0333	0.058287	0.628035	0.233206	0.0804724	0.208003	0.419366	0.528641	0.305621	0.00340654	0.00658489	0.00252359	0.00133612
1000	-545.0022	-541.8076	-3.194577	0.120399	0.0737505	-3.52148	-0.343098	0.690905	0.929182	0.19264	0.0104056	0.570506	0.855432	3.71412	0.353503	0.149226	0.616685	0.0995381	0.134551	0.0213559	0.00197275	0.349104	0.0911867	0.0943368	0.0202913	0.0163588	0.00967528
2000	-543.7105	-541.3584	-2.352164	0.175221	0.146718	-32.386	-0.245731	1.72489	1.06891	4.71759e-05	0.143453	1.54967	0.92219	32.386	0.389184	0.165555	0.272665	0.0632638	0.498516	0.015065	0.00621666	0.00067334	0.0682761	0.107793	0.021042	0.00472749	0.0400438
3000	-531.6814	-534.502	2.820561	0.125306	0.0916637	-0.521578	-0.309008	2.44256	1.02462	0.000139955	0.10846	2.31725	0.932956	0.521718	0.417468	0.0440386	0.327994	0.288734	0.339234	0.00366438	0.00641064	0.0736571	0.0537116	0.0955261	0.00571258	0.00876227	0.022816
4000	-542.3038	-534.5117	-7.792119	0.0853408	-0.13565	0.0446165	-3.51021	3.04046	0.364553	1.12734	0.673118	2.95512	0.500202	1.08272	4.18333	0.470331	0.0923448	0.309244	0.128081	3.51085e-05	0.0343577	0.029465	0.14092	0.0155053	0.00173369	0.0660749	0.0157179
5000	-536.1517	-536.6345	0.4827602	0.128732	-0.395932	0.0982631	-0.626207	2.07402	0.528696	1.44365	2.71881e-05	1.94529	0.924628	1.34539	0.626234	0.57292	0.248851	0.0247961	0.153433	0.000166105	0.0442852	0.0174249	0.0234733	0.0129544	0.00331753	0.123492	0.0115432
6000	-547.2653	-536.4728	-10.79248	0.130732	-0.262196	0.0420235	-14.8037	1.89749	0.122881	1.84683	0.39167	1.76675	0.385077	1.8048	15.1954	0.497011	0.182578	0.21765	0.102761	8.398e-05	0.0426628	0.0186107	0.0901314	0.0171465	0.00459496	0.127258	0.00458142
7000	-549.3541	-534.8716	-14.48254	0.168446	-0.197999	0.133482	-11.108	1.88777	0.71381	1.05826	1.08497	1.71933	0.911809	0.924775	12.193	0.190322	0.201715	0.121607	0.486356	0.000146487	0.0171192	0.0225005	0.227966	0.0192619	0.00589457	0.140004	0.00183693
8000	-547.2494	-541.1795	-6.069805	0.167217	-0.252618	0.086652	-19.1043	1.0002	0.221765	1.26179	0.0111155	0.832982	0.474383	1.17514	19.1154	0.251376	0.456726	0.0604272	0.23147	0.000633771	0.0608915	0.0270683	0.364469	0.0122194	0.0144557	0.10528	0.000441
9000	-552.4095	-544.8122	-7.597277	0.191161	-0.149277	0.123454	-48.8487	1.16493	0.171513	1.58091	0.0822456	0.973768	0.320789	1.45745	48.9309	0.059428	0.661646	0.053019	0.225907	0.0008391	0.0577563	0.0149703	0.380882	0.0112244	0.00393512	0.0914204	0.0042452
10000	-546.5343	-539.818	-6.716253	0.200452	-0.228747	0.120555	-8.30069	1.3388	4.60444e-05	0.618056	10.8733	1.13835	0.228793	0.497501	19.174	0.506291	0.0749904	0.180314	0.238404	0.000612172	0.0474041	0.0345138	0.137615	0.022406	0.0137356	0.157984	0.0105628
11000	-540.3781	-540.0975	-0.2805487	0.0970424	-0.297281	0.145085	-5.1919	2.22329	0.116226	1.04023	0.000318134	2.12625	0.413507	0.895144	5.19222	0.331395	0.250957	0.23856	0.179089	0.000206048	0.0585541	0.0330664	0.0107145	0.00737829	0.00656726	0.0859315	0.0372401
12000	-545.9597	-536.1765	-9.783186	0.131129	-0.22173	0.037571	-8.75947	1.75392	0.426368	1.81304	0.244422	1.62279	0.648097	1.77547	9.00389	0.448252	0.0560161	0.405301	0.0904309	0.0001048	0.0354357	0.0112025	0.120809	0.0384492	0.00632341	0.0840823	0.00118578
13000	-541.6816	-537.1942	-4.487465	0.223937	-0.0977928	0.171773	-2.68302	0.865963	0.43239	1.14487	6.16699e-05	0.642026	0.530183	0.973099	2.68308	0.771484	0.1038	0.0763696	0.0483471	0.00330314	0.033698	0.0233012	0.0171428	0.052145	0.00895915	0.167788	0.00789108
14000	-551.837	-540.2623	-11.57472	0.147865	-0.173845	0.0939378	-74.1389	1.21051	0.182135	1.48161	0.0503081	1.06265	0.35598	1.38767	74.1892	0.544282	0.39455	0.0148874	0.0462808	0.00365434	0.0436509	0.0201553	0.228481	0.0371162	0.00278571	0.114181	0.0229221
15000	-549.8718	-542.4161	-7.455718	0.0766024	-0.166938	0.175065	-56.1713	1.73105	0.24566	0.903088	0.0847985	1.65444	0.412598	0.728023	56.2561	0.392627	0.0894599	0.210633	0.30728	0.00239491	0.0533237	0.0244691	0.155659	0.0109291	0.0256232	0.0806605	0.000675157
16000	-543.0467	-543.1183	0.07160894	0.0203479	-0.203472	0.024571	-1.09317	2.23176	0.233705	0.601565	0.0192485	2.21141	0.437177	0.576994	1.11242	0.189374	0.0376308	0.502477	0.270518	0.000476184	0.0737154	0.0393855	0.0503843	0.0162791	0.0030615	0.0630711	0.0117347
17000	-533.7232	-537.1076	3.384358	0.154852	-0.334056	0.187496	-1.0775	2.1215	0.170283	1.43919	2.40041e-05	1.96665	0.504339	1.25169	1.07753	0.285656	0.126637	0.212179	0.375528	0.000439598	0.0432733	0.0189077	0.0122064	0.0076419	0.00325819	0.115399	0.00394209
18000	-550.1069	-535.9396	-14.16736	0.144419	-0.126461	0.11572	-9.30328	2.40902	0.293302	1.29175	3.6187	2.2646	0.419762	1.17603	12.922	0.331548	0.0063268	0.236876	0.42525	8.8774e-05	0.0261593	0.0311413	0.175869	0.0263648	0.0140037	0.115366	0.00135156
19000	-550.6947	-537.0366	-13.6581	0.0949028	-0.175194	0.0427219	-2.13435	2.9524	0.550076	1.56918	32.7305	2.8575	0.72527	1.52645	34.8648	0.761535	0.10319	0.113838	0.0214373	0.000133008	0.0391446	0.0160742	0.0603478	0.00683828	0.0108021	0.0575596	0.00842204
20000	-543.0081	-542.6789	-0.3292383	0.0678604	-0.193765	0.0704701	-3.22888	2.10586	0.171475	1.23351	0.0221552	2.038	0.365241	1.16304	3.25103	0.173906	0.589111	0.232638	0.00434544	0.00080618	0.064298	0.0353627	0.0405831	0.00740049	0.00216908	0.0602057	0.00328701
21000	-542.4383	-535.4363	-7.001931	0.121286	-0.184898	0.0883992	-15.4925	3.83223	0.257936	1.3428	0.229259	3.71094	0.442834	1.2544	15.7218	0.579727	0.13124	0.2253	0.0637329	0.000226492	0.0300158	0.0238442	0.290413	0.00620321	0.000202517	0.0606745	0.00290819
22000	-532.416	-535.7503	3.334256	0.107744	-0.168595	0.0757634	-2.48094	5.65303	0.505946	0.886339	5.47204e-05	5.54529	0.674541	0.810575	2.48099	0.384647	0.101088	0.176094	0.338171	0.000470816	0.0254502	0.0321542	0.0865767	0.0048373	0.000569444	0.0599246	0.00206243
23000	-536.5278	-536.3436	-0.1842588	0.100942	-0.271521	0.0522691	-0.659159	5.16346	0.120617	1.33212	0.00718045	5.06252	0.392138	1.27985	0.666339	0.293855	0.185249	0.244001	0.276896	2.81748e-05	0.0239692	0.0179669	0.0253319	0.00596863	0.00446627	0.0686193	0.0115377
24000	-536.7417	-536.3029	-0.4387463	0.0427461	-0.233534	0.0353864	-95.2975	5.44582	0.194177	1.72482	3.15797e-05	5.40307	0.427711	1.68943	95.2975	0.459249	0.270423	0.207895	0.0624322	3.15925e-07	0.0318191	0.0148621	0.00689449	0.0112259	0.00403497	0.06364	0.0055879
25000	-549.8983	-537.8844	-12.01389	0.120142	-0.168632	0.0937909	-53.0383	3.32476	0.302937	0.687914	2.55024	3.20462	0.471569	0.594123	55.5885	0.520739	0.124266	0.0910373	0.263958	0.0013401	0.0252295	0.0392075	0.102728	0.00710563	0.00764257	0.102099	0.00559895
26000	-551.8885	-541.7741	-10.11432	0.160777	-0.192076	0.0327307	-3.96698	3.37366	0.223765	0.63123	3.66213	3.21288	0.415841	0.5985	7.62911	0.373881	0.0503029	0.304667	0.271149	0.000408665	0.0363937	0.0374764	0.267747	0.00845632	0.00217042	0.061568	0.0409981
27000	-537.761	-539.1273	1.366265	0.0682437	-0.314543	0.0436191	-15.0565	3.03651	0.560793	1.02936	3.12023e-06	2.96827	0.875336	0.985744	15.0565	0.21052	0.118615	0.508385	0.16248	0.000214137	0.0254642	0.0171794	0.28355	0.0106615	0.0146982	0.0719017	0.00780643
28000	-543.6999	-543.0207	-0.6792033	0.0435402	-0.244521	0.0763721	-10.7474	3.04972	0.0103748	1.26808	0.0933129	3.00618	0.254896	1.19171	10.8407	0.548819	0.180637	0.248684	0.0218598	0.000277924	0.0656163	0.0126907	0.13669	0.00855316	0.00509716	0.0515671	0.00345617
29000	-533.7955	-535.4651	1.669593	0.150511	-0.244171	0.0969306	-7.53826	3.70197	0.363662	1.24419	4.37926e-05	3.55146	0.607833	1.14726	7.53831	0.292785	0.244899	0.245552	0.216765	6.67626e-05	0.0286891	0.0211555	0.134088	0.0092293	0.0034446	0.0701125	0.00155988
30000	-550.107	-540.2353	-9.871681	0.17626	-0.173276	-0.0243089	-40.1134	3.78588	0.260736	1.71266	0.000465385	3.60962	0.434012	1.73697	40.1139	0.145919	0.094445	0.579366	0.18027	0.000198063	0.0215202	0.0136207	0.328807	0.0502818	0.00786399	0.0919862	0.026369
31000	-544.7077	-538.9089	-5.798813	0.0602479	-0.13044	0.123723	-11.2605	3.08477	0.244394	0.767234	0.093097	3.02452	0.374834	0.643511	11.3536	0.383333	0.0634154	0.488805	0.0644473	0.000691519	0.0178119	0.0250525	0.201204	0.00846536	0.00297637	0.0888926	0.00355174
32000	-542.2668	-538.9072	-3.359575	0.0259378	-0.157641	0.00434068	-10.1664	2.77665	0.336761	1.25198	0.00329874	2.75071	0.494402	1.24764	10.1697	0.183745	0.0171262	0.301826	0.497303	0.000144333	0.035662	0.0155153	0.177508	0.00770459	0.00758297	0.0740318	0.00806885
33000	-545.8497	-537.8304	-8.019318	0.070227	-0.240398	0.0972816	-5.52005	3.86107	0.148388	0.920447	1.0942	3.79084	0.388786	0.823166	6.61425	0.108317	0.10547	0.499266	0.286947	0.000201619	0.0481625	0.0238804	0.164069	0.00677576	0.00206612	0.0684628	0.0254861
34000	-540.1201	-534.5126	-5.607479	0.0505028	-0.18051	0.0222686	-49.5381	4.64219	0.370027	1.15404	0.00958455	4.59168	0.550537	1.13177	49.5477	0.754257	0.0544984	0.116273	0.0749707	4.57533e-05	0.027642	0.018271	0.018822	0.0153628	0.0141019	0.056816	0.00216219
35000	-546.8075	-538.46	-8.347562	0.066901	-0.176504	-0.0128223	-7.92965	4.70583	0.849862	1.27892	0.234614	4.63893	1.02637	1.29174	8.16427	0.321864	0.470279	0.0541761	0.153681	0.000139909	0.0282334	0.0215908	0.0363862	0.00913635	0.0124928	0.0463455	0.0137277
36000	-531.9275	-538.0397	6.112203	0.0410689	-0.215711	0.0900108	-18.9016	3.39621	0.149011	0.698348	2.55499e-06	3.35514	0.364723	0.608337	18.9016	0.806162	0.0197326	0.0125695	0.161536	0.000118328	0.0562702	0.0314223	0.318334	0.00404878	0.00679755	0.0575599	0.00356371
37000	-544.0261	-534.3273	-9.698799	0.0935482	-0.163424	0.122649	-13.4911	2.21832	0.344849	1.02159	1.44308	2.12477	0.508273	0.898943	14.9342	0.707625	0.0351917	0.239429	0.0177544	0.000496816	0.0303033	0.0207029	0.0962825	0.0167909	0.00974527	0.0873288	0.00112149
38000	-544.8148	-540.8956	-3.919233	0.0852951	-0.244904	0.0421885	-73.1512	1.41576	0.270407	1.33902	0.00384394	1.33046	0.515311	1.29683	73.155	0.327004	0.562632	0.106363	0.00400089	0.00119249	0.0716973	0.0148628	0.0535681	0.0147993	0.00641804	0.0809225	0.000111754
39000	-550.6192	-543.8876	-6.731552	0.143946	-0.264222	0.176802	-61.9375	1.41399	0.0475697	0.321943	0.0315474	1.27005	0.311792	0.145141	61.9691	0.551898	0.24813	0.0736684	0.126304	0.000318891	0.0494023	0.0493961	0.16235	0.00987807	0.0394312	0.125766	0.0147073
