Iteration	Posterior	Likelihood	Prior	age_extant	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	clock_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-9191.93	-8990.66	-201.268	31.76876	0.4538183	0.6813946	0.089012	0.0792436	0.0227827	0.0720733	0.0178174	0.0584748	0.0199385	0.0471314	0.166401	0.0420319	0.18735	0.0663868	0.0910007	0.151896	0.142211	0.00131827	0.0765374	0.0580504	0.0557944	0.0216681	0.00163545	0.0336923	0.156139	0.192398	0.0605834	0.0574527	0.0768856	0.0611753	0.0132996	0.146421	0.0206068	0.0303212	0.00862553	0.15428	0.0118299	0.0479717	0.0878242	0.0739969	0.0109402	0.00414379	0.0783555	0.0972599	0.06294857	0.05595277	-0.07002799	0.140229	0.123364	0.456935	0.133852	0.0354813	0.110138	0.09633483	0	53.20997	0.1592397	0.0251819	0.220702	0.783522	2.97059	0.0702194	0.354618	0.917774	2.65739	0.57732	0.000471369	0.267196	0.155013	0.02630684	3.661969
10	-5357.01	-5263.32	-93.6922	21.74614	0.3072573	1.213571	0.0460093	0.00893435	0.00431981	0.00897037	0.0051142	0.0119235	0.00362985	0.00502808	0.00864629	0.00513395	0.0439778	0.0231945	0.0210091	0.0310428	0.00573151	0.000614622	0.00667195	0.00486401	0.0053353	0.00238148	0.000399327	0.00252048	0.0158413	0.0575456	0.0162311	0.0122711	0.0237214	0.00961779	0.000353703	0.0209558	0.0008296	0.00616681	0.000679524	0.00491939	0.00246664	0.00522506	0.00271403	0.00488911	0.00837816	0.000314953	0.0164758	0.0102178	0.02412653	0.01586517	-0.01623945	0.0466901	0.223496	0.0717291	0.0682737	0.483069	0.106742	0.09067021	1	54.61782	0.2402947	0.00590246	0.110151	0.607792	3.27615	0.177504	0.532718	1.028	2.26177	0.234115	0.0263733	0.447521	0.291991	0.07443077	1.218182
20	-4349.84	-4281	-68.8386	19.88158	0.2270038	1.418258	0.0252905	0.0117445	0.0107741	0.00840309	0.00583995	0.00397596	0.00351284	0.0102229	0.00655394	0.00608999	0.0371315	0.0475577	0.0209072	0.0133969	0.00564244	0.00106193	0.0286548	0.013416	0.000663404	0.00230805	0.000842209	0.000572407	0.00713028	0.0390759	0.0213935	0.00678283	0.0225363	0.00428286	0.000326653	0.00833214	0.00128864	0.00868743	0.00194181	0.00367632	0.00485779	0.0039395	0.000814322	0.00535219	0.00871207	0.000363826	0.0146663	0.00900099	0.01427099	0.01837954	0.04586596	0.0463565	0.339094	0.0479557	0.0177627	0.502149	0.0466816	0.1279219	2	53.95707	0.2432063	0.00120739	0.0506613	0.450419	3.49771	0.212414	0.57436	1.04524	2.16799	0.210498	0.344682	0.186502	0.258318	0.1737878	0.7360807
30	-4249.49	-4183.15	-66.3469	23.10122	0.2116977	5.381304	0.0379477	0.00896102	0.0146975	0.00142526	0.00661303	0.00652099	0.0165105	0.0248627	0.0127207	0.0113416	0.0225337	0.040794	0.0240719	0.00760222	0.00551309	0.00227221	0.010126	0.0125201	0.00443602	0.00360944	0.000739394	0.00100061	0.00755316	0.0399962	0.0248463	0.0120643	0.026957	0.00621776	0.000415392	0.00898895	0.00381639	0.0125819	0.00402004	0.0118158	0.0181073	0.00265861	0.00115441	0.0167947	0.0139521	0.00136761	0.0121895	0.0102036	0.01161106	0.02355293	0.03015792	0.0146341	0.4391	0.0144026	0.0122062	0.516153	0.00350399	0.1248161	3	50.40273	0.2884773	0.000777905	0.0407847	0.413492	3.54495	0.517183	0.812558	1.08258	1.58768	0.307465	0.28316	0.134897	0.274479	0.1549741	0.8054002
40	-4238.67	-4164.38	-74.2921	17.30927	0.1657498	8.548375	0.053721	0.0394943	0.0149562	0.00129823	0.00505778	0.00810503	0.0222142	0.029875	0.00693988	0.0215257	0.0330781	0.0441372	0.0231845	0.0116362	0.00972262	0.00525317	0.0185639	0.0183018	0.00129167	0.00228222	0.00116714	0.00199508	0.00507789	0.0310891	0.0106167	0.0132701	0.0147466	0.0022681	0.000399522	0.014652	0.00366639	0.0318624	0.00559897	0.0500793	0.0212789	0.00950296	0.000679134	0.0156501	0.00943051	0.00575477	0.0104199	0.0110085	0.01320325	0.02894166	0.01299573	0.0106916	0.51369	0.0093364	0.00831347	0.455063	0.00290575	0.1717995	3	48.86171	0.2830148	0.000127438	0.0166387	0.288661	3.69457	0.604792	0.858249	1.07541	1.46155	0.281741	0.309037	0.127048	0.282174	0.1847952	0.929675
50	-4214.94	-4156.21	-58.7375	16.23522	0.2030899	1.534795	0.0164797	0.0446578	0.0227309	0.001779	0.00464753	0.0337309	0.0122211	0.0398907	0.00852241	0.0261296	0.026247	0.0272752	0.0195239	0.00703777	0.00310089	0.0226006	0.0228208	0.0201647	0.00725895	0.00472675	0.00225392	0.00415792	0.00373776	0.0199311	0.0116398	0.0122138	0.0127032	0.00254511	0.00201784	0.0101223	0.00329739	0.0153575	0.0128844	0.063877	0.0220602	0.0213213	0.000769121	0.0146244	0.00558371	0.00883465	0.00681699	0.0228646	0.01632818	0.03522464	0.04153225	0.0164549	0.580651	0.00497377	0.00609613	0.389148	0.00267596	0.1232148	3	46.93096	0.3753392	0.000590036	0.0355769	0.391674	3.57216	0.230648	0.594247	1.0524	2.1227	0.307339	0.281097	0.120362	0.291202	0.164747	0.7479029
60	-4227.25	-4150.24	-77.0075	19.02556	0.2120294	3.679868	0.0268157	0.033653	0.0248534	0.0126913	0.012051	0.0446693	0.00563196	0.0466855	0.0115563	0.0369377	0.00826815	0.0487263	0.0283538	0.00624344	0.00838069	0.0225221	0.0353983	0.0496863	0.00572939	0.00705436	0.0123445	0.0396018	0.00272016	0.0395853	0.0478375	0.0104953	0.00935254	0.00248171	0.00473727	0.0131164	0.00808321	0.0253227	0.0343572	0.0162425	0.0188159	0.0378421	0.000902967	0.0134133	0.0100328	0.0044835	0.00902781	0.0665009	0.02266096	0.02769596	-0.0431915	0.0126077	0.578438	0.00515791	0.00554661	0.394833	0.00341763	0.199213	3	45.37586	0.4700642	0.000785882	0.0409907	0.414318	3.54391	0.435862	0.763356	1.0843	1.71648	0.303241	0.30419	0.116267	0.276302	0.1560215	1.27683
70	-4228.15	-4159.05	-69.1034	17.25515	0.2026105	2.427611	0.0128612	0.0537526	0.027894	0.0254401	0.0303737	0.0341815	0.027722	0.0456964	0.00754806	0.0275239	0.0129836	0.0288791	0.0188047	0.0134472	0.0110734	0.019122	0.0120458	0.0150285	0.00215167	0.00623758	0.0151775	0.0297684	0.00368314	0.029035	0.0189604	0.0226039	0.00725452	0.00376582	0.00586455	0.0172841	0.0182491	0.0527008	0.0350363	0.0223093	0.0253521	0.0314099	0.00212324	0.0562091	0.00387377	0.00103317	0.0135617	0.019917	0.01569861	0.02169682	0.01499087	0.00866475	0.479912	0.011366	0.00517903	0.492989	0.00188917	0.2007928	3	48.32863	0.3954047	0.00058062	0.035295	0.390437	3.57369	0.339484	0.693939	1.07776	1.88882	0.305678	0.314977	0.133781	0.245564	0.2157837	0.9305282
80	-4207.41	-4153.03	-54.386	18.18152	0.2072558	1.940711	0.0175137	0.0378073	0.0247593	0.010817	0.0121889	0.00860941	0.0544447	0.0386522	0.0108212	0.0266415	0.010287	0.0231118	0.0131346	0.0214013	0.009351	0.0131031	0.0239492	0.0203238	0.0025499	0.00616442	0.0188291	0.00761112	0.00441829	0.0255619	0.0083882	0.011462	0.0111254	0.00765184	0.00737273	0.0313406	0.00134927	0.0366527	0.0211776	0.0149212	0.0179416	0.0466631	0.00162764	0.0484656	0.014281	0.000511093	0.0069174	0.00447175	0.01780217	0.04443667	-0.005806066	0.0156695	0.50569	0.00793531	0.00776666	0.457959	0.00497994	0.1996968	5	46.88934	0.5613966	0.000676435	0.0380634	0.402328	3.55893	0.286093	0.648557	1.06843	1.99692	0.287577	0.301773	0.133481	0.277168	0.1938907	1.029945
90	-4212.46	-4155.22	-57.2386	16.01148	0.1824445	2.2373	0.0323339	0.0365468	0.0352	0.00600394	0.0089661	0.00897296	0.0401645	0.0358995	0.0113898	0.0199021	0.0252685	0.0283402	0.0213058	0.0148349	0.00822867	0.0134267	0.0101	0.0201291	0.00273838	0.00717959	0.0167947	0.00894034	0.00879816	0.0425423	0.00462928	0.0122948	0.00538887	0.00326521	0.00226248	0.0291877	0.00108711	0.0226138	0.0353368	0.0100289	0.0342981	0.0244672	0.000923886	0.0422728	0.00518864	0.00020573	0.0156013	0.0342959	0.01516137	0.02969138	-0.02766661	0.015021	0.551673	0.00553018	0.0073732	0.409073	0.0113292	0.1617749	6	44.8688	0.5192509	0.000273301	0.0243011	0.336315	3.63911	0.320046	0.678088	1.07493	1.92693	0.297561	0.307352	0.128264	0.266823	0.1341083	1.206301
100	-4213.7	-4155.53	-58.1667	16.1343	0.1979409	1.876276	0.0164161	0.035256	0.0124876	0.0203816	0.0417563	0.00633214	0.0904788	0.0371654	0.00865205	0.0200625	0.0225297	0.030999	0.0239354	0.0134624	0.00909631	0.00669167	0.0226151	0.0462686	0.000648485	0.0045906	0.0224074	0.0227576	0.0145964	0.0412746	0.0153218	0.00883853	0.0108001	0.00711308	0.00348893	0.0106063	0.00347147	0.0557856	0.0591923	0.00934431	0.026169	0.0438797	0.000776691	0.0309627	0.0011922	0.000697878	0.0146689	0.0259249	0.02117409	0.03016382	0.07666823	0.0082301	0.494818	0.00899985	0.00793781	0.465964	0.0140498	0.1325367	4	43.72337	0.6213965	0.000494383	0.0325961	0.378263	3.58865	0.278045	0.641177	1.06656	2.01422	0.318976	0.29052	0.130723	0.259781	0.209205	0.6335258
110	-4212.59	-4152.34	-60.2551	17.70473	0.222931	1.207068	0.0163826	0.0147939	0.02842	0.015812	0.0573679	0.00167472	0.031606	0.0438812	0.0109414	0.0290509	0.127349	0.0384301	0.0143516	0.0210114	0.0104612	0.0284744	0.0141411	0.0812179	0.00169541	0.0105209	0.0241696	0.0042136	0.0204304	0.0214584	0.00374134	0.0163044	0.0251779	0.00660754	0.0130785	0.013976	0.00162207	0.0357597	0.0305045	0.0116585	0.0131898	0.016975	0.00217496	0.0141126	0.00101042	0.00104832	0.0397345	0.0328638	0.01887033	0.0423584	0.01195099	0.0112191	0.54082	0.0107321	0.0117922	0.421592	0.00384518	0.1947112	4	42.55926	0.4894884	0.00108047	0.0479629	0.440827	3.51013	0.176331	0.531227	1.02733	2.26511	0.28939	0.298049	0.129802	0.282759	0.2066622	0.9421714
120	-4224.79	-4152.39	-72.3973	16.39927	0.1946176	1.312499	0.0213124	0.0436203	0.0592071	0.0184017	0.0513065	0.00550819	0.013891	0.0677028	0.0132341	0.0324158	0.0948375	0.028261	0.0199434	0.0244376	0.0113286	0.0499568	0.0222373	0.0567161	0.00592609	0.0167918	0.0133731	0.0104185	0.0314441	0.0462019	0.00674468	0.0167888	0.027458	0.0144522	0.0123158	0.0566525	0.00534925	0.0419399	0.102205	0.0453875	0.0227395	0.023431	0.00191107	0.0309451	0.00454082	0.00205105	0.0255165	0.0224847	0.02725342	0.03867383	0.04001314	0.00702317	0.482345	0.0109886	0.0042531	0.493578	0.00181212	0.1198055	4	41.42676	0.6631119	0.000438854	0.0307292	0.369465	3.59937	0.194851	0.554049	1.03721	2.21389	0.317149	0.291612	0.138836	0.252404	0.1598187	0.7496342
130	-4222.33	-4155.37	-66.9506	16.83415	0.2178289	1.611188	0.031391	0.00970851	0.0322022	0.0867753	0.0250534	0.00453358	0.0544494	0.0617215	0.0082003	0.023541	0.116516	0.0388632	0.0108236	0.0163433	0.00951735	0.054943	0.0173807	0.0570275	0.0076862	0.00569403	0.00808441	0.033464	0.0229617	0.0143256	0.00910673	0.0190308	0.0267192	0.00572648	0.0190635	0.0191466	0.00232298	0.0542818	0.0101789	0.00931131	0.0124131	0.0258193	0.00387271	0.0774707	0.00356037	0.00330776	0.0450171	0.0110814	0.02626964	0.02851169	0.02472561	0.0122592	0.487386	0.00789443	0.00865973	0.482062	0.00173798	0.1715695	4	42.25578	0.6454034	0.00093462	0.0446524	0.428571	3.52584	0.241999	0.606075	1.05633	2.09559	0.290906	0.300992	0.141164	0.266939	0.1962952	0.8740386
