index,range
0,1000000
1,0100000
2,0010000
3,0001000
4,0000100
5,0000010
6,0000001
7,1100000
8,1010000
9,0110000
10,1001000
11,0101000
12,0011000
13,1000100
14,0100100
15,0010100
16,0001100
17,1000010
18,0100010
19,0010010
20,0001010
21,0000110
22,1000001
23,0100001
24,0010001
25,0001001
26,0000101
27,0000011
28,1110000
29,1101000
30,1011000
31,0111000
32,1100100
33,1010100
34,0110100
35,1001100
36,0101100
37,0011100
38,1100010
39,1010010
40,0110010
41,1001010
42,0101010
43,0011010
44,1000110
45,0100110
46,0010110
47,0001110
48,1100001
49,1010001
50,0110001
51,1001001
52,0101001
53,0011001
54,1000101
55,0100101
56,0010101
57,0001101
58,1000011
59,0100011
60,0010011
61,0001011
62,0000111
63,1111000
64,1110100
65,1101100
66,1011100
67,0111100
68,1110010
69,1101010
70,1011010
71,0111010
72,1100110
73,1010110
74,0110110
75,1001110
76,0101110
77,0011110
78,1110001
79,1101001
80,1011001
81,0111001
82,1100101
83,1010101
84,0110101
85,1001101
86,0101101
87,0011101
88,1100011
89,1010011
90,0110011
91,1001011
92,0101011
93,0011011
94,1000111
95,0100111
96,0010111
97,0001111
98,1111100
99,1111010
100,1110110
101,1101110
102,1011110
103,0111110
104,1111001
105,1110101
106,1101101
107,1011101
108,0111101
109,1110011
110,1101011
111,1011011
112,0111011
113,1100111
114,1010111
115,0110111
116,1001111
117,0101111
118,0011111
119,1111110
120,1111101
121,1111011
122,1110111
123,1101111
124,1011111
125,0111111
126,1111111
