Iteration	Posterior	Likelihood	Prior	age_affinis	age_centrantoides	age_flynni	age_ingroup	age_littoralis	age_littoralis_flynni	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	birth	death	diversification	kappa[1]	kappa[2]	kappa[3]	kappa[4]	kappa[5]	kappa[6]	kappa[7]	kappa[8]	kappa[9]	kappa[10]	ln_mean	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_branch[41]	mu_mol_branch[42]	mu_mol_branch[43]	mu_mol_branch[44]	mu_mol_branch[45]	mu_mol_branch[46]	mu_mol_branch[47]	mu_mol_branch[48]	mu_mol_branch[49]	mu_mol_branch[50]	mu_mol_locus_rel[1]	mu_mol_locus_rel[2]	mu_mol_locus_rel[3]	mu_mol_locus_rel[4]	mu_mol_locus_rel[5]	mu_mol_locus_rel[6]	mu_mol_locus_rel[7]	mu_mol_locus_rel[8]	mu_mol_locus_rel[9]	mu_mol_locus_rel[10]	root_age	turnover
0	-52315.93	-52440.73	124.8026	2.178205	3.245424	1.505607	4.245937	1.674535	1.729195	11.4646	11.7693	2.14632	2.99155	3.87515	0.181785	18.4475	16.9354	4.97087	4.64108	1.325737	0.866573	0.4591639	1.87197	2.41781	0.630114	1.67747	0.561201	1.17145	1.16609	0.47305	0.369396	0.438614	-5.811735	0.003555667	0.00141729	0.00236599	0.00290073	0.00223924	0.00236049	0.00324153	0.00773789	0.0015363	0.00423222	0.0027017	0.00320272	0.00237836	0.00130211	0.00446836	0.00150215	0.0050305	0.00394652	0.00439616	0.0011839	0.00498956	0.00150076	0.00178934	0.00479059	0.00223721	0.00666144	0.00478649	0.0039513	0.00413153	0.00492338	0.00282927	0.00113403	0.00254841	0.00170926	0.00124125	0.00375798	0.00194996	0.0036256	0.00615481	0.00274754	0.00323475	0.00228195	0.000978198	0.00518336	0.00435195	0.00276935	0.00349395	0.00417451	0.00280021	0.0072618	0.00372841	1	1.09317	1.15903	1.00732	1.33469	0.776105	0.48469	1.35797	0.567346	0.389334	5	0.6536538
10	-38669.38	-38769.47	100.084	2.711265	2.865697	1.784449	5.25019	1.140025	1.784449	0.520749	1.0704	0.163449	0.297652	0.23025	0.0608156	16.1927	0.48471	0.81786	0.240477	0.5788629	0.0246615	0.5542014	4.0575	3.4147	2.64861	2.45819	2.27098	1.887	2.53612	1.9181	1.19111	3.4892	-5.538243	0.004674089	0.00306147	0.00154075	0.00245444	0.00418356	0.00251372	0.0110164	0.00349853	0.00274728	0.00290998	0.00676733	0.00443949	0.00357656	0.00295478	0.00219302	0.00409698	0.00539658	0.00209614	0.00673975	0.00444762	0.00309381	0.00634945	0.00238194	0.0145225	0.00221682	0.00663985	0.00892753	0.0109977	0.00891755	0.00927213	0.00413318	0.00353649	0.00476014	0.00282606	0.00299585	0.00168395	0.001712	0.00173795	0.00237526	0.00390934	0.00188092	0.00589247	0.0024497	0.00335923	0.00641099	0.0131533	0.00268058	0.00832748	0.00442061	0.00739285	0.00584239	1	0.567535	1.174	0.801142	0.501659	0.386157	0.360186	2.23503	0.833808	0.693599	5.25019	0.04260335
20	-38342.44	-38424.82	82.37673	2.76322	2.58281	1.637516	4.879787	1.567681	1.637516	0.0389972	0.567023	0.296084	0.437285	0.181892	0.0761256	49.4799	0.112022	1.81267	0.195204	0.4965596	0.1324347	0.3641249	4.69661	3.36	2.15274	2.33985	2.88054	2.06608	2.30187	2.13405	1.69053	2.63717	-5.096162	0.007272615	0.00760711	0.00324901	0.00266038	0.00494137	0.00404157	0.0141846	0.00409107	0.00393055	0.00449496	0.00870343	0.00368047	0.00344347	0.00404547	0.00416424	0.0125252	0.00528833	0.00287455	0.00690078	0.00615614	0.00352217	0.00817404	0.00427077	0.0196016	0.00192848	0.0118065	0.012368	0.0103331	0.0124172	0.014309	0.00722145	0.00886213	0.0093621	0.00658261	0.00411954	0.00391635	0.00411826	0.00523009	0.00403917	0.00384166	0.00246525	0.00169833	0.00257563	0.00401025	0.0140833	0.00412216	0.00536901	0.0189794	0.0049593	0.00331468	0.00836606	1	0.418892	0.900401	0.651953	0.35815	0.259816	0.313977	2.11635	0.52724	0.562917	4.879787	0.2667045
30	-38306.44	-38380.51	74.07545	2.978809	2.731504	1.326078	4.683912	1.4747	1.4747	0.0321584	0.495011	0.246772	0.472958	0.303563	0.018149	1.41898	0.120144	0.514879	0.171764	0.575423	0.129283	0.4461401	3.7016	3.09013	2.1775	2.35239	2.55069	1.70858	2.26054	1.67105	1.4939	3.18684	-5.023905	0.007817564	0.0120526	0.00416355	0.00282985	0.00854091	0.0067289	0.024673	0.0100869	0.0111517	0.0052611	0.00431002	0.00552294	0.00325543	0.00522077	0.00454371	0.0151741	0.00860332	0.00482592	0.0131498	0.0141453	0.00763982	0.0135457	0.00394214	0.0139206	0.00283952	0.010031	0.0124765	0.0177126	0.0158723	0.0196305	0.00362553	0.00277614	0.0209703	0.00615079	0.00366238	0.00341313	0.00353164	0.0094699	0.00423363	0.00340989	0.00662324	0.00191468	0.0125173	0.0011521	0.0127958	0.00479521	0.00331788	0.0139141	0.00695444	0.00384756	0.0094601	1	0.366167	0.758654	0.546104	0.328104	0.25071	0.292368	2.31491	0.469976	0.463901	4.683912	0.2246746
40	-38309.27	-38375.8	66.53059	2.912774	1.985562	1.221284	4.248717	1.285121	1.285121	0.0271378	0.410019	0.231945	0.323897	0.276252	0.00270383	0.546239	0.110573	1.13719	0.147173	1.187585	0.5493946	0.6381901	3.18927	3.10292	2.2747	3.18755	2.89156	1.2295	2.56466	1.77091	2.20122	3.32417	-4.791508	0.009862796	0.0237305	0.0117774	0.00536226	0.013908	0.0032501	0.0187942	0.015505	0.0159873	0.00629806	0.0111353	0.00738799	0.00428418	0.005699	0.00557433	0.0142103	0.0117065	0.00220684	0.0112541	0.0149188	0.00945383	0.0119373	0.00559587	0.0245538	0.00256703	0.0151512	0.0141925	0.00495622	0.0196006	0.0221672	0.00833978	0.00672307	0.010119	0.0072367	0.0032901	0.00416803	0.00461605	0.0130939	0.00340347	0.00421202	0.00537852	0.00297312	0.00569404	0.00282893	0.0169846	0.00296359	0.00510852	0.0110925	0.0181591	0.00434756	0.00708524	1	0.357875	0.745933	0.461211	0.323181	0.220861	0.258638	1.8061	0.446646	0.411765	4.248717	0.4626151
50	-38288.22	-38357.25	69.0245	2.681481	1.741611	1.142213	3.920222	1.152603	1.152603	0.00229006	0.470131	0.290308	0.435065	0.583283	0.00158305	0.350627	0.0977979	0.870419	0.255154	0.7684897	0.06505396	0.7034358	4.30523	3.3231	2.49878	2.09076	2.75537	1.68127	1.68777	1.65273	1.61547	3.25729	-4.848896	0.009312719	0.0146844	0.0073547	0.00507429	0.00892852	0.00507477	0.025181	0.00796397	0.0141975	0.00836513	0.00778615	0.00399842	0.00491459	0.0055843	0.00353836	0.0184591	0.0116837	0.0050978	0.0148222	0.0115006	0.00861839	0.0233809	0.00696914	0.028483	0.00325279	0.0155177	0.0140423	0.0186118	0.0128075	0.0316656	0.00716004	0.00598912	0.0115538	0.00822727	0.0143011	0.00372357	0.00275828	0.00398132	0.00178212	0.0037229	0.00576606	0.00465378	0.0059794	0.00498233	0.0213837	0.00852565	0.00651858	0.0224321	0.00761043	0.0107167	0.0109188	1	0.350371	0.662452	0.427962	0.288242	0.202436	0.24561	1.85925	0.493701	0.376581	3.920222	0.08465169
60	-38294.99	-38356.72	61.73446	2.454496	1.510331	1.101237	3.615618	1.12847	1.12847	0.0535866	0.372811	0.259902	0.409347	0.585813	0.00213031	0.300888	0.0982603	4.26866	0.173673	0.6692689	0.03761225	0.6316567	3.93926	2.9863	2.14868	2.83482	2.51017	1.98393	2.82128	1.98713	1.65649	3.32135	-4.722926	0.01056294	0.0113082	0.00512717	0.00372905	0.0075257	0.00585809	0.0213749	0.00655764	0.0112236	0.0059832	0.00941315	0.00662589	0.00556147	0.00453763	0.00573246	0.0199767	0.010046	0.00737067	0.0292758	0.0156426	0.00813856	0.0180733	0.00814978	0.0220302	0.00368643	0.0165086	0.0148931	0.0144001	0.0203962	0.0239757	0.0141309	0.0128822	0.0117112	0.00750946	0.00234831	0.0074564	0.00182535	0.00799794	0.00289805	0.00362235	0.00168311	0.00910367	0.0177014	0.00747359	0.0158073	0.00958494	0.00536045	0.013754	0.0313616	0.0134089	0.00939358	1	0.352431	0.739936	0.456806	0.286776	0.259286	0.2385	1.76788	0.409638	0.377204	3.615618	0.05619901
70	-38302.09	-38368.55	66.45562	2.133734	1.491066	1.097346	4.487718	1.164833	1.164833	0.0669275	0.267248	0.172311	0.383171	0.00635793	0.000769695	1.99665	0.122875	4.77084	0.175611	0.8189867	0.05817242	0.7608142	4.13924	3.48045	2.16701	2.02204	2.73216	1.07875	2.16255	1.67017	1.42014	3.01617	-4.586347	0.01210878	0.00941591	0.00439973	0.00496131	0.00761357	0.0043496	0.0224322	0.00695468	0.00570036	0.00552222	0.00680493	0.00563469	0.0056538	0.00547323	0.00601512	0.018999	0.0110444	0.00603997	0.0181536	0.0180602	0.0149397	0.0314859	0.012089	0.02343	0.00223723	0.0127532	0.0204739	0.0181859	0.0264413	0.0184162	0.00768703	0.00557867	0.0132964	0.00858252	0.00682708	0.00925469	0.00634201	0.00332664	0.00480303	0.0062427	0.00455377	0.0100953	0.00514787	0.0104061	0.0181512	0.0155039	0.0187228	0.014783	0.00395935	0.0241293	0.0137872	1	0.336433	0.688434	0.460025	0.291339	0.23229	0.247389	1.79686	0.386646	0.416497	4.487718	0.07102976
80	-38297.86	-38353.6	55.73936	2.410233	1.285871	1.09852	4.283031	1.123462	1.123462	0.0270282	0.400363	0.238037	0.394717	0.012032	9.9094e-05	1.1118	0.0928103	3.52313	0.0868426	0.610029	0.1239918	0.4860372	3.8344	3.44665	2.52103	2.36303	2.3005	2.07221	1.7573	2.05265	2.00021	3.17025	-4.619603	0.01171271	0.0124839	0.00438037	0.00606864	0.0121311	0.00754961	0.0382056	0.00581929	0.00506988	0.0068506	0.00725847	0.0050378	0.00504007	0.00818035	0.00364781	0.018714	0.0156024	0.0028664	0.0138976	0.0280029	0.0153271	0.0250844	0.00886264	0.0362643	0.00235382	0.0219596	0.016764	0.0111135	0.0181069	0.0215381	0.0120609	0.00742972	0.0127641	0.0135795	0.0136827	0.00334415	0.00277783	0.00550885	0.0167709	0.00826599	0.0162918	0.00240441	0.0166687	0.0223147	0.0350912	0.00552079	0.0125337	0.00848329	0.0105002	0.00974908	0.00786341	1	0.356326	0.691094	0.416987	0.313674	0.189203	0.253802	1.52166	0.421676	0.372556	4.283031	0.2032556
90	-38290.76	-38361.74	70.9805	3.871263	1.947785	1.344056	5.657393	1.400055	1.400055	0.0438631	0.625526	0.236836	0.451652	0.0119669	0.000299749	5.38067	0.105323	2.00373	0.229105	0.7757066	0.26834	0.5073666	3.58958	3.16114	2.40197	2.83798	1.8947	2.15868	2.78577	2.26349	1.51238	3.0681	-4.944407	0.008464414	0.0115624	0.00655881	0.00364696	0.0065174	0.00372057	0.022731	0.00696861	0.00908161	0.0050183	0.0113455	0.00508621	0.00305274	0.00390036	0.00508108	0.0160824	0.0105467	0.00307945	0.0102389	0.009561	0.00609781	0.0149579	0.00502574	0.0355634	0.00256332	0.0186778	0.0111784	0.00856599	0.00753912	0.0164076	0.008575	0.0139753	0.0109394	0.0112533	0.00773878	0.0113233	0.0016592	0.00439005	0.00349283	0.00572439	0.00778358	0.0021562	0.00808162	0.00396635	0.0200417	0.0064623	0.00976144	0.00959205	0.00575336	0.0143015	0.00768646	1	0.34407	0.696442	0.42285	0.301576	0.227288	0.23727	1.78968	0.474835	0.41305	5.657393	0.3459297
