Iteration	Posterior	Likelihood	Prior	age_affinis	age_centrantoides	age_flynni	age_ingroup	age_littoralis	age_littoralis_flynni	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	birth	death	diversification	kappa[1]	kappa[2]	kappa[3]	kappa[4]	kappa[5]	kappa[6]	kappa[7]	kappa[8]	kappa[9]	kappa[10]	ln_mean	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_branch[41]	mu_mol_branch[42]	mu_mol_branch[43]	mu_mol_branch[44]	mu_mol_branch[45]	mu_mol_branch[46]	mu_mol_branch[47]	mu_mol_branch[48]	mu_mol_branch[49]	mu_mol_branch[50]	mu_mol_locus_rel[1]	mu_mol_locus_rel[2]	mu_mol_locus_rel[3]	mu_mol_locus_rel[4]	mu_mol_locus_rel[5]	mu_mol_locus_rel[6]	mu_mol_locus_rel[7]	mu_mol_locus_rel[8]	mu_mol_locus_rel[9]	mu_mol_locus_rel[10]	root_age	turnover
0	-59170.77	-59180.41	9.645103	2.178205	3.245424	1.505607	4.245937	1.674535	1.729195	0.143604	7.19915	1.27683	2.67824	15.0649	3.93133	30.9676	0.897283	0.907712	0.21088	1.811114	1.342036	0.4690787	1.01912	1.41938	0.528638	0.305846	1.68431	0.22186	0.385495	1.02952	0.453955	0.788635	-3.660458	0.0305639	0.0271516	0.00492753	0.0131584	0.0144299	0.06817	0.0480911	0.0126296	0.0160936	0.0456964	0.0341915	0.0117538	0.0270096	0.0296011	0.0174692	0.0289554	0.0433442	0.0198643	0.0612698	0.00632337	0.0437263	0.0164082	0.0286489	0.0196634	0.0105545	0.0272695	0.0458687	0.0176154	0.0480737	0.0289292	0.0439426	0.0314119	0.0183499	0.0149682	0.0551819	0.0138308	0.0123428	0.0184779	0.0388951	0.0285384	0.0208193	0.051961	0.0256051	0.0359534	0.0316049	0.0601906	0.0148821	0.0236854	0.0305709	0.0359418	0.0246832	1	1.18526	0.55925	0.897374	0.973542	1.29557	0.877014	1.41452	0.284392	0.224042	5	0.741
10	-38481.53	-38570.58	89.054	6.715663	5.560227	1.219303	12.283	1.568944	1.568944	0.127549	0.302137	0.271527	0.323873	0.0865461	2.44939	5.74235	0.120915	0.356365	0.140545	0.3093585	0.07098054	0.2383779	4.41134	3.12677	2.42675	2.56442	3.299	2.17657	2.27455	2.04914	1.4898	3.32054	-5.661413	0.004132427	0.00497486	0.00199687	0.00117052	0.00822572	0.00509083	0.0126928	0.00374465	0.00700104	0.00360397	0.00433179	0.00350271	0.00333577	0.00522295	0.0041543	0.00841563	0.00372562	0.00339448	0.00958502	0.00245661	0.00200858	0.00596688	0.00169632	0.0094127	0.0012712	0.00514254	0.00565389	0.00551365	0.0036323	0.00571969	0.00253566	0.0055082	0.0046903	0.00217597	0.0022602	0.0059206	0.00245255	0.00849461	0.00290713	0.00131305	0.00121244	0.0016813	0.00123919	0.00390219	0.00411852	0.00622889	0.00114539	0.00178552	0.0053499	0.00108761	0.00232075	1	0.43014	0.759209	0.554572	0.381444	0.402377	0.279018	2.14643	0.519051	0.526582	12.283	0.2294443
20	-38402.57	-38476.37	73.80391	3.895951	2.768875	0.8605702	7.409186	0.9495467	0.9495467	0.069454	0.379645	0.298358	0.264989	0.137006	3.2126	2.85012	0.0857925	0.768855	0.190958	0.4647557	0.2192282	0.2455275	2.14426	3.59568	2.61997	2.647	2.11668	2.08245	2.3435	1.84704	1.87144	2.95457	-4.823343	0.009553756	0.0158581	0.00550142	0.00477684	0.00831105	0.00429012	0.0175962	0.00631615	0.0134317	0.00781028	0.00696481	0.0048426	0.00664993	0.00798076	0.00816477	0.0226665	0.00782637	0.00337845	0.0106072	0.00745188	0.00381861	0.0115422	0.00382402	0.0206498	0.00190619	0.0132126	0.0106245	0.0118549	0.00831875	0.0131836	0.00945752	0.0112016	0.00858633	0.0054833	0.00752833	0.0147367	0.00376745	0.0135816	0.0134039	0.00301241	0.0105692	0.0157843	0.00336702	0.0135381	0.00676723	0.00608352	0.00373976	0.00468236	0.00784904	0.00903536	0.00369938	1	0.325271	0.550948	0.424616	0.325998	0.224031	0.300435	1.66104	0.407042	0.388636	7.412656	0.4717063
30	-38304.91	-38373.39	68.47682	3.445339	3.288969	0.9809243	7.834463	0.9988307	0.9988307	0.0988471	0.395578	0.185072	0.409138	0.296929	0.530171	0.667644	0.101424	1.19825	0.209009	0.9101839	0.5942016	0.3159823	3.2239	3.10749	2.15991	2.79814	3.00604	1.75362	2.41744	1.51642	1.5542	2.72346	-4.821637	0.009570069	0.0160159	0.00449679	0.00404434	0.00748415	0.00479702	0.0250627	0.0117768	0.016998	0.00631786	0.0111182	0.00760193	0.00862995	0.00504553	0.00741058	0.0248394	0.00734964	0.0020483	0.00723339	0.00796578	0.00530031	0.0116841	0.00582123	0.0196836	0.00266037	0.00990374	0.0130459	0.0158218	0.0120018	0.0106462	0.00432556	0.00490222	0.0071616	0.00429182	0.00693659	0.00538079	0.00346833	0.00294952	0.0084974	0.00214187	0.00585842	0.00481776	0.0185325	0.0079301	0.00576553	0.00311461	0.00297943	0.00532824	0.00306108	0.0164347	0.00356958	1	0.302061	0.609608	0.334642	0.299952	0.173662	0.219733	1.58725	0.455647	0.379345	7.834463	0.6528369
40	-38291.74	-38362.82	71.08328	4.775186	4.34098	1.072601	9.79768	1.243238	1.243238	0.0793313	0.40462	0.24501	0.3162	0.297401	1.71367	0.393519	0.0820261	0.995801	0.216497	0.6981569	0.5932407	0.1049161	3.58593	3.3833	2.20216	2.43961	2.95015	1.72591	2.32092	1.74639	1.72877	2.64963	-5.148176	0.006904007	0.017471	0.00540938	0.00432329	0.00989336	0.00606869	0.0249885	0.014675	0.0150356	0.0105724	0.00784783	0.00538157	0.00678141	0.00755668	0.00330998	0.0220144	0.00812837	0.00339156	0.00726612	0.00900671	0.00646455	0.00691664	0.00330615	0.0163179	0.00256586	0.00915505	0.0102324	0.0126897	0.00865621	0.010573	0.00531548	0.00193244	0.0074216	0.00431514	0.00662891	0.00856886	0.00361346	0.00625523	0.0058014	0.00552056	0.00349951	0.00722726	0.00316974	0.00555655	0.00691048	0.00224819	0.00205805	0.00487185	0.00501296	0.00827415	0.00387218	1	0.283439	0.60188	0.343887	0.247406	0.172384	0.199839	1.25313	0.30603	0.341002	9.79768	0.8497241
50	-38278.04	-38359.54	81.50385	9.408419	6.670614	2.08053	20.7052	2.430381	2.430381	0.0680302	0.429423	0.235488	1.11829	0.375904	24.6036	1.3375	0.0620075	0.79532	0.129916	0.1931824	0.06567461	0.1275078	3.94352	2.87899	2.21378	2.23604	2.6624	1.87302	2.87938	1.83758	1.83719	3.30173	-5.675807	0.004073369	0.0076089	0.00424783	0.0021762	0.00416564	0.0020162	0.0107345	0.00395044	0.00488094	0.00835592	0.00340382	0.00228586	0.00378562	0.00620659	0.00256525	0.0142193	0.0034466	0.00107138	0.00418066	0.005624	0.00322386	0.008209	0.00237625	0.00949342	0.000969897	0.00459913	0.00492361	0.00500766	0.00382024	0.00520772	0.00194671	0.00164562	0.00258731	0.00146444	0.00724098	0.0056118	0.00731946	0.00553109	0.00164454	0.00275705	0.00167396	0.0058112	0.00284116	0.00227797	0.00250868	0.000997742	0.00288578	0.00177897	0.00168632	0.00327194	0.00137584	1	0.286095	0.555076	0.37037	0.245174	0.190141	0.194028	1.33667	0.353113	0.313689	20.7052	0.3399617
60	-38275.24	-38364.14	88.89907	12.56343	8.880546	2.951957	25.85895	3.072965	3.072965	0.0141513	0.48188	0.229708	0.455416	0.269795	14.609	0.740469	0.104198	0.787698	0.139647	0.1459496	0.04647194	0.09947762	3.37702	2.70081	2.53278	3.0791	2.68057	2.30708	2.24632	2.15047	1.41193	2.76361	-5.829201	0.003494103	0.00646887	0.00256806	0.00189496	0.00323969	0.00194576	0.011823	0.00336586	0.0046016	0.00319661	0.00430324	0.00302023	0.00332671	0.00405359	0.00304629	0.00860049	0.00239364	0.00308311	0.0109699	0.00302256	0.00159592	0.00445823	0.00175044	0.00861715	0.000855762	0.00423609	0.0035186	0.00400425	0.00442114	0.00490882	0.00299814	0.00277499	0.00154302	0.00111684	0.00294426	0.00296779	0.00138669	0.000572418	0.00405056	0.0029522	0.00206775	0.00291765	0.00189411	0.00164863	0.00173074	0.00212052	0.00210504	0.00162174	0.00495214	0.00223322	0.00119944	1	0.280848	0.519675	0.345513	0.200889	0.18252	0.171735	1.27005	0.34451	0.289617	25.85895	0.318411
70	-38287.49	-38357.49	69.99627	6.430878	5.668791	1.52507	14.90653	1.556622	1.556622	0.074605	0.571584	0.250237	0.48012	0.199201	5.04447	0.25662	0.08115	0.818071	0.206184	0.3548642	0.1373329	0.2175313	3.45976	3.11353	1.98834	2.63363	2.78913	2.59373	1.66936	2.02801	2.23821	2.9625	-5.297483	0.005946449	0.00938451	0.00449034	0.00454405	0.0158462	0.00790997	0.0222496	0.00574191	0.0083136	0.00530459	0.00846333	0.00531696	0.00474727	0.00350886	0.00432357	0.0165242	0.00506106	0.00217974	0.00758138	0.00597823	0.0043207	0.00709449	0.00241224	0.0123103	0.00220502	0.00537142	0.010772	0.00864856	0.00958026	0.00727702	0.00366185	0.00280909	0.00444407	0.00258119	0.00870329	0.00962099	0.00349202	0.00550568	0.0052303	0.00518394	0.00296686	0.00318368	0.00849066	0.00635466	0.00400102	0.00204834	0.00351095	0.00315436	0.00817713	0.0178648	0.00242539	1	0.229294	0.469909	0.374016	0.184438	0.148711	0.165528	1.22096	0.304952	0.319067	14.96824	0.3870012
80	-38303.99	-38362.9	58.90897	2.650124	1.797838	0.5737443	5.411401	0.59063	0.59063	0.0627799	0.339156	0.242237	0.382563	0.218999	15.0133	0.75957	0.111352	0.682742	0.140071	0.4886071	0.1473572	0.3412499	2.7776	3.85133	2.37462	2.24162	2.31393	2.44746	2.27936	1.76448	1.67952	2.22821	-4.386254	0.01479107	0.019042	0.0117327	0.00931071	0.0171882	0.00907604	0.043037	0.0134106	0.0145905	0.018681	0.0117844	0.0110003	0.00765945	0.0134655	0.0068577	0.0312226	0.0102544	0.0027047	0.00863035	0.0121526	0.00797267	0.0187454	0.00528094	0.039101	0.0036386	0.0257562	0.0183961	0.0119809	0.0152215	0.0201098	0.0099552	0.0094939	0.0089197	0.00714094	0.00985794	0.0206313	0.0247244	0.0100481	0.00870036	0.0107052	0.00773449	0.00927951	0.00910181	0.0263921	0.00728603	0.0138583	0.0168785	0.00531308	0.00763657	0.00914666	0.00572892	1	0.290279	0.622168	0.402394	0.242669	0.22488	0.221606	1.41206	0.352776	0.336851	5.411401	0.3015863
90	-38341.83	-38364.02	22.19317	1.026133	0.4271858	0.1745493	1.648318	0.178561	0.178561	0.0455482	0.524356	0.191817	0.23983	0.233878	15.4722	0.246518	0.122074	2.11031	0.187231	3.837081	3.213672	0.623409	2.56376	3.11499	2.06746	2.37744	2.8426	2.08164	2.13314	2.05464	2.19535	3.42561	-3.30197	0.04374196	0.0747981	0.036396	0.0198076	0.052292	0.0283139	0.136709	0.0592799	0.0617433	0.050613	0.0326557	0.030759	0.0312496	0.0392267	0.0411182	0.126382	0.0330456	0.0237885	0.033685	0.0808098	0.0522825	0.073189	0.0258091	0.117146	0.017096	0.0465419	0.0472005	0.077819	0.0289683	0.0825123	0.0652499	0.0219504	0.0222871	0.0206144	0.0462403	0.0178088	0.0396926	0.0786416	0.0245194	0.0350374	0.0163317	0.0509934	0.0837771	0.0352048	0.0300151	0.0163381	0.0101717	0.0208318	0.0225327	0.0320502	0.022188	1	0.322513	0.544144	0.404399	0.270992	0.183657	0.240811	1.78729	0.404622	0.362457	1.648318	0.8375304
100	-38308.6	-38349.77	41.16738	2.57592	1.212876	0.3937578	3.692936	0.4287689	0.4287689	0.0145754	0.535069	0.146373	0.261517	0.54294	13.1358	0.705833	0.111923	1.35199	0.195941	1.121677	0.6987218	0.4229552	4.12251	3.42069	2.22829	2.36268	2.84176	1.54401	1.90907	1.89038	1.68478	3.26006	-4.16369	0.01847813	0.0235474	0.0114454	0.010051	0.0256933	0.0118354	0.0793508	0.0185454	0.0215264	0.0153581	0.0226488	0.0154953	0.0140631	0.0204219	0.017062	0.0646284	0.0124587	0.0062408	0.0238002	0.0179531	0.0112827	0.0231491	0.0123673	0.0435477	0.00974304	0.0302489	0.0193121	0.0291489	0.0109012	0.0520852	0.0195838	0.0217624	0.00688108	0.0105197	0.0455278	0.028854	0.0200197	0.0158023	0.00837688	0.0125469	0.037255	0.0128089	0.0120821	0.0115872	0.0118069	0.00868123	0.00255985	0.0115275	0.0127201	0.0253545	0.00850751	1	0.279005	0.553836	0.339922	0.253204	0.187145	0.213094	1.63484	0.371459	0.327678	3.692936	0.622926
110	-38312.21	-38356.37	44.15371	1.912852	1.122543	0.322984	2.746145	0.3364908	0.3364908	0.0356098	0.376542	0.2311	0.700554	0.243847	2.87088	0.256637	0.117163	0.53139	0.140772	1.088113	0.426343	0.6617696	3.29566	3.32642	1.96819	2.8835	3.13401	1.57976	2.19081	2.00526	1.6824	3.07586	-3.975394	0.02230663	0.0275935	0.0105528	0.00834165	0.0301334	0.0198591	0.0968005	0.0152495	0.0216382	0.0252097	0.0245962	0.036948	0.0183918	0.0227086	0.0253017	0.0766731	0.0162186	0.0115056	0.0359323	0.0266574	0.0134635	0.0337179	0.0118121	0.0444289	0.00392564	0.0215425	0.0225972	0.0170139	0.023171	0.0537619	0.0128128	0.0168508	0.0200259	0.008363	0.0103934	0.0148707	0.0284848	0.0127829	0.0147837	0.0423358	0.00726334	0.0243098	0.0119799	0.0159827	0.0174277	0.00639814	0.00946912	0.023011	0.0132582	0.0116674	0.0125336	1	0.299722	0.604167	0.422135	0.249066	0.249567	0.264619	1.60351	0.429522	0.400168	2.746145	0.3918188
120	-38274.61	-38357.92	83.30727	7.436043	5.135072	1.654968	13.3421	1.750292	1.750292	0.0248658	0.299533	0.186291	0.270397	0.739496	0.85401	0.705381	0.111554	0.60309	0.148348	0.3515834	0.1541012	0.1974822	3.39614	3.20701	2.47593	2.67416	2.61166	1.24287	2.30887	1.95812	1.34485	2.97043	-5.58674	0.00445282	0.00761733	0.0032423	0.00161853	0.0109626	0.00540775	0.0226805	0.00317329	0.00308749	0.00658411	0.00551359	0.00340754	0.00392632	0.00562761	0.0044149	0.0163678	0.00332896	0.00237589	0.00584568	0.00532416	0.00361172	0.00630873	0.00326105	0.0133985	0.00135757	0.00940763	0.00588271	0.00385079	0.0062449	0.00624257	0.00305596	0.00321713	0.00342171	0.00234912	0.00259194	0.00426261	0.00508398	0.00672614	0.00366742	0.00989293	0.0038101	0.00233229	0.00500348	0.00495286	0.00314224	0.00264366	0.00518685	0.0107671	0.00241752	0.00278502	0.00329432	1	0.306039	0.580931	0.425591	0.27155	0.197994	0.223582	1.55322	0.480721	0.331231	13.3421	0.4383062
130	-38246.73	-38351.38	104.6526	20.19776	9.318066	3.676157	31.75863	4.056747	4.056747	0.0484172	0.498773	0.255961	0.632772	0.418566	2.21545	0.332967	0.116558	0.523794	0.314327	0.1170742	0.03336169	0.0837125	3.46464	3.34613	2.35931	2.55084	2.33165	1.48794	3.10482	1.86652	1.55291	3.70138	-6.19355	0.002427173	0.00160638	0.000952616	0.000938531	0.00252654	0.00123774	0.00768024	0.00194368	0.00285066	0.00245493	0.0020307	0.00163449	0.00169028	0.00245853	0.00215577	0.00721879	0.00174661	0.00137829	0.00328972	0.00250232	0.00153936	0.00248957	0.00130099	0.00517494	0.000790213	0.00248397	0.00239694	0.00138072	0.00192879	0.0037134	0.0105202	0.00339924	0.00158852	0.000964477	0.00308831	0.001658	0.00170926	0.00153297	0.00271873	0.00145528	0.00193612	0.00376208	0.002871	0.00180265	0.00132587	0.0012522	0.00149164	0.00200798	0.00233472	0.00316738	0.00125519	1	0.306039	0.606113	0.359693	0.262897	0.191883	0.21705	1.45069	0.371194	0.342719	31.75863	0.284962
