state,range
0,100000
1,010000
2,001000
3,000100
4,000010
5,000001
6,110000
7,101000
8,011000
9,100100
10,010100
11,001100
12,100010
13,010010
14,001010
15,000110
16,100001
17,010001
18,001001
19,000101
20,000011
21,111000
22,110100
23,101100
24,011100
25,110010
26,101010
27,011010
28,100110
29,010110
30,001110
31,110001
32,101001
33,011001
34,100101
35,010101
36,001101
37,100011
38,010011
39,001011
40,000111
41,111100
42,111010
43,110110
44,101110
45,011110
46,111001
47,110101
48,101101
49,011101
50,110011
51,101011
52,011011
53,100111
54,010111
55,001111
56,111110
57,111101
58,111011
59,110111
60,101111
61,011111
62,111111
