Iteration	Posterior	Likelihood	Prior	age_affinis	age_centrantoides	age_flynni	age_ingroup	age_littoralis	age_littoralis_flynni	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	birth	calib_lower	calib_upper	death	diff_age_root_ingroup	diversification	kappa[1]	kappa[2]	kappa[3]	kappa[4]	kappa[5]	kappa[6]	kappa[7]	kappa[8]	kappa[9]	kappa[10]	ln_mean	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_branch[41]	mu_mol_branch[42]	mu_mol_branch[43]	mu_mol_branch[44]	mu_mol_branch[45]	mu_mol_branch[46]	mu_mol_branch[47]	mu_mol_branch[48]	mu_mol_branch[49]	mu_mol_branch[50]	mu_mol_locus_rel[1]	mu_mol_locus_rel[2]	mu_mol_locus_rel[3]	mu_mol_locus_rel[4]	mu_mol_locus_rel[5]	mu_mol_locus_rel[6]	mu_mol_locus_rel[7]	mu_mol_locus_rel[8]	mu_mol_locus_rel[9]	mu_mol_locus_rel[10]	root_age	turnover
0	-49914.88	-49985.35	70.46704	2.178205	3.245424	1.505607	4.245937	1.674535	1.729195	0.427734	6.69419	1.58647	1.8696	8.18716	0.738019	7.97039	12.1133	18.4264	32.7816	0.05539342	-4.245937	2.054063	0.0300053	0.7540631	0.02538812	0.0925837	1.90941	3.89307	0.628129	0.563059	1.51637	0.406093	1.65736	0.334895	0.710802	-5.386276	0.005441208	0.00509605	0.00368534	0.00451552	0.00323632	0.00316473	0.00192898	0.00525023	0.0062529	0.0129938	0.00407893	0.00291379	0.00339425	0.00849174	0.00238859	0.0172435	0.0117549	0.00763988	0.0083504	0.00274305	0.00757956	0.00486841	0.00538429	0.00341999	0.00588272	0.010642	0.00556146	0.00317617	0.00413687	0.0023173	0.00817078	0.0138312	0.00209155	0.00538189	0.00247979	0.00156034	0.00586492	0.00461525	0.00593893	0.00518147	0.0114074	0.0105892	0.00786853	0.0105305	0.00161201	0.00331844	0.00359649	0.00374826	0.00439581	0.00181959	0.00285784	1	0.189081	0.140471	1.15142	2.90237	0.269509	0.476677	0.910583	0.245274	0.30695	5	0.5416762
20	-38475.36	-38546.55	71.19895	2.721179	1.827625	1.112842	4.398233	1.14203	1.224076	0.0438102	0.447923	0.223791	0.41721	0.406155	8.55579	3.00853	0.102947	8.51669	0.74271	0.8162763	-4.398233	1.901767	0.4313911	1.345401	0.3848852	4.30341	3.25735	2.54126	2.88165	2.27004	1.44744	2.72442	1.81077	1.5926	4.00584	-4.868396	0.009132885	0.00892842	0.00431563	0.00321292	0.00662353	0.0038608	0.0220211	0.00792983	0.0103043	0.0046776	0.00515537	0.00304031	0.00503551	0.00678365	0.0048279	0.0151123	0.010948	0.00918554	0.02563	0.01043	0.00687839	0.014635	0.00529799	0.0324172	0.00608316	0.0195413	0.0148143	0.0119607	0.0101167	0.0253926	0.0136023	0.00945879	0.0152601	0.00542944	0.0115191	0.00697666	0.00540445	0.0065211	0.00735965	0.00556839	0.00922791	0.0053774	0.00427715	0.00636465	0.0136817	0.0092867	0.0162577	0.00595513	0.00592113	0.00769787	0.00408353	1	0.351851	0.760277	0.447166	0.276462	0.226327	0.246958	1.83954	0.414763	0.345656	5.743634	0.5284867
40	-38421.93	-38469.97	48.04507	1.980154	1.082418	0.8098552	3.849051	0.8633827	0.9383946	0.0761555	0.453657	0.135157	0.285921	0.201921	1.50022	0.824522	0.110478	1.0695	0.325204	0.8620868	-3.849051	2.450949	0.3901397	1.143367	0.4719472	3.9577	3.36473	2.33523	2.98656	3.02888	1.66508	2.51007	2.00284	1.7419	3.75119	-4.368833	0.01505101	0.0164656	0.00657093	0.00354247	0.011571	0.00722464	0.0453777	0.0077956	0.0101139	0.00800578	0.00596692	0.00804826	0.00791107	0.0106496	0.00841851	0.0291832	0.0152395	0.00562257	0.0131783	0.0207939	0.0214391	0.0513296	0.0153847	0.0566291	0.00692862	0.0242324	0.0281303	0.0151588	0.0150699	0.0314757	0.00962479	0.0210228	0.013614	0.013584	0.0176863	0.00878911	0.017019	0.0169531	0.00269072	0.0168272	0.00237567	0.00710958	0.00621847	0.0138612	0.0216589	0.0323613	0.00630603	0.0115911	0.0086468	0.00474607	0.00571405	1	0.246453	0.525519	0.306843	0.225853	0.160396	0.166708	1.40932	0.352125	0.277195	4.992418	0.4525526
60	-38407.26	-38454.35	47.09716	1.473015	1.014097	0.5799428	2.838422	0.6108172	0.6798876	0.0106448	0.450208	0.188324	0.485492	0.284336	0.276149	0.699037	0.0336924	1.63551	0.152262	1.09811	-2.838422	3.461578	0.2937765	0.854386	0.8043339	2.79734	3.27115	2.0499	2.34336	2.76964	1.91094	2.2702	1.85541	1.54109	3.67393	-4.014189	0.02145782	0.0238803	0.0102894	0.00914436	0.0136205	0.0111593	0.0491898	0.00849961	0.0159245	0.0135534	0.0241373	0.0152793	0.0187222	0.0165201	0.0166978	0.0407801	0.0243904	0.00894566	0.0337327	0.0379809	0.0228845	0.037565	0.0176877	0.0686271	0.00990753	0.0298867	0.0371548	0.0147547	0.0396598	0.042939	0.026195	0.0168674	0.0216707	0.0150701	0.0347656	0.016128	0.00557547	0.0189474	0.019663	0.0270992	0.015609	0.0325517	0.0328427	0.0130393	0.0328612	0.0137485	0.01489	0.0162199	0.018006	0.00953799	0.00650433	1	0.24208	0.499625	0.311541	0.205877	0.142261	0.19256	0.986186	0.309455	0.253394	3.692808	0.2675291
80	-38398.11	-38447.76	49.65237	3.546596	2.179242	1.002593	4.564234	0.9050218	1.283971	0.0293148	0.301609	0.212503	0.312917	0.533765	0.353473	0.681996	0.103093	0.769687	0.231982	0.7822392	-4.564234	1.735766	0.1591367	0.4714089	0.6231025	5.85229	3.14822	2.43664	2.32565	2.38855	1.88577	2.45446	2.10232	1.62499	3.27091	-4.242445	0.01707871	0.0262298	0.0139634	0.00802255	0.0118652	0.00876498	0.0485457	0.0114654	0.0227153	0.00974612	0.0173991	0.00790096	0.0141095	0.0133713	0.00884756	0.0262524	0.0157337	0.00442865	0.020458	0.013559	0.00749677	0.0225217	0.00668519	0.0248624	0.00516079	0.0145051	0.0200822	0.0180717	0.0227609	0.0625802	0.014827	0.0254953	0.0172602	0.0118099	0.00469108	0.013386	0.00634445	0.00824565	0.00575338	0.00782315	0.00530812	0.0126912	0.020119	0.00504472	0.0247173	0.0106254	0.00754334	0.0139431	0.0138526	0.0101513	0.00686425	1	0.208025	0.429599	0.267444	0.180472	0.122655	0.130705	0.94769	0.234921	0.245308	5.035643	0.2034374
100	-38406.53	-38451.42	44.88169	2.304543	1.157323	0.6671686	3.053368	0.5261579	0.7899227	0.0434625	0.589254	0.133206	0.371643	0.221614	0.136315	0.478126	0.104241	1.00017	0.208085	0.7678969	-3.053368	3.246632	0.3491205	0.2541285	0.4187763	4.88468	3.29969	2.3942	2.35377	3.24916	1.75331	2.27594	1.67084	2.18366	3.02544	-3.985734	0.02207715	0.0210991	0.00808129	0.0118631	0.0200834	0.0117253	0.0726663	0.0166096	0.0249924	0.019268	0.0163998	0.00941828	0.0193413	0.0201593	0.0176057	0.0434087	0.0225163	0.0110595	0.0415543	0.0240963	0.0159377	0.0313926	0.0114514	0.0584886	0.00990534	0.0245863	0.0253784	0.00905939	0.0174126	0.0796546	0.0295249	0.0179082	0.0137857	0.012073	0.0102386	0.00770763	0.018803	0.01106	0.021264	0.0239503	0.00557259	0.0376634	0.0177753	0.00864155	0.0260324	0.0135557	0.0100206	0.0213651	0.0245904	0.0319123	0.0100017	1	0.241025	0.444181	0.335755	0.200161	0.182862	0.152054	1.12668	0.23831	0.252356	3.307497	0.4546451
120	-38382.84	-38445.35	62.51353	5.145701	2.736019	1.585546	6.08057	1.611978	1.644969	0.0454909	0.380797	0.164062	0.511195	0.137846	0.37053	0.404381	0.123051	0.621768	0.323784	0.4490359	-6.08057	0.2194297	0.04293264	1.348853	0.4061033	4.01144	2.77446	2.42811	2.6049	2.70066	1.4478	2.86077	1.80377	1.62124	2.97436	-4.960637	0.008328143	0.0094654	0.00529003	0.00526813	0.00943725	0.00543586	0.0451351	0.00677162	0.00869645	0.00522542	0.00589549	0.0053574	0.00659068	0.00707594	0.00584071	0.0173988	0.00868308	0.00351503	0.0182157	0.0112178	0.00710943	0.0128212	0.00675222	0.0220972	0.00294992	0.00876768	0.0111778	0.00319662	0.0130207	0.0650396	0.0131234	0.00735862	0.00519837	0.00431179	0.00611995	0.00274595	0.00457587	0.00240509	0.0207538	0.0100423	0.00465521	0.00497514	0.00457714	0.00426504	0.0133889	0.00300886	0.00920563	0.0186697	0.00534019	0.00875543	0.00403142	1	0.230633	0.472248	0.332072	0.194887	0.181982	0.208792	1.15557	0.300654	0.260625	7.429423	0.0956107
140	-38397.38	-38452.18	54.79626	2.017227	1.481233	0.7989384	3.410703	0.7854676	0.8556446	0.0694817	0.337841	0.194477	0.31608	0.218324	0.172017	0.245366	0.115478	1.61939	0.198795	0.8846821	-3.410703	2.889297	0.2173801	0.3988207	0.667302	3.75241	3.89561	2.73962	2.50761	2.79448	1.69881	1.83801	2.14218	1.10632	2.68096	-4.2843	0.01637863	0.0137362	0.00698352	0.00764064	0.0179345	0.00848362	0.0597756	0.0112498	0.0149481	0.0126962	0.00972884	0.00637742	0.0116334	0.0176361	0.0117981	0.0321908	0.0163895	0.00655541	0.0331629	0.0280665	0.0191253	0.0403038	0.0124694	0.0419537	0.00798316	0.0212756	0.0335013	0.0183591	0.0292623	0.0413168	0.00809312	0.0108479	0.00989552	0.00829821	0.00397942	0.00637317	0.0192606	0.00573822	0.0102836	0.00618407	0.0129581	0.00824956	0.010409	0.0213788	0.0124369	0.0176045	0.01259	0.0225207	0.00916227	0.0121946	0.0116745	1	0.209511	0.487744	0.31521	0.199515	0.145405	0.179694	1.20905	0.290125	0.253812	3.809524	0.2457155
160	-38400.35	-38455.94	55.58704	4.442903	2.132571	1.12016	5.526808	1.30862	1.361951	0.0352998	0.416842	0.133192	0.326832	0.0948486	0.136022	0.394931	0.104864	0.725063	0.265207	0.5251179	-5.526808	0.7731923	0.07628602	0.06461398	0.4488318	3.99733	3.64191	2.47871	2.46001	3.06237	3.44121	1.97745	2.14706	1.37237	3.27379	-4.58811	0.01208744	0.0162183	0.00782035	0.00642382	0.00563158	0.00646817	0.0392213	0.00748262	0.0122589	0.00845383	0.00417773	0.00886322	0.00895177	0.00972417	0.00687646	0.0240254	0.00967955	0.00453645	0.0288403	0.0128647	0.00877793	0.0190049	0.0072237	0.0184191	0.00409614	0.0104	0.01483	0.00644528	0.0172546	0.0653128	0.0207793	0.0145489	0.00596581	0.00453021	0.0182553	0.0042883	0.0261568	0.00657781	0.00515158	0.00592358	0.00425762	0.0186925	0.00976248	0.010083	0.00881889	0.0106209	0.0101677	0.0174369	0.00656386	0.0125759	0.00693254	1	0.234065	0.445445	0.294788	0.18667	0.185817	0.158933	1.03745	0.313269	0.275747	5.591422	0.1452741
180	-38387.41	-38436.73	49.3179	2.667774	2.053347	0.7478776	4.389247	0.8339295	0.8968338	0.0614794	0.488205	0.196633	0.504626	0.162406	0.211886	0.250749	0.108625	0.964645	0.20059	0.6541533	-4.389247	1.910753	0.01251153	0.1344887	0.6416417	4.01862	3.21127	2.40688	2.4247	2.37298	2.3423	2.05013	2.0873	1.63331	3.3599	-4.452169	0.01384755	0.0115016	0.0070468	0.00564443	0.016345	0.0105525	0.0539576	0.0182415	0.0249336	0.0119612	0.0106164	0.0121462	0.011671	0.0154256	0.010577	0.0383229	0.0144659	0.00268223	0.00816058	0.0174788	0.0124932	0.0246804	0.0113206	0.0271091	0.00375733	0.0135696	0.0244988	0.0072047	0.062598	0.0337235	0.00855651	0.0120841	0.0210707	0.0187376	0.0193124	0.0156107	0.0091776	0.010585	0.0105179	0.00625351	0.0122351	0.0145859	0.00414384	0.00849848	0.0181417	0.0106947	0.00844751	0.0118902	0.00936972	0.0177378	0.0101213	1	0.21416	0.499099	0.279682	0.196925	0.167495	0.170581	1.11485	0.290358	0.278506	4.523736	0.0191263
