Iteration	Posterior	Likelihood	Prior	age_affinis	age_centrantoides	age_flynni	age_ingroup	age_littoralis	age_littoralis_flynni	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	diff_age_root_ingroup	kappa_mol[1]	kappa_mol[2]	kappa_mol[3]	kappa_mol[4]	kappa_mol[5]	kappa_mol[6]	kappa_mol[7]	kappa_mol[8]	kappa_mol[9]	kappa_mol[10]	ln_mean	m_w[1][1][1]	m_w[1][1][2]	m_w[1][1][3]	m_w[1][1][4]	m_w[1][1][5]	m_w[1][1][6]	m_w[1][1][7]	m_w[2][1][1]	m_w[2][1][2]	m_w[2][1][3]	m_w[2][1][4]	m_w[2][1][5]	m_w[2][1][6]	m_w[2][1][7]	m_w[3][1][1]	m_w[3][1][2]	m_w[3][1][3]	m_w[3][1][4]	m_w[3][1][5]	m_w[3][1][6]	m_w[3][1][7]	m_w[4][1][1]	m_w[4][1][2]	m_w[4][1][3]	m_w[4][1][4]	m_w[4][1][5]	m_w[4][1][6]	m_w[4][1][7]	m_w[5][1][1]	m_w[5][1][2]	m_w[5][1][3]	m_w[5][1][4]	m_w[5][1][5]	m_w[5][1][6]	m_w[5][1][7]	m_w[6][1][1]	m_w[6][1][2]	m_w[6][1][3]	m_w[6][1][4]	m_w[6][1][5]	m_w[6][1][6]	m_w[6][1][7]	m_w[7][1][1]	m_w[7][1][2]	m_w[7][1][3]	m_w[7][1][4]	m_w[7][1][5]	m_w[7][1][6]	m_w[7][1][7]	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_branch[41]	mu_mol_branch[42]	mu_mol_branch[43]	mu_mol_branch[44]	mu_mol_branch[45]	mu_mol_branch[46]	mu_mol_branch[47]	mu_mol_branch[48]	mu_mol_branch[49]	mu_mol_branch[50]	mu_mol_locus_rel[1]	mu_mol_locus_rel[2]	mu_mol_locus_rel[3]	mu_mol_locus_rel[4]	mu_mol_locus_rel[5]	mu_mol_locus_rel[6]	mu_mol_locus_rel[7]	mu_mol_locus_rel[8]	mu_mol_locus_rel[9]	mu_mol_locus_rel[10]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	rho_b	rho_d	rho_e	rho_w	root_age	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	use_phi_b[1]	use_phi_b[2]	use_phi_d[1]	use_phi_d[2]	use_phi_e[1]	use_phi_e[2]	use_phi_w[1]	use_phi_w[2]	use_sigma_b[1]	use_sigma_b[2]	use_sigma_d[1]	use_sigma_d[2]	use_sigma_e[1]	use_sigma_e[2]	use_sigma_w[1]	use_sigma_w[2]
0	-118388.2	-118237.2	-150.9528	2.178205	3.245424	1.505607	4.245937	1.674535	1.729195	0.480041	8.62146	2.59821	4.00019	5.61779	1.93676	33.1923	5.54904	39.4487	6.77766	0.7540631	3.48381	1.52848	0.485456	0.735583	1.77702	0.685017	0.621018	1.01767	0.682093	1.10066	-2.533536	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0.09432458	0.0958189	0.0632874	0.126756	0.0702336	0.0889222	0.0788759	0.0985757	0.127993	0.0664148	0.15421	0.0671209	0.0743405	0.0540324	0.12876	0.0230901	0.188826	0.166048	0.0746407	0.249937	0.0301862	0.109366	0.103396	0.0773392	0.145023	0.11759	0.121278	0.109366	0.0954016	0.0581363	0.0779751	0.0921909	0.0504179	0.165383	0.0402327	0.0842387	0.10195	0.1195	0.146068	0.101254	0.0417826	0.0349681	0.0444218	0.0376328	0.175457	0.123169	0.090426	0.0825823	0.0972233	0.101995	0.022799	1	0.325354	0.959114	0.431861	0.784519	0.928012	2.57319	1.96274	0.176603	0.464481	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	5	0	0	0	0	0	0	0	0	0.1	0.1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	-38848.86	-38828.69	-20.17249	1.11335	0.4230916	0.5663039	2.228633	0.4277026	0.5690589	0.0543535	0.531837	0.180992	0.381502	0.235357	0.325078	19.3103	0.192683	5.86041	0.22536	0.2611743	3.9965	3.27766	2.14818	2.48808	2.70275	2.1486	2.14654	1.55085	1.59096	3.21529	-4.435486	3.6804	3.48192	10.3553	9.69804	3.94144	0.0279256	1.58665	3.6804	3.48192	8.66006	0.958356	0.00501552	0	1.58665	3.6804	3.48192	3.61739	3.61739	0	0	1.58665	3.58264	17.4545	1.15552	0	0	0	1.58665	3.38476	4.16142	0	0	0	0	1.58665	9.96247	5.50763	0	0	0	0	1.58665	5.50763	0	0	0	0	0	1.58665	0.01408051	0.00919212	0.00409202	0.00523458	0.01356	0.00720099	0.0470291	0.0103886	0.0152574	0.00973637	0.0119328	0.00762043	0.0122574	0.0130506	0.0166528	0.0258163	0.0168062	0.00635719	0.0246931	0.0537516	0.0312653	0.0624011	0.0233511	0.0472269	0.0111198	0.0266046	0.0249297	0.00651691	0.0210001	0.0255183	0.0151634	0.0134366	0.00749169	0.0126653	0.0132176	0.00565779	0.0121604	0.00532401	0.0231894	0.0116427	0.00548081	0.00716075	0.00544078	0.00635514	0.0207325	0.00713997	0.0148373	0.0136274	0.0235576	0.00568684	0.0043901	1	0.481946	1.00002	0.620398	0.378893	0.323864	0.314781	2.26177	0.590993	0.479211	0	0	-1.2787	0	0	-1.62775	-1.27015	-1.69782	0.01238391	0.0480335	0.05815962	0.1265738	2.489807	0	0	0	1.72115	0	0	1.8372	-0.87297	0.126574	0.0123839	0.1389578	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1
20	-38537.51	-38506.59	-30.91931	1.31858	0.6021157	0.33294	2.03402	0.4290845	0.4650472	0.00886837	0.430981	0.162278	0.30153	0.283396	0.125383	8.35834	0.103432	0.89275	0.212649	0.1579866	3.78743	3.37793	2.46672	2.56382	2.30202	1.79009	2.58617	2.01925	1.88269	3.01016	-4.081884	1	1	6.70562	6.70562	6.70562	4.61343	1	1	1	6.70562	4.61343	4.61343	0	1	1	1	4.61343	4.61343	0	0	1	1	6.70562	4.61343	0	0	0	1	1	4.61343	0	0	0	0	1	6.70562	4.61343	0	0	0	0	1	4.61343	0	0	0	0	0	1	0.02005331	0.0164596	0.00827336	0.00499674	0.0238553	0.0147709	0.0852927	0.0140072	0.0143639	0.0139689	0.0142152	0.0109388	0.0124589	0.0171355	0.0118964	0.0450067	0.0202736	0.0169344	0.0652074	0.0424237	0.0290305	0.0595737	0.0210713	0.0698398	0.00766727	0.0320593	0.0282329	0.0112787	0.0148429	0.0487417	0.0102176	0.015064	0.0108554	0.00956929	0.0299605	0.00643325	0.0243799	0.0152236	0.00886743	0.0155944	0.0121859	0.00702615	0.0050432	0.0228743	0.0280132	0.00777461	0.00920911	0.0125288	0.0201648	0.0131888	0.0104687	1	0.430663	0.937234	0.469595	0.341272	0.213583	0.274201	1.89972	0.495849	0.465247	1.92651	0	-1.96613	0	0.656457	0	0	0	0.042839	0.03623216	0.05699699	0.1666445	2.192007	0	0	0	1.73547	0	-1.91833	1.90295	-0.373975	0.166645	0.042839	0.2094835	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1
30	-38495.32	-38479.21	-16.11494	1.400971	1.320755	0.5699829	2.740194	0.6496623	0.6744	0.0184324	0.409422	0.143773	0.302467	0.44736	0.160199	1.74753	0.0846566	0.97474	0.236923	0.6918812	4.32236	2.72169	2.5122	2.56055	2.72307	1.63244	2.61247	1.70116	1.73966	3.4957	-4.527637	2.54184	2.43746	5.7149	5.43728	2.74427	0.041447	1.34205	2.54184	2.43746	4.98939	0.607646	0.0112506	0	1.34205	2.54184	2.43746	1.66626	1.66626	0	0	1.34205	2.49072	8.4955	0.700416	0	0	0	1.34205	2.38568	1.85331	0	0	0	0	1.34205	5.5495	2.2929	0	0	0	0	1.34205	2.2929	0	0	0	0	0	1.34205	0.01284096	0.0136694	0.00785719	0.00623251	0.00909427	0.00551738	0.0400529	0.00768887	0.0111564	0.00773723	0.01313	0.00707116	0.0114922	0.0106735	0.0110644	0.0257897	0.0132544	0.00225629	0.00726645	0.0107264	0.00664921	0.0220535	0.00908409	0.0515513	0.00774397	0.0259266	0.0228941	0.0143296	0.0149884	0.0259294	0.00982459	0.0152018	0.0222823	0.023326	0.00984423	0.00545362	0.00383774	0.00765471	0.00930853	0.0100138	0.00357313	0.013056	0.00607976	0.0188119	0.0150748	0.0163496	0.00521506	0.00998014	0.010093	0.00921309	0.00416881	1	0.416533	0.880915	0.601382	0.377947	0.296355	0.298071	1.84591	0.525844	0.432943	0.028055	0	-1.73193	-1.56438	0	0	-0.964636	-1.16045	0.02277005	0.01214788	0.04029185	0.1462396	3.432075	0.912142	1.90931	-0.253714	1.87624	-0.543582	0	1.41951	-1.09673	0.14624	0.0227701	0.1690096	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1
40	-38483.34	-38474.83	-8.508423	2.350112	1.840084	0.9145824	4.0741	0.9985412	1.028387	0.0298243	0.290469	0.177649	0.54454	0.280956	0.213931	2.61837	0.105619	1.70907	0.216355	1.891044	3.14618	3.3802	2.37228	2.158	2.59743	1.43399	2.90205	1.92441	1.85443	3.25037	-4.852605	2.15795	2.15297	2.3894	2.38926	2.38794	0.868978	2.14848	2.15795	2.15297	2.38903	0.8696	0.868805	0	2.14848	2.15795	2.15297	0.870175	0.870175	0	0	2.14848	2.15412	2.39134	0.869657	0	0	0	2.14848	2.1523	0.870278	0	0	0	0	2.14848	2.38931	0.870551	0	0	0	0	2.14848	0.870551	0	0	0	0	0	2.14848	0.009278242	0.00815402	0.00382027	0.00371563	0.006945	0.00472774	0.0239374	0.00576709	0.007142	0.00607915	0.00992598	0.00558804	0.00697283	0.00681673	0.00542392	0.0176106	0.00972121	0.00977117	0.0263354	0.0077392	0.00628967	0.017934	0.00649435	0.0477774	0.00660145	0.0221052	0.0134682	0.00367865	0.00897675	0.0191667	0.00399882	0.0138191	0.0135141	0.00492462	0.00518097	0.00580572	0.00302036	0.00192086	0.006367	0.00535505	0.00302792	0.00576811	0.00702799	0.0087127	0.0121403	0.00623619	0.00567806	0.00805334	0.00626394	0.0235087	0.00183858	1	0.399837	0.83986	0.535628	0.331697	0.288821	0.304087	2.13415	0.544051	0.416489	0	0.17545	-1.14253	0	0	0	0	-1.74941	0.02416884	0.0217525	0.04556337	0.118427	5.965144	0	1.07801	0	1.97478	-1.96613	1.27194	0.106247	-1.00995	0.118427	0.0241688	0.1425959	0	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1
50	-38475.74	-38462.8	-12.93996	1.637579	1.097989	0.7447255	3.753887	0.7424506	0.8146759	0.0306712	0.352066	0.13779	0.28068	0.268758	0.745024	0.86061	0.110379	12.0513	0.21703	0.5552851	3.29938	3.54239	2.57039	3.03721	2.60433	2.32383	2.71112	1.8574	1.36024	2.76516	-4.475672	2.08277	2.07819	8.4025	8.40202	8.39762	1.34999	2.07405	2.08277	2.07819	8.40126	1.35091	1.34974	0	2.07405	2.08277	2.07819	1.35177	1.35177	0	0	2.07405	2.07925	8.40901	1.351	0	0	0	2.07405	2.07757	1.35192	0	0	0	0	2.07405	8.40221	1.35232	0	0	0	0	2.07405	1.35232	0	0	0	0	0	2.07405	0.01352589	0.00829189	0.00736304	0.00456862	0.00921894	0.00461624	0.0298252	0.0116142	0.014635	0.00760824	0.0111733	0.00840302	0.00960084	0.0142777	0.0088876	0.0200244	0.0126793	0.00318948	0.0134422	0.0141738	0.0105379	0.0327941	0.0110995	0.049515	0.00891981	0.0257952	0.025006	0.0141292	0.0203266	0.0183509	0.00801982	0.0285849	0.00907215	0.00960165	0.00633585	0.00825314	0.00592769	0.00259839	0.0108746	0.00609568	0.0098258	0.00854984	0.0116962	0.00585196	0.0144479	0.0118647	0.0111919	0.00738815	0.0136811	0.0050961	0.00424466	1	0.353261	0.773346	0.50687	0.270372	0.235901	0.275814	1.8613	0.541806	0.420352	0.149703	0	-0.955787	-1.91793	0	0	0	-1.66876	0.04773853	0.009630068	0.03678163	0.06842371	4.309172	1.19531	-0.647975	0	1.61518	0	0	1.39899	-1.82697	0.0684237	0.0477385	0.1161622	1	0	1	1	0	0	0	1	1	1	0	1	0	0	1	1
60	-38506.61	-38466.02	-40.59446	0.7187228	0.7536893	0.362197	2.008838	0.4310521	0.4632405	0.00974213	0.502647	0.152029	0.349931	0.251672	0.236196	0.28043	0.0834146	11.0413	0.164982	0.1614688	2.74714	3.21169	2.21713	2.30111	2.52749	2.23609	3.24131	2.10548	1.69317	3.07676	-3.945026	4.5975	4.25626	8.51875	7.76772	2.18714	0.00703692	1.40876	4.5975	4.25626	6.62362	1.02108	0.000627473	0	1.40876	4.5975	4.25626	6.62362	6.62362	0	0	1.40876	4.42967	17.7608	1.32874	0	0	0	1.40876	4.09053	8.06747	0	0	0	0	1.40876	8.06747	11.9689	0	0	0	0	1.40876	11.9689	0	0	0	0	0	1.40876	0.02299441	0.024063	0.0100401	0.00597566	0.016524	0.0137951	0.0787534	0.0117979	0.0202634	0.0139016	0.0307265	0.0256132	0.0134834	0.0210253	0.0154829	0.0477379	0.0290068	0.0105141	0.0332305	0.0224179	0.0132808	0.03532	0.0148209	0.105626	0.0179729	0.0461468	0.0526427	0.0196229	0.0575296	0.0317445	0.0260272	0.0197647	0.0331005	0.0190479	0.0402702	0.0131105	0.00804797	0.0229031	0.0103014	0.0248659	0.0165869	0.0357189	0.00712207	0.0147485	0.0462593	0.0151144	0.0109686	0.0160736	0.0174993	0.00580523	0.0137941	1	0.321474	0.805819	0.412274	0.321095	0.245072	0.255053	1.61772	0.393256	0.339023	0	0.139663	-1.98898	0	0	0	-1.78819	-1.68758	0.03355637	0.02433412	0.2043925	0.156955	2.170307	1.5696	-0.661169	-1.25586	1.85036	0	0	1.74513	0	0.156955	0.0335564	0.1905114	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0
70	-38470.31	-38457.24	-13.06159	1.685977	1.691258	0.838388	4.13443	0.901931	0.9219911	0.0416747	0.357271	0.145715	0.35032	0.236576	0.381218	0.339349	0.0953401	1.35353	0.193751	1.404564	2.78314	3.13379	2.77323	2.41797	2.58395	1.77293	2.35504	1.78923	1.79428	3.1976	-4.764869	3.09679	2.99159	10.3252	9.92334	5.75461	0.146614	1.85789	3.09679	2.99159	9.26618	1.24498	0.0518877	0	1.85789	3.09679	2.99159	2.78126	2.78126	0	0	1.85789	3.04436	14.1649	1.3942	0	0	0	1.85789	2.9404	3.02741	0	0	0	0	1.85789	10.0863	3.58726	0	0	0	0	1.85789	3.58726	0	0	0	0	0	1.85789	0.01012906	0.00786152	0.00311446	0.00255412	0.00831144	0.00522847	0.0344042	0.00983757	0.0146284	0.00604209	0.0064331	0.00551656	0.00575771	0.0092332	0.00659926	0.0192304	0.00979494	0.00423007	0.0166665	0.0200661	0.0137289	0.0210403	0.0105364	0.0357508	0.00765259	0.0180687	0.0252842	0.00913788	0.026613	0.0183195	0.00706115	0.00542319	0.017981	0.00880427	0.00525806	0.00465882	0.00916469	0.00211133	0.00861943	0.00331441	0.00410869	0.00693043	0.00532744	0.0222694	0.0128455	0.0173582	0.00764433	0.0054024	0.00617355	0.00493509	0.00424037	1	0.377512	0.749922	0.467997	0.324736	0.215737	0.251427	1.52915	0.425871	0.354284	0.598744	0	-1.78982	0	0	1.11506	-0.768321	-1.80525	0.02837762	0.02238688	0.06290134	0.07139901	5.538993	1.17993	0	-0.242974	1.96931	-1.43442	0	1.69173	-1.20347	0.071399	0.0283776	0.09977663	1	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1
80	-38464.38	-38442.99	-21.39638	1.554192	1.441289	0.7343218	3.9097	0.7200312	0.80925	0.0252309	0.501658	0.141178	0.184887	0.175216	0.472603	0.434905	0.1061	0.943017	0.190649	0.1177947	3.25271	3.73769	2.51944	2.50166	2.67106	2.16692	2.43106	1.64543	1.91334	3.34617	-4.442228	2.2124	2.18202	5.34309	5.26566	4.30998	1.7422	1.83011	2.2124	2.18202	5.13464	3.82154	1.18981	0	1.83011	2.2124	2.18202	5.13464	5.13464	0	0	1.83011	2.19665	6.00301	3.9838	0	0	0	1.83011	2.16791	5.29729	0	0	0	0	1.83011	5.29729	5.63857	0	0	0	0	1.83011	5.63857	0	0	0	0	0	1.83011	0.0139859	0.00675949	0.00352575	0.00251456	0.0110569	0.00490529	0.0420935	0.00854152	0.012225	0.00904948	0.0174951	0.00738641	0.00991127	0.0104596	0.00996455	0.0279028	0.0146048	0.0066873	0.0171235	0.0172689	0.0104245	0.0228597	0.00712416	0.0430449	0.00762799	0.0215122	0.0288035	0.00747381	0.0326477	0.0195712	0.018074	0.0105593	0.0136082	0.0096916	0.00907094	0.006557	0.00428982	0.00801181	0.00667896	0.00906907	0.00721551	0.0068591	0.00726374	0.00502458	0.0171475	0.00688166	0.00651832	0.00700653	0.0059471	0.0155956	0.00810532	1	0.322	0.694462	0.387443	0.301835	0.212714	0.206252	1.78398	0.441801	0.386873	1.2825	0.177841	-1.0182	-0.786003	-0.759588	-1.68299	-0.282013	-1.52503	0.02975128	0.02263991	0.04498438	0.1334853	4.027495	0.90041	-0.458484	0	1.18571	0	0.426507	1.06282	0	0.133485	0.0297513	0.1632366	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0
90	-38464.87	-38459.27	-5.60358	2.377559	1.473422	0.8617687	5.357524	0.9350758	1.039538	0.043744	0.260331	0.11469	0.431761	0.198991	0.630094	0.686663	0.0989501	0.759594	0.173413	0.3416333	3.44914	3.23491	2.40733	2.28653	3.04548	2.35849	2.26678	2.08657	1.5612	2.84885	-4.647918	4.0443	3.81771	4.6192	4.31536	1.69542	0.0050037	1.68881	4.0443	3.81771	3.83711	0.196131	0.000842506	0	1.68881	4.0443	3.81771	0.778241	0.778241	0	0	1.68881	3.93248	7.94066	0.238152	0	0	0	1.68881	3.70716	0.900017	0	0	0	0	1.68881	4.43752	1.20381	0	0	0	0	1.68881	1.20381	0	0	0	0	0	1.68881	0.01138572	0.0139809	0.00751974	0.00568159	0.00879648	0.00623293	0.0346921	0.0102845	0.0106944	0.00760511	0.00599832	0.00509111	0.00577005	0.00870012	0.00633876	0.0227836	0.0124199	0.00241032	0.00919859	0.0167664	0.0107169	0.0230505	0.00791494	0.0320683	0.00429523	0.0160767	0.0183132	0.00789512	0.00941288	0.0146788	0.00702348	0.00637406	0.00834269	0.00809612	0.0111538	0.00887001	0.00935296	0.00483439	0.00400635	0.00655467	0.00849869	0.0158458	0.00422957	0.00613686	0.0215195	0.00403275	0.00444405	0.00412812	0.00541955	0.0157638	0.00542271	1	0.336401	0.76552	0.456962	0.311291	0.307812	0.316814	2.0073	0.415909	0.36423	1.52439	0	-0.775446	0	-0.807783	0.0312499	-1.31789	-1.86469	0.05398859	0.02913478	0.04880194	0.1506348	5.699157	0	0	0	1.81405	-0.559751	0.869474	0.966069	-1.59544	0.150635	0.0539886	0.2046234	1	0	1	0	1	1	1	1	0	0	0	1	1	1	1	1
