Iteration	Posterior	Likelihood	Prior	m_b[5][1][1]	m_b[5][1][2]	m_b[5][1][3]	m_b[5][1][4]	m_b[5][1][5]	m_b[5][1][6]	m_b[5][1][7]	m_b[5][2][1]	m_b[5][2][2]	m_b[5][2][3]	m_b[5][2][4]	m_b[5][2][5]	m_b[5][2][6]	m_b[5][2][7]	m_b[5][3][1]	m_b[5][3][2]	m_b[5][3][3]	m_b[5][3][4]	m_b[5][3][5]	m_b[5][3][6]	m_b[5][3][7]	m_b[5][4][1]	m_b[5][4][2]	m_b[5][4][3]	m_b[5][4][4]	m_b[5][4][5]	m_b[5][4][6]	m_b[5][4][7]	m_b[5][5][1]	m_b[5][5][2]	m_b[5][5][3]	m_b[5][5][4]	m_b[5][5][5]	m_b[5][5][6]	m_b[5][5][7]	m_b[5][6][1]	m_b[5][6][2]	m_b[5][6][3]	m_b[5][6][4]	m_b[5][6][5]	m_b[5][6][6]	m_b[5][6][7]	m_b[5][7][1]	m_b[5][7][2]	m_b[5][7][3]	m_b[5][7][4]	m_b[5][7][5]	m_b[5][7][6]	m_b[5][7][7]	m_d[5][1][1]	m_d[5][1][2]	m_d[5][1][3]	m_d[5][1][4]	m_d[5][1][5]	m_d[5][1][6]	m_d[5][1][7]	m_d[5][2][1]	m_d[5][2][2]	m_d[5][2][3]	m_d[5][2][4]	m_d[5][2][5]	m_d[5][2][6]	m_d[5][2][7]	m_d[5][3][1]	m_d[5][3][2]	m_d[5][3][3]	m_d[5][3][4]	m_d[5][3][5]	m_d[5][3][6]	m_d[5][3][7]	m_d[5][4][1]	m_d[5][4][2]	m_d[5][4][3]	m_d[5][4][4]	m_d[5][4][5]	m_d[5][4][6]	m_d[5][4][7]	m_d[5][5][1]	m_d[5][5][2]	m_d[5][5][3]	m_d[5][5][4]	m_d[5][5][5]	m_d[5][5][6]	m_d[5][5][7]	m_d[5][6][1]	m_d[5][6][2]	m_d[5][6][3]	m_d[5][6][4]	m_d[5][6][5]	m_d[5][6][6]	m_d[5][6][7]	m_d[5][7][1]	m_d[5][7][2]	m_d[5][7][3]	m_d[5][7][4]	m_d[5][7][5]	m_d[5][7][6]	m_d[5][7][7]	m_e[5][1][1]	m_e[5][1][2]	m_e[5][1][3]	m_e[5][1][4]	m_e[5][1][5]	m_e[5][1][6]	m_e[5][1][7]	m_w[5][1][1]	m_w[5][1][2]	m_w[5][1][3]	m_w[5][1][4]	m_w[5][1][5]	m_w[5][1][6]	m_w[5][1][7]	r_b[5][1][1]	r_b[5][1][2]	r_b[5][1][3]	r_b[5][1][4]	r_b[5][1][5]	r_b[5][1][6]	r_b[5][1][7]	r_b[5][2][1]	r_b[5][2][2]	r_b[5][2][3]	r_b[5][2][4]	r_b[5][2][5]	r_b[5][2][6]	r_b[5][2][7]	r_b[5][3][1]	r_b[5][3][2]	r_b[5][3][3]	r_b[5][3][4]	r_b[5][3][5]	r_b[5][3][6]	r_b[5][3][7]	r_b[5][4][1]	r_b[5][4][2]	r_b[5][4][3]	r_b[5][4][4]	r_b[5][4][5]	r_b[5][4][6]	r_b[5][4][7]	r_b[5][5][1]	r_b[5][5][2]	r_b[5][5][3]	r_b[5][5][4]	r_b[5][5][5]	r_b[5][5][6]	r_b[5][5][7]	r_b[5][6][1]	r_b[5][6][2]	r_b[5][6][3]	r_b[5][6][4]	r_b[5][6][5]	r_b[5][6][6]	r_b[5][6][7]	r_b[5][7][1]	r_b[5][7][2]	r_b[5][7][3]	r_b[5][7][4]	r_b[5][7][5]	r_b[5][7][6]	r_b[5][7][7]	r_d[5][1][1]	r_d[5][1][2]	r_d[5][1][3]	r_d[5][1][4]	r_d[5][1][5]	r_d[5][1][6]	r_d[5][1][7]	r_d[5][2][1]	r_d[5][2][2]	r_d[5][2][3]	r_d[5][2][4]	r_d[5][2][5]	r_d[5][2][6]	r_d[5][2][7]	r_d[5][3][1]	r_d[5][3][2]	r_d[5][3][3]	r_d[5][3][4]	r_d[5][3][5]	r_d[5][3][6]	r_d[5][3][7]	r_d[5][4][1]	r_d[5][4][2]	r_d[5][4][3]	r_d[5][4][4]	r_d[5][4][5]	r_d[5][4][6]	r_d[5][4][7]	r_d[5][5][1]	r_d[5][5][2]	r_d[5][5][3]	r_d[5][5][4]	r_d[5][5][5]	r_d[5][5][6]	r_d[5][5][7]	r_d[5][6][1]	r_d[5][6][2]	r_d[5][6][3]	r_d[5][6][4]	r_d[5][6][5]	r_d[5][6][6]	r_d[5][6][7]	r_d[5][7][1]	r_d[5][7][2]	r_d[5][7][3]	r_d[5][7][4]	r_d[5][7][5]	r_d[5][7][6]	r_d[5][7][7]	r_e[5][1]	r_e[5][2]	r_e[5][3]	r_e[5][4]	r_e[5][5]	r_e[5][6]	r_e[5][7]	r_w[5][1]	r_w[5][2]	r_w[5][3]	r_w[5][4]	r_w[5][5]	r_w[5][6]	r_w[5][7]	rho_b	rho_d	rho_e	rho_w
0	-118388.2	-118237.2	-150.9528	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1000	1000	1000	1000	1	1	1	0	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0.1	0.1	0.1	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0.1	0.1	0.1	100	100	100	100	0.1	0.1	0.1	0	0	0	0	0.1	0.1	0.1	0.1	0.1
10	-38848.86	-38828.69	-20.17249	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.55652	7.0874	0	0	0	0	0.0644239	1.26766	1.55652	0	0	0	0	0.0644239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.360191	0.360191	0	0	0	0	1.55652	2.04057	2.0372	1000	1000	1000	1000	2.0372	3.38476	4.16142	0	0	0	0	1.58665	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0123839	0.0747651	0.340433	0	0	0	0	0.00309451	0.0608899	0.0747651	0	0	0	0	0.00309451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0173012	0.0173012	0	0	0	0	0.0747651	0.118679	0.118483	58.1596	58.1596	58.1596	58.1596	0.118483	0.428422	0.526726	0	0	0	0	0.200828	0.01238391	0.0480335	0.05815962	0.1265738
20	-38537.51	-38506.59	-30.91931	6.86549	0.699546	1	1	1	1	62.2746	0.699546	6.86549	1	1	1	1	62.2746	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	62.2746	62.2746	1	1	1	1	6.86549	0.794014	8.16735	0	0	0	0	0.0147499	1.44004	0.794014	0	0	0	0	0.0147499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0836556	0.0836556	0	0	0	0	0.794014	0.782174	0.169769	1000	1000	1000	1000	1.15606	1	4.61343	0	0	0	0	1	0.294111	0.0299679	0.042839	0.042839	0.042839	0.042839	2.66778	0.0299679	0.294111	0.042839	0.042839	0.042839	0.042839	2.66778	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	0.042839	2.66778	2.66778	0.042839	0.042839	0.042839	0.042839	0.294111	0.0287688	0.295921	0	0	0	0	0.000534421	0.0521758	0.0287688	0	0	0	0	0.000534421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00303102	0.00303102	0	0	0	0	0.0287688	0.0445816	0.00967631	56.997	56.997	56.997	56.997	0.0658918	0.166645	0.768802	0	0	0	0	0.166645	0.042839	0.03623216	0.05699699	0.1666445
30	-38495.32	-38479.21	-16.11494	6.94042	6.71339	1	1	1	1	2.64404	0.99481	6.94042	1	1	1	1	2.64404	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17.8431	17.8431	1	1	1	1	17.2792	1.15524	24.7194	0	0	0	0	0.0517942	3.78615	1.15524	0	0	0	0	0.0517942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33816	0.33816	0	0	0	0	0.896369	1	0.580665	1000	1000	1000	1000	1	2.38568	1.85331	0	0	0	0	1.34205	0.158034	0.152864	0.0227701	0.0227701	0.0227701	0.0227701	0.060205	0.0226519	0.158034	0.0227701	0.0227701	0.0227701	0.0227701	0.060205	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.0227701	0.406288	0.406288	0.0227701	0.0227701	0.0227701	0.0227701	0.393449	0.0140337	0.300289	0	0	0	0	0.00062919	0.0459937	0.0140337	0	0	0	0	0.00062919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00410793	0.00410793	0	0	0	0	0.010889	0.0402919	0.0233961	40.2919	40.2919	40.2919	40.2919	0.0402919	0.348881	0.271028	0	0	0	0	0.196261	0.02277005	0.01214788	0.04029185	0.1462396
40	-38483.34	-38474.83	-8.508423	2.93883	2.62406	1	1	1	1	0.893155	0.892894	2.93883	1	1	1	1	0.893155	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.62483	2.62483	1	1	1	1	2.93883	2.29848	8.90576	0	0	0	0	0.0862713	1.23604	2.29848	0	0	0	0	0.0862713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62159	0.62159	0	0	0	0	2.29848	1	0.499476	1000	1000	1000	1000	1	2.1523	0.870278	0	0	0	0	2.14848	0.0710281	0.0634205	0.0241688	0.0241688	0.0241688	0.0241688	0.0215865	0.0215802	0.0710281	0.0241688	0.0241688	0.0241688	0.0241688	0.0215865	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0241688	0.0634391	0.0634391	0.0241688	0.0241688	0.0241688	0.0241688	0.0710281	0.0499978	0.193723	0	0	0	0	0.00187662	0.026887	0.0499978	0	0	0	0	0.00187662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0135211	0.0135211	0	0	0	0	0.0499978	0.0455634	0.0227578	45.5634	45.5634	45.5634	45.5634	0.0455634	0.25489	0.103064	0	0	0	0	0.254438	0.02416884	0.0217525	0.04556337	0.118427
50	-38475.74	-38462.8	-12.93996	0.607579	0.508779	1	1	1	1	4.55561	0.972615	0.607579	1	1	1	1	4.55561	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.38305	2.38305	1	1	1	1	2.00779	1.93362	20.715	0	0	0	0	0.442831	4.11928	1.93362	0	0	0	0	0.442831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22691	2.22691	0	0	0	0	1.93362	1	1	1000	1000	1000	1000	1	2.07757	1.35192	0	0	0	0	2.07405	0.0290049	0.0242884	0.0477385	0.0477385	0.0477385	0.0477385	0.217478	0.0464312	0.0290049	0.0477385	0.0477385	0.0477385	0.0477385	0.217478	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.0477385	0.113764	0.113764	0.0477385	0.0477385	0.0477385	0.0477385	0.095849	0.0186209	0.199487	0	0	0	0	0.00426449	0.0396689	0.0186209	0	0	0	0	0.00426449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0214453	0.0214453	0	0	0	0	0.0186209	0.0367816	0.0367816	36.7816	36.7816	36.7816	36.7816	0.0367816	0.142155	0.0925033	0	0	0	0	0.141914	0.04773853	0.009630068	0.03678163	0.06842371
60	-38506.61	-38466.02	-40.59446	0.516247	0.47173	1	1	1	1	4.39141	0.913767	0.516247	1	1	1	1	4.39141	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.26705	2.26705	1	1	1	1	2.48042	0.870554	9.20059	0	0	0	0	0.00400027	1.44616	0.870554	0	0	0	0	0.00400027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0254501	0.0254501	0	0	0	0	0.247961	1	1	1000	1000	1000	1000	1	4.09053	8.06747	0	0	0	0	1.40876	0.0173234	0.0158295	0.0335564	0.0335564	0.0335564	0.0335564	0.14736	0.0306627	0.0173234	0.0335564	0.0335564	0.0335564	0.0335564	0.14736	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0335564	0.0760741	0.0760741	0.0335564	0.0335564	0.0335564	0.0335564	0.0832339	0.0211842	0.223888	0	0	0	0	9.7343e-05	0.035191	0.0211842	0	0	0	0	9.7343e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000619305	0.000619305	0	0	0	0	0.00603391	0.204392	0.204392	204.392	204.392	204.392	204.392	0.204392	0.642028	1.26623	0	0	0	0	0.221112	0.03355637	0.02433412	0.2043925	0.156955
70	-38470.31	-38457.24	-13.06159	1.81983	0.894891	1	1	1	1	11.7515	0.894891	1.81983	1	1	1	1	11.7515	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11.7515	11.7515	1	1	1	1	5.92199	1.19661	9.98696	0	0	0	0	0.016884	1.39371	1.19661	0	0	0	0	0.016884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120986	0.120986	0	0	0	0	0.938488	0.613493	0.146333	1000	1000	1000	1000	0.614188	2.9404	3.02741	0	0	0	0	1.85789	0.0516425	0.0253949	0.0283776	0.0283776	0.0283776	0.0283776	0.333481	0.0253949	0.0516425	0.0283776	0.0283776	0.0283776	0.0283776	0.333481	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.0283776	0.333481	0.333481	0.0283776	0.0283776	0.0283776	0.0283776	0.168052	0.0267883	0.223577	0	0	0	0	0.00037798	0.0312009	0.0267883	0	0	0	0	0.00037798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0027085	0.0027085	0	0	0	0	0.0210098	0.0385895	0.00920455	62.9013	62.9013	62.9013	62.9013	0.0386333	0.209942	0.216154	0	0	0	0	0.132652	0.02837762	0.02238688	0.06290134	0.07139901
80	-38464.38	-38442.99	-21.39638	2.27963	0.444329	1	1	1	1	34.3393	0.702784	2.27963	1	1	1	1	34.3393	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	21.7107	21.7107	1	1	1	1	5.60927	1.18236	6.56716	0	0	0	0	0.18686	2.00646	1.18236	0	0	0	0	0.18686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.611593	0.611593	0	0	0	0	1.18236	2.77793	2.70319	1000	1000	1000	1000	1.7646	2.16791	5.29729	0	0	0	0	1.83011	0.0678218	0.0132194	0.0297513	0.0297513	0.0297513	0.0297513	1.02164	0.0209087	0.0678218	0.0297513	0.0297513	0.0297513	0.0297513	1.02164	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.0297513	0.645922	0.645922	0.0297513	0.0297513	0.0297513	0.0297513	0.166883	0.0267685	0.14868	0	0	0	0	0.00423048	0.0454261	0.0267685	0	0	0	0	0.00423048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0138464	0.0138464	0	0	0	0	0.0267685	0.124963	0.121601	44.9844	44.9844	44.9844	44.9844	0.0793794	0.289384	0.70711	0	0	0	0	0.244292	0.02975128	0.02263991	0.04498438	0.1334853
90	-38464.87	-38459.27	-5.60358	4.59235	0.753716	1	1	1	1	26.2898	0.753716	4.59235	1	1	1	1	26.2898	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	26.2898	26.2898	1	1	1	1	4.59235	2.82528	7.0843	0	0	0	0	0.189568	1.15469	2.82528	0	0	0	0	0.189568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16305	1.16305	0	0	0	0	2.82528	1.33458	1.12481	1000	1000	1000	1000	0.825219	3.70716	0.900017	0	0	0	0	1.68881	0.247934	0.040692	0.0539886	0.0539886	0.0539886	0.0539886	1.41935	0.040692	0.247934	0.0539886	0.0539886	0.0539886	0.0539886	1.41935	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	0.0539886	1.41935	1.41935	0.0539886	0.0539886	0.0539886	0.0539886	0.247934	0.0823138	0.206399	0	0	0	0	0.00552302	0.0336415	0.0823138	0	0	0	0	0.00552302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0338852	0.0338852	0	0	0	0	0.0823138	0.0651303	0.0548931	48.8019	48.8019	48.8019	48.8019	0.0402723	0.558428	0.135574	0	0	0	0	0.254394	0.05398859	0.02913478	0.04880194	0.1506348
