Iteration	Posterior	Likelihood	Prior	age_affinis	age_centrantoides	age_flynni	age_ingroup	age_littoralis	age_littoralis_flynni	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	diff_age_root_ingroup	kappa_mol[1]	kappa_mol[2]	kappa_mol[3]	kappa_mol[4]	kappa_mol[5]	kappa_mol[6]	kappa_mol[7]	kappa_mol[8]	kappa_mol[9]	kappa_mol[10]	ln_mean	m_w[1][1][1]	m_w[1][1][2]	m_w[1][1][3]	m_w[1][1][4]	m_w[1][1][5]	m_w[1][1][6]	m_w[1][1][7]	m_w[2][1][1]	m_w[2][1][2]	m_w[2][1][3]	m_w[2][1][4]	m_w[2][1][5]	m_w[2][1][6]	m_w[2][1][7]	m_w[3][1][1]	m_w[3][1][2]	m_w[3][1][3]	m_w[3][1][4]	m_w[3][1][5]	m_w[3][1][6]	m_w[3][1][7]	m_w[4][1][1]	m_w[4][1][2]	m_w[4][1][3]	m_w[4][1][4]	m_w[4][1][5]	m_w[4][1][6]	m_w[4][1][7]	m_w[5][1][1]	m_w[5][1][2]	m_w[5][1][3]	m_w[5][1][4]	m_w[5][1][5]	m_w[5][1][6]	m_w[5][1][7]	m_w[6][1][1]	m_w[6][1][2]	m_w[6][1][3]	m_w[6][1][4]	m_w[6][1][5]	m_w[6][1][6]	m_w[6][1][7]	m_w[7][1][1]	m_w[7][1][2]	m_w[7][1][3]	m_w[7][1][4]	m_w[7][1][5]	m_w[7][1][6]	m_w[7][1][7]	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_branch[41]	mu_mol_branch[42]	mu_mol_branch[43]	mu_mol_branch[44]	mu_mol_branch[45]	mu_mol_branch[46]	mu_mol_branch[47]	mu_mol_branch[48]	mu_mol_branch[49]	mu_mol_branch[50]	mu_mol_locus_rel[1]	mu_mol_locus_rel[2]	mu_mol_locus_rel[3]	mu_mol_locus_rel[4]	mu_mol_locus_rel[5]	mu_mol_locus_rel[6]	mu_mol_locus_rel[7]	mu_mol_locus_rel[8]	mu_mol_locus_rel[9]	mu_mol_locus_rel[10]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	rho_b	rho_d	rho_e	rho_w	root_age	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	use_phi_b[1]	use_phi_b[2]	use_phi_d[1]	use_phi_d[2]	use_phi_e[1]	use_phi_e[2]	use_phi_w[1]	use_phi_w[2]	use_sigma_b[1]	use_sigma_b[2]	use_sigma_d[1]	use_sigma_d[2]	use_sigma_e[1]	use_sigma_e[2]	use_sigma_w[1]	use_sigma_w[2]
0	-92236.01	-92080.7	-155.3079	2.178205	3.245424	1.505607	4.245937	1.674535	1.729195	0.719222	9.31384	1.56579	5.24211	0.988175	6.54559	12.0033	9.26555	13.8714	0.431724	0.7540631	0.832362	0.943411	0.124586	0.41887	0.851155	0.641377	2.02278	1.27885	1.11277	2.73455	-2.46448	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0.1010684	0.045146	0.299718	0.0598396	0.144622	0.0869232	0.168461	0.156289	0.11304	0.0655135	0.120849	0.0754632	0.117775	0.084603	0.120393	0.0576929	0.0949762	0.068631	0.0482855	0.125886	0.080021	0.0953454	0.318276	0.113046	0.115319	0.0568483	0.0461773	0.0891314	0.112853	0.10523	0.134986	0.0879879	0.117704	0.0895946	0.0648202	0.216284	0.530663	0.133928	0.0335154	0.0473463	0.0358941	0.122022	0.104029	0.0640145	0.0824027	0.124757	0.122567	0.161133	0.0253718	0.153101	0.0532288	1	0.398454	0.291985	1.12372	0.580355	2.38927	1.23037	0.389973	0.894184	1.69041	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	5	0	0	0	0	0	0	0	0	0.1	0.1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	-38854.48	-38824.01	-30.47223	1.573986	0.8247026	0.4883629	2.373855	0.5016156	0.5255699	0.0536462	2.35267	0.149781	0.299202	0.194981	0.206173	0.268397	0.0877897	1.62721	0.27119	0.07493853	3.46194	2.84399	2.15839	2.52992	2.56204	2.00062	1.72066	1.82523	1.75851	2.62652	-4.020083	1	1	6.32274	6.32274	6.32274	3.2485	1	1	1	6.32274	3.2485	3.2485	0	1	1	1	3.2485	3.2485	0	0	1	1	6.32274	3.2485	0	0	0	1	1	3.2485	0	0	0	0	1	6.32274	3.2485	0	0	0	0	1	3.2485	0	0	0	0	0	1	0.02133172	0.0278734	0.0392332	0.0174103	0.0243951	0.0140601	0.0773363	0.0263523	0.0344655	0.010766	0.0282335	0.0158187	0.0127408	0.0133992	0.0101697	0.039078	0.0203416	0.00865866	0.028331	0.0300202	0.0140448	0.0203729	0.0302509	0.0479438	0.00848192	0.0177377	0.0205166	0.0110229	0.0199028	0.0430633	0.0191421	0.0125622	0.00958426	0.0146745	0.0245173	0.0186465	0.0165165	0.0149008	0.0125139	0.0097057	0.00669384	0.010878	0.00545253	0.0308325	0.0316358	0.0272454	0.00985992	0.0346074	0.00882786	0.0137785	0.00955217	1	0.342447	0.801578	0.477355	0.307561	0.400367	0.246405	1.66834	0.453782	0.434534	1.01228	0.772203	-1.96377	0	0	-1.03643	0	0	0.05644877	0.1194073	0.06147457	0.09957856	2.448794	0	0	0	0	-0.395866	1.98263	1.84415	-0.665959	0.0995786	0.0564488	0.1560273	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1
20	-38501.41	-38476.6	-24.81504	3.407035	1.718462	0.9534767	4.598638	0.8662439	1.042419	0.0864278	0.306136	0.0934592	0.354455	0.22887	0.205406	0.990907	0.102781	1.75236	0.20603	0.05617402	3.76988	3.22893	2.1676	2.98307	2.78823	2.02121	1.70474	1.88399	2.22711	2.66544	-4.571068	2.30181	2.29084	2.21199	2.20547	2.11844	1.7682	2.20814	2.30181	2.29084	2.19428	2.06805	1.63892	0	2.20814	2.30181	2.29084	2.19428	2.19428	0	0	2.20814	2.29496	2.26537	2.08532	0	0	0	2.20814	2.28726	2.20814	0	0	0	0	2.20814	2.20814	2.23631	0	0	0	0	2.20814	2.23631	0	0	0	0	0	2.20814	0.01229521	0.0349608	0.0167752	0.00941422	0.00984621	0.00838503	0.0663937	0.0122302	0.0148392	0.00674995	0.0102136	0.0090928	0.0178299	0.013197	0.00541697	0.0201589	0.0119903	0.00351804	0.0137172	0.0140349	0.0071723	0.0260595	0.00913763	0.0338041	0.00706853	0.0129313	0.012693	0.00369368	0.00920487	0.0384101	0.00569245	0.0124234	0.0130425	0.00875355	0.00307482	0.0101699	0.00778417	0.00566545	0.00987508	0.00502532	0.00308275	0.00655603	0.00525426	0.00506529	0.0177196	0.00422274	0.00338011	0.00786041	0.00646636	0.00859377	0.00557025	1	0.303578	0.638161	0.391112	0.266762	0.211736	0.233998	1.54276	0.407409	0.304618	1.65612	1.64762	-1.05176	-1.06644	0	0	-0.0560138	-1.84037	0.04421276	0.02268263	0.02956211	0.1235761	4.654812	1.9576	0	-1.80283	1.31585	0	-0.845207	0	0	0.123576	0.0442128	0.1677889	1	1	1	1	0	0	1	1	1	0	1	1	0	1	0	0
30	-38513.12	-38466.66	-46.45898	1.356217	0.5765973	0.4147156	1.955959	0.413014	0.4428451	0.0276983	0.413892	0.134082	0.243627	0.228663	0.616748	1.90291	0.0973236	0.828557	0.131801	0.1631721	3.18077	3.12117	2.20471	2.15914	2.74237	1.75181	2.68368	1.70941	1.71362	3.61957	-3.637932	1.73732	1.73444	9.38097	9.38056	9.37686	1.37589	1.73184	1.73732	1.73444	9.37993	1.3766	1.3757	0	1.73184	1.73732	1.73444	1.37725	1.37725	0	0	1.73184	1.7351	9.38644	1.37667	0	0	0	1.73184	1.73405	1.37737	0	0	0	0	1.73184	9.38073	1.37768	0	0	0	0	1.73184	1.37768	0	0	0	0	0	1.73184	0.03126018	0.0453498	0.0281686	0.0153083	0.0198481	0.0221074	0.105048	0.0273883	0.0242646	0.0212146	0.0234426	0.0145809	0.0264346	0.0368007	0.0194895	0.0567092	0.0350152	0.0125078	0.0497809	0.0557041	0.0329444	0.0551269	0.0258957	0.0631525	0.00965193	0.0335373	0.0386867	0.0117131	0.0303231	0.0847301	0.0334972	0.0252931	0.0183032	0.0243423	0.0351237	0.0237387	0.0275816	0.0122585	0.0204151	0.0384109	0.0327068	0.0168361	0.0108625	0.0123321	0.0723625	0.0194681	0.00631608	0.0275926	0.0148287	0.0151745	0.0150341	1	0.282922	0.612934	0.359976	0.244221	0.179105	0.200925	1.31048	0.277441	0.296937	0	0	-1.58845	-1.2497	0.457941	1.69227	0	-1.25627	0.05456663	0.02418914	0.05199045	0.1228811	2.119131	1.61473	0	-0.73155	1.08021	0	1.00497	1.68947	-1.91848	0.122881	0.0545666	0.1774477	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1
40	-38505.74	-38456.56	-49.18063	1.22425	0.7376337	0.3232462	2.050428	0.3969289	0.4662732	0.0731604	0.590537	0.15064	0.319961	0.332274	0.477715	0.646229	0.0682391	0.44944	0.334626	0.3211854	3.88103	3.50284	2.40709	2.20833	2.8804	1.24646	2.26561	1.60046	1.6835	3.45787	-3.683066	2.33854	2.33258	3.75793	3.75768	3.7554	0.709644	2.3272	2.33854	2.33258	3.75729	0.710206	0.709488	0	2.3272	2.33854	2.33258	0.710724	0.710724	0	0	2.3272	2.33396	3.7613	0.710257	0	0	0	2.3272	2.33177	0.710818	0	0	0	0	2.3272	3.75778	0.711063	0	0	0	0	2.3272	0.711063	0	0	0	0	0	2.3272	0.02988067	0.0387399	0.0186848	0.0165402	0.0232026	0.00921906	0.120244	0.0223884	0.0281297	0.0211978	0.0335418	0.0115845	0.0307323	0.040149	0.0191058	0.0608868	0.0302156	0.0159657	0.0881149	0.039054	0.0256652	0.0510946	0.0182908	0.0500604	0.00803318	0.0325106	0.047283	0.0256676	0.0548904	0.0606856	0.0364148	0.0202279	0.047835	0.0191492	0.0279456	0.0226744	0.0172138	0.0141407	0.0109802	0.0211641	0.0778462	0.0250226	0.0131472	0.00773223	0.0388024	0.0247885	0.0326464	0.016454	0.0187362	0.031547	0.0124317	1	0.273622	0.561436	0.344583	0.227232	0.190791	0.179158	1.18071	0.336778	0.288812	0.629597	0.416863	-1.64212	-1.30312	-1.39607	0	0	-1.9322	0.06326091	0.02540278	0.03618259	0.190997	2.371613	0	0	-0.433186	1.62951	0	0	0.479161	-1.66517	0.190997	0.0632609	0.2542579	1	1	1	1	1	0	0	1	0	0	1	1	0	0	1	1
50	-38502.34	-38451.25	-51.0985	1.074207	0.6805049	0.2960338	2.04813	0.3569934	0.3635296	0.0115809	0.397053	0.157342	0.461794	0.132013	0.285031	0.355359	0.108581	2.06023	0.0989208	0.4287341	2.90967	3.37749	2.50537	2.98897	2.38416	1.52475	3.31873	2.28698	1.50045	3.07	-3.662205	1.76771	1.67403	5.53655	5.17744	2.06105	0.0317795	0.750354	1.76771	1.67403	4.61139	1.18475	0.00548197	0	0.750354	1.76771	1.67403	4.61139	4.61139	0	0	0.750354	1.7227	9.44041	1.43472	0	0	0	0.750354	1.62674	5.32186	0	0	0	0	0.750354	5.32186	7.08806	0	0	0	0	0.750354	7.08806	0	0	0	0	0	0.750354	0.03051056	0.0360574	0.0244418	0.0163425	0.0203386	0.0131089	0.0783798	0.0173915	0.0311651	0.015441	0.0248669	0.0183874	0.0284905	0.0389611	0.0167483	0.0729912	0.0410262	0.00764731	0.0230544	0.0344521	0.0326197	0.0516866	0.0167643	0.0583351	0.00807302	0.031545	0.0499713	0.0187534	0.0928365	0.0605644	0.0512661	0.0260955	0.034035	0.0591494	0.0153427	0.0174313	0.0117436	0.0152925	0.0209394	0.0373703	0.0199482	0.0697538	0.047012	0.0267039	0.0396872	0.0169317	0.00724139	0.0185667	0.0287825	0.0321649	0.00703091	1	0.262409	0.567927	0.4016	0.225989	0.201217	0.182191	1.29655	0.317703	0.319765	0.286684	0	-1.85365	0	0	0	-1.30014	0	0.02921734	0.02982137	0.1197466	0.2187932	2.476864	0	-0.128325	0	1.85483	0	-1.48201	1.95903	0	0.218793	0.0292173	0.2480106	1	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0
60	-38475.79	-38446.51	-29.28065	2.42363	1.387653	0.5516385	4.163718	0.7036199	0.7310336	0.008665	0.33926	0.111946	0.307191	0.181278	0.100244	0.517781	0.0727144	0.674031	0.18922	0.7416238	3.98515	3.11153	2.00904	2.46475	3.22913	1.70119	2.18076	1.89635	1.61372	3.48857	-4.40131	1	1	5.8067	5.8067	5.8067	0.880919	1	1	1	5.8067	0.880919	0.880919	0	1	1	1	0.880919	0.880919	0	0	1	1	5.8067	0.880919	0	0	0	1	1	0.880919	0	0	0	0	1	5.8067	0.880919	0	0	0	0	1	0.880919	0	0	0	0	0	1	0.01457004	0.0191535	0.00983945	0.00587348	0.0122253	0.0114387	0.0560592	0.0103997	0.0141193	0.0109236	0.0157911	0.0122205	0.0144221	0.0178037	0.0127981	0.035156	0.0163849	0.00759786	0.0220637	0.0183616	0.0125001	0.0292283	0.00978178	0.0395262	0.00735697	0.0184504	0.025734	0.00762988	0.0184055	0.0316678	0.0141181	0.0204737	0.0210771	0.0106503	0.0172685	0.00900244	0.00754547	0.0274348	0.00866617	0.0209186	0.0121748	0.0190536	0.00706657	0.0198447	0.0192736	0.0214527	0.0081683	0.0100529	0.0121406	0.0200117	0.00354638	1	0.273501	0.517419	0.344259	0.253122	0.203992	0.202627	1.27118	0.310627	0.276001	0.79318	1.23582	-0.615244	0	0	-1.98633	0	0	0.0128926	0.04186339	0.02722641	0.1157583	4.905341	1.28498	1.10382	-1.36608	1.41578	0	0	1.75901	-1.8858	0.115758	0.0128926	0.1286509	1	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1
70	-38450.3	-38439.39	-10.90388	6.01692	2.701186	1.278229	10.20967	1.421345	1.49274	0.0878134	0.658403	0.143057	0.32795	0.134542	0.017535	0.456412	0.0821928	1.84377	0.19111	1.110841	3.0546	3.39057	2.44849	2.86863	2.85356	1.40939	2.45798	2.07414	1.76824	3.0483	-5.071709	2.26568	2.26012	5.00885	5.00853	5.00561	5.0007	2.2551	2.26568	2.26012	5.00803	5.00451	4.99964	0	2.2551	2.26568	2.26012	5.00803	5.00803	0	0	2.2551	2.2614	5.01318	5.00486	0	0	0	2.2551	2.25937	5.00866	0	0	0	0	2.2551	5.00866	5.01033	0	0	0	0	2.2551	5.01033	0	0	0	0	0	2.2551	0.007452642	0.00984512	0.00474257	0.00444568	0.00764017	0.00373513	0.0289086	0.00408531	0.00683896	0.00520336	0.00862943	0.00371829	0.00642781	0.00877978	0.00323309	0.0182609	0.00723516	0.00198045	0.00704056	0.0104462	0.00843678	0.0108256	0.00441453	0.0142608	0.00257842	0.00556773	0.00918853	0.00149137	0.0102068	0.0118914	0.0108574	0.00457663	0.00726555	0.00589794	0.00229611	0.00484527	0.00574474	0.00312103	0.00508332	0.0046086	0.00294886	0.00659722	0.0117011	0.00917916	0.0100921	0.00670374	0.00681016	0.00240905	0.00650882	0.00591985	0.00207201	1	0.286709	0.596268	0.3781	0.239467	0.147794	0.20865	1.33714	0.34673	0.319918	0.711985	1.08468	-0.668222	-0.906665	0	-1.27753	0	-1.86021	0.05137129	0.01200007	0.05509388	0.04492609	11.32051	0.190823	0	0	1.50152	0	0	0.797973	0	0.0449261	0.0513713	0.09629738	1	1	1	1	0	1	0	1	1	0	0	1	0	0	1	0
80	-38482.31	-38452.17	-30.14132	2.716449	1.450507	0.634655	4.689281	0.6550397	0.7117495	0.0813646	0.443631	0.0888131	0.525673	0.114924	0.180941	0.317823	0.0931631	0.857426	0.0816259	0.9164754	3.11466	3.14976	2.32338	3.0543	2.62168	1.66028	2.44805	1.62797	1.91686	3.02338	-4.22343	1.98004	1.97598	9.00878	9.00829	9.0039	8.99653	1.97232	1.98004	1.97598	9.00754	9.00225	8.99494	0	1.97232	1.98004	1.97598	9.00754	9.00754	0	0	1.97232	1.97692	9.01527	9.00277	0	0	0	1.97232	1.97543	9.00849	0	0	0	0	1.97232	9.00849	9.01099	0	0	0	0	1.97232	9.01099	0	0	0	0	0	1.97232	0.01740656	0.0256411	0.00918917	0.00806042	0.0168759	0.0089072	0.0469876	0.0254559	0.032062	0.0140977	0.020272	0.010538	0.00827993	0.0101423	0.00847543	0.0394725	0.0175302	0.0032224	0.0181978	0.0183513	0.00796712	0.0322453	0.00997828	0.0295841	0.00704277	0.0136517	0.0202527	0.0317786	0.0173287	0.027048	0.0113208	0.0105232	0.0173362	0.0122864	0.0059422	0.0110638	0.00538978	0.0456655	0.0110313	0.00486728	0.0164381	0.00890176	0.0124488	0.0402439	0.01607	0.0183575	0.0177328	0.0076951	0.00463339	0.00851943	0.00425354	1	0.296157	0.568228	0.364328	0.235647	0.174468	0.182338	1.33714	0.316339	0.269938	0.670281	0	-1.12806	-0.12605	0	0	0	-1.55371	0.06466889	0.02413439	0.005748864	0.05094502	5.605756	0	0	-1.32702	1.79504	0	-0.58993	1.51896	0	0.050945	0.0646689	0.1156139	1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0
90	-38488.02	-38449.4	-38.62569	1.623397	0.7601409	0.3896465	2.342202	0.4087503	0.4234129	0.0971228	0.430738	0.151275	0.493939	0.150399	0.0893203	0.382028	0.11107	0.883766	0.334056	0.2261421	3.11953	3.16735	2.23353	2.48481	2.78367	2.34922	2.0493	2.15572	1.44189	3.29713	-3.911728	1.92142	1.91765	9.45231	9.45182	9.44742	9.44002	1.91426	1.92142	1.91765	9.45107	9.44577	9.43843	0	1.91426	1.92142	1.91765	9.45107	9.45107	0	0	1.91426	1.91853	9.45882	9.44629	0	0	0	1.91426	1.91715	9.45202	0	0	0	0	1.91426	9.45202	9.45453	0	0	0	0	1.91426	9.45453	0	0	0	0	0	1.91426	0.02377298	0.0330231	0.0110856	0.00590635	0.0204523	0.0125369	0.079079	0.0286179	0.0364105	0.0259689	0.0234305	0.0212396	0.0177779	0.018279	0.0111946	0.0610166	0.0310541	0.0076617	0.0315707	0.0379216	0.0272225	0.0723741	0.0240574	0.0686687	0.0110654	0.034478	0.0306631	0.0104692	0.0224868	0.0692358	0.0171674	0.0228376	0.0278281	0.0234092	0.0126738	0.0167934	0.0317743	0.0319347	0.0319788	0.0176756	0.0403329	0.0191277	0.0179798	0.0244598	0.0327916	0.0294752	0.0105452	0.0168708	0.00881947	0.00713814	0.0158801	1	0.253187	0.666091	0.348538	0.235059	0.252181	0.175928	1.37293	0.309984	0.323151	1.95664	0.735211	-1.96976	0	1.1674	-0.201175	0	-1.48536	0.03573187	0.05352268	0.02488892	0.09060359	2.568344	1.53115	0	-1.62647	1.59252	0	0	1.5969	0	0.0906036	0.0357319	0.1263355	1	1	1	0	1	1	0	1	1	0	1	1	0	0	1	0
