Iteration	Posterior	Likelihood	Prior	m_b[6][1][1]	m_b[6][1][2]	m_b[6][1][3]	m_b[6][1][4]	m_b[6][1][5]	m_b[6][1][6]	m_b[6][1][7]	m_b[6][2][1]	m_b[6][2][2]	m_b[6][2][3]	m_b[6][2][4]	m_b[6][2][5]	m_b[6][2][6]	m_b[6][2][7]	m_b[6][3][1]	m_b[6][3][2]	m_b[6][3][3]	m_b[6][3][4]	m_b[6][3][5]	m_b[6][3][6]	m_b[6][3][7]	m_b[6][4][1]	m_b[6][4][2]	m_b[6][4][3]	m_b[6][4][4]	m_b[6][4][5]	m_b[6][4][6]	m_b[6][4][7]	m_b[6][5][1]	m_b[6][5][2]	m_b[6][5][3]	m_b[6][5][4]	m_b[6][5][5]	m_b[6][5][6]	m_b[6][5][7]	m_b[6][6][1]	m_b[6][6][2]	m_b[6][6][3]	m_b[6][6][4]	m_b[6][6][5]	m_b[6][6][6]	m_b[6][6][7]	m_b[6][7][1]	m_b[6][7][2]	m_b[6][7][3]	m_b[6][7][4]	m_b[6][7][5]	m_b[6][7][6]	m_b[6][7][7]	m_d[6][1][1]	m_d[6][1][2]	m_d[6][1][3]	m_d[6][1][4]	m_d[6][1][5]	m_d[6][1][6]	m_d[6][1][7]	m_d[6][2][1]	m_d[6][2][2]	m_d[6][2][3]	m_d[6][2][4]	m_d[6][2][5]	m_d[6][2][6]	m_d[6][2][7]	m_d[6][3][1]	m_d[6][3][2]	m_d[6][3][3]	m_d[6][3][4]	m_d[6][3][5]	m_d[6][3][6]	m_d[6][3][7]	m_d[6][4][1]	m_d[6][4][2]	m_d[6][4][3]	m_d[6][4][4]	m_d[6][4][5]	m_d[6][4][6]	m_d[6][4][7]	m_d[6][5][1]	m_d[6][5][2]	m_d[6][5][3]	m_d[6][5][4]	m_d[6][5][5]	m_d[6][5][6]	m_d[6][5][7]	m_d[6][6][1]	m_d[6][6][2]	m_d[6][6][3]	m_d[6][6][4]	m_d[6][6][5]	m_d[6][6][6]	m_d[6][6][7]	m_d[6][7][1]	m_d[6][7][2]	m_d[6][7][3]	m_d[6][7][4]	m_d[6][7][5]	m_d[6][7][6]	m_d[6][7][7]	m_e[6][1][1]	m_e[6][1][2]	m_e[6][1][3]	m_e[6][1][4]	m_e[6][1][5]	m_e[6][1][6]	m_e[6][1][7]	m_w[6][1][1]	m_w[6][1][2]	m_w[6][1][3]	m_w[6][1][4]	m_w[6][1][5]	m_w[6][1][6]	m_w[6][1][7]	r_b[6][1][1]	r_b[6][1][2]	r_b[6][1][3]	r_b[6][1][4]	r_b[6][1][5]	r_b[6][1][6]	r_b[6][1][7]	r_b[6][2][1]	r_b[6][2][2]	r_b[6][2][3]	r_b[6][2][4]	r_b[6][2][5]	r_b[6][2][6]	r_b[6][2][7]	r_b[6][3][1]	r_b[6][3][2]	r_b[6][3][3]	r_b[6][3][4]	r_b[6][3][5]	r_b[6][3][6]	r_b[6][3][7]	r_b[6][4][1]	r_b[6][4][2]	r_b[6][4][3]	r_b[6][4][4]	r_b[6][4][5]	r_b[6][4][6]	r_b[6][4][7]	r_b[6][5][1]	r_b[6][5][2]	r_b[6][5][3]	r_b[6][5][4]	r_b[6][5][5]	r_b[6][5][6]	r_b[6][5][7]	r_b[6][6][1]	r_b[6][6][2]	r_b[6][6][3]	r_b[6][6][4]	r_b[6][6][5]	r_b[6][6][6]	r_b[6][6][7]	r_b[6][7][1]	r_b[6][7][2]	r_b[6][7][3]	r_b[6][7][4]	r_b[6][7][5]	r_b[6][7][6]	r_b[6][7][7]	r_d[6][1][1]	r_d[6][1][2]	r_d[6][1][3]	r_d[6][1][4]	r_d[6][1][5]	r_d[6][1][6]	r_d[6][1][7]	r_d[6][2][1]	r_d[6][2][2]	r_d[6][2][3]	r_d[6][2][4]	r_d[6][2][5]	r_d[6][2][6]	r_d[6][2][7]	r_d[6][3][1]	r_d[6][3][2]	r_d[6][3][3]	r_d[6][3][4]	r_d[6][3][5]	r_d[6][3][6]	r_d[6][3][7]	r_d[6][4][1]	r_d[6][4][2]	r_d[6][4][3]	r_d[6][4][4]	r_d[6][4][5]	r_d[6][4][6]	r_d[6][4][7]	r_d[6][5][1]	r_d[6][5][2]	r_d[6][5][3]	r_d[6][5][4]	r_d[6][5][5]	r_d[6][5][6]	r_d[6][5][7]	r_d[6][6][1]	r_d[6][6][2]	r_d[6][6][3]	r_d[6][6][4]	r_d[6][6][5]	r_d[6][6][6]	r_d[6][6][7]	r_d[6][7][1]	r_d[6][7][2]	r_d[6][7][3]	r_d[6][7][4]	r_d[6][7][5]	r_d[6][7][6]	r_d[6][7][7]	r_e[6][1]	r_e[6][2]	r_e[6][3]	r_e[6][4]	r_e[6][5]	r_e[6][6]	r_e[6][7]	r_w[6][1]	r_w[6][2]	r_w[6][3]	r_w[6][4]	r_w[6][5]	r_w[6][6]	r_w[6][7]	rho_b	rho_d	rho_e	rho_w
0	-92236.01	-92080.7	-155.3079	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1000	1000	1000	1000	1	1	1	0	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0.1	0.1	0.1	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0.1	0.1	0.1	100	100	100	100	0.1	0.1	0.1	0	0	0	0	0.1	0.1	0.1	0.1	0.1
10	-38854.48	-38824.01	-30.47223	2.75188	0.503403	1	1	1	1	5.33137	0.503403	2.75188	1	1	1	1	5.33137	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.33137	5.33137	1	1	1	1	2.75188	0.140328	1.43941	0	0	0	0	0.0148246	1.43941	0.140328	0	0	0	0	0.0148246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148246	0.0148246	0	0	0	0	0.140328	1.05888	7.69083	1000	1000	1000	1000	1.57315	6.32274	3.2485	0	0	0	0	1	0.15534	0.0284165	0.0564488	0.0564488	0.0564488	0.0564488	0.300949	0.0284165	0.15534	0.0564488	0.0564488	0.0564488	0.0564488	0.300949	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.0564488	0.300949	0.300949	0.0564488	0.0564488	0.0564488	0.0564488	0.15534	0.0167562	0.171876	0	0	0	0	0.00177016	0.171876	0.0167562	0	0	0	0	0.00177016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00177016	0.00177016	0	0	0	0	0.0167562	0.0650943	0.47279	61.4746	61.4746	61.4746	61.4746	0.0967087	0.62961	0.323481	0	0	0	0	0.0995786	0.05644877	0.1194073	0.06147457	0.09957856
20	-38501.41	-38476.6	-24.81504	5.23895	0.253845	1	1	1	1	85.4706	0.253845	5.23895	1	1	1	1	85.4706	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	85.4706	85.4706	1	1	1	1	37.1037	1.30225	9.02078	0	0	0	0	0.0343349	2.41978	1.30225	0	0	0	0	0.0343349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127998	0.127998	0	0	0	0	0.214653	1	0.429469	1000	1000	1000	1000	1	2.20814	2.23631	0	0	0	0	2.20814	0.231628	0.0112232	0.0442128	0.0442128	0.0442128	0.0442128	3.77889	0.0112232	0.231628	0.0442128	0.0442128	0.0442128	0.0442128	3.77889	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	0.0442128	3.77889	3.77889	0.0442128	0.0442128	0.0442128	0.0442128	1.64046	0.0295385	0.204615	0	0	0	0	0.000778807	0.054887	0.0295385	0	0	0	0	0.000778807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00290334	0.00290334	0	0	0	0	0.00486889	0.0295621	0.012696	29.5621	29.5621	29.5621	29.5621	0.0295621	0.272874	0.276354	0	0	0	0	0.272874	0.04421276	0.02268263	0.02956211	0.1235761
30	-38513.12	-38466.66	-46.45898	1	1	1	1	1	1	5.02653	1	1	1	1	1	1	5.02653	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.02653	5.02653	1	1	1	1	5.02653	0.601554	8.86188	0	0	0	0	0.035676	3.00882	0.601554	0	0	0	0	0.035676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105077	0.105077	0	0	0	0	0.289445	0.528022	1.30357	1000	1000	1000	1000	0.528022	9.38073	1.37768	0	0	0	0	1.73184	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.274281	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.274281	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.0545666	0.274281	0.274281	0.0545666	0.0545666	0.0545666	0.0545666	0.274281	0.0145511	0.214361	0	0	0	0	0.000862973	0.0727806	0.0145511	0	0	0	0	0.000862973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00254172	0.00254172	0	0	0	0	0.00700143	0.0274521	0.067773	51.9905	51.9905	51.9905	51.9905	0.0274521	1.15271	0.169291	0	0	0	0	0.21281	0.05456663	0.02418914	0.05199045	0.1228811
40	-38505.74	-38456.56	-49.18063	1.87685	0.679809	1	1	1	1	2.94984	0.679809	1.87685	1	1	1	1	2.94984	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.94984	2.94984	1	1	1	1	1.87685	0.987471	16.0467	0	0	0	0	0.044352	3.14557	0.987471	0	0	0	0	0.044352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226256	0.226256	0	0	0	0	0.640316	0.734621	0.999332	1000	1000	1000	1000	0.734621	3.75778	0.711063	0	0	0	0	2.3272	0.118731	0.0430053	0.0632609	0.0632609	0.0632609	0.0632609	0.186609	0.0430053	0.118731	0.0632609	0.0632609	0.0632609	0.0632609	0.186609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.0632609	0.186609	0.186609	0.0632609	0.0632609	0.0632609	0.0632609	0.118731	0.0250845	0.407631	0	0	0	0	0.00112666	0.0799062	0.0250845	0	0	0	0	0.00112666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00574753	0.00574753	0	0	0	0	0.0162658	0.0265805	0.0361584	36.1826	36.1826	36.1826	36.1826	0.0265805	0.717724	0.135811	0	0	0	0	0.444489	0.06326091	0.02540278	0.03618259	0.190997
50	-38502.34	-38451.25	-51.0985	1.17159	0.83402	1	1	1	1	1.84932	0.948216	1.17159	1	1	1	1	1.84932	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.6266	1.6266	1	1	1	1	1.17159	1.00118	9.01271	0	0	0	0	0.0187738	1.41031	1.00118	0	0	0	0	0.0187738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119975	0.119975	0	0	0	0	1.00118	1	0.22718	1000	1000	1000	1000	1	5.32186	7.08806	0	0	0	0	0.750354	0.0342306	0.0243678	0.0292173	0.0292173	0.0292173	0.0292173	0.0540321	0.0277043	0.0342306	0.0292173	0.0292173	0.0292173	0.0292173	0.0540321	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0292173	0.0475249	0.0475249	0.0292173	0.0292173	0.0292173	0.0292173	0.0342306	0.0298566	0.268771	0	0	0	0	0.000559859	0.0420574	0.0298566	0	0	0	0	0.000559859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00357783	0.00357783	0	0	0	0	0.0298566	0.119747	0.027204	119.747	119.747	119.747	119.747	0.119747	1.16439	1.55082	0	0	0	0	0.164172	0.02921734	0.02982137	0.1197466	0.2187932
60	-38475.79	-38446.51	-29.28065	6.66585	1.17202	1	1	1	1	8.93624	0.388647	6.66585	1	1	1	1	8.93624	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	26.9486	26.9486	1	1	1	1	24.0943	2.22673	4.61768	0	0	0	0	0.0681858	1.12088	2.22673	0	0	0	0	0.0681858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280905	0.280905	0	0	0	0	0.568052	2.38293	2.38378	1000	1000	1000	1000	2.38293	5.8067	0.880919	0	0	0	0	1	0.0859401	0.0151104	0.0128926	0.0128926	0.0128926	0.0128926	0.115211	0.00501067	0.0859401	0.0128926	0.0128926	0.0128926	0.0128926	0.115211	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.0128926	0.347438	0.347438	0.0128926	0.0128926	0.0128926	0.0128926	0.310638	0.0932186	0.193312	0	0	0	0	0.00285449	0.0469238	0.0932186	0	0	0	0	0.00285449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0117596	0.0117596	0	0	0	0	0.0237806	0.0648787	0.0649017	27.2264	27.2264	27.2264	27.2264	0.0648787	0.672174	0.101974	0	0	0	0	0.115758	0.0128926	0.04186339	0.02722641	0.1157583
70	-38450.3	-38439.39	-10.90388	2.03803	0.43499	1	1	1	1	2.77089	0.43499	2.03803	1	1	1	1	2.77089	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.77089	2.77089	1	1	1	1	2.46652	2.3009	9.12387	0	0	0	0	0.427783	2.03271	2.3009	0	0	0	0	0.427783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92011	1.92011	0	0	0	0	2.3009	1.748	1.7484	1000	1000	1000	1000	1.748	5.00866	5.01033	0	0	0	0	2.2551	0.104696	0.022346	0.0513713	0.0513713	0.0513713	0.0513713	0.142344	0.022346	0.104696	0.0513713	0.0513713	0.0513713	0.0513713	0.142344	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.0513713	0.142344	0.142344	0.0513713	0.0513713	0.0513713	0.0513713	0.126708	0.027611	0.109487	0	0	0	0	0.00513343	0.0243927	0.027611	0	0	0	0	0.00513343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0230415	0.0230415	0	0	0	0	0.027611	0.0963043	0.0963263	55.0939	55.0939	55.0939	55.0939	0.0963043	0.22502	0.225094	0	0	0	0	0.101313	0.05137129	0.01200007	0.05509388	0.04492609
80	-38482.31	-38452.17	-30.14132	1.95479	0.883095	1	1	1	1	4.21005	0.883095	1.95479	1	1	1	1	4.21005	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.21005	4.21005	1	1	1	1	1.95479	1.94833	8.0499	0	0	0	0	0.0256024	1.33726	1.94833	0	0	0	0	0.0256024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154119	0.154119	0	0	0	0	0.516826	1	0.554366	1000	1000	1000	1000	1	9.00849	9.01099	0	0	0	0	1.97232	0.126414	0.0571088	0.0646689	0.0646689	0.0646689	0.0646689	0.272259	0.0571088	0.126414	0.0646689	0.0646689	0.0646689	0.0646689	0.272259	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.0646689	0.272259	0.272259	0.0646689	0.0646689	0.0646689	0.0646689	0.126414	0.0470219	0.194279	0	0	0	0	0.000617897	0.0322739	0.0470219	0	0	0	0	0.000617897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00371956	0.00371956	0	0	0	0	0.0124733	0.00574886	0.00318697	5.74886	5.74886	5.74886	5.74886	0.00574886	0.458938	0.459065	0	0	0	0	0.10048	0.06466889	0.02413439	0.005748864	0.05094502
90	-38488.02	-38449.4	-38.62569	7.07551	0.432732	1	1	1	1	191.297	0.432732	7.07551	1	1	1	1	191.297	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	191.297	191.297	1	1	1	1	32.7136	0.685748	7.08418	0	0	0	0	0.00287764	1.44101	0.685748	0	0	0	0	0.00287764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0141468	0.0141468	0	0	0	0	0.134834	1.41316	1.09258	1000	1000	1000	1000	1.41316	9.45202	9.45453	0	0	0	0	1.91426	0.252821	0.0154623	0.0357319	0.0357319	0.0357319	0.0357319	6.8354	0.0154623	0.252821	0.0357319	0.0357319	0.0357319	0.0357319	6.8354	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	0.0357319	6.8354	6.8354	0.0357319	0.0357319	0.0357319	0.0357319	1.16892	0.0367031	0.379164	0	0	0	0	0.000154019	0.0771269	0.0367031	0	0	0	0	0.000154019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000757175	0.000757175	0	0	0	0	0.00721667	0.0351721	0.0271931	24.8889	24.8889	24.8889	24.8889	0.0351721	0.856387	0.856614	0	0	0	0	0.173439	0.03573187	0.05352268	0.02488892	0.09060359
