Iteration	Posterior	Likelihood	Prior	age_affinis	age_centrantoides	age_flynni	age_ingroup	age_littoralis	age_littoralis_flynni	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	diff_age_root_ingroup	kappa_mol[1]	kappa_mol[2]	kappa_mol[3]	kappa_mol[4]	kappa_mol[5]	kappa_mol[6]	kappa_mol[7]	kappa_mol[8]	kappa_mol[9]	kappa_mol[10]	ln_mean	m_w[1][1][1]	m_w[1][1][2]	m_w[1][1][3]	m_w[1][1][4]	m_w[1][1][5]	m_w[1][1][6]	m_w[1][1][7]	m_w[2][1][1]	m_w[2][1][2]	m_w[2][1][3]	m_w[2][1][4]	m_w[2][1][5]	m_w[2][1][6]	m_w[2][1][7]	m_w[3][1][1]	m_w[3][1][2]	m_w[3][1][3]	m_w[3][1][4]	m_w[3][1][5]	m_w[3][1][6]	m_w[3][1][7]	m_w[4][1][1]	m_w[4][1][2]	m_w[4][1][3]	m_w[4][1][4]	m_w[4][1][5]	m_w[4][1][6]	m_w[4][1][7]	m_w[5][1][1]	m_w[5][1][2]	m_w[5][1][3]	m_w[5][1][4]	m_w[5][1][5]	m_w[5][1][6]	m_w[5][1][7]	m_w[6][1][1]	m_w[6][1][2]	m_w[6][1][3]	m_w[6][1][4]	m_w[6][1][5]	m_w[6][1][6]	m_w[6][1][7]	m_w[7][1][1]	m_w[7][1][2]	m_w[7][1][3]	m_w[7][1][4]	m_w[7][1][5]	m_w[7][1][6]	m_w[7][1][7]	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_branch[41]	mu_mol_branch[42]	mu_mol_branch[43]	mu_mol_branch[44]	mu_mol_branch[45]	mu_mol_branch[46]	mu_mol_branch[47]	mu_mol_branch[48]	mu_mol_branch[49]	mu_mol_branch[50]	mu_mol_locus_rel[1]	mu_mol_locus_rel[2]	mu_mol_locus_rel[3]	mu_mol_locus_rel[4]	mu_mol_locus_rel[5]	mu_mol_locus_rel[6]	mu_mol_locus_rel[7]	mu_mol_locus_rel[8]	mu_mol_locus_rel[9]	mu_mol_locus_rel[10]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	rho_b	rho_d	rho_e	rho_w	root_age	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	use_phi_b[1]	use_phi_b[2]	use_phi_d[1]	use_phi_d[2]	use_phi_e[1]	use_phi_e[2]	use_phi_w[1]	use_phi_w[2]	use_sigma_b[1]	use_sigma_b[2]	use_sigma_d[1]	use_sigma_d[2]	use_sigma_e[1]	use_sigma_e[2]	use_sigma_w[1]	use_sigma_w[2]
0	-93130.64	-92985.14	-145.4954	2.178205	3.245424	1.505607	4.245937	1.674535	1.729195	4.32954	4.06271	18.7236	4.59334	5.02302	0.951709	12.023	2.62135	4.54463	4.28488	0.7540631	0.27261	0.4345	0.595816	2.01218	0.359563	0.843798	0.840884	1.1058	1.84641	3.35868	-2.541552	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0.09357147	0.017427	0.118401	0.0632196	0.0927107	0.0851125	0.0267087	0.0573003	0.119429	0.0543284	0.0571536	0.0473212	0.0951492	0.122153	0.148613	0.0230428	0.0479974	0.0560156	0.0603363	0.176261	0.142692	0.0420791	0.0766815	0.131854	0.0850835	0.0461265	0.154771	0.117114	0.130588	0.114306	0.0720824	0.0224003	0.0996196	0.158014	0.0390147	0.0807172	0.0892186	0.0657239	0.159425	0.0950071	0.0659739	0.216175	0.0813406	0.0897952	0.0494096	0.0783858	0.103385	0.149122	0.0293081	0.098772	0.0442169	1	1.72337	1.1347	0.462682	0.366883	2.5936	0.397124	0.373881	1.70598	1.09431	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	5	0	0	0	0	0	0	0	0	0.1	0.1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	-38695.66	-38697.85	2.188572	1.310844	1.677655	0.8817118	2.636219	0.7632409	0.8953029	0.102681	0.330545	0.349019	2.478	0.321373	0.568514	2.07405	0.101206	0.829662	0.177635	0.1100591	3.52236	3.15283	2.40505	3.07314	2.91399	2.10549	2.10212	2.04388	1.35872	3.30352	-4.922948	4.58655	4.56562	12.8777	12.8761	12.8621	3.04226	4.54677	4.58655	4.56562	12.8737	3.04658	3.04106	0	4.54677	4.58655	4.56562	3.05057	3.05057	0	0	4.54677	4.57045	12.8984	3.04697	0	0	0	4.54677	4.56279	3.05128	0	0	0	0	4.54677	12.8767	3.05317	0	0	0	0	4.54677	3.05317	0	0	0	0	0	4.54677	0.00864801	0.0106323	0.00825101	0.00422632	0.00697218	0.00467646	0.0172225	0.00563837	0.00626552	0.00543108	0.0102229	0.00677571	0.0137699	0.0104564	0.0136689	0.00541507	0.00767759	0.00460251	0.0130365	0.00571505	0.00464056	0.0070263	0.00358922	0.0170686	0.00989371	0.0162453	0.0161198	0.00690317	0.0106691	0.0187375	0.00621356	0.0102548	0.0088964	0.00604703	0.0063405	0.00182488	0.00135585	0.00441056	0.00985716	0.00395455	0.00406487	0.00617743	0.00720948	0.00252624	0.0140316	0.00219716	0.00394495	0.0223668	0.00747625	0.0190929	0.00451523	1	0.654715	1.40507	0.768145	0.546607	0.49083	0.476121	3.55097	0.873971	0.723276	3.53786	0.20901	0	0	0	-1.77299	0	-3.46427	0.008489078	0.02966696	0.0124636	0.03486292	2.746278	2.50054	-3.17949	-1.38348	2.29399	0	0	1.041	-1.43986	0.0348629	0.00848908	0.04335199	1	1	0	0	0	1	0	1	1	1	1	1	0	0	1	1
20	-38490.31	-38484.17	-6.14596	1.364783	1.244551	0.7706964	2.231758	0.7071256	0.7881318	0.027751	0.261891	0.126421	0.309931	0.375185	0.123109	3.51432	0.11204	1.35546	0.121181	0.1761574	4.07297	3.05385	2.59781	2.59073	3.00871	2.14184	2.64736	1.6434	1.43321	2.96396	-4.71059	3.21492	3.20367	8.61021	8.60942	8.60224	4.1197	3.19352	3.21492	3.20367	8.60818	4.12419	4.11846	0	3.19352	3.21492	3.20367	4.12832	4.12832	0	0	3.19352	3.20627	8.62082	4.12459	0	0	0	3.19352	3.20215	4.12907	0	0	0	0	3.19352	8.60974	4.13103	0	0	0	0	3.19352	4.13103	0	0	0	0	0	3.19352	0.01069405	0.0137711	0.00868488	0.00692923	0.00671165	0.00533834	0.0323376	0.00651013	0.00916283	0.00598331	0.00646201	0.00416595	0.00981206	0.0137186	0.00869495	0.0166493	0.00954237	0.00453386	0.0200236	0.0196576	0.0124743	0.0136203	0.00644048	0.0475867	0.009506	0.0275094	0.0190598	0.0147479	0.0109357	0.0376317	0.0131038	0.00500376	0.0104073	0.00524756	0.00873285	0.0024456	0.00718832	0.00689602	0.0186172	0.00625241	0.00989875	0.00586827	0.00365622	0.00569215	0.0124412	0.00518843	0.0176884	0.0183429	0.0126185	0.00908176	0.00672477	1	0.532975	1.13302	0.711135	0.465462	0.281046	0.413122	2.62129	0.530673	0.524577	2.83692	0	-3.56326	0	-1.50847	0	0	-2.65611	0.02539429	0.005434048	0.0293984	0.06812379	2.407915	1.89823	0	0	2.52903	0	0	0.991769	-0.734842	0.0681238	0.0253943	0.09351808	1	0	1	0	1	0	0	1	1	0	0	1	0	0	1	1
30	-38503.6	-38474.41	-29.19329	1.103999	0.8906101	0.5580109	1.689409	0.4594777	0.6092467	0.0107605	0.416342	0.158922	0.410025	0.199407	0.383432	2.37411	0.0991434	1.32453	0.137252	0.04274198	3.36466	2.9075	2.69281	2.84946	2.97167	2.12657	2.27773	1.81654	1.42628	3.54582	-4.183618	5.62409	5.59499	5.56926	5.5685	5.56164	0.116018	5.56881	5.62409	5.59499	5.56732	0.116205	0.115966	0	5.56881	5.62409	5.59499	0.116377	0.116377	0	0	5.56881	5.6017	5.57941	0.116222	0	0	0	5.56881	5.59106	0.116408	0	0	0	0	5.56881	5.56881	0.11649	0	0	0	0	5.56881	0.11649	0	0	0	0	0	5.56881	0.01811354	0.0293139	0.0116497	0.00630901	0.015852	0.00880334	0.0552766	0.0120986	0.0130117	0.0114191	0.0216816	0.0135336	0.013954	0.0177988	0.0109657	0.0295551	0.0195944	0.0081917	0.0461503	0.0220204	0.0178362	0.0291739	0.0111887	0.0707435	0.0119138	0.0254912	0.0308001	0.0100517	0.0244971	0.0593171	0.0148553	0.00898602	0.0151912	0.0106191	0.0110692	0.0092702	0.0167998	0.00256524	0.0122503	0.0214764	0.0102971	0.00888486	0.0144269	0.00584001	0.0257985	0.00913556	0.00515977	0.0361418	0.0518551	0.00758697	0.0151866	1	0.46536	0.871087	0.592781	0.339485	0.240095	0.323313	2.38586	0.45949	0.482005	2.89545	0	-2.6596	0	0	0	0	-3.9281	0.103195	0.009691871	0.02831264	0.1385894	1.732151	2.082	-0.772615	0	2.59003	0	-3.10741	0	-3.86783	0.138589	0.103195	0.2417844	1	0	1	0	0	0	0	1	1	1	0	1	0	1	0	1
40	-38483.5	-38467.53	-15.96972	1.237104	1.323598	0.7722839	2.374046	0.7952088	0.8353528	0.0797481	0.293833	0.14101	0.352311	0.167121	0.0501436	8.76821	0.103758	0.311007	0.167796	0.2216334	2.81828	3.07024	2.30193	2.307	2.89808	1.74088	2.03667	2.0198	2.05286	3.70174	-4.686623	4.15941	4.14164	5.14141	5.14083	5.1356	5.12683	4.12564	4.15941	4.14164	5.13993	5.13364	5.12494	0	4.12564	4.15941	4.14164	5.13993	5.13993	0	0	4.12564	4.14574	5.14914	5.13426	0	0	0	4.12564	4.13924	5.14106	0	0	0	0	4.12564	5.14106	5.14404	0	0	0	0	4.12564	5.14404	0	0	0	0	0	4.12564	0.01095345	0.0110824	0.00486392	0.00425092	0.00915512	0.00515753	0.0339823	0.00592821	0.00731994	0.00564739	0.00934734	0.00606018	0.00930443	0.0121414	0.00750617	0.0183783	0.0114013	0.00759024	0.0383959	0.0196109	0.00878746	0.0171463	0.00627479	0.0440083	0.00938124	0.0207536	0.0257108	0.00751672	0.0299291	0.0302093	0.00879017	0.00611751	0.0163278	0.00628105	0.00834783	0.00245954	0.013896	0.00377991	0.010466	0.00706318	0.00907139	0.00406373	0.00923811	0.0175932	0.0162122	0.0139015	0.0103589	0.0188722	0.00943363	0.00815269	0.0128751	1	0.416531	0.837394	0.543767	0.362925	0.241192	0.30461	2.07152	0.52639	0.51293	0.629551	1.03313	-2.73642	0	0.569151	-3.64352	0	-3.24193	0.04763719	0.008923583	0.02341983	0.1120272	2.595679	0.648758	0.852171	0	3.16429	0	0.933825	0.220039	0	0.112027	0.0476372	0.1596644	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	0
50	-38486.08	-38473.31	-12.76387	1.647586	1.491257	0.7621229	2.395755	0.7293305	0.8305664	0.0808076	0.58273	0.0902359	0.459259	0.0974254	0.196127	7.76463	0.0960387	0.750109	0.203563	0.2011205	2.91136	3.04705	2.19	2.52064	2.11724	1.36604	2.5255	1.90451	1.12957	2.71519	-4.576332	3.85506	3.83946	3.82567	3.82526	3.82158	0.368001	3.82542	3.85506	3.83946	3.82462	0.368464	0.367873	0	3.82542	3.85506	3.83946	0.368891	0.368891	0	0	3.82542	3.84307	3.83111	0.368506	0	0	0	3.82542	3.83736	0.368968	0	0	0	0	3.82542	3.82542	0.369171	0	0	0	0	3.82542	0.369171	0	0	0	0	0	3.82542	0.01223066	0.00645394	0.00477053	0.00355869	0.00938065	0.00550366	0.0316943	0.0150736	0.0101626	0.00749858	0.0106575	0.00684805	0.011174	0.00864372	0.00613201	0.0193521	0.0124071	0.00682986	0.0222013	0.0143514	0.00834132	0.0182888	0.00669893	0.040975	0.00885699	0.0205332	0.0244182	0.00988506	0.0176659	0.0553446	0.0123643	0.00735492	0.0198569	0.00732094	0.00337333	0.00872746	0.00561199	0.00523548	0.00641119	0.00743316	0.0134418	0.0181468	0.00940674	0.0142209	0.0184997	0.0115511	0.00716383	0.0277198	0.0066343	0.0129545	0.0144864	1	0.400513	0.672167	0.449526	0.324756	0.222044	0.252294	1.86842	0.398918	0.455262	0	0	0	-1.19384	0	-0.804843	0	-3.0691	0.01000452	0.003755434	0.02562514	0.1053577	2.596875	0	-3.12354	-1.40658	3.81582	0	0	0	-2.33871	0.105358	0.0100045	0.1153622	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0	1
60	-38498.84	-38459.57	-39.27385	1.138152	0.7780533	0.5262291	1.779651	0.5796203	0.5914063	0.0607105	0.514252	0.149819	0.263087	0.105148	4.34222	0.549464	0.0881455	0.545458	0.165882	0.2757091	3.74304	2.61698	2.27743	2.49072	3.036	1.84188	1.76001	2.02515	1.4885	3.64714	-3.969097	5.2913	5.26489	5.24153	5.24085	5.23461	3.49029	5.24112	5.2913	5.26489	5.23977	3.49571	3.48878	0	5.24112	5.2913	5.26489	3.50071	3.50071	0	0	5.24112	5.27099	5.25075	3.4962	0	0	0	5.24112	5.26132	3.50161	0	0	0	0	5.24112	5.24112	3.50399	0	0	0	0	5.24112	3.50399	0	0	0	0	0	5.24112	0.02244753	0.0108254	0.0046289	0.00650486	0.0122022	0.00733571	0.0472577	0.0139244	0.0232121	0.00901619	0.0215836	0.0151634	0.0107141	0.0124267	0.0143573	0.0349815	0.0222901	0.0132394	0.0482014	0.0189717	0.0140243	0.0352977	0.0133587	0.0511698	0.0102017	0.0244678	0.0333114	0.0255109	0.0334228	0.0604935	0.0168464	0.0365323	0.016601	0.0125113	0.0153142	0.0253644	0.00520519	0.0121027	0.00806499	0.00958281	0.00451114	0.0205164	0.0189973	0.011929	0.0286775	0.0150804	0.0184974	0.0295483	0.0112015	0.0290913	0.0185161	1	0.350326	0.784787	0.442625	0.277247	0.23002	0.24206	1.57268	0.377628	0.385488	0.697696	0	-0.231138	-3.59978	0	-2.15433	0	-3.78937	0.04504254	0.005116124	0.01319477	0.1041651	2.055361	3.64405	-1.30171	-3.14299	2.2426	-1.37834	3.89041	0	-0.403312	0.104165	0.0450425	0.1492076	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1
70	-38494.04	-38456.52	-37.51672	1.195327	0.7951459	0.5550504	1.860373	0.5795388	0.6312587	0.0310316	0.388955	0.160699	0.401041	0.117319	5.26881	0.257071	0.0909049	1.10118	0.238408	0.08898553	3.36599	3.17599	2.23738	2.96375	2.90874	2.08374	2.47531	1.91548	1.28339	3.20036	-4.123044	13.5459	12.1564	14.8317	13.0527	2.25813	0.000155284	2.62797	13.5459	12.1564	10.4689	0.152462	5.47178e-06	0	2.62797	13.5459	12.1564	2.02875	2.02875	0	0	2.62797	12.8516	41.0246	0.219525	0	0	0	2.62797	11.5039	2.66559	0	0	0	0	2.62797	13.7552	4.60244	0	0	0	0	2.62797	4.60244	0	0	0	0	0	2.62797	0.01924465	0.0261044	0.0101813	0.00861261	0.012148	0.00663113	0.0450297	0.0131955	0.0246265	0.0102671	0.0231876	0.0151139	0.0225506	0.0247316	0.0178371	0.0371917	0.0249453	0.0107891	0.038398	0.0366773	0.0208568	0.0457444	0.0148861	0.0628777	0.0101259	0.0363362	0.035144	0.0307009	0.0272972	0.0730127	0.02072	0.0175605	0.0166407	0.012106	0.00771067	0.0111715	0.00521986	0.00730735	0.0133878	0.00617263	0.0103889	0.0269091	0.0190465	0.00606419	0.0336314	0.0196612	0.0125581	0.0325915	0.00892096	0.0134046	0.0188587	1	0.333173	0.678631	0.412252	0.284508	0.287353	0.22222	1.41255	0.404079	0.409741	0	0.287251	-2.9239	-3.78698	0	-3.55773	-2.47492	-3.46089	0.02040578	0.00592455	0.03969045	0.07315052	1.949358	3.1482	0	-0.370875	0	0	0	1.6552	-1.64099	0.0731505	0.0204058	0.0935563	0	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1
80	-38484.53	-38453.29	-31.24019	1.447493	0.9682559	0.6269402	2.310816	0.6774271	0.7567906	0.0141023	0.177215	0.152604	0.215796	0.140047	0.416772	0.178568	0.108168	0.516757	0.167652	0.1646514	4.195	4.30859	2.63483	2.55718	2.79565	2.32709	2.15089	1.75719	1.39366	3.22284	-4.13496	5.55782	5.52925	19.7778	19.7751	19.7509	1.86714	5.50356	5.55782	5.52925	19.771	1.87013	1.86632	0	5.50356	5.55782	5.52925	1.87289	1.87289	0	0	5.50356	5.53585	19.8136	1.8704	0	0	0	5.50356	5.5254	1.87338	0	0	0	0	5.50356	19.7762	1.87469	0	0	0	0	5.50356	1.87469	0	0	0	0	0	5.50356	0.0190167	0.0234733	0.010777	0.00772894	0.0112815	0.00598276	0.0429216	0.0156872	0.014818	0.0134318	0.0184168	0.0167265	0.0182527	0.0165011	0.0135321	0.0263405	0.0178489	0.00791519	0.022144	0.023288	0.0139396	0.0309953	0.0137628	0.0700485	0.0115676	0.0362532	0.0355298	0.0147362	0.0266827	0.0608765	0.0273464	0.0176296	0.0174381	0.0134716	0.00986566	0.0113987	0.00793434	0.00394985	0.00730939	0.00625858	0.0145132	0.0108967	0.0274444	0.0104473	0.0264049	0.0241681	0.0145164	0.0245077	0.0119046	0.00708941	0.0178572	1	0.260993	0.594194	0.402359	0.255092	0.217016	0.211207	1.61452	0.283556	0.305223	3.11207	0	-3.62664	-3.23928	0	-2.36771	0	-3.90114	0.05042525	0.007822149	0.07634233	0.02713113	2.475468	0	0	0	0	-3.14808	0	1.27908	-2.35673	0.0271311	0.0504253	0.07755639	1	0	1	1	0	1	0	1	0	0	0	0	1	0	1	1
90	-38500.25	-38455.29	-44.96044	1.426031	1.023214	0.5647349	2.089905	0.5904993	0.6900765	0.0776426	0.423385	0.127043	0.377984	0.359377	0.60684	1.29199	0.104606	0.622291	0.156104	0.2334333	3.82823	2.92765	2.21276	2.67892	2.39526	1.86562	2.68567	2.25645	1.2849	3.43732	-3.863012	5.44214	5.41452	5.3901	5.38938	5.38286	0.321813	5.38967	5.44214	5.41452	5.38826	0.322321	0.321672	0	5.38967	5.44214	5.41452	0.32279	0.32279	0	0	5.38967	5.4209	5.39974	0.322367	0	0	0	5.38967	5.41079	0.322875	0	0	0	0	5.38967	5.38967	0.323097	0	0	0	0	5.38967	0.323097	0	0	0	0	0	5.38967	0.02495978	0.0283713	0.0150852	0.0147136	0.011868	0.00635587	0.055358	0.0223276	0.0274149	0.0133884	0.0206116	0.01374	0.0173931	0.0306566	0.0153235	0.0388805	0.0202031	0.00942816	0.0529983	0.0196982	0.0162948	0.0494624	0.0142073	0.0913079	0.0125249	0.0285655	0.0326741	0.0098551	0.0314256	0.0753327	0.0146418	0.0347112	0.0353226	0.0144462	0.00446756	0.0149442	0.012657	0.0078984	0.0133269	0.0111009	0.0147624	0.0508003	0.0180358	0.0179723	0.0284221	0.0279619	0.0284205	0.0253135	0.00872328	0.0376596	0.0138079	1	0.283227	0.567106	0.408324	0.260657	0.194779	0.186718	1.53019	0.31766	0.282914	3.92908	2.8591	-3.50707	-1.52249	-1.13774	-0.334498	0	-3.8533	0.01123506	0.02542469	0.1458003	0.1272454	2.323338	1.01342	0	0	0	-1.05021	0	0	-2.81497	0.127245	0.0112351	0.1384805	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	1
