Iteration	Posterior	Likelihood	Prior	age_affinis	age_centrantoides	age_flynni	age_ingroup	age_littoralis	age_littoralis_flynni	alpha_mol[1]	alpha_mol[2]	alpha_mol[3]	alpha_mol[4]	alpha_mol[5]	alpha_mol[6]	alpha_mol[7]	alpha_mol[8]	alpha_mol[9]	alpha_mol[10]	birth	death	diff_age_root_ingroup	diversification	kappa_mol[1]	kappa_mol[2]	kappa_mol[3]	kappa_mol[4]	kappa_mol[5]	kappa_mol[6]	kappa_mol[7]	kappa_mol[8]	kappa_mol[9]	kappa_mol[10]	ln_mean	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_branch[41]	mu_mol_branch[42]	mu_mol_branch[43]	mu_mol_branch[44]	mu_mol_branch[45]	mu_mol_branch[46]	mu_mol_branch[47]	mu_mol_branch[48]	mu_mol_branch[49]	mu_mol_branch[50]	mu_mol_locus_rel[1]	mu_mol_locus_rel[2]	mu_mol_locus_rel[3]	mu_mol_locus_rel[4]	mu_mol_locus_rel[5]	mu_mol_locus_rel[6]	mu_mol_locus_rel[7]	mu_mol_locus_rel[8]	mu_mol_locus_rel[9]	mu_mol_locus_rel[10]	root_age	turnover
0	-94081.26	-94031.3	-49.96273	2.178205	3.245424	1.505607	4.245937	1.674535	1.729195	8.57912	8.14561	7.82083	10.5016	27.2749	5.1607	5.77107	0.767874	5.71747	12.1589	0.2196298	0.02260575	0.7540631	0.1970241	0.421912	2.01305	1.83595	1.04353	1.85562	0.743662	0.560691	0.366979	0.926315	2.06318	-2.448172	0.1027301	0.0632318	0.0932369	0.0647366	0.0416499	0.148178	0.0517881	0.0840301	0.141119	0.029492	0.0364014	0.126231	0.205273	0.0553886	0.069364	0.068463	0.192308	0.0823821	0.0483339	0.0681146	0.116454	0.0384241	0.0412368	0.0639891	0.0577571	0.206309	0.12298	0.0561907	0.122566	0.0900629	0.113205	0.152358	0.0790913	0.210058	0.107112	0.0264733	0.202158	0.0455394	0.0668964	0.0659662	0.160663	0.163627	0.361054	0.0566348	0.081479	0.0717076	0.0755367	0.0972375	0.0784685	0.0877401	0.06577	1	0.688266	1.26294	0.80266	1.47716	0.290459	0.117005	1.0934	1.36453	0.357524	5	0.1029266
20	-38437.11	-38495.2	58.09318	2.360121	2.490156	1.271249	4.351143	1.288078	1.423762	0.0447932	0.62412	0.116217	0.208734	0.886711	0.470221	5.43	0.128341	0.893009	0.198543	0.7171357	0.1712201	0.3545462	0.5459156	3.63029	3.28284	2.62733	2.62425	2.4399	1.26459	2.22866	1.88234	1.38406	3.76442	-4.532119	0.01278355	0.00855524	0.00470562	0.00280225	0.0114961	0.00857022	0.0361902	0.00831058	0.00882107	0.0067975	0.00931994	0.00531611	0.00865607	0.00811231	0.00451155	0.0201759	0.0111955	0.00842341	0.0382523	0.00799066	0.00596598	0.0270215	0.0110381	0.0363733	0.00608003	0.0133729	0.0245518	0.00582273	0.0359168	0.0265778	0.00417712	0.0194297	0.0120747	0.00597081	0.00830054	0.00511033	0.00384515	0.00371793	0.0080632	0.00439364	0.00730018	0.00428879	0.0100896	0.00860933	0.0165002	0.00688494	0.00389111	0.0153213	0.00840558	0.00686173	0.0121445	1	0.2659	0.566503	0.329091	0.230097	0.187875	0.156591	1.47616	0.282609	0.314074	4.705689	0.2387555
40	-38381.56	-38456.65	75.09057	4.616492	4.459822	2.064487	8.968019	2.055903	2.629143	0.0247268	0.680581	0.208082	0.410609	0.13391	4.32661	10.1447	0.105771	0.834088	0.187251	0.2462032	0.01828112	0.3372834	0.2279221	3.37392	3.32068	2.35135	2.88794	3.07131	1.83703	2.44614	2.16931	1.79543	3.3508	-5.038983	0.00770057	0.00813705	0.00422133	0.00210695	0.00495246	0.00331635	0.0197677	0.00401918	0.00554338	0.00370699	0.00465423	0.00268602	0.00903429	0.0106116	0.00468594	0.0100748	0.00622148	0.00251762	0.00733771	0.00917672	0.00466095	0.00787428	0.00424219	0.0240416	0.00246512	0.0116153	0.0124145	0.00530427	0.00998988	0.0133524	0.00660417	0.00396477	0.00428743	0.00435655	0.00220926	0.0018746	0.00226928	0.00516129	0.002879	0.00297962	0.00320523	0.0083318	0.00813371	0.00351726	0.007492	0.00630406	0.00234886	0.00815615	0.00473948	0.0043319	0.00506846	1	0.220496	0.498389	0.358149	0.205997	0.146653	0.203619	1.29183	0.267219	0.233793	9.305302	0.07425216
60	-38346.54	-38439.21	92.67495	15.11079	13.9682	5.039079	26.92597	5.818822	6.324688	0.00928771	0.237239	0.177535	1.01082	0.16446	0.345602	0.499511	0.133642	0.696603	0.220458	0.1137534	0.0301317	2.234478	0.08362172	4.09277	3.49537	2.56395	2.78409	2.86911	2.71225	2.64196	1.71756	1.57485	2.676	-6.046965	0.00281036	0.00144262	0.000708343	0.000577684	0.00171347	0.000641733	0.00912226	0.00266413	0.00345593	0.00165807	0.0012758	0.00113714	0.00341511	0.004994	0.00328979	0.00553374	0.00304366	0.00144995	0.00392489	0.00219297	0.00179808	0.00377498	0.00139708	0.00711385	0.0010102	0.00402983	0.00443319	0.00320256	0.00319833	0.00580555	0.00158849	0.0013246	0.00543482	0.00171808	0.00182186	0.000404203	0.00219577	0.0011167	0.00086886	0.00203999	0.000570636	0.00200253	0.00206571	0.00178103	0.00299961	0.0016843	0.00109922	0.00238856	0.00281785	0.00230279	0.00141163	1	0.208636	0.429687	0.282841	0.197272	0.144593	0.164292	1.16978	0.26291	0.250041	29.16045	0.2648861
80	-38357.97	-38447.47	89.49917	13.12847	8.613392	4.251568	23.31324	3.930829	5.239586	0.0880209	0.291612	0.179796	0.497966	0.462376	0.299262	0.411213	0.0980011	0.637708	0.142594	0.1710117	0.04259194	2.111034	0.1284197	4.23452	2.93658	2.7457	2.35145	2.54294	1.83165	2.26664	2.015	1.51579	2.74285	-5.935407	0.003142034	0.00210613	0.0012182	0.000804513	0.00260457	0.00173423	0.00872608	0.00157628	0.00301372	0.00257337	0.00575368	0.00306918	0.00208735	0.0035335	0.00270583	0.00653969	0.00538944	0.000967613	0.0033094	0.00395243	0.00181341	0.00413323	0.00158535	0.010971	0.00174525	0.00682908	0.00465181	0.0067117	0.00279625	0.00697299	0.00365448	0.00217392	0.0057967	0.00426524	0.00245236	0.00116014	0.00153843	0.00113203	0.00284894	0.00391804	0.00155806	0.00125733	0.00559709	0.00130145	0.010376	0.00159513	0.000668018	0.00186822	0.00208912	0.00218962	0.00157575	1	0.242967	0.480395	0.320214	0.199866	0.154839	0.195278	1.18067	0.265411	0.269281	25.42427	0.2490587
100	-38378.38	-38445.03	66.65096	10.27789	6.044742	1.866888	19.29677	3.004793	3.335969	0.0656688	0.411325	0.181009	0.421296	0.126824	0.427125	0.496367	0.098938	0.444137	0.302063	0.1778159	0.01252463	0.1991281	0.1652913	4.54296	3.69251	1.85792	2.32741	3.53183	2.84249	3.28433	2.22354	1.60736	3.71963	-5.403177	0.005350024	0.00606898	0.00257293	0.00113109	0.00596697	0.00302772	0.0234545	0.00398161	0.00416606	0.00468688	0.00632137	0.00414902	0.00542792	0.00633267	0.00424898	0.0184148	0.00867288	0.00270427	0.00699994	0.00755695	0.00387425	0.0108166	0.00508225	0.022609	0.0045468	0.01284	0.00657072	0.00767123	0.00395914	0.00807063	0.00332886	0.00434294	0.0043963	0.00597058	0.00292298	0.00503333	0.00531326	0.00402233	0.00254381	0.00272187	0.00325167	0.00429779	0.00465514	0.00680585	0.0126955	0.00180929	0.00206508	0.0024124	0.00404055	0.00102743	0.00332656	1	0.181773	0.419127	0.236075	0.144356	0.130393	0.167786	0.864023	0.260994	0.21007	19.4959	0.07043595
120	-38351.31	-38436.96	85.6509	11.59619	8.366059	3.250305	23.42452	4.113106	4.321997	0.03365	0.518115	0.236189	0.310492	0.322786	0.446127	0.706414	0.118933	0.812596	0.30302	0.1619536	0.05029195	1.913489	0.1116616	2.81149	3.71981	2.39715	2.47722	2.76756	2.15339	3.24073	1.81467	1.47352	2.70372	-5.57854	0.004489481	0.00234447	0.00091179	0.00108451	0.00363056	0.00154729	0.0132474	0.00228229	0.00288602	0.00248695	0.00292413	0.00337469	0.00863706	0.00655778	0.00468591	0.00861283	0.00428206	0.00207692	0.00772119	0.00386647	0.00292227	0.00780798	0.00245806	0.0127807	0.00248331	0.00581895	0.00591272	0.00209905	0.00411385	0.00558665	0.00170986	0.00342309	0.0040164	0.00224878	0.00343837	0.00103883	0.00295458	0.00224973	0.00201886	0.00257722	0.00183384	0.00344736	0.00406937	0.00215694	0.00484205	0.00164717	0.00187313	0.00205255	0.00285244	0.00394704	0.00205514	1	0.190264	0.445921	0.27465	0.15942	0.122364	0.142554	1.0613	0.283522	0.249139	25.33801	0.3105331
140	-38378.78	-38433.79	55.00771	4.637995	3.05834	1.119449	7.161956	1.250805	1.331275	0.0583843	0.322251	0.170607	0.439471	0.359875	0.528434	0.313687	0.0802071	0.553448	0.15784	0.4111884	0.1093068	0.2638257	0.3018816	3.23184	3.15893	2.16238	2.75998	2.44501	1.66047	2.02007	1.77607	1.69385	2.95023	-4.761534	0.0101629	0.0167686	0.00646834	0.00562945	0.00893755	0.00556392	0.0326944	0.00490121	0.00697961	0.00544027	0.0107858	0.0078045	0.0157642	0.0172113	0.0118256	0.026632	0.0136337	0.00499095	0.0158395	0.00918013	0.00627398	0.0217554	0.00612073	0.055521	0.0101128	0.0132259	0.0136332	0.00224995	0.0100536	0.0251532	0.00526653	0.00755663	0.00961634	0.0107476	0.00753211	0.00254441	0.00487821	0.00308754	0.00823768	0.0143982	0.00449796	0.0123982	0.00825476	0.0150581	0.0231232	0.00642634	0.000848764	0.00789784	0.00728307	0.0049549	0.00635385	1	0.228285	0.496147	0.330282	0.215343	0.143331	0.153613	1.04056	0.288277	0.230545	7.425782	0.2658315
160	-38389.86	-38439.52	49.66575	2.71031	1.915932	0.7542367	5.367005	0.9199523	1.000043	0.00396147	0.49084	0.141016	0.423577	0.157288	0.223961	0.151679	0.0797437	0.454318	0.214602	0.8779497	0.4755214	0.1720437	0.4024283	3.79122	3.05573	2.53254	2.09516	3.09479	1.4462	2.83424	1.99663	1.86075	2.77881	-4.158375	0.0185766	0.0425336	0.0183929	0.00757764	0.0128946	0.00848116	0.0453164	0.00847546	0.0119156	0.00953674	0.0108976	0.00883077	0.0148867	0.0213482	0.010175	0.0348518	0.0169639	0.0099823	0.037243	0.0180065	0.0126485	0.0270226	0.0118929	0.0481334	0.00594874	0.0240012	0.0233572	0.0328438	0.0170918	0.0245567	0.0085159	0.0114811	0.0148606	0.00914079	0.00573742	0.00726697	0.0156887	0.00819788	0.00899807	0.0218241	0.0127646	0.0171875	0.0271576	0.0220241	0.0211683	0.012158	0.0070143	0.00906828	0.0215773	0.00673391	0.0060505	1	0.229018	0.448573	0.311341	0.193066	0.191079	0.143985	1.00951	0.294134	0.246438	5.539049	0.5416272
180	-38386.25	-38446.99	60.74711	4.782126	2.909342	1.232006	8.200857	1.668664	1.814806	0.0163605	0.420877	0.162658	0.250322	0.141326	0.0568898	0.919517	0.0955771	2.77624	0.136719	0.5394191	0.2728341	1.284169	0.266585	3.18188	3.16688	2.1409	2.33293	2.81572	1.5279	2.81801	2.0025	1.23717	3.39105	-4.934827	0.008545889	0.0116412	0.00559244	0.00743576	0.00662978	0.00339204	0.0201271	0.0061787	0.00702004	0.00649705	0.0148717	0.0097216	0.013884	0.0146077	0.00486647	0.0239159	0.0102405	0.00317783	0.0128344	0.011987	0.00999438	0.0155199	0.00564177	0.0394828	0.0108601	0.0134907	0.0134738	0.00702519	0.00749116	0.017708	0.0101943	0.00590647	0.00771205	0.00470771	0.00167456	0.0028207	0.0022233	0.0159073	0.00164089	0.00519894	0.0073377	0.00809727	0.00959638	0.00354101	0.0106319	0.0047945	0.00486613	0.00523879	0.00282541	0.019301	0.00338393	1	0.238104	0.449028	0.306836	0.21455	0.174715	0.168937	1.1463	0.259572	0.249645	9.485025	0.5057924
