Iteration	Posterior	Likelihood	Prior	m_w[1][1][1]	m_w[1][1][2]	m_w[1][1][3]	m_w[1][1][4]	m_w[1][1][5]	m_w[1][1][6]	m_w[1][1][7]	m_w[2][1][1]	m_w[2][1][2]	m_w[2][1][3]	m_w[2][1][4]	m_w[2][1][5]	m_w[2][1][6]	m_w[2][1][7]	m_w[3][1][1]	m_w[3][1][2]	m_w[3][1][3]	m_w[3][1][4]	m_w[3][1][5]	m_w[3][1][6]	m_w[3][1][7]	m_w[4][1][1]	m_w[4][1][2]	m_w[4][1][3]	m_w[4][1][4]	m_w[4][1][5]	m_w[4][1][6]	m_w[4][1][7]	m_w[5][1][1]	m_w[5][1][2]	m_w[5][1][3]	m_w[5][1][4]	m_w[5][1][5]	m_w[5][1][6]	m_w[5][1][7]	m_w[6][1][1]	m_w[6][1][2]	m_w[6][1][3]	m_w[6][1][4]	m_w[6][1][5]	m_w[6][1][6]	m_w[6][1][7]	m_w[7][1][1]	m_w[7][1][2]	m_w[7][1][3]	m_w[7][1][4]	m_w[7][1][5]	m_w[7][1][6]	m_w[7][1][7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	rho_b	rho_d	rho_e	rho_w	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	use_phi_b[1]	use_phi_b[2]	use_phi_d[1]	use_phi_d[2]	use_phi_e[1]	use_phi_e[2]	use_phi_w[1]	use_phi_w[2]	use_sigma_b[1]	use_sigma_b[2]	use_sigma_d[1]	use_sigma_d[2]	use_sigma_e[1]	use_sigma_e[2]	use_sigma_w[1]	use_sigma_w[2]
0	-198.4319	-186.0971	-12.33484	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0.1	0.1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	-184.6516	-162.4055	-22.24609	0.570313	0.564222	1.42781	1.40551	1.13191	1.32662	0.46792	0.570313	0.564222	1.3678	3.10936	0.877056	0	0.46792	0.570313	0.564222	4.28007	4.28007	0	0	0.46792	0.567769	1.61788	3.25261	0	0	0	0.46792	0.560584	4.42655	0	0	0	0	0.46792	1.41461	4.73438	0	0	0	0	0.46792	4.73438	0	0	0	0	0	0.46792	1.9297	0	-0.911701	0	-1.1682	1.62794	-0.306286	1.58251	0.0341963	0.04403597	0.08461015	0.1210367	1.55052	-0.329313	-0.887354	1.34853	0	-1.59453	1.10631	1.14076	0.121037	0.0341963	0.155233	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1
40	-172.845	-162.5501	-10.29494	1	1	1	1	1	1.28971	1	1	1	1	1.28971	1.28971	0	1	1	1	1.28971	1.28971	0	0	1	1	1	1.28971	0	0	0	1	1	1.28971	0	0	0	0	1	1	1.28971	0	0	0	0	1	1.28971	0	0	0	0	0	1	0	0.347138	-1.6896	0	0	0	0	0	0.03184987	0.0155564	0.01036283	0.1526039	0.424626	0	-1.30209	1.65265	0	0	0	0.254421	0.152604	0.0318499	0.1844538	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1
60	-172.4185	-160.0946	-12.32392	1.95371	1.94979	5.66964	5.66934	5.66663	12.5998	1.94624	1.95371	1.94979	5.66887	12.6077	12.5977	0	1.94624	1.95371	1.94979	12.615	12.615	0	0	1.94624	1.95069	5.67364	12.6084	0	0	0	1.94624	1.94925	12.6163	0	0	0	0	1.94624	5.66946	12.6197	0	0	0	0	1.94624	12.6197	0	0	0	0	0	1.94624	1.63392	0	-1.44343	0	0	-1.546	0	-1.52327	0.02769786	0.05628639	0.02273552	0.0504059	1.97019	-1.37258	0	0.19555	0	0	1.06919	0.799894	0.0504059	0.0276979	0.07810375	1	0	1	0	0	1	0	1	1	1	0	1	0	0	1	1
80	-173.6545	-159.2142	-14.44024	1	1	4.07168	4.07168	4.07168	9.43988	1	1	1	4.07168	9.43988	9.43988	0	1	1	1	9.43988	9.43988	0	0	1	1	4.07168	9.43988	0	0	0	1	1	9.43988	0	0	0	0	1	4.07168	9.43988	0	0	0	0	1	9.43988	0	0	0	0	0	1	0.695229	0.222806	-1.50311	0	0.801746	-0.844943	0	0	0.01928557	0.02021103	0.01798558	0.06590807	1.58733	0.893476	-1.14632	1.59942	-1.79562	1.27361	1.40406	0.840888	0.0659081	0.0192856	0.08519363	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1
100	-168.5282	-161.3844	-7.143811	1	1	5.49763	5.49763	5.49763	5.49763	1	1	1	5.49763	5.49763	5.49763	0	1	1	1	5.49763	5.49763	0	0	1	1	5.49763	5.49763	0	0	0	1	1	5.49763	0	0	0	0	1	5.49763	5.49763	0	0	0	0	1	5.49763	0	0	0	0	0	1	0	0	-1.1051	0	0	0	0	0	0.01017856	0.02585142	0.02884447	0.06672047	1.39323	0	-1.43713	1.72617	0	-1.65296	1.70432	0	0.0667205	0.0101786	0.07689903	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0
120	-175.1976	-163.6196	-11.578	1	1	6.66714	6.66714	6.66714	9.49664	1	1	1	6.66714	9.49664	9.49664	0	1	1	1	9.49664	9.49664	0	0	1	1	6.66714	9.49664	0	0	0	1	1	9.49664	0	0	0	0	1	6.66714	9.49664	0	0	0	0	1	9.49664	0	0	0	0	0	1	0	0	-1.36279	-0.43579	-1.01151	-1.31617	0	0	0.05424218	0.01736871	0.002658671	0.04687932	0.625679	0.222073	0	1.20426	-0.244266	0	1.89719	0.353748	0.0468793	0.0542422	0.1011215	0	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1
140	-174.725	-162.7727	-11.95225	1.36623	1.36495	4.28125	4.28115	4.28019	5.75729	1.36379	1.36623	1.36495	4.28098	5.75896	5.75683	0	1.36379	1.36623	1.36495	5.76051	5.76051	0	0	1.36379	1.36524	4.28266	5.75912	0	0	0	1.36379	1.36477	5.76079	0	0	0	0	1.36379	4.28119	5.76152	0	0	0	0	1.36379	5.76152	0	0	0	0	0	1.36379	0.599211	0	-1.5376	-0.904517	0	0	0	-0.709744	0.00921602	0.006969262	0.0008666575	0.07879578	1.21942	1.565	-1.55308	1.90474	-1.30138	-1.2965	1.14396	0.296843	0.0787958	0.00921602	0.0880118	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1
160	-175.5172	-162.6248	-12.89245	2.1442	2.15044	3.55068	3.574	3.91152	18.6082	2.32234	2.1442	2.15044	3.61467	13.0341	22.1243	0	2.32234	2.1442	2.15044	11.4074	11.4074	0	0	2.32234	2.1456	3.37158	12.7912	0	0	0	2.32234	2.15581	11.2488	0	0	0	0	2.32234	3.56441	10.939	0	0	0	0	2.32234	10.939	0	0	0	0	0	2.32234	0.908279	0	-1.86178	-1.36595	0	-1.81732	0.128201	-1.86263	0.0323973	0.009681249	0.002768025	0.03984881	0	-0.0385184	-0.855173	1.11045	0	-0.681257	0.428423	1.14926	0.0398488	0.0323973	0.07224611	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1
180	-176.8514	-163.5507	-13.30067	1.12833	1.12792	7.55837	7.5583	7.55765	17.7267	1.12755	1.12833	1.12792	7.55819	17.7287	17.7262	0	1.12755	1.12833	1.12792	17.7305	17.7305	0	0	1.12755	1.12801	7.55933	17.7289	0	0	0	1.12755	1.12786	17.7309	0	0	0	0	1.12755	7.55833	17.7317	0	0	0	0	1.12755	17.7317	0	0	0	0	0	1.12755	0	0.461165	0	0	1.12138	0.550437	0	-0.274612	0.04226937	0.03093484	0.002425416	0.03659994	0.621099	0.369039	-1.9526	1.90999	0	0.93161	1.9026	0.852658	0.0365999	0.0422694	0.0788693	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1
200	-171.0169	-163.2819	-7.735055	1.71343	1.71066	5.63845	5.63821	5.63604	5.6324	1.70816	1.71343	1.71066	5.63784	5.63523	5.63162	0	1.70816	1.71343	1.71066	5.63784	5.63784	0	0	1.70816	1.7113	5.64165	5.63549	0	0	0	1.70816	1.71029	5.6383	0	0	0	0	1.70816	5.6383	5.63954	0	0	0	0	1.70816	5.63954	0	0	0	0	0	1.70816	0	0	-1.77308	0	0	0	0	-1.22478	0.005435167	0.01480368	0.05476887	0.03671093	0.641824	0.0796667	-0.0770771	1.77967	0	0	1.19417	0	0.0367109	0.00543517	0.0421461	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0
220	-172.3311	-164.4622	-7.86888	1	1	2.87753	2.87753	2.87753	2.87753	1	1	1	2.87753	2.87753	2.87753	0	1	1	1	2.87753	2.87753	0	0	1	1	2.87753	2.87753	0	0	0	1	1	2.87753	0	0	0	0	1	2.87753	2.87753	0	0	0	0	1	2.87753	0	0	0	0	0	1	0.29793	0	-1.97751	0	0	0	0	0	0.003821255	0.03058986	0.04405708	0.07125343	0	0	-0.52293	0.87148	0	-1.24592	1.05693	0	0.0712534	0.00382125	0.07507469	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0
